rv,smi,qed,sa,cur_sentence,seed
11.2,Cc1cc(C)n(-c2ccc(CC(=O)NC3CCOc4c(F)ccc(F)c43)cc2)n1,0.7253618332288663,2.9657396622342063,[BOS]Cc1cc(C)n(-c2ccc(CC(=O)N[C@@H]3CCOc4c(F)ccc(F)c43)cc2)n1[EOS][EOS][EOS][EOS],42
11.3,CC(NC(=O)C1=NN(C2CCS(=O)(=O)C2)C(=O)CC1)c1ccc2ccccc2c1,0.8309892489714346,3.2388885349979812,[BOS]C[C@@H](NC(=O)C1=NN([C@H]2CCS(=O)(=O)C2)C(=O)CC1)c1ccc2ccccc2c1[EOS],42
10.8,CC1CC1c1noc(-c2ccc3c(c2)CC(c2ccccc2)OC3=O)n1,0.6611048660486829,3.388543938994685,[BOS]C[C@@H]1C[C@@H]1c1noc(-c2ccc3c(c2)C[C@@H](c2ccccc2)OC3=O)n1[EOS][EOS][EOS],42
12.0,Cc1noc(-c2ccccc2C(=O)NCc2ccc(-c3ccccc3)cc2F)n1,0.5350411605493954,2.0884401962465002,[BOS]Cc1noc(-c2ccccc2C(=O)NCc2ccc(-c3ccccc3)cc2F)n1[EOS],42
11.5,Cc1nc2ccncc2cc1C(=O)N1CCOC2(CCN(C(=O)C3CC3c3ccccc3)C2)C1,0.6051752827697182,4.113195200285988,[BOS]Cc1nc2ccncc2cc1C(=O)N1CCO[C@]2(CCN(C(=O)[C@H]3C[C@H]3c3ccccc3)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,O=C(NCC1CCC(c2ccncc2-c2ccc3c(c2)OCO3)CC1)c1c(F)ccc(O)c1F,0.5426985502084026,2.7315452996443668,[BOS]O=C(NC[C@H]1CC[C@H](c2ccncc2-c2ccc3c(c2)OCO3)CC1)c1c(F)ccc(O)c1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,CS(=O)(=O)Cc1cccc(CNC(=O)Nc2nc3c(s2)CC(c2ccccc2)CC3)c1,0.5806297002086295,2.8780646829055065,[BOS]CS(=O)(=O)Cc1cccc(CNC(=O)Nc2nc3c(s2)C[C@@H](c2ccccc2)CC3)c1[EOS],42
12.2,O=C(CNc1ccc2nnc(-c3ccc(F)cc3)n2n1)NC1CCN(C(=O)C2CCCCC2)CC1,0.5632683940579353,2.552495510753129,[BOS]O=C(CNc1ccc2nnc(-c3ccc(F)cc3)n2n1)NC1CCN(C(=O)C2CCCCC2)CC1[EOS][EOS][EOS][EOS][EOS],42
11.9,O=C(Nc1cccc(C(=O)Nc2cccc(F)c2)c1)C(=O)N1CCc2ccc(F)cc2C1,0.6155611601216519,2.191465884407771,[BOS]O=C(Nc1cccc(C(=O)Nc2cccc(F)c2)c1)C(=O)N1CCc2ccc(F)cc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.7,O=C(Nc1ccc(NCC2CCc3ccccc32)cc1)C1CCCO1,0.8692034892467985,2.873562578470395,[BOS]O=C(Nc1ccc(NC[C@@H]2CCc3ccccc32)cc1)[C@H]1CCCO1[EOS],42
11.1,O=C(NC(c1ccc2c(c1)OCCCO2)c1ccccc1Cl)C1COc2ccccc2O1,0.6301646257165744,3.142147309487318,[BOS]O=C(N[C@@H](c1ccc2c(c1)OCCCO2)c1ccccc1Cl)[C@H]1COc2ccccc2O1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.3,Cn1cnc(C(=O)NCc2ccc(Oc3cccc4ccccc34)cc2)cc1=O,0.5690698786121876,2.151563822620126,[BOS]Cn1cnc(C(=O)NCc2ccc(Oc3cccc4ccccc34)cc2)cc1=O[EOS],42
