rv,smi,qed,sa,cur_sentence,seed
12.0,Cc1cc(C2CN(C(=O)NC3CCCN(c4cc(N5CCOCC5)ncn4)C3)CCO2)ccc1F,0.7141146794519384,3.4579765240753755,[BOS]Cc1cc([C@@H]2CN(C(=O)N[C@@H]3CCCN(c4cc(N5CCOCC5)ncn4)C3)CCO2)ccc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,Cc1cc(C(=O)NCC2CCN(C(=O)C3(c4ccc(C(F)(F)F)cc4)CC3)C2c2cccnc2)no1,0.542733154408696,3.5758153281078924,[BOS]Cc1cc(C(=O)NC[C@H]2CCN(C(=O)C3(c4ccc(C(F)(F)F)cc4)CC3)[C@@H]2c2cccnc2)no1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,Cc1cc(C(=O)N2C3CCC2CC(NC(=O)c2cccc4c2OCCO4)C3)cc2cn[nH]c12,0.6441214679076313,4.179970577698723,[BOS]Cc1cc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cccc4c2OCCO4)C3)cc2cn[nH]c12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,CC1CC(NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)C(=O)N1c1cnn(C)c1,0.5039008538984477,3.349837156792222,[BOS]C[C@H]1C[C@@H](NC(=O)Cn2c3ccccc3c(=O)c3ccccc32)C(=O)N1c1cnn(C)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,CC1CCCN(c2nnc(Cc3ccc4ccccc4c3)n2CC2CCCS(=O)(=O)C2)CC1,0.5548326181204748,3.3828512442407277,[BOS]C[C@@H]1CCCN(c2nnc(Cc3ccc4ccccc4c3)n2C[C@@H]2CCCS(=O)(=O)C2)CC1[EOS][EOS],42
12.3,O=C(c1ccc2ncncc2c1)N1CC2COCC(C1)C2NC(=O)C1(c2ccc(Cl)cc2)CCCCC1,0.5535271221541901,4.331755803843377,[BOS]O=C(c1ccc2ncncc2c1)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)C1(c2ccc(Cl)cc2)CCCCC1[EOS][EOS],42
11.9,O=C(NC1C2COCC1CN(C(=O)C1CCCC1)C2)c1ccc2c(Br)cccc2c1O,0.6924538667160016,4.141912260319596,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)C1CCCC1)C2)c1ccc2c(Br)cccc2c1O[EOS][EOS][EOS][EOS],42
13.3,Cc1cccc(C)c1C(=O)N1CCOC2(COCCN(C(=O)CCc3cnc4ccccc4c3)C2)C1,0.5629028770489989,3.6479147305919595,[BOS]Cc1cccc(C)c1C(=O)N1CCO[C@]2(COCCN(C(=O)CCc3cnc4ccccc4c3)C2)C1[EOS],42
11.5,Cc1ccc(O)c(C(=O)NCC2OCC3CCN(C(=O)COc4ccc(O)cc4)CC32)c1,0.6348157573964325,3.4860000059590828,[BOS]Cc1ccc(O)c(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)COc4ccc(O)cc4)C[C@@H]32)c1[EOS],42
12.6,O=C1NCCc2c1ccc(NC(=O)C1CCN(S(=O)(=O)c3ccc4ccccc4c3)CC1)c2F,0.5978166440261135,2.489065469901208,[BOS]O=C1NCCc2c1ccc(NC(=O)C1CCN(S(=O)(=O)c3ccc4ccccc4c3)CC1)c2F[EOS][EOS][EOS][EOS][EOS],42
