rv,smi,qed,sa,cur_sentence,seed
12.0,O=C(Nc1cc(C2CCCO2)[nH]n1)C1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1,0.5172904528941563,3.4507707137426378,[BOS]O=C(Nc1cc([C@@H]2CCCO2)[nH]n1)[C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1[EOS],42
11.2,Cc1ccc(CNC(=O)N2CCCC(N3CCCCC3=O)C2)c(Oc2ccccc2)c1,0.7746267223346652,2.7291621591371396,[BOS]Cc1ccc(CNC(=O)N2CCC[C@H](N3CCCCC3=O)C2)c(Oc2ccccc2)c1[EOS],42
12.6,Cc1cc(F)cc(CC(=O)N2CCCCC2c2cc(NC(=O)C3CNc4ccccc43)n[nH]2)c1,0.5284769249151192,3.5311109929924704,[BOS]Cc1cc(F)cc(CC(=O)N2CCCC[C@H]2c2cc(NC(=O)[C@@H]3CNc4ccccc43)n[nH]2)c1[EOS],42
11.7,CC(C)(CNC(=O)NCc1ccc(C(=O)N2CCOCC2)cc1)c1ccc2ccccc2c1,0.6004582875098775,2.244351814628887,[BOS]CC(C)(CNC(=O)NCc1ccc(C(=O)N2CCOCC2)cc1)c1ccc2ccccc2c1[EOS],42
11.8,Cn1ccc2cc(-c3ccc4[nH]nc(N)c4c3)cc(C(=O)O)c2c1=O,0.5205281280600298,2.6020017856271913,[BOS]Cn1ccc2cc(-c3ccc4[nH]nc(N)c4c3)cc(C(=O)O)c2c1=O[EOS],42
12.1,CC1(C)CCc2[nH]c(=O)c(C(=O)Nc3cc(C4CCCC4)nn3-c3ccccc3)cc2C1,0.6122145165795028,2.751309066810652,[BOS]CC1(C)CCc2[nH]c(=O)c(C(=O)Nc3cc(C4CCCC4)nn3-c3ccccc3)cc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.1,Cc1ccc(-c2ccc(C(=O)NCc3nnc4c(C)cccn34)c(F)c2)cc1C,0.5640337804039742,2.294581807074696,[BOS]Cc1cccn2c(CNC(=O)c3ccc(-c4ccc(C)c(C)c4)cc3F)nnc12[EOS],42
11.3,Cc1cccc(Cn2cccc(C(=O)Nc3ccccc3-n3cnc(N(C)C)n3)c2=O)c1,0.5101318839937846,2.5356067128101376,[BOS]Cc1cccc(Cn2cccc(C(=O)Nc3ccccc3-n3cnc(N(C)C)n3)c2=O)c1[EOS],42
11.7,CC(NC(=O)N1CC=C(c2ccc3c(c2)OCCO3)CC1)C(c1ccccc1)c1ccccc1,0.5556601251426103,2.967824624880837,[BOS]C[C@@H](NC(=O)N1CC=C(c2ccc3c(c2)OCCO3)CC1)C(c1ccccc1)c1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,CC1CCCC(NC(=O)c2cccc(-c3cnc4[nH]c(=O)n(C)c4c3)c2)CC1,0.6832088180638229,3.1097229358129646,[BOS]C[C@@H]1CCC[C@@H](NC(=O)c2cccc(-c3cnc4[nH]c(=O)n(C)c4c3)c2)CC1[EOS],42
10.7,COc1cc(NC(=O)C(=O)NC2CC2c2cccc3ccccc23)cc(S(C)(=O)=O)c1,0.5967308205380869,3.0941150960789594,[BOS]COc1cc(NC(=O)C(=O)N[C@@H]2C[C@H]2c2cccc3ccccc23)cc(S(C)(=O)=O)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(NCc1cccc(N2CCCCS2(=O)=O)c1)Nc1ccccc1-c1ccccc1,0.6145158517014502,2.222526780525472,[BOS]O=C(NCc1cccc(N2CCCCS2(=O)=O)c1)Nc1ccccc1-c1ccccc1[EOS],42
12.3,O=C(Nc1ccccn1)C1CCCN(C(=O)c2cccc(NC(=O)C3Cc4ccccc4O3)c2)C1,0.5944076172497781,3.013395528600263,[BOS]O=C(Nc1cccc(C(=O)N2CCC[C@@H](C(=O)Nc3ccccn3)C2)c1)[C@@H]1Cc2ccccc2O1[EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(NCc1cccc(N2C(=O)NC3(CCCC3)C2=O)c1)C1CCC(=O)N(c2cccc(F)c2)C1,0.6448006637306539,3.451219589243429,[BOS]O=C(NCc1cccc(N2C(=O)NC3(CCCC3)C2=O)c1)[C@H]1CCC(=O)N(c2cccc(F)c2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,CC1(C)CCN(C(=O)C2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)CCS1(=O)=O,0.5990683970211323,3.3070063517768347,[BOS]CC1(C)CCN(C(=O)[C@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)CCS1(=O)=O[EOS],42
12.1,O=C(NCC(=O)N1CCc2ccccc2C1)NCc1cccc(NC(=O)c2ccc(Cl)cc2)c1,0.5023701788623678,2.132867277666344,[BOS]O=C(NCC(=O)N1CCc2ccccc2C1)NCc1cccc(NC(=O)c2ccc(Cl)cc2)c1[EOS],42
12.4,Cc1cc(C2CN(C(=O)c3ccc(-n4ccc(C(F)(F)F)n4)cc3)CCO2)ccc1F,0.5696350769513642,2.943563803699476,[BOS]Cc1cc(C2CN(C(=O)c3ccc(-n4ccc(C(F)(F)F)n4)cc3)CCO2)ccc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,CC1(C(=O)NCc2ccc(-c3ccc4c(c3)CCO4)cc2)CCN(C(=O)OCc2ccccc2)C1,0.5533874125594183,2.854981839591039,[BOS]C[C@]1(C(=O)NCc2ccc(-c3ccc4c(c3)CCO4)cc2)CCN(C(=O)OCc2ccccc2)C1[EOS],42
12.4,O=C(c1ccc(S(=O)(=O)NCc2ccnc(N3CCCCCC3=O)c2)cc1)N1CCCCC1,0.699400019990668,2.3351344866936667,[BOS]O=C(c1ccc(S(=O)(=O)NCc2ccnc(N3CCCCCC3=O)c2)cc1)N1CCCCC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
