rv,smi,qed,sa,cur_sentence,seed
13.1,Cc1ccc(-c2n[nH]c(=O)c3c2CC(=Cc2ccc(F)c(F)c2)C3=O)nc1N1CCCC(F)C1,0.5862786611456104,3.59283031718853,[BOS]Cc1ccc(-c2n[nH]c(=O)c3c2CC(=Cc2ccc(F)c(F)c2)C3=O)nc1N1CCC[C@@H](F)C1[EOS],42
11.3,Cc1cccc(C(=O)N2CCCC2C(=O)N2CCOC(c3ccc(F)c(F)c3)C2)c1,0.7728554875042292,3.034034141083062,[BOS]Cc1cccc(C(=O)N2CCC[C@@H]2C(=O)N2CCO[C@@H](c3ccc(F)c(F)c3)C2)c1[EOS],42
11.5,Cc1ccc(C(=O)N2CCC3COC(CNC(=O)C4CCc5ccccc5C4)C3C2)c(=O)[nH]1,0.7477955256768808,3.8932137639524447,[BOS]Cc1ccc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)[C@@H]4CCc5ccccc5C4)[C@H]3C2)c(=O)[nH]1[EOS],42
11.5,CC(=O)N1CC2CCCC(NC(=O)C(=O)Nc3cccc(-c4nnnn4C4CC4)c3)C2C1,0.6970482846068806,3.619785804775651,[BOS]CC(=O)N1C[C@@H]2CCC[C@H](NC(=O)C(=O)Nc3cccc(-c4nnnn4C4CC4)c3)[C@H]2C1[EOS],42
11.9,O=C(CC1C(=O)Nc2cc3ccccc3cc21)NC1CCc2ccccc2NC1=O,0.6313121889133315,3.2715199079733734,[BOS]O=C(C[C@H]1C(=O)Nc2cc3ccccc3cc21)N[C@@H]1CCc2ccccc2NC1=O[EOS],42
11.7,CC(=O)N1CCCC(c2noc(-c3cc(F)ccc3-c3cccc(C(F)(F)F)c3)n2)C1,0.5270968685183355,2.966139400516452,[BOS]CC(=O)N1CCC[C@H](c2noc(-c3cc(F)ccc3-c3cccc(C(F)(F)F)c3)n2)C1[EOS],42
10.9,O=C(Cn1ncc(=O)c2ccccc21)N1CCCCC1c1ccc(F)c(Br)c1,0.6127679240972701,2.8266296540435594,[BOS]O=C(Cn1ncc(=O)c2ccccc21)N1CCCC[C@@H]1c1ccc(F)c(Br)c1[EOS],42
10.8,CC1CC(c2ccc(F)cc2)CN1C(=O)C1CC(=O)N(C)C1c1ccc(F)cc1,0.7871686642435244,3.5548866369266525,[BOS]C[C@@H]1C[C@H](c2ccc(F)cc2)CN1C(=O)[C@@H]1CC(=O)N(C)[C@@H]1c1ccc(F)cc1[EOS][EOS][EOS][EOS],42
11.2,CC(NC(=O)c1cc2c(ccc3ccccc32)[nH]1)c1cccc(N2CCOC2=O)c1,0.5191392409254485,2.798315034692031,[BOS]C[C@H](NC(=O)c1cc2c(ccc3ccccc32)[nH]1)c1cccc(N2CCOC2=O)c1[EOS],42
10.9,Cc1ccc(-n2cnnn2)cc1N=Cc1c(O)ccc2ccc(F)cc12,0.5731693357516771,2.70660425869443,[BOS]Cc1ccc(-n2cnnn2)cc1/N=C/c1c(O)ccc2ccc(F)cc12[EOS],42
11.8,Cc1ccc(-c2nn(CCCN3C(=O)N=C(O)C4C5CCC(C5)C43)c(=O)c3ccccc23)cc1C,0.5758528936149466,4.629649498404886,[BOS]Cc1ccc(-c2nn(CCCN3C(=O)N=C(O)C4C5CCC(C5)C43)c(=O)c3ccccc23)cc1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,O=C(Nc1ccc(F)c(C(=O)c2ccccc2)c1)NC1CCc2ccc(O)cc2C1,0.5626991589326911,2.6457704846951167,[BOS]O=C(Nc1ccc(F)c(C(=O)c2ccccc2)c1)N[C@@H]1CCc2ccc(O)cc2C1[EOS],42
12.2,O=C(c1ccc2c(c1)CCCO2)N1CCOCC2(C1)CN(C(=O)c1cccc3ccccc13)CCO2,0.5543446613854831,3.5623898115342403,[BOS]O=C(c1ccc2c(c1)CCCO2)N1CCOC[C@@]2(C1)CN(C(=O)c1cccc3ccccc13)CCO2[EOS],42
12.2,CC1=Nc2cc(C(=O)N3CCC4(CC3)CNC(=O)c3ccccc3O4)ccc2S(=O)(=O)S1,0.6414022028370834,3.717703528446319,[BOS]Cc1nc2cc(C(=O)N3CCC4(CC3)CNC(=O)c5ccccc5O4)ccc2S(=O)(=O)s1[EOS],42
11.2,O=C(NCc1ccc2ccccc2c1)Nc1cccc(N2C(=O)COCC2=O)c1,0.671622556749347,2.2170643720706753,[BOS]O=C(NCc1ccc2ccccc2c1)Nc1cccc(N2C(=O)COCC2=O)c1[EOS],42
11.6,Cc1cc(C)cc(C(=O)N2CCCC(C(=O)Nc3cccc(-c4nnc5n4CCCCC5)c3)C2)c1,0.5939132220560267,2.8637132494741095,[BOS]Cc1cc(C)cc(C(=O)N2CCC[C@@H](C(=O)Nc3cccc(-c4nnc5n4CCCCC5)c3)C2)c1[EOS],42
11.6,Cc1cc(=O)[nH]c2cc(C(=O)NCC(=O)Nc3cccc4ccccc34)ccc12,0.5030543376524887,2.0793931884350343,[BOS]Cc1cc(=O)[nH]c2cc(C(=O)NCC(=O)Nc3cccc4ccccc34)ccc12[EOS],42
