rv,smi,qed,sa,cur_sentence,seed
12.0,O=C(c1cnn2ccccc12)N1CCC(OC2CCN(C(=O)C3Cc4ccccc4C3)CC2)CC1,0.5841115536004166,2.7400587976661015,[BOS]O=C(c1cnn2ccccc12)N1CCC(OC2CCN(C(=O)C3Cc4ccccc4C3)CC2)CC1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,CC1Cc2cc(-c3ccc(CNC(=O)c4cccc5c4OC(C)C(=O)N5)cc3)ccc2O1,0.6487087737817134,3.173107392743563,[BOS]C[C@H]1Oc2c(cccc2C(=O)NCc2ccc(-c3ccc4c(c3)C[C@H](C)O4)cc2)NC1=O[EOS],42
13.3,O=C(Cc1ccc2c(c1)CCC2)N1CCCC2(CCN(C(=O)C3Cc4ccccc4C3)CC2)C1,0.6884572876304358,3.0722689325731443,[BOS]O=C(Cc1ccc2c(c1)CCC2)N1CCCC2(CCN(C(=O)C3Cc4ccccc4C3)CC2)C1[EOS],42
11.7,Cc1cncc(C(=O)N2CCC(OC3CCN(C(=O)C4CCCC5CCCCC54)CC3)CC2)c1,0.6488201798615605,3.639279541954042,[BOS]Cc1cncc(C(=O)N2CCC(OC3CCN(C(=O)[C@@H]4CCC[C@H]5CCCC[C@H]54)CC3)CC2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1cc2c(cc1C)OC(C(=O)Nc1ccc3occc3c1-c1ccco1)C2,0.5324963901543684,3.084541384812791,[BOS]Cc1cc2c(cc1C)O[C@H](C(=O)Nc1ccc3occc3c1-c1ccco1)C2[EOS],42
12.2,Cc1ccc(C(NC(=O)NCC2CCc3ccccc32)c2cccc(S(C)(=O)=O)c2)c(C)c1,0.5511933972902308,3.1539672492035082,[BOS]Cc1ccc([C@@H](NC(=O)NC[C@H]2CCc3ccccc32)c2cccc(S(C)(=O)=O)c2)c(C)c1[EOS],42
11.8,Cc1cc(C)cc(CCC(=O)NC2CC3CCC(C2)N3C(=O)c2cccc3c2NC(=O)C3=O)c1,0.6708012244394327,4.120804374723621,[BOS]Cc1cc(C)cc(CCC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cccc3c2NC(=O)C3=O)c1[EOS][EOS][EOS],42
12.7,Cc1ccc(C)c(OCC(=O)N2CCC(C3CCCCN3C(=O)c3ccc4c(c3)CC(=O)N4)CC2)c1,0.685682193877111,2.9866004343034973,[BOS]Cc1ccc(C)c(OCC(=O)N2CCC([C@H]3CCCCN3C(=O)c3ccc4c(c3)CC(=O)N4)CC2)c1[EOS],42
11.4,Cc1nc(-c2ccc(C)c(NC(=O)NC3CCCC(c4ccccc4)C3)c2)n[nH]1,0.591140918895588,3.0212817137704286,[BOS]Cc1nc(-c2ccc(C)c(NC(=O)N[C@@H]3CCC[C@@H](c4ccccc4)C3)c2)n[nH]1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,N#Cc1cc(CC(=O)N2CCC3(CN(C(=O)CCc4ccc5[nH]c(N)cc5c4)CCCO3)C2)ccc1F,0.5550658658421049,3.9090691241942626,[BOS]N#Cc1cc(CC(=O)N2CC[C@]3(CN(C(=O)CCc4ccc5[nH]c(N)cc5c4)CCCO3)C2)ccc1F[EOS],42
