rv,smi,qed,sa,cur_sentence,seed
12.1,O=C(NCc1ccc(N2CCCCC2=O)cc1)c1cn[nH]c1-c1ccc2c(c1)OCCO2,0.6449680290920787,2.432773526356657,[BOS]O=C(NCc1ccc(N2CCCCC2=O)cc1)c1cn[nH]c1-c1ccc2c(c1)OCCO2[EOS],42
12.0,Cc1cnn(-c2ccc(C(=O)N3CCCCC3c3nnc4n3CCCC4)cc2)c1C(F)(F)F,0.5798773040941493,3.206814165417315,[BOS]Cc1cnn(-c2ccc(C(=O)N3CCCC[C@H]3c3nnc4n3CCCC4)cc2)c1C(F)(F)F[EOS],42
11.8,O=C(NCc1cccc(NC(=O)C2CCCC2)c1)C1=NN(Cc2ccccc2)C(=O)CC1,0.7002505370407515,2.2865061592693863,[BOS]O=C(NCc1cccc(NC(=O)C2CCCC2)c1)C1=NN(Cc2ccccc2)C(=O)CC1[EOS],42
11.6,CC1CC(NC(=O)C2CCCN2C(=O)Nc2ccc3c(c2)OCCO3)CC(c2ccccc2)C1,0.6976161387318627,3.4886976019232385,[BOS]C[C@@H]1C[C@H](NC(=O)[C@@H]2CCCN2C(=O)Nc2ccc3c(c2)OCCO3)C[C@H](c2ccccc2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(CC(Cc1ccccc1)c1ccccc1)NCc1ccc2c(c1)C(=O)NCC2,0.6318957627917611,2.6650349707904173,[BOS]O=C(C[C@H](Cc1ccccc1)c1ccccc1)NCc1ccc2c(c1)C(=O)NCC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(Nc1cccc(C(=O)N2CCCC3CCCC32)c1)c1ncn(-c2cccc(F)n2)n1,0.6350867340721028,3.368965365556164,[BOS]O=C(Nc1cccc(C(=O)N2CCCC3CCCC32)c1)c1ncn(-c2cccc(F)n2)n1[EOS],42
11.7,O=C(C1CC1c1ccc2ccccc2c1)N1CCCCC1C1CCCCC1O,0.8284364813548561,3.5588094635803538,[BOS]O=C([C@@H]1C[C@@H]1c1ccc2ccccc2c1)N1CCCC[C@@H]1[C@@H]1CCCC[C@@H]1O[EOS],42
11.8,Cc1c(NC(=O)NC(C)c2ccc(N3CCCCC3=O)cc2)noc1-c1ccccc1F,0.5762905706077603,2.9816556839830906,[BOS]Cc1c(NC(=O)N[C@@H](C)c2ccc(N3CCCCC3=O)cc2)noc1-c1ccccc1F[EOS],42
11.8,O=C(Cc1ccc2ccccc2c1)NC1C2COCC1CN(C(=O)C1CC(=O)N(Cc3ccccc3)C1)C2,0.5520097661821748,4.2507299582958,[BOS]O=C1C[C@@H](C(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)Cc2ccc3ccccc3c2)CN1Cc1ccccc1[EOS],42
12.4,Fc1cc(-c2cnc3[nH]ccc3c2F)cc(C(F)(F)F)c1OC1CCC2(CC1)OCCO2,0.5244412043517426,3.625535312047333,[BOS]Fc1cc(-c2cnc3[nH]ccc3c2F)cc(C(F)(F)F)c1OC1CCC2(CC1)OCCO2[EOS],42
13.2,O=C(c1ccc(Cc2ccc(C(=O)N3CCc4cccc(O)c4CC3)cc2)c(F)c1)N1CCCCC1,0.5653523488591636,2.3467192396408176,[BOS]O=C(c1ccc(Cc2ccc(C(=O)N3CCCCC3)cc2F)cc1)N1CCc2cccc(O)c2CC1[EOS],42
11.5,Cc1ccc(NC(=O)c2cccc(OS(=O)(=O)C3CCc4ccccc4C3)c2)cc1,0.6152928840671642,2.7657087673427014,[BOS]Cc1ccc(NC(=O)c2cccc(OS(=O)(=O)[C@@H]3CCc4ccccc4C3)c2)cc1[EOS],42
12.0,Cc1cccc(C2=CCN(C(=O)c3cc(-c4ccc5c(c4)CCC5)no3)CC2)c1F,0.6043690923668533,2.650994987645353,[BOS]Cc1cccc(C2=CCN(C(=O)c3cc(-c4ccc5c(c4)CCC5)no3)CC2)c1F[EOS],42
12.1,O=C(Nc1cccc(C(=O)N2CCCNC(=O)C2Cc2ccccc2)c1)C1Cc2ccccc2O1,0.6008607481395829,3.095424487876281,[BOS]O=C(Nc1cccc(C(=O)N2CCCNC(=O)[C@H]2Cc2ccccc2)c1)[C@H]1Cc2ccccc2O1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.3,Cc1cc(C2CCCN2C(=O)NC(C)c2cccc(NC(=O)Cc3ccccc3F)c2)on1,0.5585801531889674,3.127285368626982,[BOS]Cc1cc([C@H]2CCCN2C(=O)N[C@@H](C)c2cccc(NC(=O)Cc3ccccc3F)c2)on1[EOS],42
