rv,smi,qed,sa,cur_sentence,seed
12.8,Cc1c(C(=O)NC2CC3CCC(C2)N3C(=O)CC2CNc3ccccc3O2)cccc1C(F)(F)F,0.6651096052510294,4.418899284589536,[BOS]Cc1c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)C[C@H]2CNc3ccccc3O2)cccc1C(F)(F)F[EOS],42
11.6,Cn1c(C2CCCCN2C(=O)CN2C(=O)NC3(CCc4ccccc43)C2=O)nc2ccccc21,0.6127613515212431,3.7356376117925194,[BOS]Cn1c([C@@H]2CCCCN2C(=O)CN2C(=O)N[C@@]3(CCc4ccccc43)C2=O)nc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,Cc1ccc2nc(C)c(C(=O)N3CC(C(=O)N4CCC(O)CC4)Oc4ccccc43)cc2c1,0.6548774657268253,2.97783707867427,[BOS]Cc1ccc2nc(C)c(C(=O)N3C[C@H](C(=O)N4CCC(O)CC4)Oc4ccccc43)cc2c1[EOS][EOS][EOS][EOS][EOS][EOS],42
13.4,Cc1ccc2nc(C(=O)N3CCC4OCCCC4(CNC(=O)C4CCc5ccccc5C4)C3)ccc2c1,0.5772131269571571,3.8372735992789284,[BOS]Cc1ccc2nc(C(=O)N3CC[C@H]4OCCC[C@@]4(CNC(=O)[C@@H]4CCc5ccccc5C4)C3)ccc2c1[EOS][EOS][EOS][EOS],42
12.0,Cc1cccc(N2CCCC3(C2)CN(S(=O)(=O)c2ccc4oc(=O)ccc4c2)CCO3)c1,0.565870195334586,3.571082934401879,[BOS]Cc1cccc(N2CCC[C@@]3(C2)CN(S(=O)(=O)c2ccc4oc(=O)ccc4c2)CCO3)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.4,CCc1cc(NC(=O)N2CCn3c(C4CCCC4)nnc3C2C)c2ccccc2n1,0.6890615022528952,3.1538285625434916,[BOS]CCc1cc(NC(=O)N2CCn3c(C4CCCC4)nnc3[C@@H]2C)c2ccccc2n1[EOS],42
12.7,Cc1ccc(CCC(=O)N2CCC3OCCCC3(CNC(=O)CC3CC4CCC3C4)C2)c2ccccc12,0.5499658636375312,4.877231951685813,[BOS]Cc1ccc(CCC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)C[C@@H]3C[C@@H]4CC[C@H]3C4)C2)c2ccccc12[EOS][EOS][EOS][EOS],42
12.3,O=C(Cc1cc2ccccc2c(=O)[nH]1)N1CCN(c2ncnc3ccsc23)CC1,0.5661086497112213,2.554174604779144,[BOS]O=C(Cc1cc2ccccc2c(=O)[nH]1)N1CCN(c2ncnc3ccsc23)CC1[EOS],42
13.0,O=C(NCC1OCC2CCN(C(=O)Cc3ccc4ncccc4c3)CC21)C1CCc2ccccc2C1,0.6024863921639093,3.794183066120141,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3ccc4ncccc4c3)C[C@@H]21)[C@H]1CCc2ccccc2C1[EOS],42
11.8,O=S(=O)(c1ccc2ncccc2c1)N1Cc2ccccc2C(c2ccccc2)C1,0.5061086655129637,2.6322204811283676,[BOS]O=S(=O)(c1ccc2ncccc2c1)N1Cc2ccccc2[C@H](c2ccccc2)C1[EOS],42
