rv,smi,qed,sa,cur_sentence,seed
12.1,N#Cc1cccc(CCC(=O)N2CCC3COC(CNC(=O)Cc4ccc5ccccc5c4)C3C2)c1,0.5555242462154624,3.5514142403130062,[BOS]N#Cc1cccc(CCC(=O)N2CC[C@H]3CO[C@@H](CNC(=O)Cc4ccc5ccccc5c4)[C@H]3C2)c1[EOS],42
13.0,Cc1cccc(C(=O)N2CCCCC2c2cc(C(=O)N3CCCc4c(C)ccnc43)[nH]n2)c1C,0.6185685572033802,3.3349842426445164,[BOS]Cc1cccc(C(=O)N2CCCC[C@H]2c2cc(C(=O)N3CCCc4c(C)ccnc43)[nH]n2)c1C[EOS],42
12.3,CC1Cc2cc(-c3ccc(Cn4nnnc4N4CCCC(C(N)=O)C4)cc3)ccc2O1,0.6831580781265588,3.267846979368084,[BOS]C[C@@H]1Cc2cc(-c3ccc(Cn4nnnc4N4CCC[C@@H](C(N)=O)C4)cc3)ccc2O1[EOS],42
11.9,Cc1cn(CC(=O)N2c3ccccc3CC2C)c(=O)n(-c2cccc(C(F)(F)F)c2)c1=O,0.6241446118927023,3.0158868412873234,[BOS]Cc1cn(CC(=O)N2c3ccccc3C[C@H]2C)c(=O)n(-c2cccc(C(F)(F)F)c2)c1=O[EOS][EOS][EOS][EOS][EOS],42
13.3,CC(C(=O)N1CC(=O)c2ccccc2C1)c1ccc(N2Cc3ccccc3C2)c2c1C1COCCN1C2=O,0.5348649353543434,3.8050044174776847,[BOS]C[C@@H](C(=O)N1Cc2ccccc2C(=O)C1)c1ccc(N2Cc3ccccc3C2)c2c1C1COCCN1C2=O[EOS],42
11.7,CC(CC(=O)Nc1n[nH]c2ccc(F)cc12)N1CCc2cc(-c3ccncc3)ccc21,0.5017744327636762,3.0469375437525255,[BOS]C[C@@H](CC(=O)Nc1n[nH]c2ccc(F)cc12)N1CCc2cc(-c3ccncc3)ccc21[EOS],42
12.2,Cc1cc(F)ccc1C(=O)N1CCC(OC2CCN(C(=O)c3ccc4c(n3)OCCO4)CC2)CC1,0.6644273980657798,2.7825318845715064,[BOS]Cc1cc(F)ccc1C(=O)N1CCC(OC2CCN(C(=O)c3ccc4c(n3)OCCO4)CC2)CC1[EOS],42
11.5,Cn1ccc2c(NC(=O)C(=O)NC3CCOC4(CCCCC4)C3)cccc2c1=O,0.7621590536294303,3.5623292653988674,[BOS]Cn1ccc2c(NC(=O)C(=O)N[C@H]3CCOC4(CCCCC4)C3)cccc2c1=O[EOS],42
12.0,O=C(NCC12CCCOC1CCN(C(=O)C1(c3ccccc3F)CC1)C2)c1[nH]cnc1-c1cccnc1,0.5366897564486348,4.01860552592097,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)C1(c3ccccc3F)CC1)C2)c1[nH]cnc1-c1cccnc1[EOS][EOS][EOS],42
12.6,O=C(c1cccc(N2CCOCC2)c1)N1CCC2(CC1)Cc1ccccc1CN(CC(F)(F)F)C2=O,0.6406200638782992,3.128090650883034,[BOS]O=C(c1cccc(N2CCOCC2)c1)N1CCC2(CC1)Cc1ccccc1CN(CC(F)(F)F)C2=O[EOS],42
11.6,Cc1ccncc1CCC(=O)NC1CCc2nc(NC(=O)C3CCc4ccccc43)sc2C1,0.5795873135970117,3.422214705779192,[BOS]Cc1ccncc1CCC(=O)N[C@@H]1CCc2nc(NC(=O)[C@@H]3CCc4ccccc43)sc2C1[EOS][EOS][EOS][EOS],42
12.8,O=C(Nc1cccc2c1OCCC2=O)C(=O)N1Cc2ccccc2OCC12CCCN2Cc1ccccc1,0.5350851238413545,3.957969135752567,[BOS]O=C(Nc1cccc2c1OCCC2=O)C(=O)N1Cc2ccccc2OC[C@]12CCCN2Cc1ccccc1[EOS],42
13.4,O=C(CCN1Cc2ccccc2-c2ccccc2C1)N1CC2CCC1CN2C(=O)N1CCCCCC1F,0.5513964656560895,4.49777995196769,[BOS]O=C(CCN1Cc2ccccc2-c2ccccc2C1)N1C[C@@H]2CC[C@H]1CN2C(=O)N1CCCCCC1F[EOS],42
12.0,Cc1ccc(-c2ccc(C(=O)N3CCCC4(CC(C(=O)NCc5ccncc5)=NO4)C3)cc2C)cc1,0.5830813727698667,3.5257663578108955,[BOS]Cc1ccc(-c2ccc(C(=O)N3CCC[C@@]4(CC(C(=O)NCc5ccncc5)=NO4)C3)cc2C)cc1[EOS],42
11.7,Cc1ccc2nc(C(=O)N3CCN(c4cccc5cnccc45)CC3C)ccc2c1,0.5025397678116807,2.8123155651960126,[BOS]Cc1ccc2nc(C(=O)N3CCN(c4cccc5cnccc45)C[C@@H]3C)ccc2c1[EOS],42
12.1,Cc1ccc2cc(C(=O)NCC34CCCOC3CCN(C(=O)C3(F)CCCCC3(F)F)C4)ccc2n1,0.6628080910713463,4.338843341799757,[BOS]Cc1ccc2cc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)[C@]3(F)CCCCC3(F)F)C4)ccc2n1[EOS][EOS][EOS],42
11.7,Cc1cccc(C)c1-n1nnnc1CNc1cccc2c1oc(=O)n2C,0.6073968079965049,2.7016590112931826,[BOS]Cc1cccc(C)c1-n1nnnc1CNc1cccc2c1oc(=O)n2C[EOS],42
12.2,O=S(=O)(c1ccc(F)c2ccccc12)N1CCc2ncnc(N3CCCCC3)c2CC1,0.6232321980027965,2.4892113959100897,[BOS]O=S(=O)(c1ccc(F)c2ccccc12)N1CCc2ncnc(N3CCCCC3)c2CC1[EOS],42
12.8,Cc1ccc(CCC(=O)N2CCC3(CC2)OC(=O)c2nccnc23)c2c1OC(C)(C)CCC1(CC1)OC2,0.5710090916660152,4.558486807788259,[BOS]Cc1ccc(CCC(=O)N2CCC3(CC2)OC(=O)c2nccnc23)c2c1OC(C)(C)CCC1(CC1)OC2[EOS],42
13.0,Cc1cc(F)c2[nH]c(=O)cc(-c3nc(-c4cccc5c4NC(=O)CC5C)nn3C)c2c1,0.5176456871016236,3.5216470928241437,[BOS]Cc1cc(F)c2[nH]c(=O)cc(-c3nc(-c4cccc5c4NC(=O)C[C@@H]5C)nn3C)c2c1[EOS],42
11.6,Cc1ccc(-n2cc(C)cn2)c(NC(=O)N(C)CC(=O)N2c3ccccc3NC(=O)CC2C)c1,0.6198739269581461,3.119186187633872,[BOS]Cc1ccc(-n2cc(C)cn2)c(NC(=O)N(C)CC(=O)N2c3ccccc3NC(=O)C[C@H]2C)c1[EOS],42
11.6,O=C1NCCN(C(=O)Cc2cc3ccccc3c(=O)[nH]2)C1c1ccc(C(F)(F)F)cc1,0.6719231888699808,3.0054863501185745,[BOS]O=C1NCCN(C(=O)Cc2cc3ccccc3c(=O)[nH]2)[C@@H]1c1ccc(C(F)(F)F)cc1[EOS],42
11.9,O=C(NCC1(OCc2cccc3c2CCOC3)CCOCC1)c1cc(Cl)c2c(c1)CCCCO2,0.6461747021947054,3.134530938576864,[BOS]O=C(NCC1(OCc2cccc3c2CCOC3)CCOCC1)c1cc(Cl)c2c(c1)CCCCO2[EOS],42
11.6,Cc1n[nH]c(C)c1S(=O)(=O)N1CCCC(C(=O)NCc2ccc3c(c2)C(=O)NCC3)C1,0.6341081276842944,3.0934173846013326,[BOS]Cc1n[nH]c(C)c1S(=O)(=O)N1CCC[C@@H](C(=O)NCc2ccc3c(c2)C(=O)NCC3)C1[EOS],42
12.0,CC1CCCc2cc(-c3noc(C4CC(=O)N(c5ccc(F)c(F)c5)C4)n3)c(=O)[nH]c21,0.6901073249664523,3.6393135527946576,[BOS]C[C@H]1CCCc2cc(-c3noc([C@H]4CC(=O)N(c5ccc(F)c(F)c5)C4)n3)c(=O)[nH]c21[EOS],42
13.1,O=C(C1CC(=O)N(c2cccc3ccccc23)C1)N1CCC2(CCc3ccccc3O2)C1,0.6175068656049888,3.6329775489827814,[BOS]O=C([C@@H]1CC(=O)N(c2cccc3ccccc23)C1)N1CC[C@]2(CCc3ccccc3O2)C1[EOS],42
11.9,Cc1ccc2ccncc2c1NC(=O)Cc1cc(=O)oc2cc3c(cc12)OCO3,0.5398635057220744,2.5516088775651813,[BOS]Cc1ccc2ccncc2c1NC(=O)Cc1cc(=O)oc2cc3c(cc12)OCO3[EOS],42
12.0,CC(C)c1c(C(=O)N2CCCC(c3nnc4n3CCC4)C2)cnn1-c1ccc(C(F)(F)F)cn1,0.5729092391947733,3.3003029133423762,[BOS]CC(C)c1c(C(=O)N2CCC[C@@H](c3nnc4n3CCC4)C2)cnn1-c1ccc(C(F)(F)F)cn1[EOS][EOS][EOS],42
