rv,smi,qed,sa,cur_sentence,seed
9.9,O=C(c1ccc2c(c1)OCC(O)=N2)N1CCc2cc(-c3ccccc3Cl)oc2C1=O,0.616987495599023,3.081221081038727,[BOS]O=C(c1ccc2c(c1)OCC(O)=N2)N1CCc2cc(-c3ccccc3Cl)oc2C1=O[EOS],42
9.1,Cc1ccc(C(=O)N2CCC(OC3CCN(C(=O)c4cn(C)nc4C(F)(F)F)CC3)CC2)c(O)c1,0.7043533318874873,2.785136267388852,[BOS]Cc1ccc(C(=O)N2CCC(OC3CCN(C(=O)c4cn(C)nc4C(F)(F)F)CC3)CC2)c(O)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.6,Cc1noc(CC(NC(=O)NC2CCC(c3ccc(F)cc3)CC2)c2ccccc2)n1,0.5964759623043564,2.808326774521756,[BOS]Cc1noc(C[C@@H](NC(=O)NC2CCC(c3ccc(F)cc3)CC2)c2ccccc2)n1[EOS],42
9.5,O=C(Nc1cncc(F)c1)NC(COc1cccc(F)c1)c1cccc(C(F)(F)F)c1,0.5133583425411545,2.8437680477313076,[BOS]O=C(Nc1cncc(F)c1)N[C@@H](COc1cccc(F)c1)c1cccc(C(F)(F)F)c1[EOS],42
10.0,Cc1nccc(C(=O)NCC23CCCOC2CCN(C(=O)c2cccnc2-c2cccc(F)c2)C3)n1,0.5899273032606661,3.735667012447924,[BOS]Cc1nccc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2cccnc2-c2cccc(F)c2)C3)n1[EOS][EOS][EOS][EOS],42
10.1,CNC(=O)c1cccc(NC(=O)NC2(c3noc(C4CCCO4)n3)CCCCCC2)c1C,0.6045654077732056,3.231903943750078,[BOS]CNC(=O)c1cccc(NC(=O)NC2(c3noc([C@@H]4CCCO4)n3)CCCCCC2)c1C[EOS],42
9.7,O=C(NCC1OCC2CCN(C(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)CC21)c1ccncn1,0.5590896961599052,3.8666755806590114,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3ccc4c(c3)C(=O)c3ccccc3CO4)C[C@@H]21)c1ccncn1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.4,Cc1ccc(O)c(C(=O)NCC23CCCOC2CCN(C(=O)c2ncccc2-c2ccccc2)C3)c1,0.5651365190581322,3.5425770716195215,[BOS]Cc1ccc(O)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ncccc2-c2ccccc2)C3)c1[EOS][EOS][EOS][EOS],42
10.4,OC1(CNc2nc(-c3ccncc3)nc3ccccc23)CC2CCC1c1ccccc12,0.5025682509713233,4.233433422210146,[BOS]O[C@]1(CNc2nc(-c3ccncc3)nc3ccccc23)C[C@H]2CC[C@H]1c1ccccc12[EOS],42
10.0,O=C(NCc1cc2ccccc2[nH]1)c1nn(-c2ccc(F)c(F)c2)c2c1CCCC2=O,0.5221607216709796,2.6212081115539956,[BOS]O=C(NCc1cc2ccccc2[nH]1)c1nn(-c2ccc(F)c(F)c2)c2c1CCCC2=O[EOS],42
9.9,O=C(NCC1OCC2CCN(C(=O)c3ccc(N4CCOCC4)cc3)CC21)C1CNc2ccccc21,0.6696269287769212,3.882419640866149,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3ccc(N4CCOCC4)cc3)C[C@@H]21)[C@H]1CNc2ccccc21[EOS][EOS][EOS][EOS][EOS],42
10.7,CC1Oc2ccc(C(=O)N3CCOC4(CCN(C(=O)c5cc(F)cc(F)c5F)C4)C3)cc2NC1=O,0.6557076746003134,4.051380158296979,[BOS]C[C@H]1Oc2ccc(C(=O)N3CCO[C@@]4(CCN(C(=O)c5cc(F)cc(F)c5F)C4)C3)cc2NC1=O[EOS],42
10.2,O=C(CN1C(=O)NC2(CCCCc3ccccc32)C1=O)NC1(c2ccc3c(c2)OCCO3)CCCC1,0.6409525163765086,3.656434020532788,[BOS]O=C(CN1C(=O)N[C@]2(CCCCc3ccccc32)C1=O)NC1(c2ccc3c(c2)OCCO3)CCCC1[EOS],42
9.4,O=C(Nc1ccc(-c2ccccc2)nn1)NC(Cn1cccn1)c1ccccc1,0.527922457345903,2.702328994229493,[BOS]O=C(Nc1ccc(-c2ccccc2)nn1)N[C@@H](Cn1cccn1)c1ccccc1[EOS],42
10.5,O=C(NC1CN(c2ccc(Nc3ccccc3)nn2)CC2CCCOC21)c1ccc(O)cc1F,0.5327786680259466,3.6264613601358597,[BOS]O=C(N[C@@H]1CN(c2ccc(Nc3ccccc3)nn2)C[C@@H]2CCCO[C@@H]21)c1ccc(O)cc1F[EOS],42
9.3,CC(C)n1nccc1C1OCCC1NC(=O)Nc1ccc(-c2cnn(C)c2)nn1,0.684434880695041,3.814899541123797,[BOS]CC(C)n1nccc1[C@@H]1OCC[C@H]1NC(=O)Nc1ccc(-c2cnn(C)c2)nn1[EOS],42
10.5,Cn1[nH]c(C(=O)Nc2cc(C3CCCCN3C(=O)C3C4Sc5ccccc5C43)[nH]n2)cc1=O,0.5489956867977658,4.390560322656899,[BOS]Cn1[nH]c(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3[C@@H]4Sc5ccccc5[C@@H]43)[nH]n2)cc1=O[EOS],42
9.6,O=C1Nc2ccccc2CCC1Sc1cc(C(F)(F)F)nc(-c2ccncc2)n1,0.6321903899151371,3.2029700313655143,[BOS]FC(F)(F)c1cc(S[C@@H]2CCc3ccccc3NC2=O)nc(-c2ccncc2)n1[EOS],42
9.2,CC1CN(c2cc(CN=Cc3cc4ccccc4[nH]c3=O)ccn2)CC(C)O1,0.7103120539820602,3.4245839828215114,[BOS]C[C@H]1CN(c2cc(C/N=C/c3cc4ccccc4[nH]c3=O)ccn2)C[C@H](C)O1[EOS],42
10.0,c1ccc2c(N3CCC(C4CCCC4)C3)nc(-c3ccncn3)nc2c1,0.7150770367203947,2.845169246773551,[BOS]c1ccc2c(N3CC[C@H](C4CCCC4)C3)nc(-c3ccncn3)nc2c1[EOS],42
9.7,Cc1c(Cl)cccc1C(=O)N1CCCC2(CCN(C(=O)CCCn3c(=O)[nH]c4ccccc43)CC2)C1,0.5460376183559301,3.081888858500659,[BOS]Cc1c(Cl)cccc1C(=O)N1CCCC2(CCN(C(=O)CCCn3c(=O)[nH]c4ccccc43)CC2)C1[EOS],42
10.6,O=C(c1cccc(N2CCOCC2)c1)N1Cc2ccccc2C2(CCN(c3ncc(F)cn3)CC2)C1,0.5622670003305404,3.1625680178282325,[BOS]O=C(c1cccc(N2CCOCC2)c1)N1Cc2ccccc2C2(CCN(c3ncc(F)cn3)CC2)C1[EOS],42
9.5,CC(C)(C)c1ncccc1C(=O)NCC12CCCOC1CCN(C(=O)c1nnc(-c3ccccc3)o1)C2,0.5626875564551354,3.824657143462307,[BOS]CC(C)(C)c1ncccc1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1nnc(-c3ccccc3)o1)C2[EOS],42
9.1,Cn1cnc2c(N3CCC(F)(F)C4(CCN(c5cnccn5)C4)C3)ncnc21,0.6657483377739266,4.209251293338988,[BOS]Cn1cnc2c(N3CCC(F)(F)[C@]4(CCN(c5cnccn5)C4)C3)ncnc21[EOS],42
9.5,Cc1nc(C(=O)N2CCN(C(=O)OCc3ccccc3)C3(C2)CC(C)(C)CC(C)(C)C3)sc1C,0.5510253376814651,3.5553558491034227,[BOS]Cc1nc(C(=O)N2CCN(C(=O)OCc3ccccc3)C3(CC(C)(C)CC(C)(C)C3)C2)sc1C[EOS],42
10.5,CC(NC(=O)NC1CC(C)(C)c2ccccc21)c1ccc2c(c1)CCC(=O)N2,0.7439695969972833,3.2515939362998196,[BOS]C[C@H](NC(=O)N[C@H]1CC(C)(C)c2ccccc21)c1ccc2c(c1)CCC(=O)N2[EOS],42
9.6,CC(NC(=O)c1ccccn1)C(=O)N1CCCCC1C1CC(NC(=O)c2cc3c(s2)CCCC3)N=N1,0.6211524043437865,4.207568831443352,[BOS]C[C@H](NC(=O)c1ccccn1)C(=O)N1CCCC[C@H]1C1CC(NC(=O)c2cc3c(s2)CCCC3)N=N1[EOS],42
9.2,CC1(c2cccc(-c3noc(-c4cccc(NC(=O)C5CCCO5)c4)n3)c2)NC(=O)NC1=O,0.5116205366859908,3.328023511447207,[BOS]C[C@@]1(c2cccc(-c3noc(-c4cccc(NC(=O)[C@H]5CCCO5)c4)n3)c2)NC(=O)NC1=O[EOS][EOS][EOS],42
9.2,O=C(c1cn[nH]c1)N1CC2CCCC(C1)N2C(=O)C1CCCCCCC1,0.8835185662496251,3.9619553527359237,[BOS]O=C(c1cn[nH]c1)N1C[C@H]2CCC[C@@H](C1)N2C(=O)C1CCCCCCC1[EOS][EOS][EOS][EOS][EOS],42
10.4,Cc1cc2nc(C(=O)NCC3OCC4CCN(C(=O)c5ccc6c(c5)CC(=O)N6)CC43)[nH]c2cc1C,0.52315284550097,3.904801936888278,[BOS]Cc1cc2nc(C(=O)NC[C@@H]3OC[C@@H]4CCN(C(=O)c5ccc6c(c5)CC(=O)N6)C[C@@H]43)[nH]c2cc1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.1,O=C(Cc1cnccn1)Nc1cc(C2CCCCN2C(=O)Cc2ccccc2O)[nH]n1,0.5624399537757238,3.11723292836791,[BOS]O=C(Cc1cnccn1)Nc1cc([C@@H]2CCCCN2C(=O)Cc2ccccc2O)[nH]n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.6,N#Cc1cc(CC(=O)N2CCCCC2C2CCN(C(=O)C3(C(=O)Nc4ccccc4)CC3)CC2)ccc1F,0.580310892732027,3.179577499344642,[BOS]N#Cc1cc(CC(=O)N2CCCC[C@H]2C2CCN(C(=O)C3(C(=O)Nc4ccccc4)CC3)CC2)ccc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,Cc1noc(-c2ccccc2)c1C(=O)N1CCC(OC2CCN(C(=O)c3c[nH]c(=O)[nH]c3=O)CC2)CC1,0.5375804505818412,2.846675173937548,[BOS]Cc1noc(-c2ccccc2)c1C(=O)N1CCC(OC2CCN(C(=O)c3c[nH]c(=O)[nH]c3=O)CC2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,Cn1ccc(=O)cc1C(=O)Nc1cc(C2CCCCN2C(=O)C2CC23C(=O)Nc2ccccc23)[nH]n1,0.5213158631191267,4.455870653812117,[BOS]Cn1ccc(=O)cc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2C[C@@]23C(=O)Nc2ccccc23)[nH]n1[EOS],42
10.2,O=C(Cc1cc2cccnc2cc1F)N1CCOCC2(C1)CN(C(=O)c1c[nH]c(=O)[nH]1)CCO2,0.5828511562542978,3.975465099253884,[BOS]O=C(Cc1cc2cccnc2cc1F)N1CCOC[C@]2(C1)CN(C(=O)c1c[nH]c(=O)[nH]1)CCO2[EOS][EOS][EOS][EOS][EOS][EOS],42
9.3,Cc1nc(CNC(=O)C(=O)N2Cc3ccccc3C(F)(F)C2)nc2ccccc12,0.6761712505879623,2.784939968425542,[BOS]Cc1nc(CNC(=O)C(=O)N2Cc3ccccc3C(F)(F)C2)nc2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,O=C1NCC2(CCN(C(=O)c3csc(-c4ccc5c(c4)OCO5)n3)CC2)Oc2ccccc21,0.6271199485840824,3.1802568839622056,[BOS]O=C1NCC2(CCN(C(=O)c3csc(-c4ccc5c(c4)OCO5)n3)CC2)Oc2ccccc21[EOS][EOS][EOS][EOS][EOS],42
9.7,O=C(NC(c1cccc(F)c1)c1ccccn1)C(=O)N1CCN(c2cccnn2)CC1,0.6445490538039026,2.9810667745217554,[BOS]O=C(N[C@H](c1cccc(F)c1)c1ccccn1)C(=O)N1CCN(c2cccnn2)CC1[EOS][EOS][EOS][EOS],42
10.6,Cc1nc2ncccn2c1C(=O)NCC12CCCOC1CCN(C(=O)CC1COc3ccccc3O1)C2,0.567439313276698,4.162269753125081,[BOS]Cc1nc2ncccn2c1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)C[C@@H]1COc3ccccc3O1)C2[EOS],42
10.0,O=C(C1CN(C(=O)NCC2(c3ccc(F)cc3)CC2)c2ccccc2O1)N1CCOCC1,0.795410912966767,3.0325689939173017,[BOS]O=C([C@@H]1CN(C(=O)NCC2(c3ccc(F)cc3)CC2)c2ccccc2O1)N1CCOCC1[EOS],42
9.0,NC(=O)c1ccc(S(=O)(=O)Nc2ccc3c(c2)nc2n3CCCCC2)cc1,0.7208691849508583,2.2214893984014576,[BOS]NC(=O)c1ccc(S(=O)(=O)Nc2ccc3c(c2)nc2n3CCCCC2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.4,CC(NC(=O)N1CC(C#N)C2(C1)C(=O)Nc1ccccc12)c1cccc2ccccc12,0.670685432128846,4.104440919817691,[BOS]C[C@H](NC(=O)N1C[C@H](C#N)[C@]2(C1)C(=O)Nc1ccccc12)c1cccc2ccccc12[EOS],42
10.7,CC1SCCN(C(=O)c2cc(-c3ccncc3)nc3ccccc23)C1C1CC(C)(C)CCN1C(N)=O,0.5536322784077718,3.922049676641386,[BOS]C[C@H]1SCCN(C(=O)c2cc(-c3ccncc3)nc3ccccc23)[C@H]1[C@H]1CC(C)(C)CCN1C(N)=O[EOS],42
9.4,Cc1[nH]nc(O)c1-c1nnc(N2CCc3ccsc3C2)n1CC1CCc2ccccc21,0.5086338747326701,3.6759100712250525,[BOS]Cc1[nH]nc(O)c1-c1nnc(N2CCc3ccsc3C2)n1C[C@H]1CCc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.5,COc1cccc(C(=O)N2CCC3COC(CNC(=O)c4c(C)oc5cc(O)ccc45)C3C2)c1C,0.5803702031912784,3.726051673159515,[BOS]COc1cccc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4c(C)oc5cc(O)ccc45)[C@H]3C2)c1C[EOS][EOS][EOS][EOS],42
9.6,Cc1noc(C(NC(=O)c2cccc(N3C(=O)C4CC=CCC4C3=O)c2)C2CCOCC2)n1,0.5501447966719051,3.757447835010116,[BOS]Cc1noc([C@H](NC(=O)c2cccc(N3C(=O)[C@@H]4CC=CC[C@H]4C3=O)c2)C2CCOCC2)n1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.1,Cc1ccc2oc(C(=O)N3C4CCC3CC(NC(=O)CC3COc5ccccc5O3)C4)cc2n1,0.6379441808543699,4.362584496041406,[BOS]Cc1ccc2oc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)C[C@H]3COc5ccccc5O3)C4)cc2n1[EOS],42
9.1,O=C(Cc1ccccn1)NC1CC2CCC(C1)N2C(=O)c1cnc2c(F)c(F)ccc2c1,0.6803521789640066,4.032067926034334,[BOS]O=C(Cc1ccccn1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnc2c(F)c(F)ccc2c1[EOS],42
10.6,Cc1cc(NC(=O)C2NC(=O)c3ccccc3C(=O)N2)n(-c2ccc(C3=NOC(C)C3)cc2)n1,0.5521303983346234,3.3943756780132714,[BOS]Cc1cc(NC(=O)[C@@H]2NC(=O)c3ccccc3C(=O)N2)n(-c2ccc(C3=NO[C@H](C)C3)cc2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.8,Fc1ccc2c(C3CCN(c4ccnc(NCC5CCOCC5F)n4)CC3F)n[nH]c2c1F,0.5603528282058976,4.515478865167021,[BOS]Fc1ccc2c(C3CCN(c4ccnc(NC[C@@H]5CCOC[C@H]5F)n4)C[C@H]3F)n[nH]c2c1F[EOS][EOS][EOS][EOS][EOS][EOS],42
9.2,Cc1nn(C)c(C(=O)N2CC3COCC(C2)C3NC(=O)c2ccccc2Oc2ccccc2)c1F,0.6089736060999795,4.234585845089931,[BOS]Cc1nn(C)c(C(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)c2ccccc2Oc2ccccc2)c1F[EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,Cc1nc(-c2ccncc2)nc(N2CCN(S(=O)(=O)c3cc(F)cc(F)c3)C(C)C2)c1C,0.5955874423052261,3.084630414006738,[BOS]Cc1nc(-c2ccncc2)nc(N2CCN(S(=O)(=O)c3cc(F)cc(F)c3)[C@H](C)C2)c1C[EOS],42
10.0,Cc1c(CNC(=O)NC2CCOC(c3ccccc3)C2)oc2ccc(F)cc12,0.6931585048442906,3.226973726411254,[BOS]Cc1c(CNC(=O)N[C@@H]2CCO[C@@H](c3ccccc3)C2)oc2ccc(F)cc12[EOS],42
10.1,CC1(C(=O)Nc2cc(F)ccc2NC(=O)c2ccccn2)Cc2ccccc2C(=O)O1,0.6302588452511471,2.8446476836126653,[BOS]C[C@@]1(C(=O)Nc2cc(F)ccc2NC(=O)c2ccccn2)Cc2ccccc2C(=O)O1[EOS],42
10.0,COc1cccc(C(NC(=O)Nc2ccc3c(c2)N(C(=O)C(C)(C)C)CCO3)c2ccccc2)c1,0.5215966542369728,2.8595206302121827,[BOS]COc1cccc([C@H](NC(=O)Nc2ccc3c(c2)N(C(=O)C(C)(C)C)CCO3)c2ccccc2)c1[EOS][EOS],42
9.3,CC1(c2nc(CN3C(=O)c4ccccc4S3(=O)=O)no2)Oc2ccc(Cl)cc2NC1=O,0.6293584368117554,3.5286720265111464,[BOS]C[C@]1(c2nc(CN3C(=O)c4ccccc4S3(=O)=O)no2)Oc2ccc(Cl)cc2NC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.4,Cc1ccc2ccc(C(=O)N3CCN(C(=O)Nc4ccccc4)CC4(CNC(=O)C4)C3)nc2c1,0.6185224255265982,3.5127492436808865,[BOS]Cc1ccc2ccc(C(=O)N3CCN(C(=O)Nc4ccccc4)C[C@@]4(CNC(=O)C4)C3)nc2c1[EOS],42
10.3,O=C(NCC12CCCOC1CCN(C(=O)C1C3Sc4ccccc4C31)C2)C1Cc2ccccc2N1,0.6888282722083787,4.669966614086141,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)[C@@H]1[C@H]3Sc4ccccc4[C@H]31)C2)[C@@H]1Cc2ccccc2N1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.4,O=C(c1cc2ncccc2[nH]1)N1CCC(C2CCCCN2C(=O)CC2CNc3ccccc3O2)CC1,0.57931187136474,3.5399903126600476,[BOS]O=C(c1cc2ncccc2[nH]1)N1CCC([C@@H]2CCCCN2C(=O)C[C@@H]2CNc3ccccc3O2)CC1[EOS],42
