rv,smi,qed,sa,cur_sentence,seed
12.2,Cc1nc(N)sc1C(=O)N1C2CCC1CC(NC(=O)c1nn(-c3ccc(C(C)C)cc3)c3c1CCC3)C2,0.520876966907616,4.256271188458762,[BOS]Cc1nc(N)sc1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1nn(-c3ccc(C(C)C)cc3)c3c1CCC3)C2[EOS][EOS][EOS][EOS][EOS],42
11.5,Cc1c(NC(=O)NCC2OCCc3ccccc32)nnn1-c1cccc2ncccc12,0.5325540417209301,3.153102125324798,[BOS]Cc1c(NC(=O)NC[C@@H]2OCCc3ccccc32)nnn1-c1cccc2ncccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
14.2,O=C(c1ccc2nnccc2c1)N1CCC2(CCCN(C(=O)C3CCc4[nH]c(=O)[nH]c(=O)c4C3)C2)CC1,0.5478067234770153,3.979453841311038,[BOS]O=C(c1ccc2nnccc2c1)N1CCC2(CCCN(C(=O)[C@H]3CCc4[nH]c(=O)[nH]c(=O)c4C3)C2)CC1[EOS],42
12.3,Cc1cc(C(=O)NCC2OCC3CCN(C(=O)COc4ccccc4F)CC32)c2cc(O)ccc2n1,0.5475612749609977,3.636642265491714,[BOS]Cc1cc(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)COc4ccccc4F)C[C@@H]32)c2cc(O)ccc2n1[EOS],42
13.0,Cc1cc2cccc(C(=O)N3CCOCC4(CN(C(=O)c5cccc6c5NC(=O)C6)CCO4)C3)c2[nH]1,0.5764951390415873,3.976747570828646,[BOS]Cc1cc2cccc(C(=O)N3CCOC[C@]4(CN(C(=O)c5cccc6c5NC(=O)C6)CCO4)C3)c2[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(c1ncon1)N1CCC(C2CCCCN2C(=O)C2CCc3[nH]c(=O)[nH]c(=O)c3C2)CC1,0.6832761326553946,3.9013169527427545,[BOS]O=C(c1ncon1)N1CCC([C@@H]2CCCCN2C(=O)[C@@H]2CCc3[nH]c(=O)[nH]c(=O)c3C2)CC1[EOS],42
12.1,O=S(=O)(C1CCc2ccccc2C1)N1CCC2(CC1)CC(O)CNc1ccccc12,0.7743727149748493,4.102817673852943,[BOS]O=S(=O)([C@H]1CCc2ccccc2C1)N1CCC2(CC1)C[C@H](O)CNc1ccccc12[EOS],42
13.7,O=C(NCC12CCCOC1CCN(C(=O)Cc1ccc3c(c1)CCCO3)C2)c1ccc2c(c1)C(=O)CC2,0.6765462229648604,3.763750733205896,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1ccc3c(c1)CCCO3)C2)c1ccc2c(c1)C(=O)CC2[EOS],42
12.8,O=C1CN(CC(=O)N2CCCCC2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)C(=O)N1,0.6635869780374088,3.1756354414009937,[BOS]O=C1CN(CC(=O)N2CCCC[C@H]2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)C(=O)N1[EOS],42
12.9,Cc1ccc(CCC(=O)N2C3CCC2CC(NC(=O)c2ccc4c(c2)COC4)C3)c2ccccc12,0.5692768593485846,4.021357084908937,[BOS]Cc1ccc(CCC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccc4c(c2)COC4)C3)c2ccccc12[EOS][EOS][EOS][EOS],42
12.5,O=C(Nc1ccc(Cl)cn1)C1CCCN(C(=O)C2CCc3ccccc3C2O)C1c1ccccc1F,0.5151465158271264,3.6902219250263943,[BOS]O=C(Nc1ccc(Cl)cn1)[C@@H]1CCCN(C(=O)[C@H]2CCc3ccccc3[C@@H]2O)[C@@H]1c1ccccc1F[EOS],42
11.9,O=C(NC1CCN(C(=O)c2ccncc2)CC1)NC1c2ccccc2Oc2ccccc21,0.6632190135692877,2.4341743446872623,[BOS]O=C(NC1c2ccccc2Oc2ccccc21)NC1CCN(C(=O)c2ccncc2)CC1[EOS][EOS][EOS][EOS][EOS],42
11.6,O=C1CCCN1CC(NC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1)c1cccc(C(F)(F)F)c1,0.5342461926615585,3.3255502475969996,[BOS]O=C1CCCN1C[C@@H](NC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1)c1cccc(C(F)(F)F)c1[EOS][EOS],42
11.8,O=C(NC(c1cccc(Cl)c1)c1ccccn1)C1CSC2(c3ccc(F)cc3)CCC(=O)N12,0.5749163276671303,3.6230089686133553,[BOS]O=C(N[C@H](c1cccc(Cl)c1)c1ccccn1)[C@H]1CS[C@]2(c3ccc(F)cc3)CCC(=O)N12[EOS],42
11.6,O=C(CN1C(=O)C=CC1=O)NC1CC2CCC(C1)N2C(=O)c1cc(-c2cc(F)cc(F)c2)n[nH]1,0.6448575522850561,4.349697163185159,[BOS]O=C(CN1C(=O)C=CC1=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc(-c2cc(F)cc(F)c2)n[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.3,O=C(c1c[nH]c(=O)c2ccccc12)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,0.6392133784457968,2.4718663404304984,[BOS]O=C(c1c[nH]c(=O)c2ccccc12)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1[EOS],42
13.0,O=C1OCc2cc(CN3CCC4CN(C(=O)Nc5ccc6c(c5)OCO6)CC3OC43CC3)ccc21,0.678582623394964,4.892735721439155,[BOS]O=C(Nc1ccc2c(c1)OCO2)N1C[C@@H]2CCN(Cc3ccc4c(c3)COC4=O)[C@@H](C1)OC21CC1[EOS],42
12.8,O=C1COC2C(Nc3nc(-c4ccccc4)c4ccccc4n3)C=CCC2N1C1C=CC=C1O,0.5818345521008985,4.347460944580581,[BOS]O=C1CO[C@@H]2[C@@H](Nc3nc(-c4ccccc4)c4ccccc4n3)C=CC[C@H]2N1C1C=CC=C1O[EOS],42
12.9,O=C(NC1CCc2ccccc2OC1)N1CCc2cc(-c3cccc(F)c3)ccc21,0.6583982294223469,2.7951982575037047,[BOS]O=C(N[C@H]1CCc2ccccc2OC1)N1CCc2cc(-c3cccc(F)c3)ccc21[EOS],42
12.1,CC(=O)N1CCCC(Cn2c(COc3ccc(C)c(C)c3)nnc2N2CCOC(C)(C)C2C)C1,0.6418779610097023,3.7268788621158286,[BOS]CC(=O)N1CCC[C@@H](Cn2c(COc3ccc(C)c(C)c3)nnc2N2CCOC(C)(C)[C@H]2C)C1[EOS],42
13.8,CC1Oc2ccc(C(=O)N3C4CCC3CC(NC(=O)C3=Cc5ccccc5NC(=O)C3)C4)cc2NC1=O,0.5989815036186021,4.592574751193622,[BOS]C[C@H]1Oc2ccc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)C3=Cc5ccccc5NC(=O)C3)C4)cc2NC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.6,O=C(c1cccc(C(F)c2cccc(F)c2)c1)N1CCOC2(COCCN(c3ccncn3)C2)C1,0.5702546441297586,4.1417126266689435,[BOS]O=C(c1cccc([C@H](F)c2cccc(F)c2)c1)N1CCO[C@@]2(COCCN(c3ccncn3)C2)C1[EOS],42
12.3,Cc1nccc(C(=O)NC2CC3CCC(C2)N3C(=O)C2(c3ccccc3)CCN(C(=O)OC(C)(C)C)CC2)n1,0.6369970394888115,4.2925055023619105,[BOS]Cc1nccc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)C2(c3ccccc3)CCN(C(=O)OC(C)(C)C)CC2)n1[EOS],42
12.2,COc1ccc2nc(C(=O)N3CCC4(C3)C(=O)N(C)CC4c3cccc(F)c3)ncc2c1,0.6337728058647022,3.951637100069994,[BOS]COc1ccc2nc(C(=O)N3CC[C@@]4(C3)C(=O)N(C)C[C@@H]4c3cccc(F)c3)ncc2c1[EOS],42
11.9,CC1C(NC(=O)Nc2cc3cc[nH]c3cn2)C(=O)N(C)C1c1ccc2c(c1)CCOC2,0.6077381844311048,4.012594720117001,[BOS]C[C@@H]1[C@H](NC(=O)Nc2cc3cc[nH]c3cn2)C(=O)N(C)[C@H]1c1ccc2c(c1)CCOC2[EOS],42
12.9,O=C(Nc1nc2n(n1)CCCC2)NC1CCC(c2ccc(Cl)c(Cl)c2)c2[nH]c(=O)ccc21,0.5246484978888821,3.7938906703355357,[BOS]O=C(Nc1nc2n(n1)CCCC2)N[C@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2[nH]c(=O)ccc21[EOS],42
13.4,O=C1CC(C(=O)N2CCCCC2C2CCN(C(=O)c3n[nH]c4ccncc34)CC2)CCc2ccccc2N1,0.5526188638274261,3.576061030594297,[BOS]O=C(c1n[nH]c2ccncc12)N1CCC([C@@H]2CCCCN2C(=O)C2CC(=O)Nc3ccccc3CC2)CC1[EOS],42
12.9,CC1C(NC(=O)N2CCOCC3(CCOCC3)C2)c2ccccc2C1c1ccccc1,0.7859817532026706,4.166638444678309,[BOS]C[C@H]1[C@H](c2ccccc2)c2ccccc2[C@@H]1NC(=O)N1CCOCC2(CCOCC2)C1[EOS],42
12.8,O=C(NCC1CCN(C(=O)C2CCc3ccccc3C2)C1c1cccnc1)C1CC1c1ccc(F)cc1,0.5304633437436799,3.856474316945768,[BOS]O=C(NC[C@@H]1CCN(C(=O)[C@@H]2CCc3ccccc3C2)[C@@H]1c1cccnc1)[C@@H]1C[C@@H]1c1ccc(F)cc1[EOS][EOS][EOS][EOS],42
11.0,Cn1c(-c2c[nH]c([N+](=O)[O-])n2)nnc1N1CC2CC2(c2ccccc2)C1,0.5682538754233244,4.024294611383193,[BOS]Cn1c(-c2c[nH]c([N+](=O)[O-])n2)nnc1N1C[C@@H]2C[C@]2(c2ccccc2)C1[EOS],42
11.9,O=C(CCc1noc(-c2ccccc2)n1)N1CCC2(C1)CN(C(=O)c1c(F)ccc(O)c1F)CCO2,0.5762699001785837,3.7825713170227058,[BOS]O=C(CCc1noc(-c2ccccc2)n1)N1CC[C@]2(C1)CN(C(=O)c1c(F)ccc(O)c1F)CCO2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,COc1nccnc1C(=O)N1CCC(CNC(=O)c2cccc3c2NC(=O)C3=O)C1c1cccnc1,0.500791648041829,3.7256772037502737,[BOS]COc1nccnc1C(=O)N1CC[C@@H](CNC(=O)c2cccc3c2NC(=O)C3=O)[C@@H]1c1cccnc1[EOS],42
12.5,O=C(Nc1cccc2c1CCCC2)C1CCCN(C(=O)C=NC2NS(=O)(=O)c3ccccc32)C1,0.6562432940181785,3.791343803039566,[BOS]O=C(Nc1cccc2c1CCCC2)[C@H]1CCCN(C(=O)C=NC2NS(=O)(=O)c3ccccc32)C1[EOS],42
12.4,Cc1nn(-c2ccccc2)nc1C1Nc2ccccc2C(=O)N1OC(=O)C1CCC2(CC1)OCC(C)CO2,0.5495502773303469,4.270378192641624,[BOS]Cc1nn(-c2ccccc2)nc1[C@@H]1Nc2ccccc2C(=O)N1OC(=O)C1CCC2(CC1)OC[C@H](C)CO2[EOS],42
12.4,O=C(CCn1[nH]c(=O)c2ccccc2c1=O)NC1c2ccccc2CC12CCOCC2,0.6786405495903142,3.7718113839026532,[BOS]O=C(CCn1[nH]c(=O)c2ccccc2c1=O)N[C@H]1c2ccccc2CC12CCOCC2[EOS],42
13.7,O=C(c1ccc2n[nH]nc2c1)N1CCC2(C1)C(=O)N=CCC2N1CCc2ccc(F)c(F)c2C1,0.6290384234251133,4.514964142404764,[BOS]O=C(c1ccc2n[nH]nc2c1)N1CC[C@]2(C1)C(=O)N=CCC2N1CCc2ccc(F)c(F)c2C1[EOS],42
12.1,CCC1CN(C(=O)Nc2cc(-c3cc(C)cc(C)c3)nn2-c2cc(C)ccn2)CC(C)S1(=O)=O,0.5995955897605844,3.877723451658424,[BOS]CC[C@@H]1CN(C(=O)Nc2cc(-c3cc(C)cc(C)c3)nn2-c2cc(C)ccn2)C[C@H](C)S1(=O)=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.6,CCNC(=O)N1CCN(c2nnc(C3CCCC3)n2CCc2ccc(F)c(F)c2)CC1,0.7607190490552852,2.5408226318651455,[BOS]CCNC(=O)N1CCN(c2nnc(C3CCCC3)n2CCc2ccc(F)c(F)c2)CC1[EOS][EOS][EOS][EOS][EOS],42
11.5,Cc1ccc(C2OCCCC2NC(=O)c2nc(-c3ccc(F)cc3)n3c2CCCCC3)cc1,0.584691279245136,3.2614219173176533,[BOS]Cc1ccc([C@@H]2OCCC[C@@H]2NC(=O)c2nc(-c3ccc(F)cc3)n3c2CCCCC3)cc1[EOS],42
