rv,smi,qed,sa,cur_sentence,seed
12.4,Cc1ccc(COCC(=O)N2CCC3OCCCC3(CNC(=O)C3CC3c3ccccc3)C2)cc1C,0.604096676945278,3.952946050378264,[BOS]Cc1ccc(COCC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)[C@@H]3C[C@H]3c3ccccc3)C2)cc1C[EOS],42
12.2,Cc1onc(-c2ccccc2)c1C(=O)NC1CC2CCC(C1)N2C(=O)c1[nH]nc2c1CCC2C,0.6139816706661181,4.57309876748425,[BOS]C[C@@H]1CCc2c1n[nH]c2C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1c(-c3ccccc3)noc1C)C2[EOS],42
11.7,O=C(NC1CCC2(CC1)NC(=O)NC2=O)NC1CCCCC1Cc1ccccc1,0.5867964615165827,3.7250095099645115,[BOS]O=C(NC1CCC2(CC1)NC(=O)NC2=O)N[C@@H]1CCCC[C@@H]1Cc1ccccc1[EOS],42
11.3,Cc1cc2cc(NC(=O)C3CC(=O)N(c4cccc5ccccc45)C3)ccc2n(C)c1=O,0.5395175260567435,2.753066334870663,[BOS]Cc1cc2cc(NC(=O)[C@@H]3CC(=O)N(c4cccc5ccccc45)C3)ccc2n(C)c1=O[EOS],42
11.4,Cc1nc(-c2cccc(-c3noc(-c4cccc5c4OC(C)C(=O)N5)n3)c2)n[nH]1,0.5529306159331387,3.217640519913111,[BOS]Cc1nc(-c2cccc(-c3noc(-c4cccc5c4O[C@H](C)C(=O)N5)n3)c2)n[nH]1[EOS],42
11.9,O=C(NCc1cccc2c1CCCN2)c1cncc(-c2ccc(Nc3ccccn3)cc2F)n1,0.39088836322280646,2.6971863231922466,[BOS]O=C(NCc1cccc2c1CCCN2)c1cncc(-c2ccc(Nc3ccccn3)cc2F)n1[EOS],42
12.7,Cc1ccc(N2CCN(C(=O)c3ccc4c(c3)C(=O)N(c3ccc(C)cc3Cl)C4=O)C(C)C2=O)cc1,0.4899464965894694,2.893680334228815,[BOS]Cc1ccc(N2C(=O)c3ccc(C(=O)N4CCN(c5ccc(C)cc5)C(=O)[C@H]4C)cc3C2=O)c(Cl)c1[EOS],42
11.9,Cc1ccc(C2OCCCC2CNC(=O)C(=O)N2CCC3(CC2)OCCc2ccccc23)cc1,0.7071257519478209,3.934489816730439,[BOS]Cc1ccc([C@H]2OCCC[C@H]2CNC(=O)C(=O)N2CCC3(CC2)OCCc2ccccc23)cc1[EOS],42
12.2,Nc1cc2c(C(=O)Nc3cc(C4CCCCN4C(=O)C45CC(C(F)(F)F)(C4)C5)[nH]n3)cccc2ccc1=O,0.46178436119668476,4.418539236648792,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)C23CC(C(F)(F)F)(C2)C3)[nH]n1)c1cccc2ccc(=O)c(N)cc12[EOS],42
13.3,Cc1cnc2c(S(=O)(=O)N3Cc4ccccc4-c4cc5c(cc4C3)NNC5)cccc2c1,0.48298729788533434,2.9487438763909743,[BOS]Cc1cnc2c(S(=O)(=O)N3Cc4ccccc4-c4cc5c(cc4C3)NNC5)cccc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.8,O=C1CC(c2nc(C3CCc4ccccc4C3)no2)CN1c1cccc2ccccc12,0.4769198569498854,3.1747306248530345,[BOS]O=C1C[C@@H](c2nc([C@@H]3CCc4ccccc4C3)no2)CN1c1cccc2ccccc12[EOS],42
12.2,O=C(Nc1cccc(OCC2CCC(c3ccccc3)=NO2)c1)C1Cc2ccccc2CN1C(=O)C1CCCO1,0.4694649360277247,3.678373919119183,[BOS]O=C(Nc1cccc(OC[C@H]2CCC(c3ccccc3)=NO2)c1)[C@H]1Cc2ccccc2CN1C(=O)[C@@H]1CCCO1[EOS],42
12.5,O=C1CCCC(C(=O)N2CCc3cc(C(=O)NCC4(Cc5ccc(F)cc5)CCCC4O)ccc32)N1,0.5764201176183622,3.7733172468210636,[BOS]O=C(NC[C@@]1(Cc2ccc(F)cc2)CCC[C@@H]1O)c1ccc2c(c1)CCN2C(=O)C1CCCC(=O)N1[EOS],42
