rv,smi,qed,sa,cur_sentence,seed
12.7,Cn1cc(C(=O)N2CCCCC2C2CCN(C(=O)c3cc4c(F)cc(F)cc4[nH]3)CC2)c(=O)[nH]c1=O,0.5764678939267215,3.345750964845722,[BOS]Cn1cc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3cc4c(F)cc(F)cc4[nH]3)CC2)c(=O)[nH]c1=O[EOS],42
12.2,Cc1cc(C)c(N2CC(c3nnc(-c4ccc5ccccc5c4)o3)CC2=O)c(C)c1,0.4684170787538458,2.8608109140332196,[BOS]Cc1cc(C)c(N2C[C@@H](c3nnc(-c4ccc5ccccc5c4)o3)CC2=O)c(C)c1[EOS],42
11.9,Cc1ccc(C)c(OCc2nnc(N3CC(C)OC(C(F)(F)F)C3)n2Cc2ccc(C)n(C)c2=O)c1,0.5089849062007106,3.798730595019199,[BOS]Cc1ccc(C)c(OCc2nnc(N3C[C@@H](C)O[C@H](C(F)(F)F)C3)n2Cc2ccc(C)n(C)c2=O)c1[EOS],42
11.6,CNC(=O)CCn1c(-c2n[nH]c(=O)c3ccccc23)nnc1N1CCC(C(=O)NCC(F)(F)F)CC1,0.4380321525152168,2.849328929722251,[BOS]CNC(=O)CCn1c(-c2n[nH]c(=O)c3ccccc23)nnc1N1CCC(C(=O)NCC(F)(F)F)CC1[EOS],42
13.5,O=C(C1=Cc2cc(F)ccc2OC1)N1CCC2(CC1)CN=C(O)c1ccc(N3CCCC3)nc1C2=O,0.6934532860151107,3.739634588666684,[BOS]O=C(C1=Cc2cc(F)ccc2OC1)N1CCC2(CC1)CN=C(O)c1ccc(N3CCCC3)nc1C2=O[EOS],42
12.6,CC(NC(=O)Cn1nnc2sc3c(c2c1=O)CC(c1ccccc1)CC3)c1ccc2c(c1)CCCC2,0.4254339660824561,3.3789258797344823,[BOS]C[C@@H](NC(=O)Cn1nnc2sc3c(c2c1=O)C[C@@H](c1ccccc1)CC3)c1ccc2c(c1)CCCC2[EOS],42
12.0,Nc1nc(C(=O)N2CCCCC2C2CCN(C(=O)c3ccc4n[nH]c(C(F)(F)F)c4c3)CC2)cs1,0.5545073674432203,3.3179863644779175,[BOS]Nc1nc(C(=O)N2CCCC[C@H]2C2CCN(C(=O)c3ccc4n[nH]c(C(F)(F)F)c4c3)CC2)cs1[EOS],42
12.7,O=C(NC1C2COCC1CN(C(=O)C1(F)CCCC=C1F)C2)c1n[nH]c2ccc(-c3ccccc3)cc12,0.5560087718418032,4.892098799319715,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@@]1(F)CCCC=C1F)C2)c1n[nH]c2ccc(-c3ccccc3)cc12[EOS],42
12.7,O=C(NCC1OCC2CCN(C(=O)COc3cccc4ccccc34)CC21)C1Cc2ccccc2C(F)(F)C1,0.5039885020257342,4.030915783370552,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)COc3cccc4ccccc34)C[C@@H]21)[C@H]1Cc2ccccc2C(F)(F)C1[EOS],42
12.2,Cc1cc(NC(=O)C(=O)NC2CCc3cc(O)ccc3C2)n(-c2cccc(C(F)(F)F)c2)n1,0.5236263189224716,3.03508909959507,[BOS]Cc1cc(NC(=O)C(=O)N[C@H]2CCc3cc(O)ccc3C2)n(-c2cccc(C(F)(F)F)c2)n1[EOS],42
13.5,Cc1ccc(C2(c3nc(-c4ccc(O)c5ccccc45)no3)CC2)cc1NC(=O)N1CCNCC(C)C1=O,0.36664781992084733,3.489701858319002,[BOS]Cc1ccc(C2(c3nc(-c4ccc(O)c5ccccc45)no3)CC2)cc1NC(=O)N1CCNC[C@@H](C)C1=O[EOS],42
13.1,Cc1ccc(C(=O)N2CCOCC3(CN(C(=O)CCc4c[nH]c5ccc(F)cc45)CCO3)C2)c(O)c1,0.5803856381746497,3.7230758726612434,[BOS]Cc1ccc(C(=O)N2CCOC[C@@]3(CN(C(=O)CCc4c[nH]c5ccc(F)cc45)CCO3)C2)c(O)c1[EOS],42
12.4,O=C(NCc1ccc2c(c1)C(=O)NCC2)NC1CCN(C(=O)c2ccco2)CC1c1ccccc1,0.5309811660773807,3.301254352129675,[BOS]O=C(NCc1ccc2c(c1)C(=O)NCC2)N[C@@H]1CCN(C(=O)c2ccco2)C[C@H]1c1ccccc1[EOS],42
13.0,O=C(c1cc(C(F)(F)F)c2cc(F)ccc2n1)N1CCC2C1CC(=O)N2c1ccc2c(c1)OCO2,0.5084873314627526,3.5881253105829876,[BOS]O=C(c1cc(C(F)(F)F)c2cc(F)ccc2n1)N1CC[C@H]2[C@H]1CC(=O)N2c1ccc2c(c1)OCO2[EOS],42
12.9,O=C1NCc2cc(C(=O)N3CCCCC3C3CCN(C(=O)c4cc(=O)[nH]cn4)CC3)ccc21,0.7379553270138922,3.3104524563984503,[BOS]O=C1NCc2cc(C(=O)N3CCCC[C@H]3C3CCN(C(=O)c4cc(=O)[nH]cn4)CC3)ccc21[EOS],42
12.2,Cc1cccc(F)c1C(=O)NCC1OCC2CCN(C(=O)Cc3cccc4ncccc34)CC21,0.6312798744594316,3.593935742895958,[BOS]Cc1cccc(F)c1C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3cccc4ncccc34)C[C@@H]21[EOS],42
11.5,Cc1cc(Cl)cc(C)c1OC(C)c1nnc(N2CC(=O)N(C)C(C)C2)n1CCc1c(C)noc1C,0.479820606742872,3.8478809924011674,[BOS]Cc1noc(C)c1CCn1c([C@@H](C)Oc2c(C)cc(Cl)cc2C)nnc1N1CC(=O)N(C)[C@H](C)C1[EOS],42
13.0,O=C(NC1C2Cc3ccccc3C21)N1CCC(F)(c2ccccc2)C2CC(O)=NCC21,0.7742306572316909,4.627296374391369,[BOS]O=C(N[C@@H]1[C@@H]2Cc3ccccc3[C@H]21)N1CCC(F)(c2ccccc2)[C@@H]2CC(O)=NC[C@@H]21[EOS],42
12.8,O=C1CC(c2noc(-c3cccc(-c4c(F)cccc4F)c3)n2)CN1c1ccc(F)cc1N1CCCNC1=C1CC1,0.3175808491852708,3.570621109413981,[BOS]O=C1C[C@@H](c2noc(-c3cccc(-c4c(F)cccc4F)c3)n2)CN1c1ccc(F)cc1N1CCCNC1=C1CC1[EOS],42
13.1,O=C(Nc1cc(C2CCCCN2C(=O)C2ON=C(c3ccccc3)O2)[nH]n1)c1cccc2c1CCCC2,0.543239184497348,3.7705313848172803,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2ON=C(c3ccccc3)O2)[nH]n1)c1cccc2c1CCCC2[EOS],42
12.9,Cc1ccc(C2CN(C(=O)Cc3cc(C)cc(C)c3)C3COCC2N(CC2CCN(C4CC4)CC2)C3)cc1,0.5576980447159209,4.469834064801742,[BOS]Cc1cc(C)cc(CC(=O)N2C[C@H](c3ccc(C)cc3)[C@H]3COC[C@H]2CN3CC2CCN(C3CC3)CC2)c1[EOS],42
12.6,O=C(NC1C2COCC1CN(C(=O)Cc1ccc3c(c1)C(=O)c1ccccc1CO3)C2)c1ccc(=O)oc1,0.5677285720124333,4.374237903033581,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)Cc1ccc3c(c1)C(=O)c1ccccc1CO3)C2)c1ccc(=O)oc1[EOS],42
13.0,O=C(CCN1CCCCCC1C1CCN(C(=O)NCc2cccc3ccccc23)CC1)NC(=O)NC1CCCC1,0.44619548597518316,3.035784186882003,[BOS]O=C(NCc1cccc2ccccc12)N1CCC([C@H]2CCCCCN2CCC(=O)NC(=O)NC2CCCC2)CC1[EOS],42
12.5,O=C(NCC1CCN(C(=O)c2cnccc2Cl)C1c1cccnc1)c1ccc2c(c1)CCCC2=O,0.5782615030491187,3.433393606643362,[BOS]O=C(NC[C@H]1CCN(C(=O)c2cnccc2Cl)[C@H]1c1cccnc1)c1ccc2c(c1)CCCC2=O[EOS],42
12.9,O=C(NCc1cccc2ccccc12)N1CCC(c2nc3ccc(F)c(F)c3[nH]2)CC1,0.48538344154364105,2.4868837036023983,[BOS]O=C(NCc1cccc2ccccc12)N1CCC(c2nc3ccc(F)c(F)c3[nH]2)CC1[EOS],42
12.9,Cc1c(SCC(=O)N2CC(c3ccccc3)C3(CCCCC(=O)N3)C2)cc(C)c2c1ccc(=O)n2C,0.5391009583221047,4.312545266103098,[BOS]Cc1cc(SCC(=O)N2C[C@@H](c3ccccc3)[C@@]3(CCCCC(=O)N3)C2)c(C)c2ccc(=O)n(C)c12[EOS],42
13.2,O=C(Nc1cc(C2CCCCN2C(=O)Cc2ccc3c(c2)CCCO3)[nH]n1)C1CCc2ccccc2C1,0.5303324650498004,3.4668318788186916,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)Cc2ccc3c(c2)CCCO3)[nH]n1)[C@H]1CCc2ccccc2C1[EOS],42
12.5,Cn1nnnc1-c1cccc(NC(=O)C2CCCN(C(=O)c3ccc4[nH]ncc4c3)C2)c1,0.5120999629046556,2.9144007934641802,[BOS]Cn1nnnc1-c1cccc(NC(=O)[C@H]2CCCN(C(=O)c3ccc4[nH]ncc4c3)C2)c1[EOS],42
13.7,O=C(C1COc2ccc(F)cc2C1)N1CCN(c2cc(F)nc3c2CCC(O)=N3)C2CCCC(F)CC21,0.5998525161694662,4.667107661799031,[BOS]O=C([C@H]1COc2ccc(F)cc2C1)N1CCN(c2cc(F)nc3c2CCC(O)=N3)C2CCCC(F)CC21[EOS],42
13.4,CC1(C(=O)N2CCc3ccc(C(F)(F)F)cc3C2)CCC(CN2C(=O)c3cccc4cccc(c34)C2=O)CO1,0.43058613451850236,3.660594254568254,[BOS]C[C@]1(C(=O)N2CCc3ccc(C(F)(F)F)cc3C2)CC[C@H](CN2C(=O)c3cccc4cccc(c34)C2=O)CO1[EOS],42
12.7,Cc1ccc(CC2CCN(C(=O)CN3C(=O)NC(C)(c4ccc5ccccc5c4)C3=O)CC2)cc1C,0.5348245771653114,2.869013574047818,[BOS]Cc1ccc(CC2CCN(C(=O)CN3C(=O)N[C@@](C)(c4ccc5ccccc5c4)C3=O)CC2)cc1C[EOS],42
13.1,Nc1c(C(=O)NC(c2ccccc2)C2CCCc3ccccc32)cc(=O)[nH]c1C(=O)N1CCCC(F)C1,0.48767429332690493,3.8060576583016648,[BOS]Nc1c(C(=O)N[C@@H](c2ccccc2)[C@@H]2CCCc3ccccc32)cc(=O)[nH]c1C(=O)N1CCC[C@H](F)C1[EOS],42
12.8,Cn1cnnc1-c1cccc(NC(=O)C2Cc3ccccc3CN2C(=O)c2ccccc2C(F)(F)F)c1,0.43592759766636985,3.0081892463082873,[BOS]Cn1cnnc1-c1cccc(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2ccccc2C(F)(F)F)c1[EOS],42
13.4,O=C1OC(F)(F)C2(CCN(C(=O)COc3ccccc3C(=O)N3CC=C(c4cccc5ccccc45)CC3)CC2)O1,0.39426322255839036,3.5379324523083735,[BOS]O=C(COc1ccccc1C(=O)N1CC=C(c2cccc3ccccc23)CC1)N1CCC2(CC1)OC(=O)OC2(F)F[EOS],42
13.0,N#Cc1ccc2[nH]nc(C(=O)NC3CC4CCC(C3)N4C(=O)c3ccnc4ccccc34)c2c1,0.4953796643897378,4.065751839758585,[BOS]N#Cc1ccc2[nH]nc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)c3ccnc4ccccc34)c2c1[EOS],42
12.9,Cn1ccc2c(=O)[nH]cc(C(=O)NC3CC4CCC(C3)N4C(=O)C3CCc4[nH]c(=O)[nH]c(=O)c4C3)c21,0.4143079437875297,4.870037024805262,[BOS]Cn1ccc2c(=O)[nH]cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CCc4[nH]c(=O)[nH]c(=O)c4C3)c21[EOS],42
13.0,Cc1ccc(NC(=O)C2CCN(C(=O)C3Cc4ccccc4CN3S(=O)(=O)c3cc(C)ccc3C)CC2)c(C)c1,0.4812281555799122,2.9315767059014473,[BOS]Cc1ccc(NC(=O)C2CCN(C(=O)[C@@H]3Cc4ccccc4CN3S(=O)(=O)c3cc(C)ccc3C)CC2)c(C)c1[EOS],42
12.5,Cn1ncc2c(C(=O)N3CCC4COC(CNC(=O)c5ccc6c(c5)CCCC6=O)C4C3)cccc21,0.6120564777841916,3.764090618165925,[BOS]Cn1ncc2c(C(=O)N3CC[C@H]4CO[C@@H](CNC(=O)c5ccc6c(c5)CCCC6=O)[C@H]4C3)cccc21[EOS],42
11.7,O=C(Nc1nc2c(s1)CCCC2)C(=O)NC(c1cccc(C(F)(F)F)c1)C1CCCCC1,0.5928235478815236,3.0661461319966143,[BOS]O=C(Nc1nc2c(s1)CCCC2)C(=O)N[C@H](c1cccc(C(F)(F)F)c1)C1CCCCC1[EOS],42
13.7,Cc1ccc(CCC(=O)N2CCOC3(COCCN(c4ncccn4)C3)C2)c2c(C)cccc12,0.5951683556420218,3.791367653842153,[BOS]Cc1ccc(CCC(=O)N2CCO[C@]3(COCCN(c4ncccn4)C3)C2)c2c(C)cccc12[EOS],42
13.0,Cc1noc2nc(-c3ccccc3F)cc(C(=O)N3CCc4ccccc4C3C(N)=O)c12,0.5354174653008709,3.0287341286153797,[BOS]Cc1noc2nc(-c3ccccc3F)cc(C(=O)N3CCc4ccccc4[C@@H]3C(N)=O)c12[EOS],42
12.6,O=C(c1cc(Br)c2ccccc2c1)N1CCc2cccc3c(=O)[nH]nc(c23)CC1,0.47745976139055857,2.5385094270157325,[BOS]O=C(c1cc(Br)c2ccccc2c1)N1CCc2n[nH]c(=O)c3cccc(c23)CC1[EOS],42
13.1,Cc1cc(C(=O)NC2CC3CCC(C2)N3C(=O)c2noc3c2CCCC3)c2cc(O)ccc2n1,0.6172633949672888,4.225406356670245,[BOS]Cc1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2noc3c2CCCC3)c2cc(O)ccc2n1[EOS],42
11.8,CCn1nc(-c2nc(-c3cc4c([nH]c3=O)CCCC4)no2)c(=O)c2cc3c(cc21)OCO3,0.5222190416521532,3.050124521552264,[BOS]CCn1nc(-c2nc(-c3cc4c([nH]c3=O)CCCC4)no2)c(=O)c2cc3c(cc21)OCO3[EOS],42
11.7,Cc1ccc(-n2nc(C)cc2NC(=O)c2ccc(Cl)c(S(=O)(=O)N3CC(C)OC(C)C3)c2)cc1,0.5642131395545367,3.1148268886469683,[BOS]Cc1ccc(-n2nc(C)cc2NC(=O)c2ccc(Cl)c(S(=O)(=O)N3C[C@H](C)O[C@@H](C)C3)c2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,O=C(NC1CCc2cc(O)ccc2C1)NC(c1ccccc1)c1ccc2c(c1)CCCO2,0.5658946840682265,3.15581964991285,[BOS]O=C(N[C@H]1CCc2cc(O)ccc2C1)N[C@H](c1ccccc1)c1ccc2c(c1)CCCO2[EOS],42
12.5,O=C(CC1CCCCO1)Nc1cc(C2CCCCN2C(=O)C2=Cc3ccccc3NC(=O)C2)[nH]n1,0.6059402855719752,3.72051453312515,[BOS]O=C(C[C@H]1CCCCO1)Nc1cc([C@@H]2CCCCN2C(=O)C2=Cc3ccccc3NC(=O)C2)[nH]n1[EOS],42
12.9,O=C(NCc1ccc2nonc2c1)N1CCC(c2cccc3ccccc23)CC1,0.5640566346461144,2.3291223454926016,[BOS]O=C(NCc1ccc2nonc2c1)N1CCC(c2cccc3ccccc23)CC1[EOS],42
11.8,Cc1nc(-c2c(C)c(C)nn(C)c2=O)sc1C(=O)NC1CCOC1c1ccc(F)c(F)c1,0.6453397821701271,3.5774448433364485,[BOS]Cc1nc(-c2c(C)c(C)nn(C)c2=O)sc1C(=O)N[C@@H]1CCO[C@H]1c1ccc(F)c(F)c1[EOS],42
13.0,O=C(Cc1ccc(F)c(C(F)(F)F)c1)N1C2CCC1CC(NC(=O)C1(F)CCCCC1(F)F)C2,0.6031601846982088,4.798796316479033,[BOS]O=C(Cc1ccc(F)c(C(F)(F)F)c1)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)[C@]1(F)CCCCC1(F)F)C2[EOS],42
13.3,O=C(c1c[nH]c(=O)c2ccccc12)N1CCCC(N(Cc2ccccc2)S(=O)(=O)C2=CNC3C=CC=CC23)C1,0.49637638973202985,4.054935411377096,[BOS]O=C(c1c[nH]c(=O)c2ccccc12)N1CCC[C@@H](N(Cc2ccccc2)S(=O)(=O)C2=CNC3C=CC=CC23)C1[EOS],42
13.8,Cc1cc(-c2noc(-c3cccc4c3C(=O)c3ccccc3-4)n2)c(F)cc1N1C(=O)C(C)(C)OC(=O)C1(C)NC1CCN(C)C(C)N1C(=O)Cc1ccc(F)cc1N,0.14766187833373268,4.884798001175081,[BOS]Cc1cc(-c2noc(-c3cccc4c3C(=O)c3ccccc3-4)n2)c(F)cc1N1C(=O)C(C)(C)OC(=O)C1(C)NC1CCN(C)C(C)N1C(=O)Cc1ccc(F)cc1N[EOS],42
13.3,O=C(CCc1cc2ccccc2[nH]c1=O)N1CCC23CCCCC2(CN=C(O)C24CCOC2OO4)C(=O)CCC3C1,0.3118753475636241,5.46258150647537,[BOS]O=C1CC[C@H]2CN(C(=O)CCc3cc4ccccc4[nH]c3=O)CC[C@@]23CCCC[C@]13CN=C(O)C12CCO[C@@H]1OO2[EOS],42
12.2,CNC(=O)C1CN(C(=O)c2nc(-c3cccc(C(F)(F)F)c3)nn2C)CC1c1ccc(F)cc1F,0.5656107958018857,3.5749862808627073,[BOS]CNC(=O)[C@@H]1CN(C(=O)c2nc(-c3cccc(C(F)(F)F)c3)nn2C)C[C@H]1c1ccc(F)cc1F[EOS],42
12.7,O=C1CC(C(=O)NC2CC3CCC(C2)N3C(=O)c2cc(-c3ccccn3)n[nH]2)=Cc2ccccc2N1,0.5277297512934377,4.4124559686869835,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc(-c2ccccn2)n[nH]1)C1=Cc2ccccc2NC(=O)C1[EOS],42
