rv,smi,qed,sa,cur_sentence,seed
12.4,Nc1ncc2ccc(-c3ccc4c(c3)C3(CC4)C(=O)NS3(=O)=O)cc2n1,0.6740041922232075,3.9649004961672443,[BOS]Nc1ncc2ccc(-c3ccc4c(c3)C3(CC4)C(=O)NS3(=O)=O)cc2n1[EOS][EOS][EOS][EOS][EOS],42
13.1,O=C(Cc1ccc2ncc(F)cc2c1)N1CCCC2(CCN(C(=O)C3Cc4ccccc4O3)CC2)C1,0.5569523094908079,3.6254977567965243,[BOS]O=C(Cc1ccc2ncc(F)cc2c1)N1CCCC2(CCN(C(=O)[C@@H]3Cc4ccccc4O3)CC2)C1[EOS],42
14.2,O=C(NC1CC2CCC(C1)N2C(=O)C1CCc2ccccc2C1)c1ccc(-c2ccc(=O)[nH]n2)cc1,0.5951691141063853,4.202228724869904,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1CCc2ccccc2C1)c1ccc(-c2ccc(=O)[nH]n2)cc1[EOS],42
12.9,O=C(c1ccc2[nH]ccc2c1)N1CC2CCCN2c2ccc(-c3ccc4c(c3)OCCCO4)nc21,0.44922290895597783,3.306476749093303,[BOS]O=C(c1ccc2[nH]ccc2c1)N1C[C@@H]2CCCN2c2ccc(-c3ccc4c(c3)OCCCO4)nc21[EOS],42
13.5,O=C(Nc1n[nH]c(-c2cccc3ccccc23)n1)c1ccc(F)c(S(=O)(=O)N2CCN(C(=O)O)CC2)c1,0.36338325913210834,2.5362048567076094,[BOS]O=C(Nc1n[nH]c(-c2cccc3ccccc23)n1)c1ccc(F)c(S(=O)(=O)N2CCN(C(=O)O)CC2)c1[EOS],42
13.1,O=C(NC1CCCCC1)c1cccc(-c2ncc3ccc(=O)n(C4CCS(=O)(=O)CC4)c3n2)n1,0.6074255106452067,2.8009964770384013,[BOS]O=C(NC1CCCCC1)c1cccc(-c2ncc3ccc(=O)n(C4CCS(=O)(=O)CC4)c3n2)n1[EOS][EOS],42
12.8,O=C1CC(NC(=O)N2c3ccccc3OC3CNCC32)CN1CC1CC=c2ccccc2=C1c1cncnc1,0.5311762597410455,4.548728832176307,[BOS]O=C1C[C@@H](NC(=O)N2c3ccccc3O[C@H]3CNC[C@H]32)CN1CC1CC=c2ccccc2=C1c1cncnc1[EOS],42
11.3,Cc1ccncc1-c1noc(-c2ccc3nnc(-c4ccccc4F)n3c2)n1,0.47680840288848125,2.558720302636397,[BOS]Cc1ccncc1-c1noc(-c2ccc3nnc(-c4ccccc4F)n3c2)n1[EOS],42
12.3,O=C1NC2CCN(S(=O)(=O)CCc3cccc(Cl)c3)CC2C(=O)N1Cc1ccc(F)cc1-c1cccc2[nH]ccc12,0.3162633115514742,3.6791724806428183,[BOS]O=C1N[C@@H]2CCN(S(=O)(=O)CCc3cccc(Cl)c3)C[C@@H]2C(=O)N1Cc1ccc(F)cc1-c1cccc2[nH]ccc12[EOS],42
13.1,O=C(NC1C2COCC1CN(C(=O)c1cccc(C(F)c3cccc(F)c3)c1)C2)C1CNc2ccccc21,0.5297719403769595,4.810595192712173,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)c1cccc([C@H](F)c3cccc(F)c3)c1)C2)[C@@H]1CNc2ccccc21[EOS],42
11.9,CC(=O)Nc1cc(C(=O)N2CCc3cccc(C(F)(F)F)c3C2)cc(C(F)(F)F)c1,0.6908182837107423,2.4533526652168227,[BOS]CC(=O)Nc1cc(C(=O)N2CCc3cccc(C(F)(F)F)c3C2)cc(C(F)(F)F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(NCC1CCN(C(=O)C2CCc3ccccc3C2)C1c1cccnc1)C1CCC(F)(F)C1,0.7122199232643887,3.9278326525868597,[BOS]O=C(NC[C@@H]1CCN(C(=O)[C@@H]2CCc3ccccc3C2)[C@H]1c1cccnc1)[C@H]1CCC(F)(F)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,O=C(CCc1ccc(C(F)(F)F)cn1)N1CCOC2(CCN(C(=O)c3cccc4ccnn34)C2)C1,0.5656563087916237,3.9650558969357386,[BOS]O=C(CCc1ccc(C(F)(F)F)cn1)N1CCO[C@]2(CCN(C(=O)c3cccc4ccnn34)C2)C1[EOS],42
12.9,Cc1ccc2[nH]c(C(=O)N3CCCCC3C3CCN(C(=O)c4ccc5c(c4)OCO5)CC3)cc2c1,0.5956708655997835,2.9625216585955645,[BOS]Cc1ccc2[nH]c(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)c4ccc5c(c4)OCO5)CC3)cc2c1[EOS],42
13.3,Cc1cc(F)c(F)c(C(=O)N2C3CCC2CC(NC(=O)Cc2ccc4c(c2)C(=O)c2ccccc2CO4)C3)c1,0.5213327121511047,4.182079579095987,[BOS]Cc1cc(F)c(F)c(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)Cc2ccc4c(c2)C(=O)c2ccccc2CO4)C3)c1[EOS],42
13.1,CC1CCCCN1C(=O)c1ccc(CN2C(=O)COc3ccc(C(=O)N4c5ccccc5CC4C)cc32)cc1,0.47036973206959953,3.243830733089731,[BOS]C[C@H]1CCCCN1C(=O)c1ccc(CN2C(=O)COc3ccc(C(=O)N4c5ccccc5C[C@@H]4C)cc32)cc1[EOS],42
13.2,O=C(Nc1cc(C2CCCCN2C(=O)C2CCc3ccccc3C2O)[nH]n1)C1CC1c1ccccc1,0.49657842912728484,3.933695763840654,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2CCc3ccccc3[C@H]2O)[nH]n1)[C@H]1C[C@@H]1c1ccccc1[EOS],42
11.9,Cc1cc(OC(=O)C2CCN(C3=NS(=O)(=O)c4ccccc43)CC2)ccc1C(N)=O,0.5898538924053532,2.5251196371337947,[BOS]Cc1cc(OC(=O)C2CCN(C3=NS(=O)(=O)c4ccccc43)CC2)ccc1C(N)=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.2,O=C1CCc2ccc(C(=O)NC3CC4CCC(C3)N4C(=O)C3Cc4n[nH]c(C(F)(F)F)c4C3)cc2N1,0.6012172236202438,4.783252861909336,[BOS]O=C1CCc2ccc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)[C@H]3Cc4n[nH]c(C(F)(F)F)c4C3)cc2N1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,Cc1cccc(C(=O)NCC2OCC3CCN(C(=O)c4cc(C)c5ccncc5n4)CC32)c1F,0.643326175782368,3.8202249820809246,[BOS]Cc1cccc(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4cc(C)c5ccncc5n4)C[C@@H]32)c1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,Oc1cc2c(cc1-c1nc(-c3cccc4c3CCCCC4)no1)CCNC2,0.6746413083069558,2.691278654145714,[BOS]Oc1cc2c(cc1-c1nc(-c3cccc4c3CCCCC4)no1)CCNC2[EOS],42
13.7,O=C(Nc1cc(C2CCCCN2C(=O)C2CCc3ccccc32)[nH]n1)C1CCc2[nH]c(=O)[nH]c(=O)c2C1,0.4328552616785605,3.9904117133455452,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2CCc3ccccc32)[nH]n1)[C@H]1CCc2[nH]c(=O)[nH]c(=O)c2C1[EOS],42
12.1,COc1ccc2[nH]cc(C3=CCN(S(=O)(=O)c4ccc5ccccc5c4F)CC3)c2c1,0.49256667811861105,2.567072761510781,[BOS]COc1ccc2[nH]cc(C3=CCN(S(=O)(=O)c4ccc5ccccc5c4F)CC3)c2c1[EOS],42
13.0,Cc1cccc2[nH]c(C(=O)N3CCCCC3C3CCN(C(=O)CC4OCCc5ccccc54)CC3)cc12,0.5217834689616083,3.434387912693075,[BOS]Cc1cccc2[nH]c(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)C[C@H]4OCCc5ccccc54)CC3)cc12[EOS],42
13.5,O=C1CCc2ccc(C(=O)Nc3cc(F)cc4c3-c3ccc(F)cc3C4)c(F)c2N1,0.5000869711727433,2.7831889648648875,[BOS]O=C1CCc2ccc(C(=O)Nc3cc(F)cc4c3-c3ccc(F)cc3C4)c(F)c2N1[EOS],42
13.1,O=C(C1CC12C(=O)Nc1ccccc12)N1CCC2C1CCN2S(=O)(=O)c1ccc(F)c(C2CNCCO2)c1,0.6122128383007994,4.802196379551214,[BOS]O=C([C@H]1C[C@]12C(=O)Nc1ccccc12)N1CC[C@H]2[C@@H]1CCN2S(=O)(=O)c1ccc(F)c([C@H]2CNCCO2)c1[EOS],42
13.3,CC(C)c1nn2ccccc2c1C(=O)NC1CC2CCC(C1)N2C(=O)C1CC12C(=O)Nc1ccccc12,0.5756152684374405,5.285931889471016,[BOS]CC(C)c1nn2ccccc2c1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1C[C@]12C(=O)Nc1ccccc12[EOS],42
12.5,Cc1c(NC(=O)C2(C)Cc3ccccc3C(=O)O2)cccc1-c1nnc2n1CCCCC2,0.632740871193639,3.089625682880512,[BOS]Cc1c(NC(=O)[C@]2(C)Cc3ccccc3C(=O)O2)cccc1-c1nnc2n1CCCCC2[EOS],42
12.6,Cc1cccc2[nH]c(C(=O)N3C4CCC3CC(NC(=O)C3CCc5ccccc5C3O)C4)cc12,0.5552789162283875,4.488923777646109,[BOS]Cc1cccc2[nH]c(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)[C@H]3CCc5ccccc5[C@H]3O)C4)cc12[EOS],42
13.8,O=C(NC1CC2CCC(C1)N2C(=O)C1CCc2ccccc2C1)c1n[nH]c2cc(-c3ccc(O)cc3)ccc12,0.3530347900152113,4.324371128832439,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1CCc2ccccc2C1)c1n[nH]c2cc(-c3ccc(O)cc3)ccc12[EOS],42
13.0,O=C(NC1CC2CCC(C1)N2C(=O)C1=NOC(c2ccccc2)C1)C1=C2c3ccccc3C(=O)N2CC1,0.7024333453322288,4.641423541711281,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=NO[C@@H](c2ccccc2)C1)C1=C2c3ccccc3C(=O)N2CC1[EOS],42
11.8,CC(C)n1nc(-c2nc(-c3ccc(C4(C)NC(=O)NC4=O)cc3)no2)c2ccccc2c1=O,0.46262779752279726,3.139064215573061,[BOS]CC(C)n1nc(-c2nc(-c3ccc([C@@]4(C)NC(=O)NC4=O)cc3)no2)c2ccccc2c1=O[EOS][EOS][EOS],42
12.9,CC1Oc2ccc(C(=O)NC3CC4CCC(C3)N4C(=O)C3COc4ccccc4O3)cc2NC1=O,0.7038012160774801,4.489436613408694,[BOS]C[C@H]1Oc2ccc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)[C@H]3COc4ccccc4O3)cc2NC1=O[EOS],42
12.3,Clc1cc(C[NH+]2Cc3ccccc3-c3ccccc3C2)cc(-c2nn[n-]n2)c1,0.586930685132921,3.93179827682207,[BOS]Clc1cc(C[NH+]2Cc3ccccc3-c3ccccc3C2)cc(-c2nn[n-]n2)c1[EOS],42
12.1,c1ccc2c(c1)COC21CCN(c2nnc(Cc3cccc4ccccc34)n2CC2CC2)CC1,0.4050790315124697,3.203403127546487,[BOS]c1ccc2c(Cc3nnc(N4CCC5(CC4)OCc4ccccc45)n3CC3CC3)cccc2c1[EOS],42
12.3,Cc1cccc(C(=O)NC2CC3CCC(C2)N3C(=O)c2ccc3c(c2)C(C2CCOCC2)CN3)c1F,0.6541156524947654,4.4949493377185945,[BOS]Cc1cccc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2ccc3c(c2)[C@@H](C2CCOCC2)CN3)c1F[EOS],42
13.0,O=C1CC(C(=O)N2CCCCC2C2CCN(C(=O)C3CNC(=O)N3)CC2)=Cc2ccccc2N1,0.6311638749127111,3.775148041658091,[BOS]O=C1CC(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)[C@H]3CNC(=O)N3)CC2)=Cc2ccccc2N1[EOS],42
12.3,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)Nc1cc(F)cc(N2CC(C)OC(C)C2)c1,0.5594292328514684,3.2914580691555733,[BOS]Cc1onc(-c2c(F)cccc2Cl)c1C(=O)Nc1cc(F)cc(N2C[C@@H](C)O[C@@H](C)C2)c1[EOS],42
12.6,CCn1nc(C(=O)N2C3CCC2CC(NC(=O)C2CC24C(=O)Nc2ccccc24)C3)c2ccccc21,0.5956674662184831,5.032571006530764,[BOS]CCn1nc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)[C@H]2C[C@@]24C(=O)Nc2ccccc24)C3)c2ccccc21[EOS],42
12.5,O=C(NCC1OCC2CCN(C(=O)Cc3ccc4c(c3)CCO4)CC21)C1=C2c3ccccc3C(=O)N2CC1,0.6636896435193913,4.034559572343005,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3ccc4c(c3)CCO4)C[C@@H]21)C1=C2c3ccccc3C(=O)N2CC1[EOS][EOS][EOS][EOS][EOS],42
12.8,Cc1cccc(C(=O)N2CCC3(C2)CN(C(=O)c2cccnc2-c2cccc(C(F)(F)F)c2)CCO3)c1,0.5074571888147476,3.5486263831617118,[BOS]Cc1cccc(C(=O)N2CC[C@@]3(C2)CN(C(=O)c2cccnc2-c2cccc(C(F)(F)F)c2)CCO3)c1[EOS],42
12.9,O=C1CCCc2ccc(N3C(=O)NC4(Cc5ccccc5C4)C3=O)cc2CN1Cc1ccc(F)c(F)c1,0.5404366178190285,3.254987533681291,[BOS]O=C1CCCc2ccc(N3C(=O)NC4(Cc5ccccc5C4)C3=O)cc2CN1Cc1ccc(F)c(F)c1[EOS],42
12.4,O=C1CCCN1c1cccc(-c2noc(C3CC(=O)N(c4ccc5c(c4)CCC5)C3)n2)c1,0.6302504827680823,2.987699674199092,[BOS]O=C1C[C@@H](c2nc(-c3cccc(N4CCCC4=O)c3)no2)CN1c1ccc2c(c1)CCC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.8,O=C(C1CC1c1ccccc1)N1CCC(C2CCCCN2C(=O)c2cnnc3ccccc23)CC1,0.55830558385721,3.447865835696005,[BOS]O=C([C@@H]1C[C@H]1c1ccccc1)N1CCC([C@H]2CCCCN2C(=O)c2cnnc3ccccc23)CC1[EOS],42
12.0,Cc1cnc2c(S(=O)(=O)N3CCN(C(=O)c4cccc5cnccc45)CC3)cccc2c1,0.482487649026638,2.374702712295603,[BOS]Cc1cnc2c(S(=O)(=O)N3CCN(C(=O)c4cccc5cnccc45)CC3)cccc2c1[EOS],42
13.6,O=C1c2ccccc2COc2ccc(CC(=O)N3C4CCC3CC(NC(=O)C(F)c3ccccc3)C4)cc21,0.5378078707644781,4.344736293582137,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1ccc2c(c1)C(=O)c1ccccc1CO2)[C@H](F)c1ccccc1[EOS],42
12.8,CC1(C2CCN(C(=O)c3cc(-c4ccccc4)nc4cc(F)ccc34)CC2)CC(=O)NC1=O,0.6195353085630322,3.0054439526513574,[BOS]C[C@]1(C2CCN(C(=O)c3cc(-c4ccccc4)nc4cc(F)ccc34)CC2)CC(=O)NC1=O[EOS],42
12.0,Cc1ccccc1-c1noc(C)c1C(=O)Nc1cc(C(=O)N(C)c2ccccc2)ccc1Cl,0.3885797902198678,2.2434742960184675,[BOS]Cc1ccccc1-c1noc(C)c1C(=O)Nc1cc(C(=O)N(C)c2ccccc2)ccc1Cl[EOS],42
12.9,O=C(NCC1CCc2ccccc2C1)c1ccccc1OCC(=O)N1CCc2ccccc2C1C(=O)O,0.5165724086771026,3.1874597315284454,[BOS]O=C(NC[C@@H]1CCc2ccccc2C1)c1ccccc1OCC(=O)N1CCc2ccccc2C1C(=O)O[EOS],42
