rv,smi,qed,sa,cur_sentence,seed
12.2,O=C(NCC(c1ccccc1)c1c[nH]c2ccccc12)N1CCc2n[nH]c(=O)cc2C1,0.4797411512813482,3.083932218308737,[BOS]O=C(NC[C@H](c1ccccc1)c1c[nH]c2ccccc12)N1CCc2n[nH]c(=O)cc2C1[EOS],42
12.6,O=C(CN1C(=O)CCc2ccccc21)NCc1ccc(-c2cccc3ccccc23)cc1,0.48819856995525973,2.0361416114630373,[BOS]O=C(CN1C(=O)CCc2ccccc21)NCc1ccc(-c2cccc3ccccc23)cc1[EOS],42
12.1,O=C(NCC1OCC2CCN(C(=O)CCc3cnc4ccccc4c3)CC21)C1CC1c1ccc(F)cc1,0.529520041033898,3.950755086176536,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)CCc3cnc4ccccc4c3)C[C@@H]21)[C@@H]1C[C@H]1c1ccc(F)cc1[EOS],42
11.0,Cc1ccc(CCC(=O)NCC(=O)NCc2nc(Cc3ccccc3F)no2)cc1,0.564899366721163,2.225589954026205,[BOS]Cc1ccc(CCC(=O)NCC(=O)NCc2nc(Cc3ccccc3F)no2)cc1[EOS],42
11.5,CC1(CNC(=O)C(=O)NC(Cc2cccc(F)c2)c2cccc(F)c2)CCCc2ccccc21,0.5184930531751757,3.3164211485217727,[BOS]C[C@@]1(CNC(=O)C(=O)N[C@@H](Cc2cccc(F)c2)c2cccc(F)c2)CCCc2ccccc21[EOS],42
12.5,CC1(C)C(=O)Nc2cc(NC(=O)c3ccc(C(F)(F)F)cc3OC(=O)c3ccccc3)ccc21,0.39639090371586405,2.4303143166456014,[BOS]CC1(C)C(=O)Nc2cc(NC(=O)c3ccc(C(F)(F)F)cc3OC(=O)c3ccccc3)ccc21[EOS],42
11.9,COc1ccc(C(=O)N2CCOCC2)cc1NCC(c1ccc(F)cc1)c1cccc(C(F)(F)F)c1,0.4295324685892049,2.8026891396586784,[BOS]COc1ccc(C(=O)N2CCOCC2)cc1NCC(c1ccc(F)cc1)c1cccc(C(F)(F)F)c1[EOS],42
11.4,O=C(c1nc(-c2ccccc2)n2c1CCCC2)N1CC=C(c2c[nH]c3ncccc23)CC1,0.5197361571370249,2.7349445764040325,[BOS]O=C(c1nc(-c2ccccc2)n2c1CCCC2)N1CC=C(c2c[nH]c3ncccc23)CC1[EOS][EOS],42
12.8,O=C(c1cc(=O)[nH]c2ccc(S(=O)(=O)Nc3ccc(F)cc3)cc12)N1CC2C3CCC(C3)C2C1,0.5949911003316046,4.33342814897434,[BOS]O=C(c1cc(=O)[nH]c2ccc(S(=O)(=O)Nc3ccc(F)cc3)cc12)N1C[C@H]2[C@H]3CC[C@@H](C3)[C@@H]2C1[EOS],42
11.6,Cc1ccc(NC(=O)C(=O)NC(Cc2cccc(F)c2)c2cccc(F)c2)c2cccnc12,0.4311980088411382,2.7573311866939108,[BOS]Cc1ccc(NC(=O)C(=O)N[C@H](Cc2cccc(F)c2)c2cccc(F)c2)c2cccnc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,O=C(NCc1ccc(OCc2ccccc2O)cc1)N1Cc2ccc(C(=O)N3CCCC3)cc2C1,0.557231216006415,2.3057991306626313,[BOS]O=C(NCc1ccc(OCc2ccccc2O)cc1)N1Cc2ccc(C(=O)N3CCCC3)cc2C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,O=C(NCCc1ccc(F)cc1)C1Cc2ccccc2CN1C(=O)C1COc2ccc(F)cc2C1,0.6091686976969044,3.145178374350902,[BOS]O=C(NCCc1ccc(F)cc1)[C@H]1Cc2ccccc2CN1C(=O)[C@H]1COc2ccc(F)cc2C1[EOS],42
11.5,c1cc2c(c(-c3nn[n-]n3)c1)C[NH+](Cc1ccc3ccccc3c1)C2,0.6227510943350526,4.427486614788309,[BOS]c1ccc2cc(C[NH+]3Cc4cccc(-c5nn[n-]n5)c4C3)ccc2c1[EOS],42
11.7,CC1CC1c1cc(NC(=O)NC2CCc3nnnn3CC2)n(-c2ccccc2)n1,0.7101750502688062,3.8033628216017004,[BOS]C[C@@H]1C[C@H]1c1cc(NC(=O)N[C@@H]2CCc3nnnn3CC2)n(-c2ccccc2)n1[EOS],42
12.8,Cc1ccc(-c2ncccc2C(=O)Nc2cc(C3CCCCN3C(=O)C3CCNC(=O)C3)[nH]n2)cc1,0.5088843314644685,3.4950940834538393,[BOS]Cc1ccc(-c2ncccc2C(=O)Nc2cc([C@H]3CCCCN3C(=O)[C@H]3CCNC(=O)C3)[nH]n2)cc1[EOS],42
13.5,O=C(NCc1ccc(N2C(=O)NC3(CCCC3)C2=O)cc1F)c1cccc(CN2CCS(=O)(=O)CC2)c1,0.5564938151811347,3.1980173781764174,[BOS]O=C(NCc1ccc(N2C(=O)NC3(CCCC3)C2=O)cc1F)c1cccc(CN2CCS(=O)(=O)CC2)c1[EOS],42
11.4,CC(NC(=O)N1CCC2COC(=O)NC2C1)C(c1ccccc1)c1ccccc1,0.8369324977004549,3.50540512929401,[BOS]C[C@@H](NC(=O)N1CC[C@H]2COC(=O)N[C@@H]2C1)C(c1ccccc1)c1ccccc1[EOS],42
11.7,CC(NC(=O)C1CCn2c(C(=O)c3ccccc3)ccc21)c1nnc2ccccn12,0.5229855031322465,3.336864205055603,[BOS]C[C@H](NC(=O)[C@@H]1CCn2c(C(=O)c3ccccc3)ccc21)c1nnc2ccccn12[EOS],42
12.0,O=C(Cc1ccc(NC(=O)N2CCC3(C2)OCc2ccccc23)cc1)N1CCc2ccccc2C1,0.6180420849663956,3.4170198312150495,[BOS]O=C(Cc1ccc(NC(=O)N2CC[C@]3(C2)OCc2ccccc23)cc1)N1CCc2ccccc2C1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,Cc1cncc(-c2ccc3c(c2)c(C)nn3-c2ccc3ccc(=O)oc3c2)c1F,0.403519957884351,2.7327981930689536,[BOS]Cc1cncc(-c2ccc3c(c2)c(C)nn3-c2ccc3ccc(=O)oc3c2)c1F[EOS],42
12.1,Cc1ccc2nc(-c3ccccc3NC(=O)C3CCN(c4ccc5c(c4)OCCO5)C3=O)[nH]c2c1,0.4355082392360907,3.0001302558806318,[BOS]Cc1ccc2nc(-c3ccccc3NC(=O)[C@H]3CCN(c4ccc5c(c4)OCCO5)C3=O)[nH]c2c1[EOS],42
13.1,O=C1Cc2ccc(C(=O)N3CCCC3C(=O)NCc3cccc(Cc4ccc(F)cc4)c3)cc2C1,0.5922284107956197,2.867288573160325,[BOS]O=C(NCc1cccc(Cc2ccc(F)cc2)c1)[C@H]1CCCN1C(=O)c1ccc2c(c1)CC(=O)C2[EOS],42
11.9,COc1ccc(C)c(C(=O)N2CCCCC2c2cc(NC(=O)c3cccc(F)c3C)n[nH]2)c1,0.5849206749987422,2.9417207912554435,[BOS]COc1ccc(C)c(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3cccc(F)c3C)n[nH]2)c1[EOS],42
12.6,O=C(NCc1ccc(N2CCCNC2=O)cc1)Nc1ccc(F)cc1-c1cc(F)c(F)c(F)c1,0.35499156005865234,2.4947166693460936,[BOS]O=C(NCc1ccc(N2CCCNC2=O)cc1)Nc1ccc(F)cc1-c1cc(F)c(F)c(F)c1[EOS],42
11.9,O=C(Nc1n[nH]c(-c2cc3ccccc3o2)n1)c1cnc2c(F)ccc(F)c2c1,0.4780747823227965,2.635279207235511,[BOS]O=C(Nc1n[nH]c(-c2cc3ccccc3o2)n1)c1cnc2c(F)ccc(F)c2c1[EOS],42
11.4,Cc1cccc2c1CCN2C(=O)Nc1ccc(CCn2nnc(-c3ccccc3)n2)cc1,0.5123090575369138,2.380694311954038,[BOS]Cc1cccc2c1CCN2C(=O)Nc1ccc(CCn2nnc(-c3ccccc3)n2)cc1[EOS],42
12.4,O=C(Nc1csnc1-c1cccc(OCc2ccc(F)c(F)c2)c1)N1CCC(C2OCCO2)CC1,0.4973936100838357,2.8854778636943035,[BOS]O=C(Nc1csnc1-c1cccc(OCc2ccc(F)c(F)c2)c1)N1CCC(C2OCCO2)CC1[EOS],42
13.0,O=C1NCc2ccccc2C1Nc1nnc(-c2ccc3ccccc3c2)c2ccccc12,0.42247491392973013,2.9583682950966708,[BOS]O=C1NCc2ccccc2[C@@H]1Nc1nnc(-c2ccc3ccccc3c2)c2ccccc12[EOS],42
11.7,Cc1ccc(-c2cncc(F)c2)cc1NC(=O)C1CC(=O)N(c2ccc(F)cc2F)C1,0.6712220261166268,2.758988206882499,[BOS]Cc1ccc(-c2cncc(F)c2)cc1NC(=O)[C@@H]1CC(=O)N(c2ccc(F)cc2F)C1[EOS],42
12.9,O=C(c1cc(-c2ccc3c(c2)OCCO3)nc2ccccc12)N1CCN(C(=O)N2CCCCC2)CC1,0.5467056337656127,2.393046078984348,[BOS]O=C(c1cc(-c2ccc3c(c2)OCCO3)nc2ccccc12)N1CCN(C(=O)N2CCCCC2)CC1[EOS],42
11.4,Nc1ccc(F)cc1-c1ccc(-c2noc(-c3ccccn3)n2)cc1OC1CCOCC1,0.4548972148318556,2.605940302134071,[BOS]Nc1ccc(F)cc1-c1ccc(-c2noc(-c3ccccn3)n2)cc1OC1CCOCC1[EOS],42
11.8,O=C1CCSc2ccc(C(=O)NC(Cc3cccc(F)c3)c3cccc(F)c3)cc2N1,0.5818854463581432,2.8390060830783685,[BOS]O=C1CCSc2ccc(C(=O)N[C@H](Cc3cccc(F)c3)c3cccc(F)c3)cc2N1[EOS][EOS][EOS][EOS],42
