rv,smi,qed,sa,cur_sentence,seed
10.5,Cc1nc2ncccn2c1C(=O)N1C2CCC1CC(NC(=O)c1cccnc1-c1ccc(F)c(F)c1)C2,0.4564440377692166,4.262061754496497,[BOS]Cc1nc2ncccn2c1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1cccnc1-c1ccc(F)c(F)c1)C2[EOS],42
10.8,O=C(Nc1ccc2c(c1)oc1ccccc12)NC1(C(=O)Nc2c(F)cccc2F)C=NC=CN1,0.3597836227606148,3.5110532371257355,[BOS]O=C(Nc1ccc2c(c1)oc1ccccc12)NC1(C(=O)Nc2c(F)cccc2F)C=NC=CN1[EOS][EOS][EOS][EOS][EOS],42
10.0,CC1(c2cccc(NC(=O)NCCc3ccc4cn[nH]c4c3)c2)COC(=O)N1,0.5465283777539577,3.1503242907956963,[BOS]C[C@@]1(c2cccc(NC(=O)NCCc3ccc4cn[nH]c4c3)c2)COC(=O)N1[EOS],42
9.4,O=C(Cc1nc(NC(=O)c2cc(F)c(F)cc2C(=O)c2ccccc2)n[nH]1)c1ccccc1,0.41786613823360247,2.429782452926762,[BOS]O=C(Cc1nc(NC(=O)c2cc(F)c(F)cc2C(=O)c2ccccc2)n[nH]1)c1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,CC(NC(=O)c1ccccc1)C(=O)Nc1cc(C2CCCCN2C(=O)C2CC2c2ccccc2)[nH]n1,0.4697390097356771,3.5483095119167247,[BOS]C[C@@H](NC(=O)c1ccccc1)C(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@@H]2C[C@H]2c2ccccc2)[nH]n1[EOS][EOS][EOS][EOS],42
10.3,O=C(Nc1ccccc1-c1cc(F)c(F)c(F)c1)NC1COc2c(F)cc(F)cc2C1,0.44131286785172696,3.024557437651729,[BOS]O=C(Nc1ccccc1-c1cc(F)c(F)c(F)c1)N[C@H]1COc2c(F)cc(F)cc2C1[EOS],42
10.0,CC(C(=O)NCc1ccc2c(N)noc2c1)N1C(=O)c2cc(Cl)c(Cl)cc2C1=O,0.6110401674178683,3.0092566462867385,[BOS]C[C@H](C(=O)NCc1ccc2c(N)noc2c1)N1C(=O)c2cc(Cl)c(Cl)cc2C1=O[EOS],42
10.5,CC1CN(C(=O)c2nn(-c3ccccc3)c3c2CCC3)C(C)(C)CN1C(=O)CN1CCc2ccccc2C1,0.533668057308623,3.351608692005194,[BOS]C[C@H]1CN(C(=O)c2nn(-c3ccccc3)c3c2CCC3)C(C)(C)CN1C(=O)CN1CCc2ccccc2C1[EOS],42
10.3,O=C1Nc2c(C(=O)NCC34CCCOC3CCN(C(=O)c3ccc5cccnc5n3)C4)cccc2C1=O,0.526456339345776,3.9399464317441186,[BOS]O=C1Nc2c(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)c3ccc5cccnc5n3)C4)cccc2C1=O[EOS][EOS],42
9.8,C=C1N=C2N=CNN2C(c2cccc3nc(C)oc23)C1C(O)=NC1CC=CCC1C,0.46009780890337676,4.867993502069281,[BOS]C=C1N=C2N=CNN2[C@H](c2cccc3nc(C)oc23)[C@H]1C(O)=NC1CC=CCC1C[EOS],42
10.5,Nc1c(C(=O)N2C3CCC2CC(NC(=O)c2ccc4c(c2)CNC4=O)C3)sc2nccnc12,0.5463703684775642,4.34018055239508,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1sc2nccnc2c1N)c1ccc2c(c1)CNC2=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.2,COc1ccc2cc(C(=O)N3CC4COCC(C3)C4NC(=O)C3COc4ccccc4O3)[nH]c2c1,0.597641768967001,4.451067733787397,[BOS]COc1ccc2cc(C(=O)N3C[C@H]4COC[C@@H](C3)[C@H]4NC(=O)[C@@H]3COc4ccccc4O3)[nH]c2c1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,Cc1n[nH]nc1C(=O)Nc1cc(C2CCCCN2C(=O)C2CCN(c3cccc(F)c3C3CCCC3C)CC2)[nH]n1,0.38416128889801193,4.0812219639056995,[BOS]Cc1n[nH]nc1C(=O)Nc1cc([C@H]2CCCCN2C(=O)C2CCN(c3cccc(F)c3C3CCCC3C)CC2)[nH]n1[EOS],42
11.3,CC1Oc2ccc(C(=O)N3CCOC4(CCN(C(=O)c5n[nH]c6ccc(F)cc56)C4)C3)cc2NC1=O,0.5653775507971991,4.098755629411977,[BOS]C[C@H]1Oc2ccc(C(=O)N3CCO[C@]4(CCN(C(=O)c5n[nH]c6ccc(F)cc56)C4)C3)cc2NC1=O[EOS],42
10.0,Nc1nc(C(=O)NC(c2ccccc2)c2cc3ccccc3o2)nc(N2CCOCC2)n1,0.49576845548718257,3.01440949416636,[BOS]Nc1nc(C(=O)N[C@H](c2ccccc2)c2cc3ccccc3o2)nc(N2CCOCC2)n1[EOS],42
9.3,Fc1cc(F)cc(-c2nsc(NCc3ccc(N4CCc5ccccc5C4)nc3)n2)c1,0.47530857406327887,2.5912703984460155,[BOS]Fc1cc(F)cc(-c2nsc(NCc3ccc(N4CCc5ccccc5C4)nc3)n2)c1[EOS],42
10.2,O=C(Nc1cccc(-c2ccc3c(c2)OCCO3)n1)c1nn(-c2ccccc2F)c2c1CCCC2,0.45543164037436007,2.5624986781739434,[BOS]O=C(Nc1cccc(-c2ccc3c(c2)OCCO3)n1)c1nn(-c2ccccc2F)c2c1CCCC2[EOS],42
10.3,CC(=O)Nc1cc(F)c(F)cc1NC(=O)CC1c2ccccc2C=CN1C(=O)OCc1ccccc1,0.46886471725649537,3.048283257305739,[BOS]CC(=O)Nc1cc(F)c(F)cc1NC(=O)C[C@@H]1c2ccccc2C=CN1C(=O)OCc1ccccc1[EOS],42
9.8,Nc1ncc(C(=O)Nc2cc(C3CCCCN3C(=O)C3CCc4ccccc4O3)[nH]n2)s1,0.5582166772636044,3.6219867055065373,[BOS]Nc1ncc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CCc4ccccc4O3)[nH]n2)s1[EOS][EOS][EOS],42
10.8,O=C(c1cc2cn[nH]c2cn1)N1CCC2(C1)CN(C(=O)C1C3Sc4ccccc4C31)CCO2,0.629778224503567,4.813850244446494,[BOS]O=C(c1cc2cn[nH]c2cn1)N1CC[C@]2(C1)CN(C(=O)[C@@H]1[C@H]3Sc4ccccc4[C@@H]31)CCO2[EOS],42
9.5,Cn1ccc2c(=O)[nH]cc(C(=O)NC3CC4CCC(C3)N4C(=O)c3cc4ncccc4[nH]3)c21,0.4496366248800995,4.391793183974027,[BOS]Cn1ccc2c(=O)[nH]cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)c3cc4ncccc4[nH]3)c21[EOS][EOS][EOS][EOS][EOS],42
9.5,O=C(NC(COc1cccc(F)c1)c1cccc(C(F)(F)F)c1)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1,0.35120145927271473,3.1379782250340487,[BOS]O=C(N[C@H](COc1cccc(F)c1)c1cccc(C(F)(F)F)c1)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1[EOS][EOS],42
10.1,Cc1ncoc1C(=O)Nc1cc(C2CCCCN2C(=O)C2CCc3[nH]c(=O)[nH]c(=O)c3C2)[nH]n1,0.4464175750447522,3.966984828141121,[BOS]Cc1ncoc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2CCc3[nH]c(=O)[nH]c(=O)c3C2)[nH]n1[EOS],42
11.0,CC1CCc2c1n[nH]c2C(=O)N1CCCCC1c1cc(NC(=O)c2ccc3c(c2)CCCC3=O)n[nH]1,0.5066380590205076,3.8085217461757335,[BOS]C[C@H]1CCc2c1n[nH]c2C(=O)N1CCCC[C@H]1c1cc(NC(=O)c2ccc3c(c2)CCCC3=O)n[nH]1[EOS],42
9.6,O=C(OC(c1cccc(F)c1)c1ccccn1)C1CCS(=O)(=O)c2ccccc21,0.6105745304155905,3.4272072334314894,[BOS]O=C(O[C@H](c1cccc(F)c1)c1ccccn1)[C@H]1CCS(=O)(=O)c2ccccc21[EOS],42
9.9,Cc1ccc(C(NC(=O)Nc2cnn(-c3ncccn3)c2)c2cccc(S(C)(=O)=O)c2)c(C)c1,0.4389527511086211,3.068297624880837,[BOS]Cc1ccc([C@@H](NC(=O)Nc2cnn(-c3ncccn3)c2)c2cccc(S(C)(=O)=O)c2)c(C)c1[EOS],42
10.2,O=C(NCc1cccnc1Oc1cccc(C(F)(F)F)c1)Nc1ccc(C(=O)N2CCOCC2)c(F)c1,0.4565650592014698,2.4712809006636522,[BOS]O=C(NCc1cccnc1Oc1cccc(C(F)(F)F)c1)Nc1ccc(C(=O)N2CCOCC2)c(F)c1[EOS][EOS],42
9.5,Cn1c(=O)oc2cc(NC(=O)NC(c3ccccc3)c3cccc(F)c3)c(F)cc21,0.5270963902831418,2.7852243434765533,[BOS]Cn1c(=O)oc2cc(NC(=O)N[C@H](c3ccccc3)c3cccc(F)c3)c(F)cc21[EOS][EOS][EOS],42
10.1,CC1c2cc3c(cc2C2(CCCC2)CN1c1nc(-c2ccncc2F)cc(=O)n1C)OCCO3,0.5701240757844885,3.963799008202079,[BOS]Cn1c(N2CC3(CCCC3)c3cc4c(cc3[C@H]2C)OCCO4)nc(-c2ccncc2F)cc1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.4,NC(=O)c1cc2c([nH]c1=O)CCCC2NC(=O)c1c2ccccc2cc2ccccc12,0.44874386958124873,2.9365919084889143,[BOS]NC(=O)c1cc2c([nH]c1=O)CCC[C@H]2NC(=O)c1c2ccccc2cc2ccccc12[EOS],42
10.7,O=C1CN(c2ccc(NC(=O)C3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)cn2)CCN1,0.4812127696488631,3.0425388531657003,[BOS]O=C1CN(c2ccc(NC(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)Cc4ccccc4-5)C3)cn2)CCN1[EOS],42
