rv,smi,qed,sa,cur_sentence,seed
11.8,Cc1ccc(C(=O)N2CC(C)CC(C)C2)cc1NC(=O)c1cc(C)c2c(=O)n(C)c(=O)n(C)c2n1,0.6242354100625832,3.2635574195266734,[BOS]Cc1cc(C(=O)Nc2cc(C(=O)N3C[C@H](C)C[C@@H](C)C3)ccc2C)nc2c1c(=O)n(C)c(=O)n2C[EOS],42
12.5,O=C(Nc1nc(-c2cccc3ccccc23)cs1)C1CCCN(C(=O)Nc2ccccc2)C1,0.40474162995463747,2.57943943749115,[BOS]O=C(Nc1nc(-c2cccc3ccccc23)cs1)[C@@H]1CCCN(C(=O)Nc2ccccc2)C1[EOS],42
11.2,Cc1cc(C)cc(C(=O)N2CCCC(C(=O)Nc3cccc(-n4nnnc4C)c3)C2)c1,0.7028537451582889,2.7426534528434345,[BOS]Cc1cc(C)cc(C(=O)N2CCC[C@@H](C(=O)Nc3cccc(-n4nnnc4C)c3)C2)c1[EOS],42
11.8,Fc1ccc(-c2noc(-c3ccc4nn[nH]c4c3)n2)c2ccccc12,0.5292679539713937,2.597351028276435,[BOS]Fc1ccc(-c2noc(-c3ccc4nn[nH]c4c3)n2)c2ccccc12[EOS],42
11.3,NC(=O)c1ccc(C(=O)NCC23CCCOC2CCN(C(=O)CC2CCc4ccccc4C2)C3)cc1,0.6509889057809868,3.7561703518937364,[BOS]NC(=O)c1ccc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)C[C@@H]2CCc4ccccc4C2)C3)cc1[EOS],42
12.6,O=C1NC(=O)c2ccc(NC(=O)C3CCN(c4noc5ccc(Cl)cc45)CC3)c3cccc1c23,0.4270508705312747,2.6150638239771773,[BOS]O=C1NC(=O)c2ccc(NC(=O)C3CCN(c4noc5ccc(Cl)cc45)CC3)c3cccc1c23[EOS],42
10.9,Cc1cccc(N2CCCC3(CCN(S(=O)(=O)C4CCC(=O)c5ccccc54)C3)C2)c1C,0.6806013126610322,4.032270405226375,[BOS]Cc1cccc(N2CCC[C@]3(CCN(S(=O)(=O)C4CCC(=O)c5ccccc54)C3)C2)c1C[EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,Cc1ccc2ncc(O)c(C(=O)NCC3c4ccccc4CCc4ccccc43)c2c1,0.5063416715517426,2.5038944728331654,[BOS]Cc1ccc2ncc(O)c(C(=O)NCC3c4ccccc4CCc4ccccc43)c2c1[EOS],42
11.7,Cn1c2ccccc2c(=O)c2ccc(-c3cccc(C(=O)N4CCCC(CO)CC4)c3)cc21,0.4740314326770928,2.71049278028509,[BOS]Cn1c2ccccc2c(=O)c2ccc(-c3cccc(C(=O)N4CCC[C@H](CO)CC4)c3)cc21[EOS],42
12.3,O=C(NC1CC2CCC(C1)N2C(=O)c1c[nH]c(=O)cn1)c1n[nH]c2ccc(-c3ccccc3)cc12,0.42492193449793464,4.170503238755089,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1c[nH]c(=O)cn1)c1n[nH]c2ccc(-c3ccccc3)cc12[EOS][EOS],42
10.8,NC(=O)C1CN(C(=O)NC(COc2cccc(F)c2)c2cccc(C(F)(F)F)c2)CCO1,0.6554682901721971,3.2589616128029384,[BOS]NC(=O)[C@@H]1CN(C(=O)N[C@@H](COc2cccc(F)c2)c2cccc(C(F)(F)F)c2)CCO1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.9,CN1CCc2c(cccc2-c2ccc(NS(=O)(=O)c3ccc4c(c3)CN=C(O)C4)nc2F)C1=O,0.5566178586563783,3.1680104193460945,[BOS]CN1CCc2c(cccc2-c2ccc(NS(=O)(=O)c3ccc4c(c3)CN=C(O)C4)nc2F)C1=O[EOS],42
11.4,O=C(NCC1CCC2C1OCCN2C(=O)c1cccc2cc(O)ccc12)c1ccnnc1,0.6560307578483636,3.75557532840339,[BOS]O=C(NC[C@@H]1CC[C@@H]2[C@H]1OCCN2C(=O)c1cccc2cc(O)ccc12)c1ccnnc1[EOS],42
11.8,O=C1Nc2cc(Cl)ccc2C1=C1CCN(C(=O)C2(c3cccc(Cl)c3)CCOCC2)CC1,0.6227112832316817,2.817444016643428,[BOS]O=C1Nc2cc(Cl)ccc2C1=C1CCN(C(=O)C2(c3cccc(Cl)c3)CCOCC2)CC1[EOS],42
11.3,O=C(NC1CN(C(=O)C2CCc3ccccc3C2)CC1O)c1cn[nH]c(=O)c1,0.6844042267943007,3.5632277249629194,[BOS]O=C(N[C@@H]1CN(C(=O)[C@@H]2CCc3ccccc3C2)C[C@@H]1O)c1cn[nH]c(=O)c1[EOS],42
12.4,CN(Cc1c2ccccc2cc2ccccc12)c1ccc2c(n1)N(C)CC(=O)N2,0.5332965771657358,2.6472198665761706,[BOS]CN(Cc1c2ccccc2cc2ccccc12)c1ccc2c(n1)N(C)CC(=O)N2[EOS],42
10.9,O=C(NCC1CCc2ccccc2C1)C1COc2ccc(F)cc2C1,0.9317514927911383,2.9870473675798426,[BOS]O=C(NC[C@H]1CCc2ccccc2C1)[C@@H]1COc2ccc(F)cc2C1[EOS],42
11.5,O=C1CN(c2ccc(C(F)(F)F)cc2NC(=O)NCCc2cccc(-c3ccccc3)c2)CCN1,0.4781094516471931,2.372127908943174,[BOS]O=C(NCCc1cccc(-c2ccccc2)c1)Nc1cc(C(F)(F)F)ccc1N1CCNC(=O)C1[EOS],42
11.9,O=C(c1[nH]c2ccc(Cl)cc2c1-c1cccc(C2=NS(=O)(=O)c3cc(F)ccc3O2)c1)N1CCNCC1,0.4067290189807822,3.0500438241552548,[BOS]O=C(c1[nH]c2ccc(Cl)cc2c1-c1cccc(C2=NS(=O)(=O)c3cc(F)ccc3O2)c1)N1CCNCC1[EOS][EOS][EOS][EOS][EOS],42
11.6,Cc1cc(C)n2ccc(C(=O)N3CCc4ncnc(-c5cccnc5)c4CC3)c2c1,0.5179674179744267,2.85703530594774,[BOS]Cc1cc(C)n2ccc(C(=O)N3CCc4ncnc(-c5cccnc5)c4CC3)c2c1[EOS],42
11.8,CC(=O)N1C=Cc2ccccc2C1Cc1nnc(NS(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)o1,0.5571897380226573,3.6192108542738364,[BOS]CC(=O)N1C=Cc2ccccc2[C@H]1Cc1nnc(NS(=O)(=O)c2ccc3c(c2)C(C)(C)C(=O)N3)o1[EOS][EOS][EOS][EOS][EOS],42
10.5,CN(C)C(=O)CC1CN(C(=O)C2(Cc3cccc(F)c3)CCCCC2)c2ccc(Cl)cc21,0.5887757426409392,3.23026019793068,[BOS]CN(C)C(=O)C[C@@H]1CN(C(=O)C2(Cc3cccc(F)c3)CCCCC2)c2ccc(Cl)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(c1cccc(-c2c(F)cccc2F)c1)N1C2CCC1CN(c1ccc3nncn3n1)C2,0.48153633844423227,4.121428750775648,[BOS]O=C(c1cccc(-c2c(F)cccc2F)c1)N1[C@H]2CC[C@H]1CN(c1ccc3nncn3n1)C2[EOS],42
12.7,O=C(c1cc(-c2cccc3cnccc23)nc2ccccc12)N1CCS(=O)(=O)C2CCCCC21,0.4257861403715604,3.519662270286604,[BOS]O=C(c1cc(-c2cccc3cnccc23)nc2ccccc12)N1CCS(=O)(=O)C2CCCCC21[EOS],42
11.4,Cc1noc(N)c1C(=O)N1CCC(C2CCCCN2C(=O)c2cccc3c2OCCO3)CC1,0.7590125532477058,3.1927412013377214,[BOS]Cc1noc(N)c1C(=O)N1CCC([C@@H]2CCCCN2C(=O)c2cccc3c2OCCO3)CC1[EOS][EOS],42
11.3,O=C(Nc1ncnc2n[nH]nc12)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1,0.49863769512714423,2.557612934371628,[BOS]O=C(Nc1ncnc2n[nH]nc12)c1cccc(S(=O)(=O)N2CCc3ccccc3C2)c1[EOS],42
11.8,CC(Nc1cnccn1)C(=O)N1CCCCC1C1CCN(C(=O)c2cccc(-c3cnccn3)c2)CC1,0.5518224516561171,3.4338366306417933,[BOS]C[C@H](Nc1cnccn1)C(=O)N1CCCC[C@H]1C1CCN(C(=O)c2cccc(-c3cnccn3)c2)CC1[EOS],42
11.4,O=C1CCc2c(F)ccc(Oc3cc(C[NH+]4CCC5(C4)C(=O)NCC5c4ccccc4)cc(F)c3[O-])c21,0.5599501192755831,5.261855068843665,[BOS]O=C1NC[C@H](c2ccccc2)[C@]12CC[NH+](Cc1cc(F)c([O-])c(Oc3ccc(F)c4c3C(=O)CC4)c1)C2[EOS],42
11.6,Cc1cccc(C(NC(=O)NC(C)c2ccc3c(c2)cc(O)n3C)c2cccc(C)c2)c1,0.38522916100003995,2.963643274853757,[BOS]Cc1cccc(C(NC(=O)N[C@H](C)c2ccc3c(c2)cc(O)n3C)c2cccc(C)c2)c1[EOS],42
12.6,O=C(Nc1cccc(-c2ccc(F)cc2Cl)n1)C(=O)N1CC=C(c2c[nH]c3ccncc23)CC1,0.4210996142109443,2.8460176701310225,[BOS]O=C(Nc1cccc(-c2ccc(F)cc2Cl)n1)C(=O)N1CC=C(c2c[nH]c3ccncc23)CC1[EOS],42
11.1,Cc1cccc(F)c1C1CCN(S(=O)(=O)c2cc(F)ccc2Cl)C2(CCNCC2)CC1O,0.691127641500467,4.153136420973808,[BOS]O=S(=O)(c1cc(F)ccc1Cl)N1CCC(c2c(C)cccc2F)[C@H](O)CC12CCNCC2[EOS],42
10.9,Nc1nc(C(=O)N2CC3CCC(=O)c4cccc2c43)nc(N2CCOCC2)n1,0.820924318347403,3.386505487376893,[BOS]Nc1nc(C(=O)N2C[C@@H]3CCC(=O)c4cccc2c43)nc(N2CCOCC2)n1[EOS],42
11.5,Cc1ccc(-n2nc(C(=O)N3CCCC(c4nc(N(C)C)no4)C3)c(=O)c3ccccc32)cc1Cl,0.42687649328578126,3.2221849658765187,[BOS]Cc1ccc(-n2nc(C(=O)N3CCC[C@@H](c4nc(N(C)C)no4)C3)c(=O)c3ccccc32)cc1Cl[EOS],42
11.0,Cn1nc(Cc2nc(C(C)(C)c3c(O)[nH]c(=O)n(C)c3=O)no2)c2ccccc2c1=O,0.4758383257742166,3.143446690027737,[BOS]Cn1nc(Cc2nc(C(C)(C)c3c(O)[nH]c(=O)n(C)c3=O)no2)c2ccccc2c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,O=C(CC1CCc2c1[nH]c1c(Br)cc(F)cc21)N1CCN(c2noc3ccccc23)CC1,0.4339093293437917,3.273820148302889,[BOS]O=C(C[C@H]1CCc2c1[nH]c1c(Br)cc(F)cc21)N1CCN(c2noc3ccccc23)CC1[EOS],42
12.1,O=C1Cc2cc(C3=Cc4c[nH]c5cccc(c45)CC3)ccc2C(=O)N1Cc1ccc2c(c1)OCO2,0.4297784601289754,2.9265113742157656,[BOS]O=C1Cc2cc(C3=Cc4c[nH]c5cccc(c45)CC3)ccc2C(=O)N1Cc1ccc2c(c1)OCO2[EOS],42
12.0,Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)N4Cc5ccccc5C4)c3)cc21,0.5894225775231204,2.4200725019276206,[BOS]Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)N4Cc5ccccc5C4)c3)cc21[EOS],42
11.6,CC1Oc2ccc(C(=O)C3CCN(c4ccc5nnc(-c6ccccc6)n5n4)CC3)cc2NC1=O,0.4566643313056177,3.082133423301447,[BOS]C[C@H]1Oc2ccc(C(=O)C3CCN(c4ccc5nnc(-c6ccccc6)n5n4)CC3)cc2NC1=O[EOS],42
11.8,O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CC2)Nc1ccccc1-c1cn[nH]c1,0.5196700337909604,2.3937086063919146,[BOS]O=C(Cc1ccc2c(c1)C(=O)c1ccccc1CC2)Nc1ccccc1-c1cn[nH]c1[EOS],42
11.0,CC1=NC(=O)NC(c2ccccc2)C1C(=O)Oc1ccc2cccc(C)c2c1,0.5398026883395795,3.2286250511975805,[BOS]CC1=NC(=O)N[C@H](c2ccccc2)C1C(=O)Oc1ccc2cccc(C)c2c1[EOS],42
11.4,O=C(NCC1C2Cc3ccccc3C12)c1cccc2c(=O)c3cccc(F)c3[nH]c12,0.5098113788967079,3.5296690339933523,[BOS]O=C(NC[C@@H]1[C@H]2Cc3ccccc3[C@@H]12)c1cccc2c(=O)c3cccc(F)c3[nH]c12[EOS],42
12.6,O=C(Nc1cccc(-c2ccc3ccccc3c2)n1)c1cc(=O)[nH]c2c1CCCC2,0.5269782368916099,2.412387669101827,[BOS]O=C(Nc1cccc(-c2ccc3ccccc3c2)n1)c1cc(=O)[nH]c2c1CCCC2[EOS],42
12.9,O=S(=O)(C1CCC2N=C(O)N=C(O)C2C1)C1c2cc3ccnc(O)c3cc2-c2c1ccc(Cl)c2Cl,0.41816386765995933,4.947255104899797,[BOS]O=S(=O)(C1c2ccc(Cl)c(Cl)c2-c2cc3c(O)nccc3cc21)C1CCC2N=C(O)N=C(O)C2C1[EOS],42
12.0,Cc1ccc(C(=O)N2CCCC(c3cccc(C(=O)O)c3)C2)c2ccccc12,0.7127564232622896,2.493646961735868,[BOS]Cc1ccc(C(=O)N2CCC[C@@H](c3cccc(C(=O)O)c3)C2)c2ccccc12[EOS],42
11.4,O=C(NCc1ccc2c(c1)C(=O)NCC2)Nc1nc2c(s1)CC1(CCOCC1)CC2,0.7034525698094505,3.427849481279928,[BOS]O=C(NCc1ccc2c(c1)C(=O)NCC2)Nc1nc2c(s1)CC1(CCOCC1)CC2[EOS],42
11.7,O=C1CCOc2c(NC(=O)c3cc(-c4ccccc4)nc4ccccc34)cccc21,0.523686496156242,2.1844595222486785,[BOS]O=C1CCOc2c(NC(=O)c3cc(-c4ccccc4)nc4ccccc34)cccc21[EOS],42
11.8,CC(=O)n1cc(-c2nc(-c3cnccc3C)no2)c2c(ccc3ccccc32)c1=O,0.4147217624650982,2.7530302044734327,[BOS]CC(=O)n1cc(-c2nc(-c3cnccc3C)no2)c2c(ccc3ccccc32)c1=O[EOS],42
12.8,NC(=O)Nc1ccc(-c2cccc(-n3c(O)nnc3-c3ccc4c(c3)CCCCC4)c2)cn1,0.4048638400813625,2.653205949244274,[BOS]NC(=O)Nc1ccc(-c2cccc(-n3c(O)nnc3-c3ccc4c(c3)CCCCC4)c2)cn1[EOS],42
12.7,O=c1cccccc1C=C1C=C(c2ccccc2Cl)NNC1=C1N=c2ccc(Cl)cc2=C1F,0.5727313010122396,3.2780021790013585,[BOS]O=C1C=CC=CC=C1C=C1C=C(c2ccccc2Cl)NNC1=C1N=c2ccc(Cl)cc2=C1F[EOS],42
10.8,CN1C(=O)CC(C(=O)Nc2cc3c(cc2F)CCC(=O)N3)C1c1ccc(Cl)c(F)c1,0.7749872564961774,3.4039229248152756,[BOS]CN1C(=O)C[C@H](C(=O)Nc2cc3c(cc2F)CCC(=O)N3)[C@@H]1c1ccc(Cl)c(F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,Cn1nc(NC(=O)c2cc3c([nH]c2=O)CCCC3)c2c1NC(=O)CC2Cc1cccc(C(F)(F)F)c1,0.505535289375783,3.611015854411601,[BOS]Cn1nc(NC(=O)c2cc3c([nH]c2=O)CCCC3)c2c1NC(=O)C[C@@H]2Cc1cccc(C(F)(F)F)c1[EOS],42
11.1,CC1CN(C(=O)NC2C3Cc4ccccc4C32)CC2(CCOCC2)CO1,0.8413303405299117,4.542278072459612,[BOS]C[C@@H]1CN(C(=O)N[C@@H]2[C@H]3Cc4ccccc4[C@@H]32)CC2(CCOCC2)CO1[EOS],42
10.9,Cc1ccc2cccnc2c1S(=O)(=O)NC(=O)C1CCS(=O)(=O)c2ccccc21,0.6827381466988007,3.2547372232098146,[BOS]Cc1ccc2cccnc2c1S(=O)(=O)NC(=O)[C@H]1CCS(=O)(=O)c2ccccc21[EOS],42
10.7,O=C1CN(CC(=O)N2CCC(C3CCCCN3C(=O)c3ccc4c(c3)SCC(=O)N4)CC2)C(=O)N1,0.6065734193933284,3.3440088260163785,[BOS]O=C1CSc2cc(C(=O)N3CCCC[C@H]3C3CCN(C(=O)CN4CC(=O)NC4=O)CC3)ccc2N1[EOS][EOS][EOS],42
11.7,O=c1nc(OC2Cc3cccc4cccc2c34)c2[nH]c3ccccc3c2[nH]1,0.49873855801669686,3.3306576866035353,[BOS]O=c1nc(O[C@H]2Cc3cccc4cccc2c34)c2[nH]c3ccccc3c2[nH]1[EOS][EOS][EOS][EOS][EOS],42
12.9,O=C1CCc2cc(-c3nccn3CCc3ccc4c(c3)C3(CCOCC3)C(=O)N4)cc3c2N1CC3,0.634566971893267,3.511423855142593,[BOS]O=C1Nc2ccc(CCn3ccnc3-c3cc4c5c(c3)CCN5C(=O)CC4)cc2C12CCOCC2[EOS],42
11.2,Cc1cccc2c(=O)c(C(=O)N3CCCC3c3ccc4c(c3)OCO4)c[nH]c12,0.7425613180253986,2.844895230966637,[BOS]Cc1cccc2c(=O)c(C(=O)N3CCC[C@@H]3c3ccc4c(c3)OCO4)c[nH]c12[EOS],42
11.7,Cc1ccc(-c2cc(C(=O)N3C4CCC3CN(C)C(=O)C4)c3ccccc3n2)c(C)c1,0.627494499703602,3.853310115273631,[BOS]Cc1ccc(-c2cc(C(=O)N3[C@@H]4CC[C@H]3CN(C)C(=O)C4)c3ccccc3n2)c(C)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,O=C(N1CCSC(c2cccc3ccccc23)C1)N1CC(O)=Nc2ccc(F)c(F)c21,0.5496733673076948,3.6643333086617735,[BOS]O=C(N1CCS[C@H](c2cccc3ccccc23)C1)N1CC(O)=Nc2ccc(F)c(F)c21[EOS],42
11.9,O=C1Nc2ccccc2C1C1CCN(C(=O)c2cncc(-c3ccc4c(c3)CCO4)c2)CC1,0.6616094541979558,3.0516303970470577,[BOS]O=C1Nc2ccccc2[C@@H]1C1CCN(C(=O)c2cncc(-c3ccc4c(c3)CCO4)c2)CC1[EOS],42
13.3,Cn1cc(C2=CCN(C(=O)c3cc4c[nH][nH]c-4nc3=O)CC2)c2ccc(F)cc2c1=O,0.5193962008383693,3.159186046259741,[BOS]Cn1cc(C2=CCN(C(=O)c3cc4c[nH][nH]c4=[nH]c3=O)CC2)c2ccc(F)cc2c1=O[EOS],42
11.4,Cc1cn(C2CCOCC2)c2cc(-c3ccc4cc[nH]c(=O)c4c3F)cc(F)c12,0.5149195294462139,2.897182067026323,[BOS]Cc1cn(C2CCOCC2)c2cc(-c3ccc4cc[nH]c(=O)c4c3F)cc(F)c12[EOS][EOS][EOS][EOS][EOS][EOS],42
10.6,Cc1ccc(C2CCCC2Nc2ccc3c(=O)n(C)c(=O)n(C)c3c2)cc1,0.7768150656424657,3.0166440554174736,[BOS]Cc1ccc([C@@H]2CCC[C@@H]2Nc2ccc3c(=O)n(C)c(=O)n(C)c3c2)cc1[EOS],42
11.0,O=C(Cc1cccc2ncccc12)NCC1OCC2CCN(C(=O)Cc3cc(F)cc(F)c3)CC21,0.5892462323950459,3.635295375991335,[BOS]O=C(Cc1cccc2ncccc12)NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3cc(F)cc(F)c3)C[C@@H]21[EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,Cc1ccc2nc(-c3ccccc3)cc(C(=O)N3C(C)CN(C(=O)OC(C)(C)C)C(C)C3C)c2c1,0.4532467316453618,3.5502899161665065,[BOS]Cc1ccc2nc(-c3ccccc3)cc(C(=O)N3[C@H](C)CN(C(=O)OC(C)(C)C)[C@@H](C)[C@H]3C)c2c1[EOS],42
11.7,O=C(Nc1ccc2oc3ccccc3c2c1)C(=O)N1CCOC(c2cccc(O)c2)C1,0.48475662655811963,2.8877698514448333,[BOS]O=C(Nc1ccc2oc3ccccc3c2c1)C(=O)N1CCO[C@@H](c2cccc(O)c2)C1[EOS],42
12.6,CC(NC(=O)NC(C)c1nnc2n1CCCc1ccccc1-2)c1cccc2ccccc12,0.4740199915602532,3.12057132089115,[BOS]C[C@H](NC(=O)N[C@@H](C)c1cccc2ccccc12)c1nnc2n1CCCc1ccccc1-2[EOS],42
11.8,CC1(C)NC(=O)Nc2cc(-c3cc(C(=O)N4CCOCC4)nc4ccccc34)ccc21,0.666602606321852,2.6897139023923717,[BOS]CC1(C)NC(=O)Nc2cc(-c3cc(C(=O)N4CCOCC4)nc4ccccc34)ccc21[EOS],42
12.4,CC(=O)N1CCCc2cc(-c3ccc4cnn(C5CCNCC(F)C5)c4c3)ccc2C1C,0.6290642389593791,3.856703502963752,[BOS]CC(=O)N1CCCc2cc(-c3ccc4cnn(C5CCNCC(F)C5)c4c3)ccc2C1C[EOS],42
12.1,O=C(Nc1cc(C2CCCCN2C(=O)Cc2ccc3ncccc3c2)[nH]n1)C1CCC2CCC(=O)N2C1,0.5561880925146525,3.69129411209944,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)Cc2ccc3ncccc3c2)[nH]n1)[C@H]1CC[C@@H]2CCC(=O)N2C1[EOS],42
11.2,O=C1CC2(CCCN(C(=O)NCCc3ccc4ccccc4c3)C2)Oc2ccccc21,0.6818765450760859,3.293943826844326,[BOS]O=C1C[C@@]2(CCCN(C(=O)NCCc3ccc4ccccc4c3)C2)Oc2ccccc21[EOS],42
12.7,O=C(Nc1ccccc1-c1ccc(F)c(F)c1)Nc1cc(F)cc2c1OCN1C(=O)CCNC1CO2,0.5012932923647259,3.4480631676866196,[BOS]O=C(Nc1ccccc1-c1ccc(F)c(F)c1)Nc1cc(F)cc2c1OCN1C(=O)CCN[C@@H]1CO2[EOS],42
11.7,Cc1cccc2cc(C(=O)N3CCC4COC(CNC(=O)C5CCc6ccccc65)C4C3)[nH]c12,0.6259169240701559,3.908918580944217,[BOS]Cc1cccc2cc(C(=O)N3CC[C@H]4CO[C@@H](CNC(=O)[C@@H]5CCc6ccccc65)[C@H]4C3)[nH]c12[EOS],42
11.2,Cc1nc2cc(F)c(F)cc2n1Cc1nc(-c2ccc3c(c2)CCCC3=O)no1,0.5196370147842084,2.5823438835230785,[BOS]Cc1nc2cc(F)c(F)cc2n1Cc1nc(-c2ccc3c(c2)CCCC3=O)no1[EOS],42
12.3,O=C(c1cc2ccccc2c2cccnc12)N1Cc2ccc(O)cc2C2(CC2)C1,0.48358639150344873,2.9712498605724527,[BOS]O=C(c1cc2ccccc2c2cccnc12)N1Cc2ccc(O)cc2C2(CC2)C1[EOS],42
11.2,Cn1nc(-c2nnc(-c3cc(Br)cc4c3OCCO4)o2)c2ccccc2c1=O,0.4719227499389803,2.6685203651754836,[BOS]Cn1nc(-c2nnc(-c3cc(Br)cc4c3OCCO4)o2)c2ccccc2c1=O[EOS],42
11.6,O=C(NC1CC2CCC(C1)N2C(=O)C1Cc2ccccc2N1)c1cccc2c1oc1ccccc12,0.45254706904003084,4.261307065158482,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1Cc2ccccc2N1)c1cccc2c1oc1ccccc12[EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1ccc2cccc(C(=O)Nc3n[nH]c(C)c3-c3ccc4c(c3)OCCO4)c2n1,0.5362230323253034,2.5031785420220096,[BOS]Cc1ccc2cccc(C(=O)Nc3n[nH]c(C)c3-c3ccc4c(c3)OCCO4)c2n1[EOS],42
11.8,Cc1cc(C)c2nc(C3=CC(=O)N4CCCCC4N3)cc(C(=O)N3CCN(c4cccnc4)CC3)c2c1,0.5979662007790275,3.484554652490888,[BOS]Cc1cc(C)c2nc(C3=CC(=O)N4CCCCC4N3)cc(C(=O)N3CCN(c4cccnc4)CC3)c2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
