rv,smi,qed,sa,cur_sentence,seed
12.5,CCc1cc(C(=O)N2CCCCC2C2CCN(C(=O)Cc3cccc4ncccc34)CC2)cc(=O)[nH]1,0.591495276768556,3.127136659672601,[BOS]CCc1cc(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)Cc3cccc4ncccc34)CC2)cc(=O)[nH]1[EOS][EOS][EOS][EOS],42
12.9,CC(Oc1ccc2ccccc2c1)c1nnc(N2CCNC(=O)CCC2C)n1CC1CCCCC1C(F)(F)F,0.4102243329139586,4.149677732113032,[BOS]C[C@@H](Oc1ccc2ccccc2c1)c1nnc(N2CCNC(=O)CC[C@@H]2C)n1C[C@@H]1CCCC[C@@H]1C(F)(F)F[EOS],42
12.7,Cc1cc(C(=O)NCC2OCC3CCN(C(=O)Cc4ccc5ccccc5c4)CC32)cn(C)c1=O,0.617988869302755,3.666930204628045,[BOS]Cc1cc(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)Cc4ccc5ccccc5c4)C[C@@H]32)cn(C)c1=O[EOS],42
11.5,CC(NC(=O)NCc1ccc(N2CCc3ccccc3C2)nc1)c1nnnn1C1CC1,0.637996660868077,3.0091129283679106,[BOS]C[C@H](NC(=O)NCc1ccc(N2CCc3ccccc3C2)nc1)c1nnnn1C1CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.2,O=C1COc2cccc(NC(=O)N3CCC(c4nc(Cl)c5cc(F)ccc5n4)CC3)c2CO1,0.44382748342293454,2.870407847017553,[BOS]O=C1COc2cccc(NC(=O)N3CCC(c4nc5ccc(F)cc5c(Cl)n4)CC3)c2CO1[EOS],42
14.8,O=C(Nc1ccc2c3c(cccc13)CC2)N1Cc2cnn(-c3ccccn3)c2C=C1C(=O)N1CCC2COCCC21,0.40729458076771424,4.045178026146266,[BOS]O=C(Nc1ccc2c3c(cccc13)CC2)N1Cc2cnn(-c3ccccn3)c2C=C1C(=O)N1CC[C@@H]2[C@@H]1CCOC2[EOS],42
12.6,CC1CCCC1C(=O)Nc1cc(C2CCCCN2C(=O)c2cc(-c3cc(F)cc(F)c3)n[nH]2)[nH]n1,0.48466017204412737,3.824694666166507,[BOS]C[C@@H]1CCC[C@H]1C(=O)Nc1cc([C@H]2CCCCN2C(=O)c2cc(-c3cc(F)cc(F)c3)n[nH]2)[nH]n1[EOS],42
13.8,O=C(NC1CC2CCC(C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1cccc2ccccc12,0.6094316929795938,4.139478386269401,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1cccc2ccccc12[EOS],42
13.0,O=C(Cc1ccc2c(c1)CCC2)N1CCC2(CCCN(C(=O)C3CC(=O)N(C4CCCC4)C3)C2)CC1,0.6447631432472666,3.626056877675646,[BOS]O=C(Cc1ccc2c(c1)CCC2)N1CCC2(CCCN(C(=O)[C@H]3CC(=O)N(C4CCCC4)C3)C2)CC1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.7,Cn1ncc2c(C(=O)N3C4CCC3CC(NC(=O)c3ccnc5ncccc35)C4)cccc21,0.5285176548444462,4.113222020006416,[BOS]Cn1ncc2c(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3ccnc5ncccc35)C4)cccc21[EOS],42
