rv,smi,qed,sa,cur_sentence,seed
11.8,O=C1CC(C(=O)N2CCCCC2C2CCN(C(=O)c3cccc(-c4cnco4)c3)CC2)CCN1,0.7502252248196509,3.461076256300591,[BOS]O=C1C[C@H](C(=O)N2CCCC[C@H]2C2CCN(C(=O)c3cccc(-c4cnco4)c3)CC2)CCN1[EOS][EOS][EOS][EOS][EOS],42
11.1,Cc1ccc(-n2nc(-c3cccc4c3OC(C)(C)CC4=O)c3c(N)ncnc32)cc1C,0.522374184354811,2.7686867274750764,[BOS]Cc1ccc(-n2nc(-c3cccc4c3OC(C)(C)CC4=O)c3c(N)ncnc32)cc1C[EOS],42
12.1,O=C(c1nn(-c2ccccc2)c(=O)c2ccccc12)N1CCOCC1c1ccc(Cl)cc1,0.47254324419354937,2.726565061454254,[BOS]O=C(c1nn(-c2ccccc2)c(=O)c2ccccc12)N1CCOC[C@H]1c1ccc(Cl)cc1[EOS][EOS],42
11.9,Cc1ccc(-c2cnc(CN3C(=O)NC4(CCCCc5ccccc54)C3=O)o2)cc1C,0.6329442240639965,3.388242083989084,[BOS]Cc1ccc(-c2cnc(CN3C(=O)N[C@@]4(CCCCc5ccccc54)C3=O)o2)cc1C[EOS],42
12.0,O=C(c1cc(-c2ccccc2)nc2cc(F)ccc12)N1CCN(c2cccnn2)CC1,0.5113971542775476,2.2424705675077234,[BOS]O=C(c1cc(-c2ccccc2)nc2cc(F)ccc12)N1CCN(c2cccnn2)CC1[EOS],42
11.8,O=C(c1cccc(-c2ccc(C3CCCCO3)cc2F)c1)N1CC2(F)CC1CN2C1CCCC1,0.5283376820176895,4.597847433104343,[BOS]O=C(c1cccc(-c2ccc(C3CCCCO3)cc2F)c1)N1C[C@]2(F)C[C@H]1CN2C1CCCC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1cc(F)c2[nH]c(=O)cc(-c3nc(-c4ccc5c(c4)OC(C)(C)CC5=O)no3)c2c1,0.5159459212236693,2.875763650552001,[BOS]Cc1cc(F)c2[nH]c(=O)cc(-c3nc(-c4ccc5c(c4)OC(C)(C)CC5=O)no3)c2c1[EOS][EOS][EOS][EOS],42
11.8,O=C(Nc1cccc(-c2nnc3n2CCC3)c1)N1CCC2(C1)C(=O)Nc1ccccc12,0.6742949747179346,3.5205171150945365,[BOS]O=C(Nc1cccc(-c2nnc3n2CCC3)c1)N1CC[C@]2(C1)C(=O)Nc1ccccc12[EOS],42
11.4,Cc1cc(-c2cc(-c3cccnc3)ccn2)cc2c3c(c(=O)oc12)N1CCCC1C3,0.45852998938329725,3.2502851456155906,[BOS]Cc1cc(-c2cc(-c3cccnc3)ccn2)cc2c1oc(=O)c1c2C[C@@H]2CCCN12[EOS][EOS][EOS][EOS],42
12.6,O=C(Nc1ccc2c3c(cccc13)CC2)N1CCOc2cc(F)ccc2C1,0.6922818810287251,2.3961020085760936,[BOS]O=C(Nc1ccc2c3c(cccc13)CC2)N1CCOc2cc(F)ccc2C1[EOS],42
11.3,O=C(NCC1CCCC12NC(=O)NC2=O)Nc1ccc2c3c(cccc13)CC2,0.6174542931778312,3.9602443186981358,[BOS]O=C(NC[C@@H]1CCC[C@@]12NC(=O)NC2=O)Nc1ccc2c3c(cccc13)CC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,O=C1NCC(c2nc(-c3ccc4ccc5cccnc5c4n3)no2)n2ccnc21,0.46578658409936013,3.4088386543368276,[BOS]O=C1NC[C@@H](c2nc(-c3ccc4ccc5cccnc5c4n3)no2)n2ccnc21[EOS],42
11.2,NC(=O)C1Cc2ccccc2CN1c1ccc2nnc(-c3ccccc3F)n2n1,0.5819274359508804,2.9761899704625616,[BOS]NC(=O)[C@H]1Cc2ccccc2CN1c1ccc2nnc(-c3ccccc3F)n2n1[EOS],42
