rv,smi,qed,sa,cur_sentence,seed
11.8,O=C(Cc1ccccc1)NCC1OCC2CCN(C(=O)c3[nH]nc4c3CCc3ncccc3-4)CC21,0.5953522671959013,3.8787594876750946,[BOS]O=C(Cc1ccccc1)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3[nH]nc4c3CCc3ncccc3-4)C[C@@H]21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,O=C(NCC1CCc2ccccc2C1)N1CCc2cc(-c3ccccc3)oc2C1,0.7014325763432296,2.947201445034503,[BOS]O=C(NC[C@@H]1CCc2ccccc2C1)N1CCc2cc(-c3ccccc3)oc2C1[EOS][EOS],42
11.8,CN1CCc2cc(C(=O)NCC3CCN(C(=O)c4cccc5c4OC(C)(C)C5)C3c3cccnc3)ccc21,0.5501176762529264,3.594251070457733,[BOS]CN1CCc2cc(C(=O)NC[C@@H]3CCN(C(=O)c4cccc5c4OC(C)(C)C5)[C@@H]3c3cccnc3)ccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.7,O=C(c1[nH]cc2c1CCC2)N1CCC(C2CCCCN2C(=O)Cc2ccc3ccccc3c2)CC1,0.5757522936542755,3.130783675904354,[BOS]O=C(c1[nH]cc2c1CCC2)N1CCC([C@@H]2CCCCN2C(=O)Cc2ccc3ccccc3c2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,CC(C)(Oc1ccc2ccccc2c1)C(=O)NC1CC2CCC(C1)N2C(=O)C1(F)CCCCC1(F)F,0.5831186402300393,4.729130837806473,[BOS]CC(C)(Oc1ccc2ccccc2c1)C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@]1(F)CCCCC1(F)F[EOS],42
12.2,CC1CCC(c2ccccc2)N(c2nnc(-c3nn(C)c(=O)c4ccccc34)n2C)C1,0.5112265459122952,3.3440005489445745,[BOS]C[C@H]1CC[C@H](c2ccccc2)N(c2nnc(-c3nn(C)c(=O)c4ccccc34)n2C)C1[EOS][EOS],42
11.8,O=C(NCC1CCN(C(=O)C2CCCC3CCCCC32)C1c1cccnc1)c1cnccc1F,0.7049134084337338,4.045000306240929,[BOS]O=C(NC[C@@H]1CCN(C(=O)[C@@H]2CCC[C@@H]3CCCC[C@@H]32)[C@H]1c1cccnc1)c1cnccc1F[EOS][EOS][EOS],42
11.4,O=C(Cc1cccc2ccccc12)Nc1cccc(CS(=O)(=O)C2CCCCC2)c1,0.5897738603889493,2.195501088441109,[BOS]O=C(Cc1cccc2ccccc12)Nc1cccc(CS(=O)(=O)C2CCCCC2)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
13.1,CC1(c2cccc(C(=O)N3Cc4ccccc4C(c4ccccc4)C3)c2)NC(=O)NC1=O,0.6304440770825532,3.1894624094659703,[BOS]C[C@]1(c2cccc(C(=O)N3Cc4ccccc4[C@@H](c4ccccc4)C3)c2)NC(=O)NC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,Cc1noc(N)c1C(=O)N1CC2COCC(C1)C2NC(=O)c1cccc(Cc2ccc(F)cc2)c1,0.5835701616070393,4.199016460474547,[BOS]Cc1noc(N)c1C(=O)N1C[C@H]2COC[C@@H](C1)[C@H]2NC(=O)c1cccc(Cc2ccc(F)cc2)c1[EOS][EOS][EOS][EOS],42
11.5,O=C1CC(c2cccc(NC(=O)C(Sc3cc(F)ccc3F)c3ccccc3)c2)CN1,0.5303458147197273,3.154770298296347,[BOS]O=C1C[C@H](c2cccc(NC(=O)[C@H](Sc3cc(F)ccc3F)c3ccccc3)c2)CN1[EOS][EOS][EOS][EOS],42
12.0,O=C(c1ccc2c(c1)OCN2)C1CCCN(c2ccc3c(C(=O)N4CCCOCC4)n[nH]c3c2)C1,0.558804028440659,3.351093459324818,[BOS]O=C(c1n[nH]c2cc(N3CCC[C@@H](C(=O)c4ccc5c(c4)OCN5)C3)ccc12)N1CCCOCC1[EOS][EOS][EOS][EOS],42
12.5,Cc1ccc(-n2c(SC3CCCCN(C(=O)c4ccc(F)cc4)C3=O)nnc2N2CCCC2)c(C)c1,0.45594551568653646,3.060813130345319,[BOS]Cc1ccc(-n2c(S[C@@H]3CCCCN(C(=O)c4ccc(F)cc4)C3=O)nnc2N2CCCC2)c(C)c1[EOS][EOS],42
12.4,O=C(CC1Cc2ccccc2C1)NC1C2COCC1CN(C(=O)C1CC1c1ccc(F)cc1)C2,0.7417898869215185,4.566318639926687,[BOS]O=C(CC1Cc2ccccc2C1)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@@H]1C[C@H]1c1ccc(F)cc1)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,O=C(NC1CCN(C(=O)Cc2ccccc2)C1)C1CC(=O)N(c2cccc3ccccc23)C1,0.6613875791748502,2.9051243211638056,[BOS]O=C(Cc1ccccc1)N1CC[C@@H](NC(=O)[C@H]2CC(=O)N(c3cccc4ccccc34)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C1CCc2cc(-c3noc(C4(Cc5cccc(Br)c5)CCS(=O)(=O)CC4)n3)ccc21,0.529280714393003,3.031953487526339,[BOS]O=C1CCc2cc(-c3noc(C4(Cc5cccc(Br)c5)CCS(=O)(=O)CC4)n3)ccc21[EOS][EOS][EOS][EOS][EOS][EOS],42
12.7,CC1(c2ccc(CNC(=O)N3CCCC4(CC(c5ccccc5)CO4)C3)cc2)NC(=O)NC1=O,0.6084797199290106,4.134906945683448,[BOS]C[C@@]1(c2ccc(CNC(=O)N3CCC[C@@]4(C[C@H](c5ccccc5)CO4)C3)cc2)NC(=O)NC1=O[EOS][EOS][EOS][EOS],42
11.4,Cc1ccc2nc(C(=O)N3CCN(C(=O)C(C)Oc4ccccc4C)CC3)ccc2c1,0.6507282789320588,2.6034964598364407,[BOS]Cc1ccc2nc(C(=O)N3CCN(C(=O)[C@@H](C)Oc4ccccc4C)CC3)ccc2c1[EOS][EOS][EOS][EOS],42
