rv,smi,qed,sa,cur_sentence,seed
11.7,CC(NS(=O)(=O)c1ccc2c(c1)cc(O)n2C)C1=Cc2ccccc2CC=CC=C1,0.6609675654978092,3.974673296748854,[BOS]C[C@H](NS(=O)(=O)c1ccc2c(c1)cc(O)n2C)C1=Cc2ccccc2CC=CC=C1[EOS],42
11.3,O=C(CCc1cccc(O)c1)NC1CC2CCC(C1)N2C(=O)C(O)c1cc(F)cc2c1-c1ccccc1C2,0.35573845250608294,4.490382265225172,[BOS]O=C(CCc1cccc(O)c1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H](O)c1cc(F)cc2c1-c1ccccc1C2[EOS],42
11.2,CC1(c2cccc(NC(=O)C(C(=O)N3CCOCC3)c3ccc(C(F)(F)F)cc3)c2)NC(=O)C=CC1=O,0.59636896695501,3.7022383234473697,[BOS]C[C@@]1(c2cccc(NC(=O)[C@H](C(=O)N3CCOCC3)c3ccc(C(F)(F)F)cc3)c2)NC(=O)C=CC1=O[EOS],42
11.8,O=S(=O)(N=C(O)N1CCC2(O)CCCCC2C1)N1Cc2ccccc2OCC1c1cccc2ccccc12,0.37657807832970486,4.072261129704563,[BOS]O=S(=O)(N=C(O)N1CC[C@]2(O)CCCC[C@@H]2C1)N1Cc2ccccc2OC[C@@H]1c1cccc2ccccc12[EOS],42
11.8,Cc1cc2cc(C(=O)N3CCC4(CC3)CC(=O)c3cc(F)ccc3O4)cnc2n1S(=O)(=O)O,0.5686550361322174,3.424570872170321,[BOS]Cc1cc2cc(C(=O)N3CCC4(CC3)CC(=O)c3cc(F)ccc3O4)cnc2n1S(=O)(=O)O[EOS],42
11.5,CN=c1[nH]ccc(-c2cc(N3CCc4cccc(C)c4C3)nc(-c3cnccn3)n2)c1C(F)(F)F,0.47451034515299695,3.3519537550970213,[BOS]CN=c1[nH]ccc(-c2cc(N3CCc4cccc(C)c4C3)nc(-c3cnccn3)n2)c1C(F)(F)F[EOS],42
11.1,Cc1ccccc1CC(=O)N1CC(c2ccccc2)C2(CCN(CC(=O)N(C)O)C2=O)C1,0.576953666550166,3.923983473696368,[BOS]Cc1ccccc1CC(=O)N1C[C@@H](c2ccccc2)[C@@]2(CCN(CC(=O)N(C)O)C2=O)C1[EOS],42
12.2,Cn1cc(C2CCCN2C(=O)c2cccc(-n3cnnn3)c2)c2cc(F)ccc2c1=O,0.5106131810603799,3.0524313207620324,[BOS]Cn1cc([C@H]2CCCN2C(=O)c2cccc(-n3cnnn3)c2)c2cc(F)ccc2c1=O[EOS],42
11.5,O=C(NC1CC1c1ccc2ccccc2c1)N1CCc2ccc(O)c(F)c2CC1,0.6835157130877684,3.2173580873968017,[BOS]O=C(N[C@@H]1C[C@H]1c1ccc2ccccc2c1)N1CCc2ccc(O)c(F)c2CC1[EOS],42
12.1,O=C(c1nc(-c2ccccn2)no1)N1CCC2C1CC(=O)N2c1ccc2nc(O)c3ccccc3c2c1,0.3791268608847523,3.679390476795641,[BOS]O=C(c1nc(-c2ccccn2)no1)N1CC[C@H]2[C@H]1CC(=O)N2c1ccc2c(c1)-c1ccccc1C(O)=N2[EOS],42
11.8,Cc1ccc(C(=O)c2ccc(OC3C4CC5C(=O)OC3C5C4)cc2O)cc1Oc1ccc(F)cc1C1=NOC(=O)C2COC(=O)CC12,0.22004148168561483,5.630341364301537,[BOS]Cc1ccc(C(=O)c2ccc(O[C@H]3[C@@H]4C[C@@H]5[C@H]3OC(=O)[C@H]5C4)cc2O)cc1Oc1ccc(F)cc1C2=NOC(=O)[C@H]1COC(=O)C[C@@H]12[EOS],42
11.7,CC(=O)Nc1cccnc1-c1ccc2c(c1)Oc1c(C3NN=C(C)N3)cccc1C2C1(C)CNCC1(F)F,0.3992372637572904,4.646135698469131,[BOS]CC(=O)Nc1cccnc1-c1ccc2c(c1)Oc1c(cccc1C1NC(C)=NN1)C2C1(C)CNCC1(F)F[EOS],42
12.3,Cc1cc(O)nnc1-c1cc2c(c(NC(=O)Cn3nc(-c4ccccc4)ccc3=O)c1)OC(C)(C)C(F)(F)C2,0.3910613079615037,3.244790473253069,[BOS]Cc1cc(O)nnc1-c1cc(NC(=O)Cn2nc(-c3ccccc3)ccc2=O)c2c(c1)CC(F)(F)C(C)(C)O2[EOS],42
11.3,O=S(=O)(c1ccc2c(c1)CCCC2)N1CCOC(c2ccc(C(F)(F)F)cc2)C1,0.7348231504236854,2.7925918198327047,[BOS]O=S(=O)(c1ccc2c(c1)CCCC2)N1CCO[C@@H](c2ccc(C(F)(F)F)cc2)C1[EOS],42
11.4,Cc1cccc(-c2cc(C(=O)N(C)C3CCS(=O)(=O)C3)c3cc4oc(O)nc4cc3n2)c1C,0.49144640518702953,3.3519447852137993,[BOS]Cc1cccc(-c2cc(C(=O)N(C)[C@@H]3CCS(=O)(=O)C3)c3cc4oc(O)nc4cc3n2)c1C[EOS],42
13.0,Cc1nc(F)ccc1C(=O)N1CCCCC1c1cc(NC(=O)Cc2ccc3c(c2)CCCC3=O)n[nH]1,0.5191886757152971,3.299364885386394,[BOS]Cc1nc(F)ccc1C(=O)N1CCCC[C@H]1c1cc(NC(=O)Cc2ccc3c(c2)CCCC3=O)n[nH]1[EOS],42
12.0,NC1(F)CCC(C(=O)Nc2ccc3c(c2)nc(-c2ccc4c(c2)OCO4)c2cc(F)ccc23)CC1,0.294296697065242,2.833740719301135,[BOS]O=C(Nc1ccc2c(c1)N=C(c1ccc3c(c1)OCO3)c1cc(F)ccc1-2)C1CCC(N)(F)CC1[EOS],42
11.2,Cc1cc(NC(=O)NC2CC3CC2C2CCCC32)nn1-c1cccc(C(F)(F)F)c1,0.7246743863096523,4.564711076003402,[BOS]Cc1cc(NC(=O)N[C@@H]2C[C@H]3C[C@H]2[C@@H]2CCC[C@@H]32)nn1-c1cccc(C(F)(F)F)c1[EOS],42
