rv,smi,qed,sa,cur_sentence,seed
9.6,Cc1oncc1C(=O)NCC12CCCOC1CCN(C(=O)c1c(-c3ccccc3)noc1C)C2,0.6161263061410004,3.7856640542169604,[BOS]Cc1oncc1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1c(-c3ccccc3)noc1C)C2[EOS][EOS],42
10.4,Oc1nn2c(c1-c1nccc(Oc3ccc4[nH]nnc4n3)n1)CC1(CCCCC1)CC2,0.5180719534039093,4.115462460140485,[BOS]Oc1c(-c2nccc(Oc3ccc4[nH]nnc4n3)n2)c2n(n1)CCC1(C2)CCCCC1[EOS],42
10.8,Cn1c(C(NC(=O)NC2C3CCC(C3)C2c2ccccc2)c2ccccc2)nc2ccccc21,0.41914490255388615,4.325946099489133,[BOS]Cn1c([C@H](NC(=O)N[C@@H]2[C@@H]3CC[C@@H](C3)[C@H]2c2ccccc2)c2ccccc2)nc2ccccc21[EOS][EOS],42
10.5,Cn1c(C(NC2CCN(c3nc4ccccc4o3)CC2)c2ccccc2)nc2ccccc21,0.4163618584797171,2.924116015846522,[BOS]Cn1c(C(NC2CCN(c3nc4ccccc4o3)CC2)c2ccccc2)nc2ccccc21[EOS][EOS],42
10.0,NC1(c2n[nH]c(-c3c(-c4ccc(F)cc4)oc4ccccc34)n2)CCOCC1,0.5625837366384673,2.8374383138934327,[BOS]NC1(c2n[nH]c(-c3c(-c4ccc(F)cc4)oc4ccccc34)n2)CCOCC1[EOS],42
11.4,O=C(c1oc2c(F)cccc2c1CNc1nc(N2CCCC2F)c2cnsc2n1)N1CCCC1,0.4104398955866171,3.795972275230488,[BOS]O=C(c1oc2c(F)cccc2c1CNc1nc(N2CCCC2F)c2cnsc2n1)N1CCCC1[EOS][EOS],42
11.3,N=c1ncc(-c2nc3c(-c4cncc(F)c4)nnn3c3ccc(C(F)F)cc23)c[nH]1,0.4762768055790642,3.354724479965382,[BOS]N=c1[nH]cc(-c2nc3c(-c4cncc(F)c4)nnn3c3ccc(C(F)F)cc23)cn1[EOS][EOS],42
9.5,Cc1onc(-c2ccncn2)c1C(=O)NC1CC2CCC(C1)N2C(=O)c1cc2[nH]ccc2s1,0.4790278181817633,4.513367212314108,[BOS]Cc1onc(-c2ccncn2)c1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2[nH]ccc2s1[EOS],42
10.0,Cn1ccc(C(=O)NC2CC3CCC(C2)N3C(=O)c2cc3c(n2C)-c2ncccc2OC3)c1,0.6722861819695879,4.537256503812083,[BOS]Cn1c(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccn(C)c2)C3)cc2c1-c1ncccc1OC2[EOS],42
10.2,O=C(c1cc2cnccc2[nH]1)N1CCC2(COCc3cnc(N4C5CCC4CC5)nc32)C1,0.6728078578712444,4.833094803725036,[BOS]O=C(c1cc2cnccc2[nH]1)N1CC[C@@]2(COCc3cnc(N4C5CCC4CC5)nc32)C1[EOS][EOS],42
10.0,Cc1c(C(=O)N2C3CCC2CC(NC(=O)Cc2ccc4c(c2)CCCO4)C3)oc2ccccc12,0.6221883506303596,4.027914077520823,[BOS]Cc1c(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)Cc2ccc4c(c2)CCCO4)C3)oc2ccccc12[EOS],42
10.8,Cn1c(C(NC(=O)Nc2cc(F)cc3c2OCOC3)c2cccnc2)nc2ccccc21,0.5097655279076836,3.190445458476585,[BOS]Cn1c([C@H](NC(=O)Nc2cc(F)cc3c2OCOC3)c2cccnc2)nc2ccccc21[EOS][EOS],42
11.8,O=C(c1oc2c(F)cccc2c1-c1nc2c([nH]1)CCC=CC2=C1C=CN=N1)N1CCOCC1,0.6221951913201712,3.594269594168937,[BOS]O=C(c1oc2c(F)cccc2c1-c1nc2c([nH]1)CCC=CC2=C1C=CN=N1)N1CCOCC1[EOS][EOS],42
11.1,Oc1nc(NCc2[nH]c3cccnc3c2C2=NCNCN2)nc2ccccc12,0.36815749779595525,3.310441279602422,[BOS]Oc1nc(NCc2[nH]c3cccnc3c2C2=NCNCN2)nc2ccccc12[EOS][EOS],42
11.5,Cc1cc(-c2cc(-n3cnnc3N)nc3[nH]c(-c4ccc(N)nc4)cc23)cnn1,0.42793082734951443,3.278065470971775,[BOS]Cc1cc(-c2cc(-n3cnnc3N)nc3[nH]c(-c4ccc(N)nc4)cc23)cnn1[EOS],42
11.8,Oc1nc(COc2c(-c3c[nH]c4cc(F)ccc34)cnc3onc(F)c23)no1,0.4829385905672596,3.3028314762865953,[BOS]Oc1nc(COc2c(-c3c[nH]c4cc(F)ccc34)cnc3onc(F)c23)no1[EOS][EOS],42
11.1,O=C1C(C(c2cc3cc(F)ccc3[nH]2)c2c[nH]c3c(F)c(F)cc(F)c23)NC2CCCCN12,0.3105517965561918,4.248931966287573,[BOS]Fc1cc(F)c2c([C@H](c3cc4cc(F)ccc4[nH]3)C3NC4CCCCN4C3=O)c[nH]c2c1F[EOS],42
9.3,Cc1noc2ncc(S(=O)(=O)N=c3ccc4cc([N+](=O)[O-])ccc4[nH]3)cc12,0.42022125013806977,3.153077581271221,[BOS]Cc1noc2ncc(S(=O)(=O)N=c3ccc4cc([N+](=O)[O-])ccc4[nH]3)cc12[EOS][EOS],42
9.8,CC1c2ccccc2CN1C(=O)NC(c1c[nH]c2ccccc12)C(F)(F)F,0.6482594486898178,3.337863893474154,[BOS]C[C@@H]1c2ccccc2CN1C(=O)N[C@@H](c1c[nH]c2ccccc12)C(F)(F)F[EOS],42
10.1,O=C(c1ccc(-c2ccccc2)cc1)N1CCOC2(CCN(C(=O)c3cc(=O)[nH][nH]3)C2)C1,0.662459557337517,3.58708550210066,[BOS]O=C(c1cc(=O)[nH][nH]1)N1CC[C@]2(C1)CN(C(=O)c1ccc(-c3ccccc3)cc1)CCO2[EOS],42
10.7,O=C(c1cc2cnncc2nc1CN1Cc2cc(F)ccc2S1(=O)=O)N1CC2CC(C1)C1CCC2N=C1O,0.5449475662111559,5.731919945019878,[BOS]O=C(c1cc2cnncc2nc1CN1Cc2cc(F)ccc2S1(=O)=O)N1CC2CC(C1)C1CCC2N=C1O[EOS],42
10.4,Cc1cc(NCC2c3ccccc3C(=O)NC2c2cc3cccc(O)c3[nH]c2=O)ccc1F,0.376993040117196,3.5719884782832825,[BOS]Cc1cc(NC[C@@H]2c3ccccc3C(=O)N[C@H]2c2cc3cccc(O)c3[nH]c2=O)ccc1F[EOS][EOS],42
12.2,Nc1nonc1NC(=O)C1OC(C2c3cc(F)ccc3CCc3c(F)cccc32)CC(F)(F)C1O,0.4805884293905701,4.431348825464946,[BOS]Nc1nonc1NC(=O)[C@@H]1OC(C2c3cc(F)ccc3CCc3c(F)cccc32)CC(F)(F)[C@H]1O[EOS],42
10.7,Fc1cc2[nH]cc(NC3N=C(c4ccc5nnnn5n4)C4=C(CCC=C4)O3)c2cc1F,0.5277449906876369,4.258311254657006,[BOS]Fc1cc2[nH]cc(N[C@H]3N=C(c4ccc5nnnn5n4)C4=C(CCC=C4)O3)c2cc1F[EOS],42
