rv,smi,qed,sa,cur_sentence,seed
12.9,Cc1oncc1C(=O)N1CCOC2(CCN(C(=O)c3cc4c(ccc5ncccc54)s3)C2)C1,0.4530594659980207,3.8354909372368375,[BOS]Cc1oncc1C(=O)N1CCO[C@@]2(CCN(C(=O)c3cc4c(ccc5ncccc54)s3)C2)C1[EOS][EOS],42
13.3,Cc1oncc1C(=O)Nc1cc(C2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1,0.6266722845069637,3.2676139138883276,[BOS]Cc1oncc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1[EOS],42
13.2,Cc1oncc1C(=O)Nc1cc(C2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1,0.6266722845069637,3.2676139138883276,[BOS]Cc1oncc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1[EOS],42
12.8,Cc1c(C(=O)NCC23CCCOC2CCN(C(=O)c2ccc4c(c2)NC(=O)CC4)C3)ccc(F)c1F,0.6759509868207514,3.7799222856814776,[BOS]Cc1c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ccc4c(c2)NC(=O)CC4)C3)ccc(F)c1F[EOS][EOS],42
12.7,O=C(Nc1c2c(cc3c1CCC3)CCC2)C1C2C=CC3(CN(C4CCCc5ccccc54)C(=O)C13)O2,0.6601678508183522,5.33643096393644,[BOS]O=C(Nc1c2c(cc3c1CCC3)CCC2)[C@H]1[C@H]2C=C[C@@]3(CN([C@H]4CCCc5ccccc54)C(=O)[C@@H]13)O2[EOS][EOS],42
13.3,Cc1oncc1C(=O)Nc1cc(C2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1,0.6266722845069637,3.2676139138883276,[BOS]Cc1oncc1C(=O)Nc1cc([C@H]2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1[EOS],42
14.5,O=C(NC1c2ccccc2-c2ccccc21)C1Oc2ccccc2C12CCN(c1ncc(F)cn1)CC2,0.44507738616689757,3.8182615197682246,[BOS]O=C(NC1c2ccccc2-c2ccccc21)[C@H]1Oc2ccccc2C12CCN(c1ncc(F)cn1)CC2[EOS][EOS],42
13.4,O=C(C1Cc2ccccc2C1)N1CCC2(C1)CN(C(=O)C1ON=C(c3ccccc3)O1)CCO2,0.6983344612880105,4.252088977569599,[BOS]O=C([C@@H]1ON=C(c2ccccc2)O1)N1CCO[C@@]2(CCN(C(=O)C3Cc4ccccc4C3)C2)C1[EOS][EOS],42
13.0,Cc1oncc1C(=O)N1CCOC2(CCN(C(=O)c3cncc4ccccc34)C2)C1,0.6488291444405284,3.717200068476112,[BOS]Cc1oncc1C(=O)N1CCO[C@@]2(CCN(C(=O)c3cncc4ccccc34)C2)C1[EOS],42
12.4,Cn1nnnc1-c1cccc(NC(=O)N2CCOC3(CCc4cc(Cl)ccc43)C2)c1,0.6821979844670852,3.618020227627307,[BOS]Cn1nnnc1-c1cccc(NC(=O)N2CCO[C@@]3(CCc4cc(Cl)ccc43)C2)c1[EOS],42
12.3,O=C(c1nn(-c2cc(C(F)(F)F)ccc2[O-])c2c1CCC2)N1CC23CCCCC2(C[NH2+]C3)C1,0.745242622775182,4.721045434093431,[BOS]O=C(c1nn(-c2cc(C(F)(F)F)ccc2[O-])c2c1CCC2)N1C[C@@]23CCCC[C@@]2(C1)C[NH2+]C3[EOS][EOS],42
12.8,Cc1oncc1C(=O)N1CCOC2(CCN(C(=O)c3cc4c(ccc5ncccc54)s3)C2)C1,0.4530594659980207,3.8354909372368375,[BOS]Cc1oncc1C(=O)N1CCO[C@@]2(CCN(C(=O)c3cc4c(ccc5ncccc54)s3)C2)C1[EOS][EOS],42
13.9,Oc1c(CNN2OC(c3c(F)ccc4c3OCO4)NC2C2CCC(F)C(F)=CC2F)ccc2ccccc12,0.39013258102661164,4.949510951539406,[BOS]Oc1c(CNN2OC(c3c(F)ccc4c3OCO4)NC2C2CCC(F)C(F)=CC2F)ccc2ccccc12[EOS][EOS],42
12.6,Cc1c(C(=O)N2CCOC3(CCOCC3)CC2)oc2c1ccc1ccccc12,0.6323371905939477,3.070782472992903,[BOS]O=C(c1oc2c(ccc3ccccc32)c1C)N1CCOC2(CCOCC2)CC1[EOS][EOS],42
13.5,CC1(c2ccccc2)c2ccccc2CC2C1N2C(=O)c1nc2c(=O)[nH]c3ccccc3n2n1,0.4210125310940513,3.8519103111848096,[BOS]O=C(c1nc2c(=O)[nH]c3ccccc3n2n1)N1[C@@H]2Cc3ccccc3[C@@](C)(c3ccccc3)[C@@H]21[EOS],42
12.8,COc1c(C(=O)N2CCOC3(CCN(C(=O)c4cccc5c4CCCC5)C3)C2)ccc(F)c1F,0.6879248580473458,3.6871234753402433,[BOS]COc1c(C(=O)N2CCO[C@]3(CCN(C(=O)c4cccc5c4CCCC5)C3)C2)ccc(F)c1F[EOS],42
13.5,O=C(C1N=Nc2c(F)cc3ncccc3c21)N1CC=C(c2c[nH]c3cc(F)ccc23)CC1,0.46024902813632146,3.6902722574840308,[BOS]O=C(N1CC=C(c2c[nH]c3cc(F)ccc23)CC1)[C@H]1N=NC2=C1c1cccnc1C=C2F[EOS][EOS],42
12.6,Cc1ncccc1C(=O)Nc1cc(C2CCCCN2C(=O)C2CCc3[nH]c(=O)[nH]c(=O)c3C2)[nH]n1,0.4470466756492153,3.746253800093476,[BOS]Cc1ncccc1C(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@H]2CCc3[nH]c(=O)[nH]c(=O)c3C2)[nH]n1[EOS][EOS],42
12.9,Cc1oncc1C(=O)N1CCOC2(CCN(C(=O)c3cnnc4ccccc34)C2)C1,0.6368972082450602,3.7975109438076764,[BOS]Cc1oncc1C(=O)N1CCO[C@@]2(CCN(C(=O)c3cnnc4ccccc34)C2)C1[EOS],42
13.8,Cn1c(-c2cc3c(ccc4ccccc43)[nH]2)nnc1N1CCN2C(=O)C(=O)NCC2C1,0.4805129652387025,3.4263760052909875,[BOS]Cn1c(-c2cc3c(ccc4ccccc43)[nH]2)nnc1N1CCN2C(=O)C(=O)NC[C@@H]2C1[EOS],42
