rv,smi,qed,sa,cur_sentence,seed
12.6,CC1(C)CCCc2c(cccc2-n2c(C3N=NN=N3)cnc2C(=O)NC2CCOC(c3ccccc3)C2)C1,0.40871895623061444,4.2148015711348386,[BOS]O=C(N[C@@H]1CCO[C@H](c2ccccc2)C1)c1ncc(C2N=NN=N2)n1-c1cccc2c1CCCC(C)(C)C2[EOS],42
14.2,CC1CCN(C(=O)c2cccc(-c3ccc4c(c3)NC(=O)C43NNCC3C(=O)N3CCCCC3C)c2)CC1,0.581947998352882,4.358744121070446,[BOS]CC1CCN(C(=O)c2cccc(-c3ccc4c(c3)NC(=O)C43NNCC3C(=O)N3CCCCC3C)c2)CC1[EOS],42
15.5,CC1(C)CCC(CN2C(=O)C(=O)C3CC2CN(C(=O)c2cc(=O)[nH]c4ccc(S(=O)(=O)N5CC6CC(C5)c5cccc(=O)n5C6)cc24)C3)c2ccccc21,0.3067575559923875,5.797057683419714,[BOS]O=C(c1cc(=O)[nH]c2ccc(S(=O)(=O)N3C[C@H]4C[C@@H](C3)c3cccc(=O)n3C4)cc12)N1C[C@H]2C[C@@H](C1)C(=O)C(=O)N2CC1CCC(C)(C)c2ccccc21[EOS],42
13.8,O=C(Nc1cc(C2CCCCN2C(=O)c2cc(=O)[nH]c3cccnc23)[nH]n1)C1CC(=O)N(C2CCCC2)C1,0.47471495056539625,3.658203718176985,[BOS]O=C1C[C@H](C(=O)Nc2cc([C@H]3CCCCN3C(=O)c3cc(=O)[nH]c4cccnc34)[nH]n2)CN1C1CCCC1[EOS],42
15.0,O=C(Nc1cccc(C(=O)N2CCCC(c3nc(-c4cccnc4)cc(C(F)(F)F)n3)C2)c1)C1C=C2CC2C2=C1C=CNC2N1CCNCC12CC2,0.2972032244606933,5.432218593147528,[BOS]O=C(Nc1cccc(C(=O)N2CCC[C@@H](c3nc(-c4cccnc4)cc(C(F)(F)F)n3)C2)c1)C1C=C2CC2C2=C1C=CNC2N1CCNCC12CC2[EOS],42
13.9,O=C(NCc1ccc(CN2C(=O)NC3(Cc4ccccc4C3)C2=O)cc1)C(=O)NC1CCC2(CCC(=O)C(F)(F)O2)CC1,0.3602246490935845,3.982322973737955,[BOS]O=C(NCc1ccc(CN2C(=O)NC3(Cc4ccccc4C3)C2=O)cc1)C(=O)NC1CCC2(CC1)OC(F)(F)C(=O)CC2[EOS],42
13.5,Cc1ccc(C(=O)N2CC(C)CC(C)C2)cc1NC(=O)C(=O)N1CCC2(C1)C(=O)Nc1ccccc12,0.634630053395413,4.034167464643311,[BOS]Cc1ccc(C(=O)N2C[C@H](C)C[C@@H](C)C2)cc1NC(=O)C(=O)N1CC[C@@]2(C1)C(=O)Nc1ccccc12[EOS],42
13.7,O=C1CC(C(=O)N2C3CCC2CC(NC(=O)c2[nH]nc4c2CCc2ncccc2-4)C3)=Cc2ccccc2N1,0.5017643917763654,4.645156988272667,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=Cc2ccccc2NC(=O)C1)c1[nH]nc2c1CCc1ncccc1-2[EOS],42
14.9,O=C1c2c(cccc2-c2cc3ccccc3c3ccccc23)CN1C1CCC2(CC1)CC2(F)C(=O)N1CCC(O)C1,0.30805428056311673,4.314597246157175,[BOS]O=C1c2c(cccc2-c2cc3ccccc3c3ccccc23)CN1[C@@H]1CCC2(CC1)CC2(F)C(=O)N1CC[C@@H](O)C1[EOS],42
13.6,Nc1ncc2c(n1)n(C1CCCC1)c(=O)n2C1CC1NC(=O)NCc1cccc(-c2ccc(F)cc2)c1,0.37008613070937796,3.5188318379267205,[BOS]O=C(NCc1cccc(-c2ccc(F)cc2)c1)N[C@@H]1C[C@H]1n1c(=O)n(C2CCCC2)c2nc(N)ncc21[EOS],42
13.1,O=C1CSc2cc(C(=O)N3CCC(C4CCCCN4C(=O)C4CCc5ccccc54)CC3)ccc2N1,0.659640924544431,3.4563918138004164,[BOS]O=C1CSc2cc(C(=O)N3CCC([C@H]4CCCCN4C(=O)[C@@H]4CCc5ccccc54)CC3)ccc2N1[EOS],42
13.0,Cc1ccc(F)cc1C(=O)N1CCCCC1C1CCN(C(=O)c2ccc3c(c2)CCN3C(N)=O)CC1,0.699278570689054,3.000326696219764,[BOS]Cc1ccc(F)cc1C(=O)N1CCCC[C@H]1C1CCN(C(=O)c2ccc3c(c2)CCN3C(N)=O)CC1[EOS],42
13.1,CC(Cc1cn(C)c2ccc(F)cc12)NC(=O)C1CCCN1C(=O)c1ccc2c(c1)C(=O)c1ccccc1C2,0.35968900002793897,3.363368236802236,[BOS]C[C@@H](Cc1cn(C)c2ccc(F)cc12)NC(=O)[C@H]1CCCN1C(=O)c1ccc2c(c1)C(=O)c1ccccc1C2[EOS],42
13.4,Cc1ccccc1-c1cc(C(=O)N2CC=C(c3ccc4c(c3)OCCC4)CC2)n2nc(C)c(C)c2n1,0.3859379089477835,2.8737424644928886,[BOS]Cc1ccccc1-c1cc(C(=O)N2CC=C(c3ccc4c(c3)OCCC4)CC2)n2nc(C)c(C)c2n1[EOS],42
13.5,Cn1cc(-c2nc(-c3ncoc3-c3cccc(C(F)(F)F)c3)no2)c2c1=CCNC=C(C#N)C=2C1CC1,0.45111240873172775,3.8040219995647515,[BOS]Cn1cc(-c2nc(-c3ncoc3-c3cccc(C(F)(F)F)c3)no2)c2c1=CCNC=C(C#N)C=2C1CC1[EOS],42
14.7,Cc1ccc(C2=NOC(C3C=C4C=C(c5n[nH]c6ncnc(N)c56)C=CC4N(C)C3=O)N2)c2c1CC(C)(C)C(=O)C2(C)C(=O)Nc1ccc(F)cc1,0.22318443691693055,5.3997528204368095,[BOS]Cc1ccc(C2=NO[C@H]([C@@H]3C=C4C=C(c5n[nH]c6ncnc(N)c56)C=C[C@@H]4N(C)C3=O)N2)c2c1CC(C)(C)C(=O)C2(C)C(=O)Nc1ccc(F)cc1[EOS],42
