rv,smi,qed,sa,cur_sentence,seed
12.6,O=C(c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1)N1CCC(=Cc2cccc(F)c2F)CC1,0.5375720892739491,2.427597438576864,[BOS]O=C(c1cccc(NS(=O)(=O)c2ccc(F)cc2)c1)N1CCC(=Cc2cccc(F)c2F)CC1[EOS],42
12.6,Cc1ccc2c(c1)CC(C(=O)N1CCc3[nH]cc(-c4ccc(F)cc4)c(=O)c3C1)C(C(F)(F)F)C2,0.5226968306004997,3.6859400387120003,[BOS]Cc1ccc2c(c1)C[C@@H](C(=O)N1CCc3[nH]cc(-c4ccc(F)cc4)c(=O)c3C1)[C@@H](C(F)(F)F)C2[EOS],42
14.0,O=C(c1ccc(-c2cc(C(F)(F)F)ccc2F)cc1)c1ccc(O)c(N2CCN3COCCC3C2=O)c1,0.39865017501432304,3.2615435066633154,[BOS]O=C(c1ccc(-c2cc(C(F)(F)F)ccc2F)cc1)c1ccc(O)c(N2CCN3COCC[C@H]3C2=O)c1[EOS],42
12.6,O=C(Nc1ccc(-c2nnc3n2CCCC3)cc1)C1CC1c1ccc2c(c1)OC=CC(F)(F)C2=O,0.5875712140392788,3.7773224718375724,[BOS]O=C(Nc1ccc(-c2nnc3n2CCCC3)cc1)[C@H]1C[C@@H]1c1ccc2c(c1)OC=CC(F)(F)C2=O[EOS],42
13.2,CC1CCCN1C(=O)N1Cc2ccc(C3(c4cn(Cc5cnccn5)nn4)c4ccccc43)nc2C1F,0.3532156804530809,4.210750733205897,[BOS]C[C@H]1CCCN1C(=O)N1Cc2ccc(C3(c4cn(Cc5cnccn5)nn4)c4ccccc43)nc2C1F[EOS],42
12.5,NC(=O)NC(=O)c1ccccc1NC(=O)C1CCC(CN2C(=O)C3(CCCC3)c3ccccc32)CC1,0.5865308128625039,3.045301405177284,[BOS]NC(=O)NC(=O)c1ccccc1NC(=O)[C@H]1CC[C@H](CN2C(=O)C3(CCCC3)c3ccccc32)CC1[EOS],42
12.5,O=C(c1cccc(NS(=O)(=O)c2ccc3c(c2)OCCCO3)c1)N1CCC2(CCCOC2)CC1F,0.6334586388261726,4.034426761340328,[BOS]O=C(c1cccc(NS(=O)(=O)c2ccc3c(c2)OCCCO3)c1)N1CC[C@@]2(CCCOC2)CC1F[EOS],42
11.8,CC1=C(C(=O)NCC(c2ccccc2Cl)c2c[nH]c3ccccc23)C(C)n2nnnc2N1C,0.467662852679943,3.6433786583160153,[BOS]CC1=C(C(=O)NC[C@@H](c2ccccc2Cl)c2c[nH]c3ccccc23)[C@@H](C)n2nnnc2N1C[EOS],42
12.9,Cc1nc2nc(N)c(C=c3ccccc3=CC=C3C(=O)C(C)(C)NN=C3O)cn2c1C,0.5419848062497088,4.022829463888623,[BOS]Cc1nc2nc(N)c(/C=c3\cccc/c3=C/C=C3C(=O)C(C)(C)NN=C3O)cn2c1C[EOS],42
12.7,Cc1cc(=O)n(C)cc1C(=O)Nc1ccc(C(F)(F)F)cc1-c1ccc2c(c1)CN(C1CCC(O)C1)C2=O,0.5249027527458471,3.5528190228722902,[BOS]Cc1cc(=O)n(C)cc1C(=O)Nc1ccc(C(F)(F)F)cc1-c1ccc2c(c1)CN(C1CCC(O)C1)C2=O[EOS],42
12.9,O=C(Nc1ccnc2ccccc12)C1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1,0.4570448203129077,2.7257392814004024,[BOS]O=C(Nc1ccnc2ccccc12)[C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1[EOS],42
12.8,O=C1CC2C(=O)CCC2C2CC1CN(C(=O)COc1cc(=O)n(-c3ccccc3)nc1-c1cccc(C(F)(F)F)c1)C2,0.4465211317016253,4.766913838756219,[BOS]O=C(COc1cc(=O)n(-c2ccccc2)nc1-c1cccc(C(F)(F)F)c1)N1C[C@H]2C[C@@H](C1)[C@H]1CCC(=O)C1CC2=O[EOS],42
12.0,Cc1cc(C)c2c(NC(=O)c3ccc(-c4nc(C)no4)c4c3CCCC4)c(C(=O)N3CCOCC3)sc2n1,0.3997772347105248,2.9427143719679805,[BOS]Cc1noc(-c2ccc(C(=O)Nc3c(C(=O)N4CCOCC4)sc4nc(C)cc(C)c34)c3c2CCCC3)n1[EOS],42
12.3,O=C(C1CC1c1ccc(OCc2ccccc2)cc1)N1CCOCC2(C1)C(=O)NNC2c1ccccc1F,0.5232049703496632,4.37528399183485,[BOS]O=C([C@H]1C[C@H]1c1ccc(OCc2ccccc2)cc1)N1CCOCC2(C1)C(=O)NNC2c1ccccc1F[EOS],42
12.0,CC(OC(=O)c1ccc2c(c1)NC(=O)C(C)N2C)C(=O)c1ccccc1C(F)(F)N1C(C)(C)CON=C(c2ccccc2)C1(F)F,0.14534706793564986,4.3432606925970365,[BOS]C[C@H](OC(=O)c1ccc2c(c1)NC(=O)[C@@H](C)N2C)C(=O)c1ccccc1C(F)(F)N1C(C)(C)CON=C(c2ccccc2)C1(F)F[EOS],42
11.3,FC(F)(F)C1CC1Cn1c(CC2CCCCC2)nnc1N1CCCC2(CCOCC2)CC1,0.5986497778500061,4.344493746649221,[BOS]FC(F)(F)[C@@H]1C[C@H]1Cn1c(CC2CCCCC2)nnc1N1CCCC2(CCOCC2)CC1[EOS],42
12.4,C[NH+]1CCN(C(=O)c2cccc(NC(=O)c3ccc(-c4ccccc4)cc3[O-])c2)CCc2ccccc2C1,0.446506232789897,3.971138891942325,[BOS]C[NH+]1CCN(C(=O)c2cccc(NC(=O)c3ccc(-c4ccccc4)cc3[O-])c2)CCc2ccccc2C1[EOS],42
