rv,smi,qed,sa,cur_sentence,seed
11.2,C[NH+]1CCC(Nc2ncnc3c(-c4nn[n-]n4)cccc23)C1c1ccc(F)c(F)c1,0.5232301153724817,5.028710943807678,[BOS]C[NH+]1CC[C@H](Nc2ncnc3c(-c4nn[n-]n4)cccc23)[C@H]1c1ccc(F)c(F)c1[EOS][EOS],42
11.7,O=C1CC(c2nc(C3CCc4ccccc4C3)no2)CN1c1ccc(F)c(F)c1,0.6688246445738725,3.23753061486933,[BOS]O=C1C[C@@H](c2nc([C@H]3CCc4ccccc4C3)no2)CN1c1ccc(F)c(F)c1[EOS][EOS][EOS],42
12.3,O=C(c1ccc(Cc2nnc(Cn3nnc(-c4ccccc4)n3)o2)cc1)N1CCCCC1,0.46410970619987474,2.379115912436424,[BOS]O=C(c1ccc(Cc2nnc(Cn3nnc(-c4ccccc4)n3)o2)cc1)N1CCCCC1[EOS][EOS][EOS],42
11.8,Oc1ccc(-c2ccc3[nH]cc(C4=CCC5(CCNCC5)CC4)c3c2)cc1F,0.5438115067880088,3.284477594944123,[BOS]Oc1ccc(-c2ccc3[nH]cc(C4=CCC5(CCNCC5)CC4)c3c2)cc1F[EOS],42
10.9,Cc1cccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc4c(c3)OCCO4)c2)c1C,0.6248222322578006,2.0937308015044955,[BOS]Cc1cccc(NS(=O)(=O)c2cccc(C(=O)Nc3ccc4c(c3)OCCO4)c2)c1C[EOS],42
11.2,Cc1cccc(-c2cncc(CN3CCc4ncnc(N(C)C5CCCNC5)c4C3)c2)c1,0.6702562520740369,3.219581507259649,[BOS]Cc1cccc(-c2cncc(CN3CCc4ncnc(N(C)C5CCCNC5)c4C3)c2)c1[EOS][EOS][EOS][EOS],42
12.5,O=C(c1cccc(CNc2ccc3nnc(-c4ccc(F)cc4)n3n2)c1)N1CCCCC1,0.5144094868536996,2.300891856962222,[BOS]O=C(c1cccc(CNc2ccc3nnc(-c4ccc(F)cc4)n3n2)c1)N1CCCCC1[EOS][EOS][EOS],42
11.2,O=C(CCC1CNc2ccccc2C1)NC1CC2CCC(C1)N2C(=O)c1cnc2[nH]ncc2c1,0.544557323304511,4.520574202335113,[BOS]O=C(CC[C@@H]1CNc2ccccc2C1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnc2[nH]ncc2c1[EOS],42
11.3,O=C(c1cccc(F)c1F)N1CCCCC1c1cc(NC(=O)C(F)(F)c2ccco2)n[nH]1,0.5647853322579783,3.4497632748537566,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2cccc(F)c2F)[nH]n1)C(F)(F)c1ccco1[EOS],42
12.1,O=C(NCc1cccc(N2C(=O)NC3(CCCC3)C2=O)c1)NC1CCCC1Cc1ccccc1,0.5626268185338097,3.685526180366802,[BOS]O=C(NCc1cccc(N2C(=O)NC3(CCCC3)C2=O)c1)N[C@H]1CCC[C@H]1Cc1ccccc1[EOS][EOS][EOS][EOS],42
12.1,O=C(c1cccc(C(F)c2cccc(F)c2)c1)N1CCC2COC(CNC(=O)C34CC(F)(C3)C4)C2C1,0.6437295133575267,4.993794054599043,[BOS]O=C(c1cccc([C@H](F)c2cccc(F)c2)c1)N1CC[C@H]2CO[C@@H](CNC(=O)C34CC(F)(C3)C4)[C@H]2C1[EOS],42
