rv,smi,qed,sa,cur_sentence,seed
12.3,Cc1nc(-c2noc3ccc(C(=O)N4CCC(c5ccc(F)cc5F)C4)cc23)n[nH]1,0.5556763916530203,3.1368082306700718,[BOS]Cc1nc(-c2noc3ccc(C(=O)N4CC[C@@H](c5ccc(F)cc5F)C4)cc23)n[nH]1[EOS],42
13.6,CC1CCCCN1C(=O)c1ccc2ccn(-c3ccc(C4=NN=C(O)C5CCCN45)cc3F)c2n1,0.6141640802425704,3.882427117686774,[BOS]C[C@H]1CCCCN1C(=O)c1ccc2ccn(-c3ccc(C4=NN=C(O)[C@@H]5CCCN45)cc3F)c2n1[EOS][EOS][EOS][EOS],42
12.3,O=C1OCCN1c1ccc(F)c(C(=O)N2CCc3ccccc3C2Cc2ccccc2)c1,0.5994852892459029,2.828170520511325,[BOS]O=C1OCCN1c1ccc(F)c(C(=O)N2CCc3ccccc3[C@@H]2Cc2ccccc2)c1[EOS],42
12.6,O=C(Oc1cccc(C(=O)N2CCc3ccccc3C2)c1)C1CCOc2ccccc21,0.47303869040411883,2.7553812462039193,[BOS]O=C(Oc1cccc(C(=O)N2CCc3ccccc3C2)c1)[C@@H]1CCOc2ccccc21[EOS],42
12.7,Cc1cc(C(=O)N2CCCCC2C2CCN(C(=O)C3CC34C(=O)Nc3ccccc34)CC2)cc2cnoc12,0.5652674751582089,4.397782941882662,[BOS]Cc1cc(C(=O)N2CCCC[C@H]2C2CCN(C(=O)[C@H]3C[C@@]34C(=O)Nc3ccccc34)CC2)cc2cnoc12[EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,O=C1NCCc2c(NC(=O)N3CCCC(c4cc5ccccc5[nH]4)C3)cccc21,0.6233014820147997,3.0027533318070994,[BOS]O=C1NCCc2c(NC(=O)N3CCC[C@@H](c4cc5ccccc5[nH]4)C3)cccc21[EOS],42
12.6,O=C(NC1(c2cccc(C(F)(F)F)c2)CCOCC1)c1ccc2c(c1)[nH]c(=O)n2C1CCCC1,0.5661033900688486,2.747140648331026,[BOS]O=C(NC1(c2cccc(C(F)(F)F)c2)CCOCC1)c1ccc2c(c1)[nH]c(=O)n2C1CCCC1[EOS],42
11.9,O=C(NC1CC1c1cccc2ccccc12)c1ccc(F)c(S(=O)(=O)N2CCOCC2)c1,0.642091251242175,3.033596857626505,[BOS]O=C(N[C@@H]1C[C@H]1c1cccc2ccccc12)c1ccc(F)c(S(=O)(=O)N2CCOCC2)c1[EOS],42
12.9,Cc1ccc(CC(=O)NC2CCc3nc(NC(=O)Cc4ccc5c(c4)CCC5)sc3C2)cc1C,0.547658644084935,2.9826882449750283,[BOS]Cc1ccc(CC(=O)N[C@H]2CCc3nc(NC(=O)Cc4ccc5c(c4)CCC5)sc3C2)cc1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,CC1C(=O)C(F)CN1C1CC(=O)N(c2cc(Nc3cc(F)cc(F)c3)c3c(c2)C(=O)N(C)CC3)C1,0.7195173682598396,4.227417587657387,[BOS]CN1CCc2c(Nc3cc(F)cc(F)c3)cc(N3C[C@@H](N4C[C@H](F)C(=O)[C@@H]4C)CC3=O)cc2C1=O[EOS],42
