rv,smi,qed,sa,cur_sentence,seed
11.3,Cc1oc2cc(O)ccc2c1C(=O)NCC12CCCOC1CCN(C(=O)Cc1cc(F)ccc1F)C2,0.5529178010017775,3.78849332640546,[BOS]Cc1oc2cc(O)ccc2c1C(=O)NC[C@@]12CCCO[C@@H]1CCN(C(=O)Cc1cc(F)ccc1F)C2[EOS],42
10.0,O=C1CCc2ccc(C(=O)N3CCOC4(CCN(C(=O)Cc5c[nH]c6ccccc56)C4)C3)nc2N1,0.6061170329703667,3.82015595123438,[BOS]O=C1CCc2ccc(C(=O)N3CCO[C@]4(CCN(C(=O)Cc5c[nH]c6ccccc56)C4)C3)nc2N1[EOS][EOS][EOS],42
10.2,O=C(Nc1nc2cc(Cl)ccn2n1)c1c2c(nc3ccccc13)CC(C(=O)N1CCCCC1)CCC2,0.4101404221888751,3.2608078726903535,[BOS]O=C(Nc1nc2cc(Cl)ccn2n1)c1c2c(nc3ccccc13)CC(C(=O)N1CCCCC1)CCC2[EOS],42
10.8,Cc1ncc2c(n1)CCC(NC(=O)NC(Cc1cccc(F)c1)CN1C(=O)c3ccccc3C1=O)C2,0.5205087022526541,3.410382804945195,[BOS]Cc1ncc2c(n1)CC[C@H](NC(=O)N[C@@H](Cc1cccc(F)c1)CN1C(=O)c3ccccc3C1=O)C2[EOS],42
10.2,O=C(Cc1cc(F)cc2c1OCOC2)Nc1nc2ccccc2n1C1CCCCC1,0.6767051530896394,2.6343493823885407,[BOS]O=C(Cc1cc(F)cc2c1OCOC2)Nc1nc2ccccc2n1C1CCCCC1[EOS],42
10.4,Nc1ncc(C(=O)N2CC3COCC(C2)C3NC(=O)c2cc(-c3ccccc3C(F)(F)F)n[nH]2)s1,0.4996010481372515,4.5265966982367845,[BOS]Nc1ncc(C(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)c2cc(-c3ccccc3C(F)(F)F)n[nH]2)s1[EOS],42
10.0,O=C(NC(c1cccc(Cl)c1)c1ccccn1)NC1(c2ccc3c(c2)OCCO3)CCCC1,0.5335947321405559,3.0887694930026495,[BOS]O=C(N[C@@H](c1cccc(Cl)c1)c1ccccn1)NC1(c2ccc3c(c2)OCCO3)CCCC1[EOS],42
10.2,Cc1c[nH]cc1C(=O)Nc1cc(C2CCCCN2C(=O)C2CCN(c3ccc(F)nn3)CC2)[nH]n1,0.5154438600610733,3.561677301263904,[BOS]Cc1c[nH]cc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)C2CCN(c3ccc(F)nn3)CC2)[nH]n1[EOS],42
10.5,O=C1Nc2ccccc2Cn2nc(C(=O)N3CCCCC3c3cc(NC(=O)C4CCOCC4)n[nH]3)cc21,0.5012068043106094,3.5176641181031574,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2cc3n(n2)Cc2ccccc2NC3=O)[nH]n1)C1CCOCC1[EOS][EOS][EOS],42
9.5,Cc1c(C(NC(=O)N2CCOC(c3cccc(F)c3)C2)C(C)C)oc2ccccc12,0.6299027841408064,3.2928969465129274,[BOS]Cc1c([C@H](NC(=O)N2CCO[C@H](c3cccc(F)c3)C2)C(C)C)oc2ccccc12[EOS],42
