rv,smi,qed,sa,cur_sentence,seed
11.4,Cc1cccc(N2N=C(C(=O)N3CCCN(C(=O)c4cccc(Cl)c4)CC3)CCC2=O)c1,0.714920033295818,2.366963602074719,[BOS]Cc1cccc(N2N=C(C(=O)N3CCCN(C(=O)c4cccc(Cl)c4)CC3)CCC2=O)c1[EOS],42
11.9,O=C(C1CC(=O)N(c2cccc3ccccc23)C1)N1CCC(c2cc(=O)[nH]c(=O)[nH]2)C1,0.6735794371980599,3.2918363311399066,[BOS]O=C([C@H]1CC(=O)N(c2cccc3ccccc23)C1)N1CC[C@H](c2cc(=O)[nH]c(=O)[nH]2)C1[EOS],42
11.5,Cc1cc(F)c2[nH]c(=O)cc(-c3nc(-c4ccnc(N5CCOCC5)c4)no3)c2c1,0.5576430728656324,2.7204453855233375,[BOS]Cc1cc(F)c2[nH]c(=O)cc(-c3nc(-c4ccnc(N5CCOCC5)c4)no3)c2c1[EOS],42
11.7,O=C(NC1Cc2ccccc2NC1=O)c1cc(F)ccc1-c1cccc(C(F)(F)F)c1,0.5888866153565628,2.7809558461397934,[BOS]O=C(N[C@H]1Cc2ccccc2NC1=O)c1cc(F)ccc1-c1cccc(C(F)(F)F)c1[EOS],42
11.7,O=C(Nc1nc(CC(=O)N2CCC3(CC2)CNC(=O)c2ccccc2O3)cs1)c1cccc(O)c1,0.5151342812677472,3.1459458465799734,[BOS]O=C1NCC2(CCN(C(=O)Cc3csc(NC(=O)c4cccc(O)c4)n3)CC2)Oc2ccccc21[EOS][EOS][EOS],42
12.2,Cc1ccc2c(C)ccc(C3CN=C(c4c(C)n(C)c(=O)c5[nH]c(F)cc45)O3)c2n1,0.548957643671704,3.9027776531080995,[BOS]Cc1ccc([C@@H]2CN=C(c3c(C)n(C)c(=O)c4[nH]c(F)cc34)O2)c2nc(C)ccc12[EOS],42
11.9,Cc1ccc(-c2cc(C(=O)N3Cc4nc(C)[nH]c(=O)c4C3)c3ccccc3n2)c(C)c1,0.5403718879478947,2.5620863959100895,[BOS]Cc1ccc(-c2cc(C(=O)N3Cc4nc(C)[nH]c(=O)c4C3)c3ccccc3n2)c(C)c1[EOS],42
11.3,O=C(NCC1OCC2CCN(C(=O)Cc3ccc(F)c(C(F)(F)F)c3)CC21)c1ccnc2[nH]ccc12,0.5206469929723732,3.889151486596136,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)Cc3ccc(F)c(C(F)(F)F)c3)C[C@@H]21)c1ccnc2[nH]ccc12[EOS],42
11.8,O=C(NC1CN(C(=O)c2ccc3nnc(-c4ccccc4F)n3c2)C2CCCOC12)c1cnccn1,0.4690123189320378,3.8491447897635584,[BOS]O=C(N[C@H]1CN(C(=O)c2ccc3nnc(-c4ccccc4F)n3c2)[C@H]2CCCO[C@@H]12)c1cnccn1[EOS],42
12.4,O=C(c1ccc2c(c1)oc1ccccc12)N1CCC2CCN(C(=O)c3ccc4cc[nH]c4c3)C2C1,0.37880388561349443,3.2647001764937746,[BOS]O=C(c1ccc2c(c1)oc1ccccc12)N1CC[C@H]2CCN(C(=O)c3ccc4cc[nH]c4c3)[C@@H]2C1[EOS],42
11.9,Cc1ccc(C(=O)N2CCCC(C(=O)c3ccc4c5c(cccc35)CC4)C2)o1,0.6318364413815082,2.861510615582022,[BOS]Cc1ccc(C(=O)N2CCC[C@H](C(=O)c3ccc4c5c(cccc35)CC4)C2)o1[EOS],42
13.3,O=C1NCC2(CCN(c3nccc4c3ccc3ccccc34)CC2)Oc2ccc(F)cc21,0.44805874027000375,3.088414240483873,[BOS]O=C1NCC2(CCN(c3nccc4c5ccccc5ccc34)CC2)Oc2ccc(F)cc21[EOS],42
11.4,CC(NC(=O)Nc1cc(Cl)cc2c1OCC(=O)N2)c1ccc2c(c1)CCC(=O)N2,0.6164383320817867,3.133335534654467,[BOS]C[C@H](NC(=O)Nc1cc(Cl)cc2c1OCC(=O)N2)c1ccc2c(c1)CCC(=O)N2[EOS],42
11.2,O=C(C1CN(C(=O)c2cccc3c2CCC3)c2ccccc2O1)N1CCOCC1,0.7878063760536442,2.877561295608004,[BOS]O=C([C@@H]1CN(C(=O)c2cccc3c2CCC3)c2ccccc2O1)N1CCOCC1[EOS],42
10.1,Cc1ccccc1C(C)(C)Cn1nnnc1N1CCN2C(=O)NC(=O)C2C1,0.7972389288700654,3.430617899154141,[BOS]Cc1ccccc1C(C)(C)Cn1nnnc1N1CCN2C(=O)NC(=O)[C@H]2C1[EOS][EOS],42
11.5,O=C(Nc1ccccc1-c1nc2ccccc2s1)N1CCCC(c2n[nH]c(=O)[nH]2)C1,0.46870129651965053,3.078934271489718,[BOS]O=C(Nc1ccccc1-c1nc2ccccc2s1)N1CCC[C@H](c2n[nH]c(=O)[nH]2)C1[EOS],42
12.1,O=C1Nc2ccccc2C2CN(c3nc(-c4ccccc4Cl)nc4ccc(F)cc34)CC12,0.45780630934201866,3.283215985903558,[BOS]O=C1Nc2ccccc2[C@H]2CN(c3nc(-c4ccccc4Cl)nc4ccc(F)cc34)C[C@H]12[EOS],42
11.0,Cc1ccc(C2=NOC(CNC(=O)N3CCc4ccccc4C3Cc3ccccc3)C2)cc1C,0.5663368283815851,3.2228398926642283,[BOS]Cc1ccc(C2=NO[C@@H](CNC(=O)N3CCc4ccccc4[C@H]3Cc3ccccc3)C2)cc1C[EOS],42
11.6,Clc1ccc2[nH]nc(-c3nc(-c4ccnc5ccccc45)no3)c2c1,0.5088427030003375,2.3688745209999276,[BOS]Clc1ccc2[nH]nc(-c3nc(-c4ccnc5ccccc45)no3)c2c1[EOS],42
11.3,O=C(NC1CCOC(c2ccc(F)cc2)C1)c1cc(-c2cncnc2)nc2ccc(Cl)cc12,0.4544071021927018,3.2486805711638063,[BOS]O=C(N[C@@H]1CCO[C@H](c2ccc(F)cc2)C1)c1cc(-c2cncnc2)nc2ccc(Cl)cc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
