rv,smi,qed,sa,cur_sentence,seed
12.9,O=C(Nc1nc(-c2cccc3ccccc23)cs1)C1CC(O)CN1C(=O)c1ccc2c(c1)CCC2,0.44213467547148644,3.1448661168355567,[BOS]O=C(Nc1nc(-c2cccc3ccccc23)cs1)[C@@H]1C[C@@H](O)CN1C(=O)c1ccc2c(c1)CCC2[EOS],42
12.9,Cc1noc(-c2ccccc2)c1C(=O)Nc1nc2c(s1)CC(NC(=O)C1CNC(=O)O1)CC2,0.524370090904079,3.6410136329046967,[BOS]Cc1noc(-c2ccccc2)c1C(=O)Nc1nc2c(s1)C[C@H](NC(=O)[C@@H]1CNC(=O)O1)CC2[EOS],42
12.4,O=C(Nc1cc(-c2ccccc2)ccc1Cl)NC1CCN(S(=O)(=O)c2ccc3nnn-3cn2)CC1,0.4232279287181315,2.626990224251628,[BOS]O=C(Nc1cc(-c2ccccc2)ccc1Cl)NC1CCN(S(=O)(=O)c2ccc3nnn3cn2)CC1[EOS],42
12.5,Cc1c(NC(=O)c2c3c(nc4ccccc24)CCC(C)C3)c(=O)n(C2CCCCC2)n1C,0.6382741806098927,3.163168110018593,[BOS]Cc1c(NC(=O)c2c3c(nc4ccccc24)CC[C@H](C)C3)c(=O)n(C2CCCCC2)n1C[EOS],42
13.4,O=C(C1CCc2ccccc2C1)N1CCOC2(CCN(C(=O)C3CCc4cccc(Cl)c43)C2)C1,0.6550707152058769,4.2524833121741,[BOS]O=C([C@@H]1CCc2ccccc2C1)N1CCO[C@@]2(CCN(C(=O)[C@@H]3CCc4cccc(Cl)c43)C2)C1[EOS],42
12.3,CC(NC(=O)N1CCC(c2ccc(C(F)(F)F)cc2)C1)C1CCCN(c2cccnn2)C1,0.75935958324807,3.525344384657309,[BOS]C[C@H](NC(=O)N1CC[C@@H](c2ccc(C(F)(F)F)cc2)C1)[C@@H]1CCCN(c2cccnn2)C1[EOS],42
13.2,Cn1ccc2c(=O)[nH]cc(C(=O)N3CCC4OCCCC4(CNC(=O)C4Cc5ccccc5C4)C3)c21,0.5895970092486177,3.9771053260573908,[BOS]Cn1ccc2c(=O)[nH]cc(C(=O)N3CC[C@H]4OCCC[C@@]4(CNC(=O)C4Cc5ccccc5C4)C3)c21[EOS],42
12.4,O=C(Nc1cc(C2CCOCC2)[nH]n1)C1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1,0.5023755583696885,3.1368070822175564,[BOS]O=C(Nc1cc(C2CCOCC2)[nH]n1)[C@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1[EOS],42
13.2,Cc1ccc(N2CC(C(=O)N3CCc4nc[nH]c(=O)c4C3)CC2=O)c(C(=O)N2CCCN(C)C(C)C2)c1,0.6697091986208045,3.6813454570717727,[BOS]Cc1ccc(N2C[C@H](C(=O)N3CCc4nc[nH]c(=O)c4C3)CC2=O)c(C(=O)N2CCCN(C)C(C)C2)c1[EOS],42
13.6,Cc1ccc(C2(CCNC(=O)Nc3n[nH]c4ccc(C)cc34)COC(N3CCN(C)C(=O)C3)N=N2)cc1,0.47534266380602624,4.170548435189447,[BOS]Cc1ccc([C@]2(CCNC(=O)Nc3n[nH]c4ccc(C)cc34)COC(N3CCN(C)C(=O)C3)N=N2)cc1[EOS],42
13.1,Cc1cc(N2CC(c3nc(-c4cccc5ccccc45)no3)CC2=O)cc2c(F)cn(C)c(=O)c12,0.383131289683724,3.240720672170225,[BOS]Cc1cc(N2C[C@@H](c3nc(-c4cccc5ccccc45)no3)CC2=O)cc2c1C(=O)N(C)C=C2F[EOS],42
12.1,Cc1cc(C)cc(C(=O)NCC2CCN(C(=O)c3ccc4c(c3)NC(=O)CO4)C2c2cccnc2)c1,0.575719730135633,3.397246434519504,[BOS]Cc1cc(C)cc(C(=O)NC[C@H]2CCN(C(=O)c3ccc4c(c3)NC(=O)CO4)[C@@H]2c2cccnc2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.0,O=C(NCC1OCC2CCN(C(=O)C3CCc4[nH]c(=O)[nH]c(=O)c4C3)CC21)c1cccc2ccccc12,0.5001758448640591,4.056947935526363,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@H]3CCc4[nH]c(=O)[nH]c(=O)c4C3)C[C@@H]21)c1cccc2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.2,O=C(NCc1cc(=O)oc2cc3c(cc12)OCO3)N1CCOC2(COCCN(c3ncccn3)C2)C1,0.5281553224595308,3.9576570103731363,[BOS]O=C(NCc1cc(=O)oc2cc3c(cc12)OCO3)N1CCO[C@@]2(COCCN(c3ncccn3)C2)C1[EOS],42
12.5,O=C(CC1CNc2ccccc2O1)NCC1OCC2CCN(C(=O)C3CCc4ccccc4C3)CC21,0.6750960679134999,4.152274805930642,[BOS]O=C(C[C@H]1CNc2ccccc2O1)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3CCc4ccccc4C3)C[C@@H]21[EOS],42
12.9,O=C(NC1CC2CCC(C1)N2C(=O)C1COc2ccccc2O1)c1ccc2cnccc2c1,0.6717504021093478,4.167722770694831,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1COc2ccccc2O1)c1ccc2cnccc2c1[EOS],42
13.3,O=C(c1noc2c1CCCC2)N1CCOCC2(C1)CN(C(=O)c1cccc3cnccc13)CCO2,0.5604773254846849,3.8937388752777826,[BOS]O=C(c1noc2c1CCCC2)N1CCOC[C@]2(C1)CN(C(=O)c1cccc3cnccc13)CCO2[EOS],42
13.8,O=C(c1cccc2c1CCCC2)N1CCOC2(COCCN(C(=O)c3cnnc4ccccc34)C2)C1,0.5539280137103597,3.7977352396909883,[BOS]O=C(c1cccc2c1CCCC2)N1CCO[C@]2(COCCN(C(=O)c3cnnc4ccccc34)C2)C1[EOS],42
13.1,O=C1CC(C(=O)N2C3CCC2CC(NC(=O)CCc2c[nH]c4ccc(F)cc24)C3)=Cc2ccccc2N1,0.48755426951857067,4.330530570198518,[BOS]O=C(CCc1c[nH]c2ccc(F)cc12)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=Cc2ccccc2NC(=O)C1[EOS],42
12.9,Cc1cccc2c(C(=O)NCC34CCCOC3CCN(C(=O)c3ccc5c(n3)OCCO5)C4)[nH]nc12,0.575566553727021,4.119017308305912,[BOS]Cc1cccc2c(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)c3ccc5c(n3)OCCO5)C4)[nH]nc12[EOS],42
12.6,Cc1c(NC(=O)C(=O)NC(c2ccccc2)C2CCCc3ccccc32)cnn1C1CCCC1,0.5168041893247715,3.362765766790102,[BOS]Cc1c(NC(=O)C(=O)N[C@H](c2ccccc2)[C@H]2CCCc3ccccc32)cnn1C1CCCC1[EOS],42
12.8,O=C(NCC1CCN(C(=O)c2ccnc3c2OCO3)C1c1cccnc1)c1ccc2c(c1)CNC2=O,0.5673145960244751,3.787428297316902,[BOS]O=C(NC[C@H]1CCN(C(=O)c2ccnc3c2OCO3)[C@@H]1c1cccnc1)c1ccc2c(c1)CNC2=O[EOS],42
12.2,Cc1cc(C)c(C(=O)NC2C3COCC2CN(C(=O)C2CCc4[nH]c(=O)[nH]c(=O)c4C2)C3)c(C)c1,0.6046104919899684,4.754314626390591,[BOS]Cc1cc(C)c(C(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)[C@H]2CCc4[nH]c(=O)[nH]c(=O)c4C2)C3)c(C)c1[EOS][EOS][EOS][EOS][EOS][EOS],42
13.3,O=C(C(O)c1ccc2c(c1)[nH]c1ccccc12)N1CCC(F)(F)C2(CCCc3ncccc32)C1,0.44660802358040835,4.2612460890295685,[BOS]O=C([C@@H](O)c1ccc2c(c1)[nH]c1ccccc12)N1CCC(F)(F)[C@@]2(CCCc3ncccc32)C1[EOS],42
12.8,O=C(c1c[nH]c2c(Cl)cc(-c3nn[nH]n3)cc12)N1CCC2(CCNCC2)c2ccccc21,0.4347569363049817,3.4677163681434466,[BOS]O=C(c1c[nH]c2c(Cl)cc(-c3nn[nH]n3)cc12)N1CCC2(CCNCC2)c2ccccc21[EOS],42
13.6,Cn1ccc2c(=O)[nH]cc(C(=O)NCC34CCCOC3CCN(C(=O)c3ccc5c(c3)C(=O)CC5)C4)c21,0.5690460803353644,4.009765851735166,[BOS]Cn1ccc2c(=O)[nH]cc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)c3ccc5c(c3)C(=O)CC5)C4)c21[EOS],42
13.8,Cc1ccc2cc(C(=O)N3C4CCC3CC(NC(=O)c3cccc5c3NC(=O)C5F)C4)cc(C)c2n1,0.5749041512832094,4.5772125904161225,[BOS]Cc1ccc2cc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3cccc5c3NC(=O)C5F)C4)cc(C)c2n1[EOS],42
13.6,O=C(NCc1cc(F)c2c(c1)OCO2)N1CC=C(c2ccccc2)C2(CC1)Oc1ccc(F)cc1N=C2O,0.5017900575331247,4.120647143690576,[BOS]O=C(NCc1cc(F)c2c(c1)OCO2)N1CC=C(c2ccccc2)C2(CC1)C(O)=Nc1cc(F)ccc1O2[EOS],42
12.3,Cc1n[nH]c(C)c1C(=O)N1CCC(CNC(=O)c2ccc3c(c2)CCCC3=O)C1c1cccnc1,0.5914454392271458,3.5232601077857844,[BOS]Cc1n[nH]c(C)c1C(=O)N1CC[C@@H](CNC(=O)c2ccc3c(c2)CCCC3=O)[C@@H]1c1cccnc1[EOS],42
13.0,CC1=CCN(C(=O)C2CCc3ccccc3N2C(=O)C2CC(=O)N(c3cccc(C)c3C)C2)C(C)C1,0.5985861837085998,3.8148782551100915,[BOS]Cc1cccc(N2C[C@H](C(=O)N3c4ccccc4CC[C@H]3C(=O)N3CC=C(C)C[C@@H]3C)CC2=O)c1C[EOS],42
13.1,O=C(NC(c1ccccc1)c1ccc2c(c1)CCCO2)N1CCn2c(nnc2C2CCCC2)C1,0.6227206216169093,3.117042883829809,[BOS]O=C(N[C@H](c1ccccc1)c1ccc2c(c1)CCCO2)N1CCn2c(nnc2C2CCCC2)C1[EOS],42
14.2,O=C(c1cccc(F)c1)N1CCN(C(=O)Cc2cccc3ccccc23)C(F)C2CCCC(CC2)N=C(O)C1,0.43876611862462217,5.038685138155499,[BOS]O=C(Cc1cccc2ccccc12)N1CCN(C(=O)c2cccc(F)c2)CC(O)=NC2CCCC(CC2)[C@H]1F[EOS],42
13.0,O=C(Nc1nc2ccccn2n1)N1CCC(c2cccc3ccccc23)CC1,0.5715613212816165,2.3753471183419954,[BOS]O=C(Nc1nc2ccccn2n1)N1CCC(c2cccc3ccccc23)CC1[EOS],42
11.4,Cc1nnc2cc(NC(=O)c3cnc4ccc(C(F)(F)F)cc4c3)ccn12,0.5808518767572424,2.5573960023238502,[BOS]Cc1nnc2cc(NC(=O)c3cnc4ccc(C(F)(F)F)cc4c3)ccn12[EOS],42
13.0,Cn1ncc2cc(C(=O)NCC34CCCOC3CCN(C(=O)c3cccc5c3OC(C)(C)CC5)C4)ccc21,0.5640076500344553,3.928459115623575,[BOS]Cn1ncc2cc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)c3cccc5c3OC(C)(C)CC5)C4)ccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,Cc1ccc2nc(C3CCCN3C(=O)C3CC(=O)N(c4ccc5c(c4)CCCC5C)C3)[nH]c2c1,0.6011332245042587,3.5605057585945445,[BOS]Cc1ccc2nc([C@H]3CCCN3C(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)CCC[C@@H]5C)C3)[nH]c2c1[EOS][EOS][EOS][EOS][EOS],42
12.8,O=C(CCC1CNc2ccccc2C1)NC1CC2CCC(C1)N2C(=O)c1cc2cc(F)c(F)cc2[nH]1,0.48062399815047613,4.489148598073623,[BOS]O=C(CC[C@H]1CNc2ccccc2C1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2cc(F)c(F)cc2[nH]1[EOS],42
