rv,smi,qed,sa,cur_sentence,seed
12.1,CC(NC(=O)NC1CCOc2ccc(F)cc21)c1ccc(F)c2ccccc12,0.6696123731911912,3.0110067819668105,[BOS]C[C@@H](NC(=O)N[C@@H]1CCOc2ccc(F)cc21)c1ccc(F)c2ccccc12[EOS],42
13.3,Cc1cc(-c2nc(-c3cc(=O)[nH]c4ccccc34)no2)nc2[nH]c(=O)[nH]c(=O)c12,0.41423918881973876,2.8093724284721056,[BOS]Cc1cc(-c2nc(-c3cc(=O)[nH]c4ccccc34)no2)nc2[nH]c(=O)[nH]c(=O)c12[EOS],42
12.3,Cc1cnc2c(S(=O)(=O)N3CCN(C(=O)c4ccc5c(c4)C(=O)NC5=O)CC3)cccc2c1,0.5884327516922279,2.4812514672343475,[BOS]Cc1cnc2c(S(=O)(=O)N3CCN(C(=O)c4ccc5c(c4)C(=O)NC5=O)CC3)cccc2c1[EOS],42
13.1,Cc1ccc(-c2ncccc2C(=O)N2CCC(C3CCCCN3C(=O)c3ccc(=O)[nH]c3)CC2)cc1,0.5985384316634642,2.974826304643017,[BOS]Cc1ccc(-c2ncccc2C(=O)N2CCC([C@H]3CCCCN3C(=O)c3ccc(=O)[nH]c3)CC2)cc1[EOS],42
13.4,O=C1CCCC2=C1CC=CCN2C(=O)Cc1ccc2c(c1)CN(Cc1ccc3ncccc3c1)CCO2,0.4805975317126358,3.026210212086177,[BOS]O=C(Cc1ccc2c(c1)CN(Cc1ccc3ncccc3c1)CCO2)N1CC=CCC2=C1CCCC2=O[EOS],42
11.8,COc1ccc2c(CC(=O)Nc3cc(C4CCCCN4C(=O)C45CCC(CC4)CC5)[nH]n3)c[nH]c2c1,0.4478902456081175,4.2150878517527435,[BOS]COc1ccc2c(CC(=O)Nc3cc([C@H]4CCCCN4C(=O)C45CCC(CC4)CC5)[nH]n3)c[nH]c2c1[EOS][EOS][EOS],42
11.4,CC(C)(C)OC(=O)N1Cc2ccc(O)cc2CC1C(=O)NCC1Cn2nnc(-c3cccc(F)c3)c2CO1,0.539268316553583,3.8051918522858674,[BOS]CC(C)(C)OC(=O)N1Cc2ccc(O)cc2C[C@@H]1C(=O)NC[C@@H]1Cn2nnc(-c3cccc(F)c3)c2CO1[EOS],42
11.8,Cn1c(NC2CCOC(c3ccccc3)C2)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,0.5068480155457284,3.2825862092286204,[BOS]Cn1c(N[C@@H]2CCO[C@H](c3ccccc3)C2)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1[EOS],42
12.9,O=C(Nc1nc2c3c(ccc2s1)CCCC3)C(=O)N1Cc2ccc(O)cc2C2(CC2)C1,0.5705791765248681,3.3717049594828623,[BOS]O=C(Nc1nc2c3c(ccc2s1)CCCC3)C(=O)N1Cc2ccc(O)cc2C2(CC2)C1[EOS],42
12.0,NC(=O)c1cc(C(=O)Nc2cccc3c2CN(c2ccccn2)C3)nn1-c1ccccc1,0.5119669250062218,2.4908709235373756,[BOS]NC(=O)c1cc(C(=O)Nc2cccc3c2CN(c2ccccn2)C3)nn1-c1ccccc1[EOS],42
