rv,smi,qed,sa,cur_sentence,seed
12.3,Cc1ccc(CCC(=O)N2C3CCC2CC(NC(=O)c2ccc(O)cc2F)C3)c2ccccc12,0.5703782876930471,3.9023427272216384,[BOS]Cc1ccc(CCC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccc(O)cc2F)C3)c2ccccc12[EOS],42
11.5,O=C(c1cccc(-n2nccc2-c2ccccc2)c1)N1CCc2n[nH]c(=O)cc2C1,0.5761989579706115,2.5689436131577708,[BOS]O=C(c1cccc(-n2nccc2-c2ccccc2)c1)N1CCc2n[nH]c(=O)cc2C1[EOS],42
11.8,O=C(Nc1cccc(-c2nnnn2C2CC2)c1)C(=O)N1CCCc2c(Cl)cccc2C1,0.6360090468159635,2.5847087165669596,[BOS]O=C(Nc1cccc(-c2nnnn2C2CC2)c1)C(=O)N1CCCc2c(Cl)cccc2C1[EOS],42
11.1,O=C1Nc2cc(Cl)ccc2C1C1CCN(C(=O)COc2cccc3ccccc23)CC1,0.6383710439089744,2.818429851444833,[BOS]O=C(COc1cccc2ccccc12)N1CCC([C@H]2C(=O)Nc3cc(Cl)ccc32)CC1[EOS],42
12.5,O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)C(=O)N1CCC2(CC1)OCCc1ccsc12,0.5516074245366542,3.4517227349036075,[BOS]O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)C(=O)N1CCC2(CC1)OCCc1ccsc12[EOS],42
11.3,CN1C(=O)CCC2CN(c3nc(-c4ccc(Cl)cc4)nc4cc(Cl)ccc34)CCC21,0.5586188942917958,3.206886646607635,[BOS]CN1C(=O)CC[C@@H]2CN(c3nc(-c4ccc(Cl)cc4)nc4cc(Cl)ccc34)CC[C@@H]21[EOS],42
12.9,O=C(c1cccc(-c2cc3c4c(c2)c2c(c(=O)n4C(=O)OC3)CCCC2)c1Cl)N1CCC(O)C1,0.6030000477648463,3.4445487152852774,[BOS]O=C1OCc2cc(-c3cccc(C(=O)N4CC[C@H](O)C4)c3Cl)cc3c4c(c(=O)n1c23)CCCC4[EOS],42
11.6,CC(=O)N1CC2CCCC(NC(=O)NC3CC3c3ccc4ccccc4c3)C2C1,0.8391205402162533,3.7179479715029746,[BOS]CC(=O)N1C[C@@H]2CCC[C@H](NC(=O)N[C@@H]3C[C@H]3c3ccc4ccccc4c3)[C@@H]2C1[EOS],42
11.1,O=C(C(c1c[nH]c2cc(F)ccc12)C(F)(F)F)N1CCCC2(CCC(=O)N2Cc2ccncc2)C1,0.548954388510141,4.238671738145701,[BOS]O=C([C@@H](c1c[nH]c2cc(F)ccc12)C(F)(F)F)N1CCC[C@@]2(CCC(=O)N2Cc2ccncc2)C1[EOS][EOS],42
11.2,O=C(NCc1ccc2c(n1)CCCC2)Nc1cccc2c1CN(c1ccccn1)C2,0.6899250408879559,2.5850259774227204,[BOS]O=C(NCc1ccc2c(n1)CCCC2)Nc1cccc2c1CN(c1ccccn1)C2[EOS],42
