rv,smi,qed,sa,cur_sentence,seed
10.1,Cc1cc2nc(C(=O)N3CC4COCC(C3)C4NC(=O)C3CNc4ccccc43)[nH]c2cc1C,0.5592421962374932,4.68089390092224,[BOS]Cc1cc2nc(C(=O)N3C[C@H]4COC[C@@H](C3)[C@H]4NC(=O)[C@@H]3CNc4ccccc43)[nH]c2cc1C[EOS],42
10.3,Cc1sc2nnn(CC(=O)N3c4ccccc4CC3C)c(=O)c2c1-c1cc(F)c(F)c(F)c1,0.42066760411647913,3.2211844173208224,[BOS]Cc1sc2nnn(CC(=O)N3c4ccccc4C[C@@H]3C)c(=O)c2c1-c1cc(F)c(F)c(F)c1[EOS],42
9.6,Cc1nc2cc(F)c(F)cc2n1CC(=O)NC1CCCc2[nH]c(=O)c(C(N)=O)cc21,0.5989457212450482,3.1950999952238144,[BOS]Cc1nc2cc(F)c(F)cc2n1CC(=O)N[C@@H]1CCCc2[nH]c(=O)c(C(N)=O)cc21[EOS],42
11.0,O=C(c1cnc2[nH]ncc2c1)N1CCC(C2CCCCN2C(=O)CC2CNc3ccccc3O2)CC1,0.5831120453791901,3.624302939655694,[BOS]O=C(c1cnc2[nH]ncc2c1)N1CCC([C@H]2CCCCN2C(=O)C[C@@H]2CNc3ccccc3O2)CC1[EOS],42
10.7,O=C(NCC1CCC2C1OCCN2c1nc(-c2ccncc2F)cc2cc[nH]c12)Nc1cccc(F)n1,0.3526446597789327,4.21919411209944,[BOS]O=C(NC[C@@H]1CC[C@H]2[C@H]1OCCN2c1nc(-c2ccncc2F)cc2cc[nH]c12)Nc1cccc(F)n1[EOS],42
9.4,COc1ccccc1C(NC(=O)Nc1cccc2nsnc12)c1cnc(C(C)C)[nH]1,0.42552634077420876,3.2514173541047757,[BOS]COc1ccccc1[C@@H](NC(=O)Nc1cccc2nsnc12)c1cnc(C(C)C)[nH]1[EOS],42
11.6,CC1=CC(=O)C(=C2NNC(=C3C=CC(=O)C=C3)N2c2ccc3c(c2)OC(c2ccccc2)O3)C(C)=C1,0.6090580715627043,3.799089174465501,[BOS]CC1=CC(=O)C(=C2NNC(=C3C=CC(=O)C=C3)N2c2ccc3c(c2)OC(c2ccccc2)O3)C(C)=C1[EOS],42
10.1,Cc1ccc2[nH]c(C(=O)N3C4CCC3CC(NC(=O)c3ccc5c(c3)NC(=O)C(C)O5)C4)cc2c1,0.5399875256223793,4.321853634239886,[BOS]Cc1ccc2[nH]c(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3ccc5c(c3)NC(=O)[C@@H](C)O5)C4)cc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.4,O=C(Nc1ccc2c(c1)OC1(CCCCC1)O2)NC(CN1CCCC1=O)c1cccc(C(F)(F)F)c1,0.5550315617155834,3.6233311377844686,[BOS]O=C(Nc1ccc2c(c1)OC1(CCCCC1)O2)N[C@@H](CN1CCCC1=O)c1cccc(C(F)(F)F)c1[EOS],42
9.4,Cc1ccc(C(NC(=O)NC(C)COc2cccc(F)c2)c2cccc(S(C)(=O)=O)c2)c(C)c1,0.4853702350793295,3.1111885907746277,[BOS]Cc1ccc([C@@H](NC(=O)N[C@H](C)COc2cccc(F)c2)c2cccc(S(C)(=O)=O)c2)c(C)c1[EOS][EOS],42
10.4,O=C(NCC1OCC2CCN(C(=O)CC3CCc4cc(F)ccc4C3)CC21)c1cc2cccnc2[nH]c1=O,0.5407076263717262,4.078446602261171,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)C[C@H]3CCc4cc(F)ccc4C3)C[C@@H]21)c1cc2cccnc2[nH]c1=O[EOS],42
10.2,O=C(CCC1CNc2ccccc2C1)NC1CCc2nc(NC(=O)c3csc4c3CCCO4)sc2C1,0.4317537923069416,3.9219861036614994,[BOS]O=C(CC[C@@H]1CNc2ccccc2C1)N[C@H]1CCc2nc(NC(=O)c3csc4c3CCCO4)sc2C1[EOS],42
