rv,smi,qed,sa,cur_sentence,seed
13.4,Cc1nc2ccncc2cc1C(=O)NC1CC2CCC(C1)N2C(=O)C1CC12C(=O)Nc1ccccc12,0.5983386450285147,5.128126775761533,[BOS]Cc1nc2ccncc2cc1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1C[C@@]12C(=O)Nc1ccccc12[EOS],42
13.0,O=C(c1c(F)cncc1F)N1CCC2(CCCN(C(=O)C3CCc4[nH]c(=O)[nH]c(=O)c4C3)C2)CC1,0.6636398188067475,4.045929994837834,[BOS]O=C(c1c(F)cncc1F)N1CCC2(CCCN(C(=O)[C@@H]3CCc4[nH]c(=O)[nH]c(=O)c4C3)C2)CC1[EOS],42
13.3,O=C(NC1CC2CCC(C1)N2C(=O)CC1CNc2ccccc2O1)C1CCc2[nH]c(=O)[nH]c(=O)c2C1,0.5030870918870493,4.905343231469393,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C[C@@H]1CNc2ccccc2O1)[C@H]1CCc2[nH]c(=O)[nH]c(=O)c2C1[EOS],42
12.5,O=C(Nc1cccc(-c2ccc3c(c2)CCO3)c1)C(=O)N1Cc2ccccc2C(F)(F)C1,0.6100362393296747,2.698990170489582,[BOS]O=C(Nc1cccc(-c2ccc3c(c2)CCO3)c1)C(=O)N1Cc2ccccc2C(F)(F)C1[EOS],42
13.8,O=C(c1n[nH]c2ccc(-c3cccc(-c4nn[nH]n4)c3)cc12)N1CCCCC1C1CCCCC1O,0.4139630984974985,3.665292123970838,[BOS]O=C(c1n[nH]c2ccc(-c3cccc(-c4nn[nH]n4)c3)cc12)N1CCCC[C@H]1C1CCCCC1O[EOS],42
13.2,O=C(NC1CC2CCC(C1)N2C(=O)c1cc2n(n1)CCCNC2=O)c1cccc2c1CCCC2,0.7340007023181233,4.288130860737606,[BOS]O=C1NCCCn2nc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3cccc5c3CCCC5)C4)cc21[EOS],42
13.5,CC(NC(=O)C1CC(=O)N(c2ccc3c(c2)OCO3)C1)c1cc2cccc(F)c2c2nc(O)ccc12,0.41886585858585307,3.5741747392245076,[BOS]C[C@@H](NC(=O)[C@@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1)c1cc2cccc(F)c2c2nc(O)ccc12[EOS],42
13.0,Cc1cc(C(=O)N2CCC3OCCCC3(CNC(=O)c3ccc4c(c3)C(=O)CC4)C2)nc2ccccc12,0.586071064431487,3.689728315281142,[BOS]Cc1cc(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3ccc4c(c3)C(=O)CC4)C2)nc2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.7,CC1Oc2ccc(C(=O)N3CCCCC3C3CCN(C(=O)c4ncc(F)cc4F)CC3)cc2NC1=O,0.6980583216521216,3.4826792992561373,[BOS]C[C@H]1Oc2ccc(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)c4ncc(F)cc4F)CC3)cc2NC1=O[EOS],42
12.1,Cc1nnnn1-c1cccc(NC(=O)N2CC3CC(C2)c2cccc(=O)n2C3)c1,0.7181354646521427,3.998252901624026,[BOS]Cc1nnnn1-c1cccc(NC(=O)N2C[C@@H]3C[C@H](C2)c2cccc(=O)n2C3)c1[EOS],42
