rv,smi,qed,sa,cur_sentence,seed
13.5,O=C(c1cnc2[nH]ncc2c1)N1C2CCC1CC(OC(=O)C1(O)c3ccccc3-c3cc(F)ccc31)C2,0.4173215176769005,4.621860697234885,[BOS]O=C(c1cnc2[nH]ncc2c1)N1[C@@H]2CC[C@H]1C[C@@H](OC(=O)C1(O)c3ccccc3-c3cc(F)ccc31)C2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(Nc1ccccc1)c1cc(NC(=O)N2CCC3(CCc4ccccc4O3)C2)ccc1Cl,0.5334388185655767,3.1916101680060676,[BOS]O=C(Nc1ccccc1)c1cc(NC(=O)N2CC[C@]3(CCc4ccccc4O3)C2)ccc1Cl[EOS],42
12.3,O=C(NCC1OCC2CCN(C(=O)c3ccccc3Cl)CC21)C1CCc2[nH]c(=O)[nH]c(=O)c2C1,0.5969402167408956,4.051900701916028,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3ccccc3Cl)C[C@@H]21)[C@@H]1CCc2[nH]c(=O)[nH]c(=O)c2C1[EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1ccccc1CCn1c(C(=O)Nc2ccccn2)nnc1N(C)C1CCCC(C)C1,0.5952276961551549,3.464716422843897,[BOS]Cc1ccccc1CCn1c(C(=O)Nc2ccccn2)nnc1N(C)[C@@H]1CCC[C@@H](C)C1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(NC1CC(=O)N(c2cccc(C(F)(F)F)c2)C1)NC1CCCc2c(F)cccc21,0.7055857399156288,3.2046551491293567,[BOS]O=C(N[C@@H]1CC(=O)N(c2cccc(C(F)(F)F)c2)C1)N[C@H]1CCCc2c(F)cccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,O=C(Nc1n[nH]c(-c2ccccn2)n1)c1c[nH]cc1-c1cc(Cl)c2c(c1)OCCO2,0.4626711798005716,2.908537843927002,[BOS]O=C(Nc1n[nH]c(-c2ccccn2)n1)c1c[nH]cc1-c1cc(Cl)c2c(c1)OCCO2[EOS][EOS][EOS][EOS],42
12.5,O=C(c1cn2c3c(c(F)c(F)cc3c1=O)CCC2)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,0.49423845044417275,2.8102719726767837,[BOS]O=C(c1cn2c3c(c(F)c(F)cc3c1=O)CCC2)N1CCC(n2c(=O)[nH]c3ccccc32)CC1[EOS][EOS],42
12.2,O=C(C1CCCNCCc2cn(-c3cc(F)ccc3F)nc21)N1CCN(c2ccccc2F)CC1,0.6182097308692188,3.6606955283142586,[BOS]O=C(C1CCCNCCc2cn(-c3cc(F)ccc3F)nc21)N1CCN(c2ccccc2F)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.3,O=C(NCCc1ccc(=O)[nH]c1)c1nn(-c2cc(Cl)ccc2F)c2c1CCC2,0.690757213634744,2.569594852354971,[BOS]O=C(NCCc1ccc(=O)[nH]c1)c1nn(-c2cc(Cl)ccc2F)c2c1CCC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.6,CC1CC(c2cc(F)c3c(c2)CCn2nnnc2C3)CC(C)(N2Cc3ccc(O)cc3C2=O)C1,0.6240950094586206,4.46987938334976,[BOS]C[C@H]1C[C@@H](c2cc(F)c3c(c2)CCn2nnnc2C3)C[C@](C)(N2Cc3ccc(O)cc3C2=O)C1[EOS],42
