rv,smi,qed,sa,cur_sentence,seed
9.3,O=C(Nc1nc2c(s1)CCCC2)C(Oc1ccc(F)c(F)c1)c1ccccc1,0.6513960392249647,2.736813179684585,[BOS]O=C(Nc1nc2c(s1)CCCC2)[C@@H](Oc1ccc(F)c(F)c1)c1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,O=C1CSc2ncc(C(=O)N3CCOC4(CCN(C(=O)c5ccc6ncnn6c5)C4)C3)cc2N1,0.5760643377519933,4.167483737758237,[BOS]O=C1CSc2ncc(C(=O)N3CCO[C@]4(CCN(C(=O)c5ccc6ncnn6c5)C4)C3)cc2N1[EOS][EOS][EOS][EOS],42
9.8,O=C(Nc1cc(C2CCCCN2C(=O)C2CCc3[nH]c(=O)[nH]c(=O)c3C2)[nH]n1)C1C2COCC21,0.511871327840136,4.418024646307425,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2CCc3[nH]c(=O)[nH]c(=O)c3C2)[nH]n1)[C@H]1[C@@H]2COC[C@@H]21[EOS][EOS][EOS],42
9.4,O=C(NCc1ccccc1Cn1cncn1)N1CC(c2ccccc2)C2COCCC21,0.6926739695122887,3.5508909491200447,[BOS]O=C(NCc1ccccc1Cn1cncn1)N1C[C@H](c2ccccc2)[C@@H]2COCC[C@H]21[EOS],42
9.5,CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C1CC(=O)Nc2ccccc21,0.5361610645653848,3.069671181531584,[BOS]CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H]1CC(=O)Nc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.8,O=C1Nc2ccccc2C(c2ccccc2)=NC1Nc1nc2ccccc2nc1N1CCOCC1,0.47868156677188045,3.0870658023477375,[BOS]O=C1Nc2ccccc2C(c2ccccc2)=N[C@@H]1Nc1nc2ccccc2nc1N1CCOCC1[EOS][EOS][EOS][EOS],42
9.7,CC(Nc1ccccn1)C(=O)Nc1cc(C2CCCCN2C(=O)C2CC23C(=O)Nc2ccccc23)[nH]n1,0.4118322793993229,4.467345470859812,[BOS]C[C@H](Nc1ccccn1)C(=O)Nc1cc([C@H]2CCCCN2C(=O)[C@H]2C[C@@]23C(=O)Nc2ccccc23)[nH]n1[EOS],42
10.0,Cc1cc(CN2C(=O)c3ccccc3C2=O)cc(C(=O)N2CC(C(N)=O)Cc3ccccc32)c1O,0.5694285822174102,2.986674747523443,[BOS]Cc1cc(CN2C(=O)c3ccccc3C2=O)cc(C(=O)N2C[C@@H](C(N)=O)Cc3ccccc32)c1O[EOS][EOS],42
9.3,Cn1ncc2c(C(=O)N3CC4COCC(C3)C4NC(=O)c3ccc4cccnc4n3)cccc21,0.506219276318082,4.330067923674669,[BOS]Cn1ncc2c(C(=O)N3C[C@H]4COC[C@@H](C3)[C@H]4NC(=O)c3ccc4cccnc4n3)cccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.2,Cc1c(NC(=O)NCc2cccc(N3CCOC3=O)c2)cccc1C(=O)N1CCOCC1,0.7478129967156206,2.3275505383825585,[BOS]Cc1c(NC(=O)NCc2cccc(N3CCOC3=O)c2)cccc1C(=O)N1CCOCC1[EOS][EOS][EOS][EOS],42
9.7,O=C(Nc1cc(C2CCCCN2C(=O)Cc2ccc3c(c2)CCC3)[nH]n1)C1=NOC(c2ccccc2)C1,0.5177674692881956,3.5692362542597653,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)Cc2ccc3c(c2)CCC3)[nH]n1)C1=NO[C@H](c2ccccc2)C1[EOS],42
10.1,Cc1ccc(N2CCOC2=O)cc1Nc1ncnc2c1CCn1c-2cc2c(c1=O)OCC2C(F)(F)F,0.5836025285396391,3.8549221713328876,[BOS]Cc1ccc(N2CCOC2=O)cc1Nc1ncnc2c1CCn1c-2cc2c(c1=O)OC[C@@H]2C(F)(F)F[EOS][EOS][EOS][EOS],42
10.0,O=C(Nc1ccc2c(c1)CCNC2=O)NC(CN1CCCC1=O)c1cccc(C(F)(F)F)c1,0.6383233092298903,3.065514339642541,[BOS]O=C(N[C@@H](CN1CCCC1=O)c1cccc(C(F)(F)F)c1)Nc1ccc2c(c1)CCNC2=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.6,O=C(c1cc(-c2nc(-c3cccnc3)nc3ccccc23)ccc1F)N1CCOCC1,0.5074723038214519,2.2896098743547224,[BOS]O=C(c1cc(-c2nc(-c3cccnc3)nc3ccccc23)ccc1F)N1CCOCC1[EOS][EOS][EOS][EOS][EOS],42
9.2,Cc1c(NC(=O)NCc2ccnc(N(C)C)n2)cccc1C(=O)N1CCOCC1,0.794446125990262,2.386513514391769,[BOS]Cc1c(NC(=O)NCc2ccnc(N(C)C)n2)cccc1C(=O)N1CCOCC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.4,CC(NC(=O)N1CCc2ccccc2C(C)(C)C1)c1nc2ccccc2[nH]1,0.718674888473298,2.8751377240660716,[BOS]C[C@@H](NC(=O)N1CCc2ccccc2C(C)(C)C1)c1nc2ccccc2[nH]1[EOS][EOS][EOS],42
9.4,Oc1cc(N2CCCC(c3cc4ccccc4[nH]3)C2)c(O)n1-c1ccc(F)cc1F,0.44460979925173216,3.2353026850528988,[BOS]Oc1cc(N2CCC[C@@H](c3cc4ccccc4[nH]3)C2)c(O)n1-c1ccc(F)cc1F[EOS][EOS][EOS][EOS][EOS][EOS],42
