rv,smi,qed,sa,cur_sentence,seed
12.0,CC(Nc1ccccn1)C(=O)N1CCOC2(CCN(C(=O)CC(=O)Nc3ccc(F)cc3)C2)C1,0.6265004730544799,3.8572663288780866,[BOS]C[C@H](Nc1ccccn1)C(=O)N1CCO[C@]2(CCN(C(=O)CC(=O)Nc3ccc(F)cc3)C2)C1[EOS][EOS][EOS][EOS],42
13.1,CC(NC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2c(c1)cc(O)n2C,0.48259751525237515,3.2370533171191838,[BOS]C[C@@H](NC(=O)N1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2c(c1)cc(O)n2C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
14.6,O=C1N(c2ccc3c(c2)Cc2ccccc2-3)C2CCCCC2C12COCCN1CCOCC12,0.5713490251581971,4.538369302854949,[BOS]O=C1N(c2ccc3c(c2)Cc2ccccc2-3)C2CCCC[C@@H]2[C@@]12COCCN1CCOC[C@@H]12[EOS],42
12.5,Cc1ccc2[nH]cc(CC(=O)NC3CC4CCC(C3)N4C(=O)c3cccc4c3OC(C)(C)CC4)c2c1,0.5415949927091973,4.2212860209648015,[BOS]Cc1ccc2[nH]cc(CC(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)c3cccc4c3OC(C)(C)CC4)c2c1[EOS],42
12.2,O=C(c1cc(Cl)ccc1F)N1CCOC2(CCN(C(=O)c3cccc4c3oc3ccccc34)C2)C1,0.38870737340059386,3.5262658253439625,[BOS]O=C(c1cc(Cl)ccc1F)N1CCO[C@@]2(CCN(C(=O)c3cccc4c3oc3ccccc34)C2)C1[EOS][EOS][EOS][EOS],42
12.3,O=C1c2cccc(F)c2CN1C1CCCN(c2nc(-c3cccs3)nc3ccccc23)C1,0.4400123064251591,3.0154494286999096,[BOS]O=C1c2cccc(F)c2CN1[C@@H]1CCCN(c2nc(-c3cccs3)nc3ccccc23)C1[EOS][EOS][EOS],42
12.7,O=C(Cc1ccc2c(c1)CCC2)NC1CC2CCC(C1)N2C(=O)c1cnc2c(F)c(F)ccc2c1,0.6046999518848161,4.096156166491303,[BOS]O=C(Cc1ccc2c(c1)CCC2)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnc2c(F)c(F)ccc2c1[EOS][EOS],42
12.8,Cc1c(C(=O)NCC2OCC3CCN(C(=O)c4nc5ccccn5n4)CC32)cn2nc[nH]c(=O)c12,0.4313243675598698,4.363767577057596,[BOS]Cc1c(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)c4nc5ccccn5n4)C[C@@H]32)cn2nc[nH]c(=O)c12[EOS][EOS][EOS],42
12.4,Cc1cc(C(=O)N2C3CCC2CC(NC(=O)c2cc4ncccn4n2)C3)cc2cn[nH]c12,0.5201642543580304,4.312967499882644,[BOS]Cc1cc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc4ncccn4n2)C3)cc2cn[nH]c12[EOS],42
13.6,Cc1cc(=O)[nH]c2cc(N3C(=O)CC(N4CCC5(CC4)Nc4ccccc4C4=NCCN4C5=O)C3=O)ccc12,0.4955563995187126,4.018250302459464,[BOS]Cc1cc(=O)[nH]c2cc(N3C(=O)CC(N4CCC5(CC4)Nc4ccccc4C4=NCCN4C5=O)C3=O)ccc12[EOS][EOS][EOS],42
12.4,O=C(NC1CCOc2c(-c3ccccc3)cccc21)N1CCOc2ccccc2C1,0.6734495762463815,2.7915992298459678,[BOS]O=C(N[C@@H]1CCOc2c(-c3ccccc3)cccc21)N1CCOc2ccccc2C1[EOS],42
13.2,O=C(c1cc(=O)c2ccccc2o1)N1CCC2(C1)Nc1cccnc1NC2=NC1CCCCC1,0.6025092428949448,4.089004465030964,[BOS]O=C(c1cc(=O)c2ccccc2o1)N1CCC2(C1)Nc1cccnc1NC2=NC1CCCCC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.4,O=C1CCC2CCC(C(=O)N3CCC4C3CCN4C(=O)c3cc(=O)c4ccccc4o3)CN12,0.6996197675461758,3.787657974478761,[BOS]O=C(c1cc(=O)c2ccccc2o1)N1CC[C@H]2[C@@H]1CCN2C(=O)[C@@H]1CC[C@H]2CCC(=O)N2C1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(c1cc(F)cc(C(F)(F)F)c1)N1CCOC2(CCN(C(=O)c3cnnc4ccccc34)C2)C1,0.5161917886415494,3.724654470362311,[BOS]O=C(c1cc(F)cc(C(F)(F)F)c1)N1CCO[C@@]2(CCN(C(=O)c3cnnc4ccccc34)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.3,O=c1ccc2cc(-c3nc(N4CCCCC4)nc(N4CC5CCCC(C4)C5O)n3)ccc2[nH]1,0.6382112216400986,4.1423221092213245,[BOS]O=c1ccc2cc(-c3nc(N4CCCCC4)nc(N4C[C@@H]5CCC[C@H](C4)C5O)n3)ccc2[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.7,Cc1ccc2[nH]cc(CC(=O)N3C4CCC3CC(NC(=O)c3cccc5c3NC(=O)C5=O)C4)c2c1,0.5089238264485405,4.200790152782238,[BOS]Cc1ccc2[nH]cc(CC(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3cccc5c3NC(=O)C5=O)C4)c2c1[EOS][EOS],42
12.6,O=C(c1cccc(-c2cnccn2)c1)N1CCC2(C1)CN(C(=O)c1cccc3c1CCCC3)CCO2,0.5680365721604577,3.646580958123499,[BOS]O=C(c1cccc(-c2cnccn2)c1)N1CC[C@@]2(C1)CN(C(=O)c1cccc3c1CCCC3)CCO2[EOS][EOS],42
12.8,O=C(CCCN1C(=O)c2cccc3nccc(c23)C1=O)N1CCC2(CC1)OCc1ccccc12,0.5612354656448928,3.1445471004053127,[BOS]O=C(CCCN1C(=O)c2cccc3nccc(c23)C1=O)N1CCC2(CC1)OCc1ccccc12[EOS][EOS][EOS][EOS][EOS][EOS],42
12.9,O=C(NC1CC2CCC(C1)N2C(=O)C1COc2ccccc2O1)c1n[nH]c2ccc(F)cc12,0.6398257815774434,4.299096809156369,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1COc2ccccc2O1)c1n[nH]c2ccc(F)cc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C(c1cc2cn[nH]c2cn1)N1CCCCC1C1CCN(C(=O)C2(c3ccccc3)CCCC2)CC1,0.5806004894347214,3.28246003524478,[BOS]O=C(c1cc2cn[nH]c2cn1)N1CCCC[C@H]1C1CCN(C(=O)C2(c3ccccc3)CCCC2)CC1[EOS][EOS][EOS][EOS][EOS],42
13.0,O=C(NC1CC2CCC(C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1ccc2ncccc2c1,0.6215880771264481,4.218368496159511,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1ccc2ncccc2c1[EOS],42
12.8,O=C(c1cc(F)ccc1-c1cccc(C(F)(F)F)c1)N1Cc2[nH]nc(C(=O)N3CCOCC3)c2C1,0.5683289554562441,2.693507069782335,[BOS]O=C(c1cc(F)ccc1-c1cccc(C(F)(F)F)c1)N1Cc2[nH]nc(C(=O)N3CCOCC3)c2C1[EOS],42
12.9,CC(C(=O)N1CCC2(C(=O)Oc3ccccc32)C1(C)C)C1(C)CC(=O)c2ccc3c(c2O1)CCCC3,0.44977815907080454,4.860083687034783,[BOS]C[C@H](C(=O)N1CC[C@]2(C(=O)Oc3ccccc32)C1(C)C)[C@]1(C)CC(=O)c2ccc3c(c2O1)CCCC3[EOS][EOS][EOS][EOS],42
12.0,Cc1occ(C(F)(F)F)c1C(=O)N1C2CCC1CC(NC(=O)c1ccc3c(Cl)ccnc3c1)C2,0.5339173821083704,4.296982137881515,[BOS]Cc1occ(C(F)(F)F)c1C(=O)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)c1ccc3c(Cl)ccnc3c1)C2[EOS][EOS][EOS],42
12.1,Cn1c(=O)c(CNC(=O)N2CCc3c(cccc3C(F)(F)F)C2)cc2ccccc21,0.6918951702626285,2.5012663404304973,[BOS]Cn1c(=O)c(CNC(=O)N2CCc3c(cccc3C(F)(F)F)C2)cc2ccccc21[EOS][EOS][EOS],42
13.4,O=C(NC1CC2CCC(C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1cccc2c1CCCC2,0.7181160717692895,4.31201860604962,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1cccc2c1CCCC2[EOS],42
12.4,O=C(NCC1CC2c3ccccc3C1c1ccccc12)C(=O)Nc1ccc2c(c1)OC1(CCCCC1)O2,0.47362177794924315,4.336586785653882,[BOS]O=C(NC[C@@H]1CC2c3ccccc3C1c1ccccc12)C(=O)Nc1ccc2c(c1)OC1(CCCCC1)O2[EOS][EOS],42
