rv,smi,qed,sa,cur_sentence,seed
12.5,CC(C)(O)N1Cc2c(cc(-c3cccc(OCc4cccc(C(F)(F)F)c4)c3F)[nH]c2=O)C(=O)NC1(C)C,0.41037022009726815,3.2863020609868983,[BOS]CC1(C)NC(=O)c2cc(-c3cccc(OCc4cccc(C(F)(F)F)c4)c3F)[nH]c(=O)c2CN1C(C)(C)O[EOS],42
11.5,Cc1cc(F)c(C(=O)Nc2ccc3c(=O)[nH]c(=O)[nH]c3c2)c(F)c1F,0.6191381296335191,2.4848801954526607,[BOS]Cc1cc(F)c(C(=O)Nc2ccc3c(=O)[nH]c(=O)[nH]c3c2)c(F)c1F[EOS],42
12.9,Cc1cc(=O)n(-c2ccc(C(=O)N3CCCCC3C(=O)Nc3c(C)ccc4c3CCC4=O)cc2)cc1F,0.5756387008340839,3.176040843941422,[BOS]Cc1cc(=O)n(-c2ccc(C(=O)N3CCCC[C@@H]3C(=O)Nc3c(C)ccc4c3CCC4=O)cc2)cc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,O=C(C1C2CCCC1c1ccccc1N2)N1C2CCC1CC(NC(=O)C1(c3ccc(F)c(F)c3)CC1)C2,0.6140931750990517,5.218324777714845,[BOS]O=C([C@H]1[C@@H]2CCC[C@H]1c1ccccc1N2)N1[C@@H]2CC[C@H]1C[C@@H](NC(=O)C1(c3ccc(F)c(F)c3)CC1)C2[EOS],42
11.8,O=C(NCc1cccc(OCc2ccccc2)c1)c1cn[nH]c1-c1ccc2c(c1)OCCO2,0.4452317594948087,2.2717355508926254,[BOS]O=C(NCc1cccc(OCc2ccccc2)c1)c1cn[nH]c1-c1ccc2c(c1)OCCO2[EOS],42
12.0,O=C(NC1CCc2cc(O)ccc2C1)c1cccc(NC(=O)C2CCc3ccccc3O2)c1,0.5697576374435196,3.086596917317653,[BOS]O=C(N[C@H]1CCc2cc(O)ccc2C1)c1cccc(NC(=O)[C@H]2CCc3ccccc3O2)c1[EOS],42
11.6,Cc1ccc(OCc2cccc(C(=O)N3CCC(C4C(=O)Nc5cc(Cl)ccc54)CC3)c2)cn1,0.5494573656185545,2.9721849482717317,[BOS]Cc1ccc(OCc2cccc(C(=O)N3CCC([C@@H]4C(=O)Nc5cc(Cl)ccc54)CC3)c2)cn1[EOS],42
14.3,O=C1CCc2cc(N3C(=O)CC(c4ccc(-c5cccc(C(=O)NC6CCCCC6)c5)o4)NC3=O)ccc2N1,0.4281392787346851,3.3171879565230906,[BOS]O=C1C[C@H](c2ccc(-c3cccc(C(=O)NC4CCCCC4)c3)o2)NC(=O)N1c1ccc2c(c1)CCC(=O)N2[EOS],42
11.6,Cc1cc(C)n(Cc2cccc(-c3nc(-c4ccc5c(c4)CCO5)no3)c2)c(=O)n1,0.5208866674316719,2.472432122923866,[BOS]Cc1cc(C)n(Cc2cccc(-c3nc(-c4ccc5c(c4)CCO5)no3)c2)c(=O)n1[EOS],42
13.5,O=c1c(-c2cccc(-c3ccc4ccccc4c3)c2)ccnn1-c1cc2c([nH]1)OCOC21COCO1,0.4079418217159855,4.24238755036744,[BOS]O=c1c(-c2cccc(-c3ccc4ccccc4c3)c2)ccnn1-c1cc2c([nH]1)OCOC21COCO1[EOS],42
10.7,CCC1=CN=C1NC(=O)c1ccc(-c2nnc(-c3ccc(C)cc3)o2)cc1,0.759664879559283,2.4561845417196793,[BOS]CCc1cnc(NC(=O)c2ccc(-c3nnc(-c4ccc(C)cc4)o3)cc2)/1[EOS],42
11.9,O=C(Nc1cc(C2CCCO2)[nH]n1)c1cc(-c2ccc(F)cc2)nc2ccccc12,0.5104886054607997,2.8776505302309747,[BOS]O=C(Nc1cc([C@@H]2CCCO2)[nH]n1)c1cc(-c2ccc(F)cc2)nc2ccccc12[EOS],42
13.3,O=C(C1CC1c1ccc2c(c1)-c1ccccc1C2)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,0.4364595662383734,3.3786122706817103,[BOS]O=C([C@@H]1C[C@@H]1c1ccc2c(c1)-c1ccccc1C2)N1CCN(C2=NS(=O)(=O)c3ccccc32)CC1[EOS],42
11.9,Cc1cc(N2CCCS2(=O)=O)ccc1C(=O)N1CCCCC1c1nc2ccccc2n1C,0.6059701388151738,3.057152218218084,[BOS]Cc1cc(N2CCCS2(=O)=O)ccc1C(=O)N1CCCC[C@@H]1c1nc2ccccc2n1C[EOS],42
12.3,O=C1OCc2c1cccc2-c1ccc(C(=O)N2CCCCCC2)cc1CC1CCNC1=O,0.7475113033402412,3.1481968232408546,[BOS]O=C1OCc2c1cccc2-c1ccc(C(=O)N2CCCCCC2)cc1CC1CCNC1=O[EOS],42
11.9,Cc1ccc(C2=NOC(CNC(=O)NCc3cccc(-c4cccc(C)c4)c3)C2)cc1,0.5997532638582205,2.6846652360602175,[BOS]Cc1ccc(C2=NO[C@@H](CNC(=O)NCc3cccc(-c4cccc(C)c4)c3)C2)cc1[EOS],42
11.9,CC(c1ccc(CC(=O)N2C3CCC2CC(NC(=O)c2ccc4c(c2)CC(=O)N4)C3)cc1)C(F)(F)F,0.6426008426626771,4.374718651972504,[BOS]C[C@H](c1ccc(CC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccc4c(c2)CC(=O)N4)C3)cc1)C(F)(F)F[EOS][EOS][EOS][EOS],42
