rv,smi,qed,sa,cur_sentence,seed
11.2,Cc1nc2cc(F)ccc2cc1C(=O)N1CCN(c2ccc(F)cc2F)CCC1C,0.6110606438309885,2.7887721586026046,[BOS]Cc1nc2cc(F)ccc2cc1C(=O)N1CCN(c2ccc(F)cc2F)CC[C@H]1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.1,Cc1cc(C(=O)Nc2nc(-c3cc(C)c(C)cc3C)cs2)c2c(C)noc2n1,0.5219519167616367,2.4876045860827816,[BOS]Cc1cc(C)c(-c2csc(NC(=O)c3cc(C)nc4onc(C)c34)n2)cc1C[EOS],42
10.8,Cc1cccc(-c2nnc(N3CCC(C(N)=O)C3)n2Cc2ccc(C(F)(F)F)cc2C)n1,0.6520624732035647,3.106129290411234,[BOS]Cc1cccc(-c2nnc(N3CC[C@H](C(N)=O)C3)n2Cc2ccc(C(F)(F)F)cc2C)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.2,Cc1cc(CCC(=O)N2CCCCC2C2CCN(C(=O)c3cccc(-c4cnccn4)c3)CC2)ccn1,0.4927011887434205,3.052575656564696,[BOS]Cc1cc(CCC(=O)N2CCCC[C@H]2C2CCN(C(=O)c3cccc(-c4cnccn4)c3)CC2)ccn1[EOS],42
11.6,Cc1nc(-c2ccc(C)c(NC(=O)N3CC(=O)NC4CCCCC43)c2)n[nH]1,0.7569635532448484,3.4186267201211917,[BOS]Cc1nc(-c2ccc(C)c(NC(=O)N3CC(=O)N[C@@H]4CCCC[C@H]43)c2)n[nH]1[EOS],42
11.3,Cc1ccc(F)c(C(=O)N2CCC3OCCCC3(CNC(=O)CCc3ccc(C)c4ccccc34)C2)c1,0.49403918489678494,3.5539792044202168,[BOS]Cc1ccc(F)c(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)CCc3ccc(C)c4ccccc34)C2)c1[EOS][EOS],42
11.0,Cc1onc(-c2ccc(F)cc2)c1C(=O)NC1CC(=O)N(C)C1c1ccc(F)c(F)c1,0.6852724579693257,3.3402918094217515,[BOS]Cc1onc(-c2ccc(F)cc2)c1C(=O)N[C@H]1CC(=O)N(C)[C@@H]1c1ccc(F)c(F)c1[EOS],42
11.3,Cc1cc(C)cc(-n2nc(NC(=O)NCc3ccc4c(c3)C(=O)NCC4)cc2C)c1,0.6238179894165218,2.5726818155436195,[BOS]Cc1cc(C)cc(-n2nc(NC(=O)NCc3ccc4c(c3)C(=O)NCC4)cc2C)c1[EOS],42
11.0,Cc1ccc(C(=O)N2CCCC(c3nnc(N)o3)C2)cc1NC(=O)c1ccccc1F,0.6649790156062182,2.8172024038923844,[BOS]Cc1ccc(C(=O)N2CCC[C@H](c3nnc(N)o3)C2)cc1NC(=O)c1ccccc1F[EOS],42
10.4,Cc1nc2nc(N)nn2c(C)c1CC(=O)NC1CC(=O)N(C)C1c1ccc(F)c(F)c1,0.6441200036227589,3.6589016400015684,[BOS]Cc1nc2nc(N)nn2c(C)c1CC(=O)N[C@H]1CC(=O)N(C)[C@@H]1c1ccc(F)c(F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.1,Cc1nc2cc(F)ccc2cc1C(=O)N1CCOC(CN2C(=O)c3ccccc3C2=O)C1,0.593780315356641,2.8581282114556164,[BOS]Cc1nc2cc(F)ccc2cc1C(=O)N1CCO[C@H](CN2C(=O)c3ccccc3C2=O)C1[EOS][EOS],42
10.4,Cc1nc(C2CN(C(=O)c3nn(-c4ccccc4C)c4c3CCC4)CCO2)n[nH]1,0.7388752473369975,3.2485751352977275,[BOS]Cc1nc(C2CN(C(=O)c3nn(-c4ccccc4C)c4c3CCC4)CCO2)n[nH]1[EOS],42
11.3,Cc1cc(C)c(C)c(S(=O)(=O)N2CCC3(CC2)C(=O)NCN3c2ccc(F)cc2)c1C,0.787992843027095,3.114741978141666,[BOS]Cc1cc(C)c(C)c(S(=O)(=O)N2CCC3(CC2)C(=O)NCN3c2ccc(F)cc2)c1C[EOS][EOS][EOS][EOS][EOS],42
10.6,CC(NC(=O)N1CCOC(c2ccccc2F)C1)c1cccc(N2CCCC2=O)c1,0.8326172218704507,3.112465537484198,[BOS]C[C@H](NC(=O)N1CCO[C@H](c2ccccc2F)C1)c1cccc(N2CCCC2=O)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
