rv,smi,qed,sa,cur_sentence,seed
12.0,Cc1cc(=O)oc2cc(OCC(=O)N3CCCN(C(=O)c4ccccc4)CC3)ccc12,0.6066397197905623,2.122135164276555,[BOS]Cc1cc(=O)oc2cc(OCC(=O)N3CCCN(C(=O)c4ccccc4)CC3)ccc12[EOS],42
13.3,Cc1cc(C(=O)NC2CC3CCC(C2)N3C(=O)c2cccc3c2NC(=O)C3=O)cc2cn[nH]c12,0.5216777520183302,4.315707517070963,[BOS]Cc1cc(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cccc3c2NC(=O)C3=O)cc2cn[nH]c12[EOS],42
13.6,Cc1cccc(C(=O)NCC23CCCOC2CCN(C(=O)c2ccc4c(c2)CCCC4=O)C3)c1Cl,0.6731473488789815,3.658944107785784,[BOS]Cc1cccc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ccc4c(c2)CCCC4=O)C3)c1Cl[EOS],42
12.0,Cc1nc2cc(C(=O)Nc3cccc(N4CCNC4=O)c3)ccc2n1-c1ccccc1,0.5302937715442296,2.2510867805254726,[BOS]Cc1nc2cc(C(=O)Nc3cccc(N4CCNC4=O)c3)ccc2n1-c1ccccc1[EOS],42
11.9,CCC(C)C(C(=O)NC1CC2CCC(C1)N2C(=O)c1ccc2c(c1)NC(=O)CO2)c1ccccc1,0.6585854144489159,4.397211344558734,[BOS]CC[C@@H](C)[C@@H](C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc2c(c1)NC(=O)CO2)c1ccccc1[EOS],42
12.3,CN1C(=O)CCC1C(=O)N1CCC2OCCCC2(CNC(=O)C(C)(C)Oc2ccc3ccccc3c2)C1,0.6492087981325015,4.061170119425448,[BOS]CN1C(=O)CC[C@H]1C(=O)N1CC[C@H]2OCCC[C@@]2(CNC(=O)C(C)(C)Oc2ccc3ccccc3c2)C1[EOS],42
12.1,Cc1ccc(C(C)C(=O)N2CCC3COC(CNC(=O)c4cccc5c4NC(=O)C5)C3C2)cc1,0.7168869246709407,3.9451268716226107,[BOS]Cc1ccc([C@@H](C)C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4cccc5c4NC(=O)C5)[C@H]3C2)cc1[EOS][EOS][EOS][EOS],42
12.4,Cc1cc(C)c(-c2csc(NC(=O)CN3C(=O)NC4(CCc5ccccc54)C3=O)n2)cc1C,0.5744784120137929,3.409918651256687,[BOS]Cc1cc(C)c(-c2csc(NC(=O)CN3C(=O)N[C@]4(CCc5ccccc54)C3=O)n2)cc1C[EOS],42
12.1,Cc1cc(C)cc(CCC(=O)NC2CC3CCC(C2)N3C(=O)c2cnc3ccccc3n2)c1,0.6446825924652343,3.904726301382934,[BOS]Cc1cc(C)cc(CCC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2cnc3ccccc3n2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,Cc1cnn(C(C)C(=O)Nc2cc(C3CCCCN3C(=O)c3ccc4c(c3)NC(=O)CC4)[nH]n2)c1,0.5218042530944706,3.5970961077857835,[BOS]Cc1cnn([C@H](C)C(=O)Nc2cc([C@H]3CCCCN3C(=O)c3ccc4c(c3)NC(=O)CC4)[nH]n2)c1[EOS],42
12.4,CN1C(=O)CCC1C(=O)Nc1cc(C2CCCCN2C(=O)c2cccc(C(F)(F)F)c2)[nH]n1,0.7266399358827625,3.4490333512641405,[BOS]CN1C(=O)CC[C@H]1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)c2cccc(C(F)(F)F)c2)[nH]n1[EOS],42
12.9,Cc1onc(C(=O)N2CCOC3(COCCN(C(=O)Cc4ccc5c(c4)CCCO5)C3)C2)c1C,0.6780100185994674,3.937843121231907,[BOS]Cc1onc(C(=O)N2CCO[C@]3(COCCN(C(=O)Cc4ccc5c(c4)CCCO5)C3)C2)c1C[EOS],42
12.9,Cc1ccc(C)c(C(=O)N2CCC(C3CCCCN3C(=O)c3ccnc4ncccc34)CC2)c1,0.5681739552275682,2.94536014450407,[BOS]Cc1ccc(C)c(C(=O)N2CCC([C@@H]3CCCCN3C(=O)c3ccnc4ncccc34)CC2)c1[EOS],42
11.8,CC(=O)Nc1ccc(C(=O)N2C3CCC2CC(NC(=O)c2c(C)noc2-c2ccccc2)C3)cc1,0.5798871724686342,3.8540229220130087,[BOS]CC(=O)Nc1ccc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2c(C)noc2-c2ccccc2)C3)cc1[EOS][EOS],42
12.2,Cc1cc(C)cc(CCC(=O)N2CCC3OCCCC3(CNC(=O)c3cc(C)c4[nH]ncc4c3)C2)c1,0.5431462890125103,3.7927719012857466,[BOS]Cc1cc(C)cc(CCC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3cc(C)c4[nH]ncc4c3)C2)c1[EOS][EOS][EOS],42
13.4,CC1(C)Cc2cccc(C(=O)N3C4CCC3CC(NC(=O)c3ccc5c(c3)CCCC5=O)C4)c2O1,0.7145447444758966,4.158184152782238,[BOS]CC1(C)Cc2cccc(C(=O)N3[C@@H]4CC[C@H]3C[C@@H](NC(=O)c3ccc5c(c3)CCCC5=O)C4)c2O1[EOS],42
12.5,CC(Nc1ccccn1)C(=O)N1CCOC2(COCCN(C(=O)CC3Cc4ccccc4C3)C2)C1,0.7091133816583202,4.0816624004246,[BOS]C[C@H](Nc1ccccn1)C(=O)N1CCO[C@]2(COCCN(C(=O)CC3Cc4ccccc4C3)C2)C1[EOS],42
12.9,Cc1c(C(=O)NC2CC3CCC(C2)N3C(=O)C2CCCC3CCCCC32)cn2nc[nH]c(=O)c12,0.7271493191595902,5.066138312989916,[BOS]Cc1c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@@H]2CCC[C@@H]3CCCC[C@H]32)cn2nc[nH]c(=O)c12[EOS],42
12.4,Cc1ccc(F)c(C(=O)Nc2cc(C3CCCCN3C(=O)C3CC(=O)N(C4CCCC4)C3)[nH]n2)c1,0.6755565362085697,3.415343184708858,[BOS]Cc1ccc(F)c(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CC(=O)N(C4CCCC4)C3)[nH]n2)c1[EOS],42
12.9,Cc1cc(C(=O)Nc2cc(C3CCCCN3C(=O)C3CCCOC3)[nH]n2)c2cc(O)ccc2n1,0.5425602377486364,3.473937680590586,[BOS]Cc1cc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CCCOC3)[nH]n2)c2cc(O)ccc2n1[EOS],42
11.9,C=C1c2ccccc2C(=O)N1CC(=O)N1CCCC(S(=O)(=O)N2CCc3ccccc32)C1,0.7157000872128588,3.1140279578630556,[BOS]C=C1c2ccccc2C(=O)N1CC(=O)N1CCC[C@H](S(=O)(=O)N2CCc3ccccc32)C1[EOS],42
12.6,Cc1ccc(CCC(=O)N2CCC(C3CCCCN3C(=O)C3CCc4ccccc4O3)CC2)cc1,0.6167307107943497,3.1751525421749243,[BOS]Cc1ccc(CCC(=O)N2CCC([C@H]3CCCCN3C(=O)[C@H]3CCc4ccccc4O3)CC2)cc1[EOS],42
