rv,smi,qed,sa,cur_sentence,seed
12.5,O=C1CCCc2cc(C(=O)N3Cc4ccccc4CC3C(=O)NCCc3ccc(F)cc3)ccc21,0.605727102147354,2.8063298526728904,[BOS]O=C(NCCc1ccc(F)cc1)[C@H]1Cc2ccccc2CN1C(=O)c1ccc2c(c1)CCCC2=O[EOS],42
12.1,Cc1cc(F)cc(CC(=O)N2CCCCC2C2CCN(C(=O)Cc3cc4cccnc4cc3F)CC2)c1,0.47748305024761595,3.0942193188772276,[BOS]Cc1cc(F)cc(CC(=O)N2CCCC[C@H]2C2CCN(C(=O)Cc3cc4cccnc4cc3F)CC2)c1[EOS][EOS][EOS][EOS],42
11.3,O=C(NCC1CCN(C(=O)Cc2ccc3c(c2)CCC3)C1c1cccnc1)c1cccc2c1OCC2,0.576314635032227,3.457556060120135,[BOS]O=C(NC[C@H]1CCN(C(=O)Cc2ccc3c(c2)CCC3)[C@H]1c1cccnc1)c1cccc2c1OCC2[EOS][EOS][EOS][EOS][EOS],42
12.3,Cc1ccc(C(=O)Nc2cc(C3CCCCN3C(=O)C3CC3c3ccc(F)cc3)[nH]n2)cc1O,0.5131015208764776,3.50968430008251,[BOS]Cc1ccc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@H]3C[C@@H]3c3ccc(F)cc3)[nH]n2)cc1O[EOS],42
12.7,O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)C1CCCN(C(=O)Cc2ccccc2)C1,0.6258130834754304,2.7502198556500677,[BOS]O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)[C@@H]1CCCN(C(=O)Cc2ccccc2)C1[EOS],42
12.8,O=C(NC1CC2CCC(C1)N2C(=O)C1Cc2ccccc2O1)C1CCCN1C(=O)c1ccc(F)cc1,0.7132264344324982,4.31989456283034,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1Cc2ccccc2O1)[C@@H]1CCCN1C(=O)c1ccc(F)cc1[EOS],42
11.9,Cc1c(NC(=O)C2CSC3(c4ccc(F)cc4)CCC(=O)N23)cccc1-n1cn[nH]c1=O,0.6325038441876909,3.698497004636687,[BOS]Cc1c(NC(=O)[C@H]2CS[C@]3(c4ccc(F)cc4)CCC(=O)N23)cccc1-n1cn[nH]c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,CC1=CCC(C(=O)NC2CC3CCC(C2)N3C(=O)c2nn(-c3ccccc3)c3c2COC3)CC1,0.7024152589729081,4.583875405132316,[BOS]CC1=CC[C@H](C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2nn(-c3ccccc3)c3c2COC3)CC1[EOS],42
12.6,Cc1ccc(C(=O)N2CCCC(C(=O)Nc3cccc(N4CCC(C(N)=O)CC4)c3)C2)cc1,0.7343353263953702,2.570777831538427,[BOS]Cc1ccc(C(=O)N2CCC[C@H](C(=O)Nc3cccc(N4CCC(C(N)=O)CC4)c3)C2)cc1[EOS],42
13.1,O=C(c1ccc2c(c1)N(CC(=O)N1CCCc3ccccc31)C(=O)C1CCCCN21)N1CCCCC1,0.6580669446473824,2.9479494111518907,[BOS]O=C(CN1C(=O)[C@@H]2CCCCN2c2ccc(C(=O)N3CCCCC3)cc21)N1CCCc2ccccc21[EOS],42
