rv,smi,qed,sa,cur_sentence,seed
9.9,Cc1noc(-c2ccccc2)c1NC(=O)N1CCCC2(CNC(=O)C2)C1,0.8680197827329765,3.609225785148533,[BOS]Cc1noc(-c2ccccc2)c1NC(=O)N1CCC[C@]2(CNC(=O)C2)C1[EOS],42
9.8,Cc1ccc2nc(C(=O)NCC34CCCOC3CCN(C(=O)Cc3ccc(F)cc3F)C4)ccc2c1,0.5787178928738036,3.6252307511737243,[BOS]Cc1ccc2nc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)Cc3ccc(F)cc3F)C4)ccc2c1[EOS][EOS][EOS][EOS][EOS],42
9.5,COc1ccccc1C(NC(=O)NC1CCc2nc(C)ncc2C1)c1ccccc1,0.6816804849156941,3.115023356249236,[BOS]COc1ccccc1[C@@H](NC(=O)N[C@H]1CCc2nc(C)ncc2C1)c1ccccc1[EOS],42
9.9,CCc1ccc(C(NC(=O)NC2CC(C)n3ccnc32)c2cccc(S(C)(=O)=O)c2)cc1,0.5923740603887439,3.6594478842346554,[BOS]CCc1ccc([C@H](NC(=O)N[C@H]2C[C@H](C)n3ccnc32)c2cccc(S(C)(=O)=O)c2)cc1[EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,O=C(Nc1cc(C2CCCCN2C(=O)c2c(Cl)ccc3c2OCO3)[nH]n1)c1cc(=O)[nH]o1,0.5438720090580957,3.546000933716633,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2c(Cl)ccc3c2OCO3)[nH]n1)c1cc(=O)[nH]o1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.6,O=C(Cc1cc2ccccc2o1)Nc1ncnc2n[nH]nc12,0.5945364679191425,2.6508698660624965,[BOS]O=C(Cc1cc2ccccc2o1)Nc1ncnc2n[nH]nc12[EOS],42
9.9,O=C(Nc1ccccc1C(=O)Nc1ccc2c(c1)OCCO2)C1=NN(c2ccccc2)C(=O)CC1,0.5890959701231656,2.3554090854137613,[BOS]O=C(Nc1ccccc1C(=O)Nc1ccc2c(c1)OCCO2)C1=NN(c2ccccc2)C(=O)CC1[EOS][EOS][EOS][EOS],42
10.9,O=C(NC1CC2CCC(C1)N2C(=O)c1cc2cccnn2n1)c1ccc2c(c1)CNC2=O,0.6552807676906319,4.446773455217632,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2cccnn2n1)c1ccc2c(c1)CNC2=O[EOS],42
10.7,O=C(c1cccc(-c2ccccc2)n1)N1CCCC2(CCN(C(=O)c3cc(=O)[nH][nH]3)CC2)C1,0.6470954238065459,3.213852289394403,[BOS]O=C(c1cccc(-c2ccccc2)n1)N1CCCC2(CCN(C(=O)c3cc(=O)[nH][nH]3)CC2)C1[EOS][EOS][EOS][EOS],42
9.6,Cn1cc(C(=O)Nc2cccc(-c3ccc(F)cc3Cl)n2)c2ccccc2c1=O,0.537523921546703,2.239908073491206,[BOS]Cn1cc(C(=O)Nc2cccc(-c3ccc(F)cc3Cl)n2)c2ccccc2c1=O[EOS],42
