rv,smi,qed,sa,cur_sentence,seed
12.6,O=C(NC(c1cccc2ccccc12)C(F)(F)F)c1ccc2[nH]c(=O)c(=O)[nH]c2c1,0.4494886486438329,2.8943062245366704,[BOS]O=C(N[C@@H](c1cccc2ccccc12)C(F)(F)F)c1ccc2[nH]c(=O)c(=O)[nH]c2c1[EOS],42
11.7,COc1c(C(=O)N2CCCCC2C2CCN(C(=O)C3C4COCC43)CC2)cc2ccccc2c1Cl,0.6190286975375483,3.814849831436879,[BOS]COc1c(C(=O)N2CCCC[C@@H]2C2CCN(C(=O)[C@H]3[C@@H]4COC[C@@H]43)CC2)cc2ccccc2c1Cl[EOS][EOS][EOS][EOS][EOS][EOS],42
14.8,O=C1C(c2nn[nH]c2C=C2N=c3ncccc3=C2c2cccc(Cl)c2)=CC2=Cc3ccc(F)cc3CC12,0.454422481734098,4.2390807847698255,[BOS]O=C1C2Cc3cc(F)ccc3C=C2C=C1c1nn[nH]c1C=C1N=c2ncccc2=C1c1cccc(Cl)c1[EOS],42
13.0,CC(=O)N1Cc2ccccc2CC1c1nc(-c2c[nH]c3c(C)ccc(C)c3c2=O)c(C)o1,0.5004865167774284,3.4199709671614498,[BOS]CC(=O)N1Cc2ccccc2C[C@@H]1c1nc(-c2c[nH]c3c(C)ccc(C)c3c2=O)c(C)o1[EOS],42
12.5,Cc1nnnn1-c1cccc(NC(=O)N2CCCC2c2nc3ccccc3c(=O)[nH]2)c1,0.5293501363620117,2.967706774521755,[BOS]Cc1nnnn1-c1cccc(NC(=O)N2CCC[C@H]2c2nc3ccccc3c(=O)[nH]2)c1[EOS],42
11.7,CC(C(=O)Nc1cccc(Oc2ccnc(C(N)=O)c2)c1)c1ccc(F)c2ccccc12,0.4505976882364995,2.7905528944649145,[BOS]C[C@H](C(=O)Nc1cccc(Oc2ccnc(C(N)=O)c2)c1)c1ccc(F)c2ccccc12[EOS],42
11.6,O=C(NCc1ccc(-n2cnc3ccccc32)cc1Cl)C1CSC(Cc2ccccc2F)C(=O)N1,0.40750363199012896,3.3798665693242453,[BOS]O=C(NCc1ccc(-n2cnc3ccccc32)cc1Cl)[C@@H]1CS[C@@H](Cc2ccccc2F)C(=O)N1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,O=C(NCC1CC(c2ccc3c(c2)CCO3)=NO1)Nc1cc(-c2nnc3n2CCCCC3)ccc1F,0.5616179669631107,3.290562647726638,[BOS]O=C(NC[C@H]1CC(c2ccc3c(c2)CCO3)=NO1)Nc1cc(-c2nnc3n2CCCCC3)ccc1F[EOS],42
12.9,Cc1noc(-c2ccccc2)c1C(=O)N1CCOC2(CCN(C(=O)Cc3ccc4c(c3)CCCO4)C2)C1,0.5425717037693448,3.7621620608173894,[BOS]Cc1noc(-c2ccccc2)c1C(=O)N1CCO[C@]2(CCN(C(=O)Cc3ccc4c(c3)CCCO4)C2)C1[EOS],42
13.4,O=C1CCCC1C(=O)N1CCC2(CC1)CC2C(=O)Nc1cccc(-c2ccc3c(c2)CCO3)n1,0.7058255611911131,4.017755550996174,[BOS]O=C(Nc1cccc(-c2ccc3c(c2)CCO3)n1)[C@@H]1CC12CCN(C(=O)[C@H]1CCCC1=O)CC2[EOS],42
