rv,smi,qed,sa,cur_sentence,seed
13.1,Cc1ccc(-c2ccccc2C(=O)NC2CC3CCC(C2)N3C(=O)C2CCc3[nH]c(=O)[nH]c(=O)c3C2)cc1,0.49830537986876705,4.3923489554157165,[BOS]Cc1ccc(-c2ccccc2C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@@H]2CCc3[nH]c(=O)[nH]c(=O)c3C2)cc1[EOS],42
11.6,COc1ccc2cc(C(C)c3nc(CC(=O)N4CCN(c5ccccc5F)CC4)no3)ccc2c1,0.412227379697042,2.9576093652395326,[BOS]COc1ccc2cc([C@H](C)c3nc(CC(=O)N4CCN(c5ccccc5F)CC4)no3)ccc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.0,O=C(Nc1ccccc1)c1ccnc(-c2ccc(F)c(C(=O)Nc3ccccc3Cl)c2)c1,0.39277478264829513,1.9874393343691814,[BOS]O=C(Nc1ccccc1)c1ccnc(-c2ccc(F)c(C(=O)Nc3ccccc3Cl)c2)c1[EOS],42
11.7,O=C(CC1C(=O)Nc2cc(Oc3ccc(F)cc3)ccc21)c1ccc2c(c1)OCCCO2,0.5677595388589468,2.9384007934641794,[BOS]O=C(C[C@H]1C(=O)Nc2cc(Oc3ccc(F)cc3)ccc21)c1ccc2c(c1)OCCCO2[EOS],42
11.8,O=C(NC1C2Cc3ccccc3C21)c1ccc(N2C(=O)c3ccccc3C2=O)cc1Cl,0.6353631038972216,3.3037618765560675,[BOS]O=C(N[C@@H]1[C@H]2Cc3ccccc3[C@@H]21)c1ccc(N2C(=O)c3ccccc3C2=O)cc1Cl[EOS],42
12.5,c1ccc(-c2cccc(-c3csc(Nc4ncc5c(n4)CCNC5)n3)c2)cc1,0.5350768237304451,2.438276775431895,[BOS]c1ccc(-c2cccc(-c3csc(Nc4ncc5c(n4)CCNC5)n3)c2)cc1[EOS],42
12.2,O=C(NCc1ccc(OCc2ccccc2F)cc1)C1CCCN1C(=O)c1ccc(Cl)c(F)c1F,0.4484976142663871,2.7475681826597356,[BOS]O=C(NCc1ccc(OCc2ccccc2F)cc1)[C@@H]1CCCN1C(=O)c1ccc(Cl)c(F)c1F[EOS],42
12.7,CN1C(=O)CCc2cc(-c3cccc(C4N=C(c5ccc(=O)n(Cc6ccccc6)n5)ON4)c3)ccc21,0.4582476397205561,3.409676938615978,[BOS]CN1C(=O)CCc2cc(-c3cccc(C4N=C(c5ccc(=O)n(Cc6ccccc6)n5)ON4)c3)ccc21[EOS],42
11.6,Cc1cc(NC(=O)C(=O)NC2CC2c2cccc3ccccc23)ccc1Oc1cccnc1,0.43326730522519813,3.072847398086883,[BOS]Cc1cc(NC(=O)C(=O)N[C@@H]2C[C@H]2c2cccc3ccccc23)ccc1Oc1cccnc1[EOS][EOS][EOS][EOS],42
12.5,O=C(Nc1cc(C2CCCCN2C(=O)C2Cc3ccccc3C2)[nH]n1)C1CCC2CCC(=O)N2C1,0.7094414708723953,3.7183134172977272,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)C2Cc3ccccc3C2)[nH]n1)[C@H]1CC[C@H]2CCC(=O)N2C1[EOS],42
12.1,CC1(C)CSc2ccc(-c3cccc(C(=O)NCc4ccco4)c3)cc2N1CC(=O)N1CCNCC1,0.5285412439385494,2.892446754433717,[BOS]CC1(C)CSc2ccc(-c3cccc(C(=O)NCc4ccco4)c3)cc2N1CC(=O)N1CCNCC1[EOS][EOS][EOS][EOS],42
12.2,O=C(NC1CC(=O)N(c2ccccc2F)C1)NC(c1ccc2c(c1)CCCC2)c1cccs1,0.5618796736846069,3.2180228788561145,[BOS]O=C(N[C@H](c1ccc2c(c1)CCCC2)c1cccs1)N[C@H]1CC(=O)N(c2ccccc2F)C1[EOS],42
13.2,O=C1CCc2cc(-c3ccncc3-c3ccc(F)cc3F)ccc2N1C(=O)N1CC2CC(C1)C2F,0.49793217206813084,4.413939229705315,[BOS]O=C1CCc2cc(-c3ccncc3-c3ccc(F)cc3F)ccc2N1C(=O)N1C[C@H]2CC(C1)[C@H]2F[EOS],42
12.2,O=C(NC(Cc1ccccc1)c1ccccc1)C1CCC(=O)N(c2cccc(F)c2)C1,0.6349452818926826,2.7575700562911614,[BOS]O=C(N[C@H](Cc1ccccc1)c1ccccc1)[C@@H]1CCC(=O)N(c2cccc(F)c2)C1[EOS],42
12.3,CC1CC1c1cc(NC(=O)c2ccc3c(=O)n4c(nc3c2)CCCCC4)n(-c2ccc(F)cc2)n1,0.4625672334437001,3.3277288770165523,[BOS]C[C@@H]1C[C@H]1c1cc(NC(=O)c2ccc3c(=O)n4c(nc3c2)CCCCC4)n(-c2ccc(F)cc2)n1[EOS],42
11.9,COc1ccc2cc(C(C)c3nc(-c4c5c(c[nH]c4=O)C(=O)NCC5)no3)ccc2c1,0.5291720138729763,3.3706470510991124,[BOS]COc1ccc2cc([C@H](C)c3nc(-c4c5c(c[nH]c4=O)C(=O)NCC5)no3)ccc2c1[EOS],42
13.1,O=C1NC(=O)C2(CC2C(=O)Nc2cc(C3CCCCN3C(=O)C3CCc4ccccc4C3)[nH]n2)c2ccccc21,0.4401070143635664,4.507520944569054,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2CCc3ccccc3C2)[nH]n1)[C@H]1C[C@@]12C(=O)NC(=O)c1ccccc12[EOS][EOS][EOS],42
11.9,CN1C(=O)CC(NC(=O)c2ccc(N3CCOCC3)cc2C(F)F)C1c1noc2ncccc12,0.6106997198157045,3.847052869378234,[BOS]CN1C(=O)C[C@@H](NC(=O)c2ccc(N3CCOCC3)cc2C(F)F)C1c1noc2ncccc12[EOS],42
11.5,Cc1cc2nc(N(C)C3CCOC(c4ccc(F)cc4)C3)c3ccccc3n2n1,0.509136175862862,3.4015663291550444,[BOS]Cc1cc2nc(N(C)[C@H]3CCO[C@H](c4ccc(F)cc4)C3)c3ccccc3n2n1[EOS],42
12.0,Cc1ccc(C(=O)c2ccccc2C(=O)NCC2CCc3ccccc3C2)cc1C,0.6111715954053422,2.5411273719938645,[BOS]Cc1ccc(C(=O)c2ccccc2C(=O)NC[C@H]2CCc3ccccc3C2)cc1C[EOS],42
13.1,O=C(NC1CC2CCC(C1)N2C(=O)Cc1cc2cccnc2cc1F)c1ccc2c(c1)CCCC2=O,0.5946775580634082,4.090755761586392,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cc2cccnc2cc1F)c1ccc2c(c1)CCCC2=O[EOS],42
12.4,O=C(c1ccc(C(=O)N2CCC(n3ncc4ccccc43)C2)cc1)c1cccc(O)c1,0.5140610462174392,2.7267667745217548,[BOS]O=C(c1ccc(C(=O)N2CC[C@@H](n3ncc4ccccc43)C2)cc1)c1cccc(O)c1[EOS],42
12.7,O=C(C(c1ccccc1)C1CCCCC1)N1CCOc2c(O)cc(-c3cccnc3)cc2C1,0.5762942822130549,3.0242863843587164,[BOS]O=C([C@@H](c1ccccc1)C1CCCCC1)N1CCOc2c(O)cc(-c3cccnc3)cc2C1[EOS],42
13.2,O=C1COc2ccc(C3=C(N4CCc5ccccc5C4)C(=O)N(c4ccc(F)c(F)c4F)C3=O)cc2N1,0.43323174659864233,2.942437823740576,[BOS]O=C1COc2ccc(C3=C(N4CCc5ccccc5C4)C(=O)N(c4ccc(F)c(F)c4F)C3=O)cc2N1[EOS],42
11.3,CCC1Oc2cc(C(C)NC(=O)N3CCC(Cc4cccc(F)c4F)CC3)ccc2NC1=O,0.6777132036257181,3.41266253456331,[BOS]CC[C@H]1Oc2cc([C@H](C)NC(=O)N3CCC(Cc4cccc(F)c4F)CC3)ccc2NC1=O[EOS],42
12.5,O=C(OC1C(=O)NCC12CCOCC2)c1cc(-c2ccc(F)cc2)nc2ccc(F)cc12,0.6322584819386592,3.725219222027296,[BOS]O=C(O[C@@H]1C(=O)NCC12CCOCC2)c1cc(-c2ccc(F)cc2)nc2ccc(F)cc12[EOS],42
11.8,O=C(C1ON=C(c2ccccc2)O1)N1CCC2OCCCC2(CNC(=O)C2(c3ccccc3F)CC2)C1,0.6492471394307092,4.293919405653238,[BOS]O=C([C@@H]1ON=C(c2ccccc2)O1)N1CC[C@H]2OCCC[C@@]2(CNC(=O)C2(c3ccccc3F)CC2)C1[EOS],42
11.4,Cc1nc(N)nc2c1nc(-c1ccc3c(c1)NCC3)c1cc(O)ccc12,0.4583326981242267,2.767211643309814,[BOS]Cc1nc(N)nc2c1nc(-c1ccc3c(c1)NCC3)c1cc(O)ccc12[EOS],42
11.7,NC(=O)c1cccc(Oc2ccc3nnc(-c4ccc(CN5CCC(O)C5)cc4F)n3n2)c1F,0.44822781185905686,3.1739920142543507,[BOS]NC(=O)c1cccc(Oc2ccc3nnc(-c4ccc(CN5CC[C@H](O)C5)cc4F)n3n2)c1F[EOS],42
11.9,O=C(NCc1cccc(NC(=O)C2CCCCC2)c1)c1cncc(-c2ccc3c(c2)CCO3)c1,0.5398567761987463,2.3079072462691705,[BOS]O=C(Nc1cccc(CNC(=O)c2cncc(-c3ccc4c(c3)CCO4)c2)c1)C1CCCCC1[EOS][EOS][EOS][EOS][EOS][EOS],42
12.9,CC(=O)Nc1nc2ccc(-c3cc4c5c(c3)C(C)c3nncn3C5CCCC4C)cc2s1,0.4213960274651922,4.04996571032161,[BOS]CC(=O)Nc1nc2ccc(-c3cc4c5c(c3)[C@H](C)c3nncn3C5CCCC4C)cc2s1[EOS],42
12.1,O=C(NC1C2COCC1CN(C(=O)C1CC1c1ccccc1)C2)c1[nH]nc2c1CCc1ncccc1-2,0.594267826810219,4.85991830124722,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@@H]1C[C@@H]1c1ccccc1)C2)c1[nH]nc2c1CCc1ncccc1-2[EOS],42
12.6,O=C1Cc2cccc(C(=O)Nc3cc(C4CCCCN4C(=O)c4ccc5c(c4)C(=O)CC5)[nH]n3)c2N1,0.5225396857464614,3.340741541329405,[BOS]O=C1Cc2cccc(C(=O)Nc3cc([C@@H]4CCCCN4C(=O)c4ccc5c(c4)C(=O)CC5)[nH]n3)c2N1[EOS],42
12.3,O=C(NCc1cccc(NC(=O)N2CCCCC2)c1)C(Oc1ccc(F)c(F)c1)c1ccccc1,0.4755265470902352,2.673546608194597,[BOS]O=C(Nc1cccc(CNC(=O)[C@H](Oc2ccc(F)c(F)c2)c2ccccc2)c1)N1CCCCC1[EOS],42
11.6,Cn1c(NC(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2)nc2ccc(F)cc21,0.520330430427387,2.458011930068235,[BOS]Cn1c(NC(=O)c2ccc(-c3noc(C(F)(F)F)n3)cc2)nc2ccc(F)cc21[EOS],42
11.0,Cc1ccc(C(=O)N2CCC3COC(CNC(=O)c4sc5ccccc5c4Cl)C3C2)c(O)c1,0.572110815438329,3.6135275473023025,[BOS]Cc1ccc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4sc5ccccc5c4Cl)[C@H]3C2)c(O)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1cccc(C(NC(=O)c2cc(C)n(-c3nc(C)cc(C)n3)n2)c2cccc(C)c2)c1,0.5019736849329093,2.4545755885497815,[BOS]Cc1cccc(C(NC(=O)c2cc(C)n(-c3nc(C)cc(C)n3)n2)c2cccc(C)c2)c1[EOS][EOS][EOS][EOS][EOS],42
12.2,Cc1ccc2nc(-c3cccnc3)cc(C(=O)Nc3ccc4c(c3)N(C(N)=O)CCO4)c2c1,0.4985783581454842,2.465909223535771,[BOS]Cc1ccc2nc(-c3cccnc3)cc(C(=O)Nc3ccc4c(c3)N(C(N)=O)CCO4)c2c1[EOS],42
11.0,CC1CSCCN(C(=O)NCCc2cccc(OCc3ccccc3)c2)C1,0.8114150642632506,2.651147630615217,[BOS]C[C@@H]1CSCCN(C(=O)NCCc2cccc(OCc3ccccc3)c2)C1[EOS],42
13.0,c1cc(-c2cc3c4c(nc(C5CCNCC5)n3n2)CNCC4)cc(-c2ncc3c(n2)CCNC3)c1,0.4274851668202678,3.306605491360756,[BOS]c1cc(-c2ncc3c(n2)CCNC3)cc(-c2cc3n(n2)c(C2CCNCC2)nc2c3CCNC2)c1[EOS],42
12.2,O=C(NCC(Cc1ccccc1)c1ccccc1)C1CC(=O)N(c2ccc3c(c2)CCC3)C1,0.5827679524899388,2.9658891903152735,[BOS]O=C(NC[C@H](Cc1ccccc1)c1ccccc1)[C@H]1CC(=O)N(c2ccc3c(c2)CCC3)C1[EOS],42
