rv,smi,qed,sa,cur_sentence,seed
13.6,O=C(c1ccc2c(Cl)cccc2c1)N1CCOC2(COCCN(C(=O)c3cc(=O)s[nH]3)C2)C1,0.5996498307022992,4.08581447468623,[BOS]O=C(c1ccc2c(Cl)cccc2c1)N1CCO[C@@]2(COCCN(C(=O)c3cc(=O)s[nH]3)C2)C1[EOS][EOS][EOS][EOS][EOS],42
14.5,O=C1CCc2ccc(C(=O)N3CCCCC3C3CCN(C(=O)c4cc(=O)n5[nH]cnc5n4)CC3)cc2N1,0.5605880883317892,3.4450439407727016,[BOS]O=C1CCc2ccc(C(=O)N3CCCC[C@H]3C3CCN(C(=O)c4cc(=O)n5[nH]cnc5n4)CC3)cc2N1[EOS],42
12.6,Cc1n[nH]nc1C(=O)N1CCOCC2(CN(C(=O)Cc3[nH]nc4c(Cl)cccc34)CCO2)C1,0.5790219859421902,4.200093341082992,[BOS]Cc1n[nH]nc1C(=O)N1CCOC[C@@]2(CN(C(=O)Cc3[nH]nc4c(Cl)cccc34)CCO2)C1[EOS],42
13.8,Cc1ccc2c(c1)C1(CCN(c3nnc(C)c4ccccc34)CC1)CN2C(=O)c1ccccc1,0.40943465224545683,2.983152694810906,[BOS]Cc1ccc2c(c1)C1(CCN(c3nnc(C)c4ccccc34)CC1)CN2C(=O)c1ccccc1[EOS],42
13.8,CC1Cc2ccccc2N1C(=O)C1CC(c2cccc(N3CCOCC3)c2)=NC(c2ccc3c(c2)CCC3)N=C(O)N1,0.4782424983906315,4.131244524514907,[BOS]C[C@@H]1Cc2ccccc2N1C(=O)[C@H]1CC(c2cccc(N3CCOCC3)c2)=N[C@H](c2ccc3c(c2)CCC3)N=C(O)N1[EOS],42
12.7,O=C(CN1CCc2ccccc21)N1CCCCC1c1nc(O)ncc1-c1ccc2c(n1)NCCC2,0.6001482360832215,3.5184235564121966,[BOS]O=C(CN1CCc2ccccc21)N1CCCC[C@@H]1c1nc(O)ncc1-c1ccc2c(n1)NCCC2[EOS],42
13.2,Cc1ccc(-c2cc(C(=O)N3CCCCC3C3OCCO3)c3c(=O)[nH]n(C4CCC(F)(F)CC4)c3n2)cc1C,0.4959423447500716,3.6906884477563224,[BOS]Cc1ccc(-c2cc(C(=O)N3CCCC[C@H]3C3OCCO3)c3c(=O)[nH]n(C4CCC(F)(F)CC4)c3n2)cc1C[EOS],42
12.7,O=C1CC(C(=O)N2CCCCC2c2cccc(C(F)(F)F)c2)CN1c1cccc2ncccc12,0.5211986385095031,3.1309968820665777,[BOS]O=C1C[C@H](C(=O)N2CCCC[C@@H]2c2cccc(C(F)(F)F)c2)CN1c1cccc2ncccc12[EOS],42
11.9,CC(C)C1CCC(C(=O)NCC23CCCOC2CCN(C(=O)c2[nH]nc4c2CCc2ncccc2-4)C3)CC1,0.6179575748615338,4.092625536358804,[BOS]CC(C)[C@H]1CC[C@H](C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2[nH]nc4c2CCc2ncccc2-4)C3)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.1,NC(=O)c1ccc(C(=O)N2C3CCC2CC(NC(=O)C2CC4CCCCC4N2C(=O)c2ccccc2)C3)cc1,0.6183862399517499,4.459450596258293,[BOS]NC(=O)c1ccc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)[C@H]2C[C@@H]4CCCC[C@H]4N2C(=O)c2ccccc2)C3)cc1[EOS][EOS][EOS][EOS],42
14.0,O=C1COCCN1c1ccc(N2N=C(c3c[nH]c4cc5c(cc34)CCC5)CC2C(=O)N2C(F)CC3CC32)cn1,0.5247467535381514,4.593526008729729,[BOS]O=C([C@H]1CC(c2c[nH]c3cc4c(cc23)CCC4)=NN1c1ccc(N2CCOCC2=O)nc1)N1C2CC2C[C@@H]1F[EOS],42
13.6,O=C(CCc1c[nH]c2ccc(F)cc12)N1CCC2(CCCN(C(=O)C3CCc4[nH]c(=O)[nH]c(=O)c4C3)C2)CC1,0.4754972835841373,3.9678626650968285,[BOS]O=C(CCc1c[nH]c2ccc(F)cc12)N1CCC2(CCCN(C(=O)[C@H]3CCc4[nH]c(=O)[nH]c(=O)c4C3)C2)CC1[EOS],42
11.7,O=C(Nc1cc(-c2ccccc2)nn1-c1ccccc1)C1CCS(=O)(=O)c2ccccc21,0.505661328630884,2.919165061454253,[BOS]O=C(Nc1cc(-c2ccccc2)nn1-c1ccccc1)[C@@H]1CCS(=O)(=O)c2ccccc21[EOS],42
12.2,CCC1Oc2cc(C(C)NC(=O)NC3(c4ccc5c(c4)OCCO5)CCCC3)ccc2NC1=O,0.6082164095886261,3.602624964735014,[BOS]CC[C@H]1Oc2cc([C@H](C)NC(=O)NC3(c4ccc5c(c4)OCCO5)CCCC3)ccc2NC1=O[EOS],42
12.3,Cc1cccnc1CCC(=O)Nc1cc(C2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1,0.5317122028256112,3.2021242336370985,[BOS]Cc1cccnc1CCC(=O)Nc1cc([C@H]2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1[EOS],42
13.7,O=C1CCCc2cc(C(=O)N3CCC4OCCCC4(CNC(=O)C4CCCC5CCCCC54)C3)ccc21,0.6277210990053113,4.289937137458589,[BOS]O=C(NC[C@@]12CCCO[C@@H]1CCN(C(=O)c1ccc3c(c1)CCCC3=O)C2)[C@@H]1CCC[C@@H]2CCCC[C@@H]21[EOS],42
13.8,O=C(Nc1cccc(-c2ccc3ccccc3c2)n1)C1CCS(=O)(=O)c2ccccc21,0.5084736618789955,2.948428312983294,[BOS]O=C(Nc1cccc(-c2ccc3ccccc3c2)n1)[C@H]1CCS(=O)(=O)c2ccccc21[EOS],42
12.6,Cc1cc(C)n2ncc(C(=O)NC3CC4CCC(C3)N4C(=O)c3cc(=O)c4ccccc4o3)c2n1,0.491930117646478,4.145136922013008,[BOS]Cc1cc(C)n2ncc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)c3cc(=O)c4ccccc4o3)c2n1[EOS],42
12.7,Cc1ccc(CC(=O)NC2CC3CCC(C2)N3C(=O)C2CCCN(c3cc(N)ncn3)C2)cc1C,0.6877171885705611,4.311175480393732,[BOS]Cc1ccc(CC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)[C@H]2CCCN(c3cc(N)ncn3)C2)cc1C[EOS],42
12.9,Cc1cc(C)c(C(=O)N2CCCCC2C2CCN(C(=O)C(C)Nc3ccccn3)CC2)c(C)c1,0.6970071778865872,3.2537980220348572,[BOS]Cc1cc(C)c(C(=O)N2CCCC[C@H]2C2CCN(C(=O)[C@H](C)Nc3ccccn3)CC2)c(C)c1[EOS],42
11.9,COc1cc(F)ccc1C(=O)Nc1cc(C2CCCCN2C(=O)C2CNc3ccccc32)[nH]n1,0.5297713725687891,3.4529833634791265,[BOS]COc1cc(F)ccc1C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2CNc3ccccc32)[nH]n1[EOS],42
12.5,Cc1c(Br)cc(F)cc1C(=O)NC1CC2CCC(C1)N2C(=O)c1cc(=O)c2ccccc2o1,0.5569195618001981,4.05091925946051,[BOS]Cc1c(Br)cc(F)cc1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc(=O)c2ccccc2o1[EOS],42
11.9,CCC(C(=O)N1CCC2COC(CNC(=O)c3cccc4c3CCCC4)C2C1)c1ccccc1,0.6972095021522827,3.7632598396854764,[BOS]CC[C@H](C(=O)N1CC[C@H]2CO[C@@H](CNC(=O)c3cccc4c3CCCC4)[C@H]2C1)c1ccccc1[EOS],42
12.2,O=C(NC1CC=C(c2ccc(F)cc2)CC1)C1CCN(S(=O)(=O)c2ccc3c(c2)CCCC3)CC1,0.6431377660411417,2.966067857242578,[BOS]O=C(N[C@@H]1CC=C(c2ccc(F)cc2)CC1)C1CCN(S(=O)(=O)c2ccc3c(c2)CCCC3)CC1[EOS],42
13.8,Cc1ccccc1C1CCN(C(=O)c2c[nH]c3ccccc3c2=O)CN1C(=O)N(C)c1ccncn1,0.4794112228231783,3.325837924968172,[BOS]Cc1ccccc1[C@H]1CCN(C(=O)c2c[nH]c3ccccc3c2=O)CN1C(=O)N(C)c1ccncn1[EOS],42
11.7,Cc1c(NC2CCc3cccnc3CC2)nc2c(C(F)(F)F)cccc2c1F,0.4674708807929754,3.220268161833239,[BOS]Cc1c(N[C@@H]2CCc3cccnc3CC2)nc2c(C(F)(F)F)cccc2c1F[EOS],42
11.8,CC(C)c1nc(CC(=O)NC2C3COCC2CN(C(=O)c2ccc4c(Cl)ccnc4c2)C3)no1,0.5936185288620797,4.397415526587221,[BOS]CC(C)c1nc(CC(=O)N[C@H]2[C@@H]3COC[C@H]2CN(C(=O)c2ccc4c(Cl)ccnc4c2)C3)no1[EOS][EOS][EOS][EOS][EOS],42
12.7,Cn1cnc2c1C(C(=O)Nc1cccc3c(=O)[nH][nH]c(=O)c13)N(C(=O)c1ccc(Cl)cc1)CC2,0.41384814744915716,3.4093197402654525,[BOS]Cn1cnc2c1[C@H](C(=O)Nc1cccc3c(=O)[nH][nH]c(=O)c13)N(C(=O)c1ccc(Cl)cc1)CC2[EOS],42
13.0,O=C(c1ccc2n[nH]c(C(F)(F)F)c2c1)N1CCC2C1CCN2C(=O)C1CC1c1ccc(F)c(F)c1,0.5352591752133735,4.020632256365726,[BOS]O=C(c1ccc2n[nH]c(C(F)(F)F)c2c1)N1CC[C@H]2[C@@H]1CCN2C(=O)[C@H]1C[C@@H]1c1ccc(F)c(F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
