rv,smi,qed,sa,cur_sentence,seed
10.1,O=C1OC(C(=O)Oc2ccc3cc4ccccc4cc3c2)C2COC1O2,0.40186609333324486,4.269400890873732,[BOS]O=C(Oc1ccc2cc3ccccc3cc2c1)C1OC(=O)C2OC1CO2[EOS][EOS][EOS][EOS][EOS],42
10.1,CCCc1onc(C)c1C(=O)Nc1cc(C2CCCCN2C(=O)c2cccc(C(C)C#N)c2)[nH]n1,0.5008976033537267,3.7147714644291394,[BOS]CCCc1onc(C)c1C(=O)Nc1cc([C@H]2CCCCN2C(=O)c2cccc([C@H](C)C#N)c2)[nH]n1[EOS][EOS][EOS][EOS][EOS],42
9.6,Cc1nnc(C23COCC2C[NH+](CC(O)c2cccc(-c4nn[n-]n4)c2)C3)o1,0.5529495633468711,5.652844999071634,[BOS]Cc1nnc([C@]23COC[C@@H]2C[NH+](C[C@H](O)c2cccc(-c4nn[n-]n4)c2)C3)o1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,Cn1nc2ccccc2c1-c1noc(C2(c3cccc(F)c3)CCOCC2)n1,0.5415973873583149,2.883282591566978,[BOS]Cn1nc2ccccc2c1-c1noc(C2(c3cccc(F)c3)CCOCC2)n1[EOS][EOS],42
12.4,Cc1ccc2nc3cccnc3c(N3CCN(C(=O)c4ccc5c(c4)OCO5)CC3)c2c1,0.45462612593190194,2.4043889109720418,[BOS]Cc1ccc2nc3cccnc3c(N3CCN(C(=O)c4ccc5c(c4)OCO5)CC3)c2c1[EOS][EOS],42
9.7,Cc1cccc(NC(=O)C(=O)NC2(c3cccc(Cl)c3)CC2)c1C(=O)N1CCCC1,0.7340196479091265,2.4561624942766525,[BOS]Cc1cccc(NC(=O)C(=O)NC2(c3cccc(Cl)c3)CC2)c1C(=O)N1CCCC1[EOS][EOS],42
10.0,COC(=O)COc1ccc(NC(=O)N2Cc3ccccc3OCC2C)c2cccnc12,0.6476557446015377,2.8853829197248686,[BOS]COC(=O)COc1ccc(NC(=O)N2Cc3ccccc3OC[C@@H]2C)c2cccnc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.4,Cc1onc(-c2cccc(F)c2)c1C(=O)Nc1ccc2nncn2c1,0.6207957349606498,2.5195570054074103,[BOS]Cc1onc(-c2cccc(F)c2)c1C(=O)Nc1ccc2nncn2c1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.0,O=C1Nc2ccccc2C12CCN(S(=O)(=O)c1ccc3cc(Br)ccc3c1)C2,0.635352415849527,3.3180763788090726,[BOS]O=C1Nc2ccccc2[C@]12CCN(S(=O)(=O)c1ccc3cc(Br)ccc3c1)C2[EOS][EOS][EOS][EOS][EOS][EOS],42
10.9,Cc1ccc(F)c2c1N(S(=O)(=O)c1ccc3c(c1)cc(O)n3C)CCC2=O,0.7315871349472096,2.8483388516509116,[BOS]Cc1ccc(F)c2c1N(S(=O)(=O)c1ccc3c(c1)cc(O)n3C)CCC2=O[EOS][EOS][EOS][EOS][EOS],42
10.3,CC(Oc1ccc2ccccc2c1)C(=O)N1CC(n2cccn2)Cc2ccccc21,0.5042462710891522,3.1617300357766043,[BOS]C[C@H](Oc1ccc2ccccc2c1)C(=O)N1C[C@H](n2cccn2)Cc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,Cc1cccc2sc(NS(=O)(=O)Cc3ccc4ccccc4c3)nc12,0.5678989475689925,2.169687774638181,[BOS]Cc1cccc2sc(NS(=O)(=O)Cc3ccc5ccccc5c3)nc12[EOS][EOS][EOS][EOS][EOS][EOS],42
9.9,Cn1c(N2CC3C(C2)C3(C)C)nnc1C(F)(F)c1cccc(Cl)c1Cl,0.7852994493032299,3.992788358096175,[BOS]Cn1c(N2C[C@H]3[C@H](C2)C3(C)C)nnc1C(F)(F)c1cccc(Cl)c1Cl[EOS][EOS],42
10.1,Cc1cccc2c1CCC2NC(=O)c1ccc2c(c1)-c1ccccc1C2,0.5479413289747578,2.6232335725287683,[BOS]Cc1cccc2c1CC[C@@H]2NC(=O)c1ccc2c(c1)-c1ccccc1C2[EOS][EOS][EOS][EOS][EOS],42
10.3,Fc1cccc(C2CC(Nc3c(-c4nn[n-]n4)c[nH+]c4ccccc34)CCO2)c1,0.5764273370646166,4.746897928950597,[BOS]Fc1cccc([C@H]2C[C@@H](Nc3c(-c4nn[n-]n4)c[nH+]c4ccccc34)CCO2)c1[EOS],42
