rv,smi,qed,sa,cur_sentence,seed
12.5,O=C1CCCc2cc(C(=O)NC3CC4CCC(C3)N4C(=O)Cc3cc4ccccc4cc3F)ccc2N1,0.5440040942619675,4.058606343023824,[BOS]O=C1CCCc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C(=O)Cc3cc4ccccc4cc3F)ccc2N1[EOS][EOS][EOS],42
11.3,O=C(NCC1CCN(C(=O)c2[nH]nc3c(F)cccc23)C1c1cccnc1)C1=COCCC1,0.623539664076544,3.9280046096253445,[BOS]O=C(NC[C@H]1CCN(C(=O)c2[nH]nc3c(F)cccc23)[C@H]1c1cccnc1)C1=COCCC1[EOS],42
10.2,O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)NCc1ccc2c(c1)OCO2,0.703670266050881,2.175531878997784,[BOS]O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)NCc1ccc2c(c1)OCO2[EOS],42
10.6,Cc1ccc(OCC(=O)N2CCC3COC(CNC(=O)C4=NOC(c5ccccc5)C4)C3C2)cc1,0.6625280406511851,3.8445091819152175,[BOS]Cc1ccc(OCC(=O)N2CC[C@H]3CO[C@@H](CNC(=O)C4=NO[C@H](c5ccccc5)C4)[C@H]3C2)cc1[EOS][EOS][EOS][EOS][EOS],42
10.8,CC1CCc2c1n[nH]c2C(=O)N1CCC(CNC(=O)C(C)c2ccc(O)cc2)C1c1cccnc1,0.5057272939918989,4.122735914946892,[BOS]C[C@@H]1CCc2c1n[nH]c2C(=O)N1CC[C@H](CNC(=O)[C@H](C)c2ccc(O)cc2)[C@H]1c1cccnc1[EOS][EOS][EOS][EOS][EOS][EOS],42
11.1,O=C1COc2ccc(Cl)cc2N1CC(=O)N1CCC2C1CCN2C(=O)c1ccc(Cl)cc1F,0.6592806151530819,3.3375344948610763,[BOS]O=C1COc2ccc(Cl)cc2N1CC(=O)N1CC[C@H]2[C@@H]1CCN2C(=O)c1ccc(Cl)cc1F[EOS],42
11.8,Cc1ccnc(C(=O)N2CCC3(CCCN(C(=O)Cc4c[nH]c5ccc(C)cc45)C3)CC2)c1,0.6560305633536008,3.0856229827142396,[BOS]Cc1ccc2[nH]cc(CC(=O)N3CCCC4(CCN(C(=O)c5cc(C)ccn5)CC4)C3)c2c1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.9,O=C(CN1C(=O)C=CC1=O)N1CCC2(C1)CN(C(=O)c1cccc3nccn13)CCO2,0.6283015746655741,3.9876343052509675,[BOS]O=C(CN1C(=O)C=CC1=O)N1CC[C@]2(C1)CN(C(=O)c1cccc3nccn13)CCO2[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.6,O=C(NCC1OCC2CCN(C(=O)CCc3cnc4ccccc4c3)CC21)C(=O)Nc1cccnc1,0.5155367409329199,3.6727223721811404,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)CCc3cnc4ccccc4c3)C[C@@H]21)C(=O)Nc1cccnc1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.9,Cn1ncc2c1CCCC2NC(=O)NC1CCc2ccc(-c3ccccc3)cc21,0.6985725561384006,3.159689826246188,[BOS]Cn1ncc2c1CCC[C@@H]2NC(=O)N[C@@H]1CCc2ccc(-c3ccccc3)cc21[EOS][EOS],42
10.1,COc1ccc2oc(C(=O)NCC34CCCOC3CCN(C(=O)C(O)c3ccccc3)C4)cc2c1,0.5638696447580007,3.8103313242015417,[BOS]COc1ccc2oc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)[C@@H](O)c3ccccc3)C4)cc2c1[EOS][EOS][EOS][EOS][EOS][EOS],42
9.8,COCC1CCCCN(c2nnc(-c3ccccc3)n2CC2CCC(C)C2)C1,0.73023659543415,3.3601191274019424,[BOS]COC[C@@H]1CCCCN(c2nnc(-c3ccccc3)n2C[C@@H]2CC[C@@H](C)C2)C1[EOS][EOS][EOS][EOS],42
11.2,O=C(c1cccc(F)n1)N1CCC(C2CCCCN2C(=O)C2COc3ccccc3O2)CC1,0.6672678523152593,3.3248517250099594,[BOS]O=C(c1cccc(F)n1)N1CCC([C@H]2CCCCN2C(=O)[C@@H]2COc3ccccc3O2)CC1[EOS][EOS],42
11.2,O=C1CN(c2cccc(C(=O)NC3CC4CCC(C3)N4C(=O)c3cc4cnccc4[nH]3)n2)CCCN1,0.5161946078312671,4.337660364291378,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2cnccc2[nH]1)c1cccc(N2CCCNC(=O)C2)n1[EOS][EOS],42
10.8,Cc1oc2ccc(NC(=O)NC3CCCc4c(O)cccc43)cc2c1C,0.6117238197991771,2.806570190320649,[BOS]Cc1oc2ccc(NC(=O)N[C@H]3CCCc4c(O)cccc43)cc2c1C[EOS][EOS][EOS][EOS][EOS][EOS],42
10.7,O=C(On1ccc2c1SCc1ccccc1-2)N1CCN(Cc2ccccc2)CC1,0.6568004392315622,2.6480121487126382,[BOS]O=C(On1ccc2c1SCc1ccccc1-2)N1CCN(Cc2ccccc2)CC1[EOS][EOS],42
10.6,Cc1n[nH]c(C)c1C(=O)N1CCCCC1C1CCN(C(=O)C2CCCc3c2[nH]c2ccc(Cl)cc32)CC1,0.4759479671033627,3.626627099920941,[BOS]Cc1n[nH]c(C)c1C(=O)N1CCCC[C@@H]1C1CCN(C(=O)[C@@H]2CCCc3c2[nH]c2ccc(Cl)cc32)CC1[EOS][EOS],42
10.7,Fc1cc(C2=NCCC(N=c3ccn4ncc(C5CCOCC5)c4[nH]3)N2)c(F)cc1Cl,0.6064942066947032,4.302919082214066,[BOS]Fc1cc(C2=NCC[C@@H](N=c3ccn4ncc(C5CCOCC5)c4[nH]3)N2)c(F)cc1Cl[EOS][EOS][EOS][EOS],42
10.2,CCC1CCN(c2nnc(C(O)c3cccc(C)c3C)n2CC2CCOC2)CC1,0.8048568997510995,3.502156631021851,[BOS]CCC1CCN(c2nnc([C@@H](O)c3cccc(C)c3C)n2C[C@@H]2CCOC2)CC1[EOS][EOS],42
11.4,O=C(NCC1CCN(C(=O)Cc2cc(F)cc(F)c2)C1c1cccnc1)C1CCC2CCC(=O)N2C1,0.6667626322401663,3.86053365019443,[BOS]O=C(NC[C@@H]1CCN(C(=O)Cc2cc(F)cc(F)c2)[C@@H]1c1cccnc1)[C@@H]1CC[C@@H]2CCC(=O)N2C1[EOS][EOS],42
11.2,COc1cccc(C(O)C(=O)N2CC=C(c3cccc4ccccc34)CC2)c1,0.7457310400275602,2.7178234360948412,[BOS]COc1cccc([C@@H](O)C(=O)N2CC=C(c3cccc4ccccc34)CC2)c1[EOS],42
11.7,Cc1cc(C)cc(CCC(=O)NC2CC3CCC(C2)N3C(=O)c2ccc(F)cc2C(F)(F)F)c1,0.5921313246410156,3.9651044360984162,[BOS]Cc1cc(C)cc(CCC(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2ccc(F)cc2C(F)(F)F)c1[EOS][EOS][EOS],42
12.3,O=C1Cc2cccc(C(=O)N3CCCCC3C3CCN(C(=O)C4CCC5CCC(=O)N5C4)CC3)c2N1,0.7027398009482821,3.7297974228996527,[BOS]O=C1Cc2cccc(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)[C@H]4CC[C@H]5CCC(=O)N5C4)CC3)c2N1[EOS],42
10.8,O=C1CC(c2nc(Cc3ccc4cn[nH]c4c3)no2)CN1c1ccc(Cl)c(Cl)c1,0.5218831513371127,3.077847113319705,[BOS]Clc1ccc(N2C[C@@H](c3nc(Cc4ccc5cn[nH]c5c4)no3)CC2=O)cc1Cl[EOS],42
11.7,Cc1cc(F)c(F)c(C(=O)NCC23CCCOC2CCN(C(=O)c2ncc(C(F)(F)F)cc2Cl)C3)c1,0.5764399956863793,3.882873252361855,[BOS]Cc1cc(F)c(F)c(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)c2ncc(C(F)(F)F)cc2Cl)C3)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.0,CC1(C)CCN(C(=O)c2cccc(S(=O)(=O)N3CCc4ccccc4C3)c2)CC1,0.7724590474503527,2.236071675742613,[BOS]CC1(C)CCN(C(=O)c2cccc(S(=O)(=O)N3CCc4ccccc4C3)c2)CC1[EOS][EOS][EOS],42
10.0,NS(=O)(=O)c1cc(F)cc(NC(=O)NCc2ccccc2OC2CCCC2)c1,0.6831500052739727,2.2465002418389037,[BOS]NS(=O)(=O)c1cc(F)cc(NC(=O)NCc2ccccc2OC2CCCC2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.0,CCN1C(=O)C(C)(C)COc2cc(NC(=O)Cc3ccccc3Br)ccc21,0.780917923443907,2.3423530387610985,[BOS]CCN1C(=O)C(C)(C)COc2cc(NC(=O)Cc3ccccc3Br)ccc21[EOS][EOS],42
11.0,Cc1ccn(CC(=O)NCC2OCC3CCN(C(=O)c4cc(C)c5[nH]ncc5c4)CC32)n1,0.6330735276696002,3.9294530012915105,[BOS]Cc1cc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)Cn4ccc(C)n4)[C@H]3C2)cc2cn[nH]c12[EOS],42
10.8,O=C(c1cn[nH]c1C1CCOC1)N1Cc2ccccc2-c2ccccc2C1,0.7583066542960601,2.974802878911227,[BOS]O=C(c1cn[nH]c1[C@@H]1CCOC1)N1Cc2ccccc2-c2ccccc2C1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.5,Cn1nc(C(=O)N2CCC3(CCCN(C(=O)c4ccc(C(F)(F)F)nc4)C3)CC2)c2c1CCC2,0.6669741702252819,3.2893759902654534,[BOS]Cn1nc(C(=O)N2CCC3(CCCN(C(=O)c4ccc(C(F)(F)F)nc4)C3)CC2)c2c1CCC2[EOS],42
10.5,O=C(Nc1cnc2c(c1)CCCC2)C(=O)NC1C2CCc3ccccc3C21,0.8082292029150497,3.529326261417732,[BOS]O=C(Nc1cnc2c(c1)CCCC2)C(=O)N[C@@H]1[C@@H]2CCc3ccccc3[C@@H]21[EOS][EOS],42
9.9,CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)NC1CCSc2ccc(F)cc21,0.6619984644621558,2.906295230966638,[BOS]CCN(Cc1ccc(C(F)(F)F)cc1)C(=O)N[C@H]1CCSc2ccc(F)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.6,Cc1nc(C)c(Cn2c(C3CCS(=O)(=O)C3)nnc2N(C)Cc2ccccc2C(F)(F)F)s1,0.5108957319410277,3.571676829757884,[BOS]Cc1nc(C)c(Cn2c([C@H]3CCS(=O)(=O)C3)nnc2N(C)Cc2ccccc2C(F)(F)F)s1[EOS][EOS][EOS][EOS],42
10.6,O=C(COc1cccc2ccccc12)N1CCOC2(COCCN(C(=O)C3CC3C3CC3)C2)C1,0.6808041066398292,4.1932049904957776,[BOS]O=C(COc1cccc2ccccc12)N1CCO[C@]2(COCCN(C(=O)[C@@H]3C[C@H]3C3CC3)C2)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.2,Cc1ccnc(-c2cc(C(=O)NC(C)(CO)c3ccccc3)cc(-c3cc(C)ccn3)n2)c1,0.4640521877342324,3.111698453469688,[BOS]Cc1ccnc(-c2cc(C(=O)N[C@](C)(CO)c3ccccc3)cc(-c3cc(C)ccn3)n2)c1[EOS][EOS][EOS][EOS][EOS],42
11.0,Cc1ccc(C(=O)N2C3CCC2CC(NC(=O)c2nnc(-c4ccccc4)o2)C3)cn1,0.7002867115080985,3.922081024364539,[BOS]Cc1ccc(C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2nnc(-c4ccccc4)o2)C3)cn1[EOS],42
11.1,CCc1ccc2ccccc2c1CNC(=O)NC1Cc2ccccc2NC1=O,0.651571087962002,2.801558478829884,[BOS]CCc1ccc2ccccc2c1CNC(=O)N[C@@H]1Cc2ccccc2NC1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.4,Cn1nc(C2CC(=O)c3ccc4c(c3O2)CCCC4)c2ccccc2c1=O,0.6661374970621925,3.1978544765443617,[BOS]Cn1nc([C@H]2CC(=O)c3ccc4c(c3O2)CCCC4)c2ccccc2c1=O[EOS][EOS],42
10.8,CC(Oc1ccc2c(c1)CCCC2)C(=O)Nc1nnc(-c2ccc(Br)cc2)s1,0.5672710744066569,2.681216598488005,[BOS]C[C@H](Oc1ccc2c(c1)CCCC2)C(=O)Nc1nnc(-c2ccc(Br)cc2)s1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,O=C(NC1CC2CCC(C1)N2C(=O)CCc1ccc2c(c1)OCO2)c1ccc2n[nH]nc2c1,0.622249549972142,4.058941141735202,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CCc1ccc2c(c1)OCO2)c1ccc2n[nH]nc2c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.5,O=C(NCc1cccc(C(F)(F)F)c1)N1CCOC(c2ccc(F)cc2F)C1,0.7824413430739496,2.777169195463678,[BOS]O=C(NCc1cccc(C(F)(F)F)c1)N1CCO[C@H](c2ccc(F)cc2F)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.7,Cc1ccccc1-c1cccc(NC(=O)c2cnc(N3CCOCC3)nc2)c1,0.7565399279998128,2.086139251979736,[BOS]Cc1ccccc1-c1cccc(NC(=O)c2cnc(N3CCOCC3)nc2)c1[EOS][EOS][EOS],42
11.0,Cc1cc2cnccc2n1C1CCC(N2Cc3ccccc3S2(=O)=O)CC1,0.6733073206283713,2.9399815831397955,[BOS]Cc1cc2cnccc2n1C1CCC(N2Cc3ccccc3S2(=O)=O)CC1[EOS][EOS][EOS][EOS],42
10.5,Cc1nnnn1-c1cc(NC(=O)NCc2ccc(C(=O)N(C)C)cc2)ccc1F,0.6862648269158478,2.2552871437434483,[BOS]Cc1nnnn1-c1cc(NC(=O)NCc2ccc(C(=O)N(C)C)cc2)ccc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
