rv,smi,qed,sa,cur_sentence,seed
12.5,CC(NC(=O)N1CC=C(c2c[nH]c3ccccc23)CC1)c1cn(-c2cccc(F)n2)nn1,0.4804280234864294,3.3995030267147985,[BOS]C[C@@H](NC(=O)N1CC=C(c2c[nH]c3ccccc23)CC1)c1cn(-c2cccc(F)n2)nn1[EOS],42
12.1,O=C(NCc1cccc(-c2ccc(F)cc2)c1)c1cnc2ccc(N3CCCC3=O)nc2c1,0.4961408669472644,2.306108833859657,[BOS]O=C(NCc1cccc(-c2ccc(F)cc2)c1)c1cnc2ccc(N3CCCC3=O)nc2c1[EOS],42
11.8,Cc1cn(CC(=O)N2CCC3OCCCC3(CNC(=O)c3cc4cc(F)ccc4[nH]3)C2)c(=O)[nH]c1=O,0.4893683366505703,3.8636453626045544,[BOS]Cc1cn(CC(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3cc4cc(F)ccc4[nH]3)C2)c(=O)[nH]c1=O[EOS],42
14.0,O=S(=O)(NCc1ccc(-c2ccc3c(c2)CCC3)cc1)C1=Cc2ccccc2OCC1,0.6125378195682345,2.492316045107046,[BOS]O=S(=O)(NCc1ccc(-c2ccc3c(c2)CCC3)cc1)C1=Cc2ccccc2OCC1[EOS],42
12.2,Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)Nc4ccc5c(c4)CCCC5=O)c3)cc21,0.536187573317824,2.5028670571028293,[BOS]Cn1c(=O)[nH]c2ncc(-c3cccc(C(=O)Nc4ccc5c(c4)CCCC5=O)c3)cc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.5,CC1CC1c1cc(NC(=O)N2CCCN(c3cccnn3)CC2)n(-c2ccccc2)n1,0.7025599902807664,3.300754671675776,[BOS]C[C@@H]1C[C@H]1c1cc(NC(=O)N2CCCN(c3cccnn3)CC2)n(-c2ccccc2)n1[EOS],42
11.0,CC(NC(=O)Nc1ccc2c(c1)CCCCC2)c1ccc2[nH]c(=O)[nH]c2c1,0.5290929428666379,2.7359592102721724,[BOS]C[C@H](NC(=O)Nc1ccc2c(c1)CCCCC2)c1ccc2[nH]c(=O)[nH]c2c1[EOS],42
11.6,O=C(Nc1ccc(F)cn1)c1nn(-c2ccc(Cl)cc2Cl)c2c1CCCCC2,0.5914713986318705,2.406620429278048,[BOS]O=C(Nc1ccc(F)cn1)c1nn(-c2ccc(Cl)cc2Cl)c2c1CCCCC2[EOS],42
12.3,O=C(Nc1ccccc1C(=O)Nc1ccc2c(c1)C(O)CCCC2)c1ccc2c(c1)CCC2,0.47286118582090786,2.668522962471325,[BOS]O=C(Nc1ccccc1C(=O)Nc1ccc2c(c1)[C@H](O)CCCC2)c1ccc2c(c1)CCC2[EOS],42
12.7,CC1Cc2cc(-c3ccc4c(c3)CCCC4=O)ccc2N1CCCN1CCNCc2cnn(C)c2C1=O,0.5772714589351702,3.4850657955534334,[BOS]C[C@@H]1Cc2cc(-c3ccc4c(c3)CCCC4=O)ccc2N1CCCN1CCNCc2cnn(C)c2C1=O[EOS][EOS][EOS][EOS][EOS],42
13.4,O=C(Nc1cc(C2CCCCN2C(=O)Cc2cc(F)ccc2F)[nH]n1)C1CCN(c2ccccn2)CC1,0.5197395431269393,3.129030712879098,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)Cc2cc(F)ccc2F)[nH]n1)C1CCN(c2ccccn2)CC1[EOS],42
11.4,CC(Oc1ccc2ccccc2c1)c1nc(C2CC(=O)N(c3ccccc3)C2)no1,0.47822912922465166,3.0401765392731077,[BOS]C[C@H](Oc1ccc2ccccc2c1)c1nc([C@H]2CC(=O)N(c3ccccc3)C2)no1[EOS],42
12.4,Cc1ccc(-c2nc(N3CCN(C(=O)c4ccc5c(c4)CCC5)CC3)c3ccccc3n2)cc1,0.4397884512958315,2.209462477038402,[BOS]Cc1ccc(-c2nc(N3CCN(C(=O)c4ccc5c(c4)CCC5)CC3)c3ccccc3n2)cc1[EOS],42
12.3,O=C(NCCc1cnc2nc[nH]c2c1)c1nn(-c2ccc(F)cc2)c2c1CCCCC2,0.4855375436046672,2.643913171058019,[BOS]O=C(NCCc1cnc2nc[nH]c2c1)c1nn(-c2ccc(F)cc2)c2c1CCCCC2[EOS],42
12.1,O=C(NCC1C2Cc3ccccc3C12)Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1,0.6456706476929078,3.6164274375845293,[BOS]O=C(NC[C@@H]1[C@H]2Cc3ccccc3[C@@H]12)Nc1cccc(S(=O)(=O)NC2=NCCCCC2)c1[EOS],42
12.1,Cc1nn(C)c(C)c1N=c1nc(-c2ccc3ccccc3c2)cc2n1CCNC2=O,0.5638371886500747,3.006802834169317,[BOS]Cc1nn(C)c(C)c1N=c1nc(-c2ccc3ccccc3c2)cc2n1CCNC2=O[EOS],42
12.2,O=C(Nc1cc(C2CCCCN2C(=O)COc2cccc3ccccc23)[nH]n1)C1CCC2CCC(=O)N2C1,0.5153883812840233,3.618657285440716,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)COc2cccc3ccccc23)[nH]n1)[C@@H]1CC[C@@H]2CCC(=O)N2C1[EOS],42
12.4,O=C(Nc1cccc(C(=O)N2CC3CC2C(F)(F)C3)c1)c1cccc2c1ONO2,0.8267414047693187,4.607499499002552,[BOS]O=C(Nc1cccc(C(=O)N2C[C@H]3C[C@H]2C(F)(F)C3)c1)c1cccc2c1ONO2[EOS],42
11.7,O=C(NC1CCC([NH2+]Cc2ccccc2-c2nn[n-]n2)CC1)C1CC2C=CC1CC2,0.7100947370734902,5.745630433920814,[BOS]O=C(NC1CCC([NH2+]Cc2ccccc2-c2nn[n-]n2)CC1)[C@@H]1C[C@@H]2C=C[C@H]1CC2[EOS],42
12.4,Nc1nc(CN2CCc3cc(-c4cccc(F)c4)ccc32)nc(Nc2ccc(F)cc2)n1,0.4775992009241472,2.403675886316533,[BOS]Nc1nc(CN2CCc3cc(-c4cccc(F)c4)ccc32)nc(Nc2ccc(F)cc2)n1[EOS],42
12.1,CC(NC(=O)C(=O)Nc1cccc(C(=O)N2CCc3ccccc32)c1)c1cccc(N2CCCC2=O)c1,0.5247027315251857,2.8450225119106083,[BOS]C[C@H](NC(=O)C(=O)Nc1cccc(C(=O)N2CCc3ccccc32)c1)c1cccc(N2CCCC2=O)c1[EOS],42
11.7,CC(C)c1ccc(CC(=O)N2CCOC3(CCN(C(=O)CCc4noc(-c5ccccc5)n4)C3)C2)cc1,0.4874788531445022,3.588407399901979,[BOS]CC(C)c1ccc(CC(=O)N2CCO[C@]3(CCN(C(=O)CCc4noc(-c5ccccc5)n4)C3)C2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,O=C(NC1CC2CCC(C1)N2C(=O)c1cc2cc(F)c(F)cc2[nH]1)C1CCc2cccc(Cl)c21,0.545253331789652,4.511201755071037,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2cc(F)c(F)cc2[nH]1)[C@H]1CCc2cccc(Cl)c21[EOS][EOS][EOS],42
11.7,Cc1noc(-c2ccccc2)c1C(=O)NCC1OCC2CCN(C(=O)C3CCc4ccccc4C3)CC21,0.5726806015062962,3.8938528480593124,[BOS]Cc1noc(-c2ccccc2)c1C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@H]3CCc4ccccc4C3)C[C@@H]21[EOS],42
12.1,CC1=C(C(=O)NCc2cccc(Cn3cnc4ccccc43)c2)C(C)n2nnnc2N1C,0.5253111128364584,3.2528628066263314,[BOS]CC1=C(C(=O)NCc2cccc(Cn3cnc4ccccc43)c2)[C@H](C)n2nnnc2N1C[EOS],42
12.0,O=C(NCCc1cccc(Oc2ccccc2)c1)c1ccc2c(n1)N=CC1CCCC=C1C2=O,0.538759399989673,3.349707086419299,[BOS]O=C(NCCc1cccc(Oc2ccccc2)c1)c1ccc2c(n1)N=CC1CCCC=C1C2=O[EOS],42
12.7,O=C(NCc1ccc(-c2ccccc2C(F)(F)F)cc1)C(=O)N1CCC(c2nnc3n2CCCC3)CC1,0.5293849359629602,2.651781414866429,[BOS]O=C(NCc1ccc(-c2ccccc2C(F)(F)F)cc1)C(=O)N1CCC(c2nnc3n2CCCC3)CC1[EOS],42
12.3,FC(F)=C(F)C1C2CCN1CC(c1cc3nc(-c4cccc(F)c4)cc(C(F)(F)F)n3n1)C2,0.4533611434339213,5.026306534525385,[BOS]Fc1cccc(-c2cc(C(F)(F)F)n3nc([C@@H]4CC5CCN(C4)C5C(F)=C(F)F)cc3n2)c1[EOS][EOS],42
13.5,Cc1cccc(-c2cccc(C(=O)N3CCc4cc(F)c(F)cc43)c2)c1C=C1OC(N)=NC1=O,0.5902839559276706,2.9890532078076326,[BOS]Cc1cccc(-c2cccc(C(=O)N3CCc4cc(F)c(F)cc43)c2)c1C=C1OC(N)=NC1=O[EOS],42
11.9,O=C(CCc1ccc2ccccc2c1)N1CCN(C(=O)C2CC2c2ccc3c(c2)CCO3)CC1,0.5811819440133847,3.0944868297271633,[BOS]O=C(CCc1ccc2ccccc2c1)N1CCN(C(=O)[C@@H]2C[C@H]2c2ccc3c(c2)CCO3)CC1[EOS],42
11.9,Cc1ccc(C2=CCN(C(=O)CCNC(=O)C3CCCCN3C(=O)c3ccccc3)CC2)cc1C,0.6862201872942074,2.8219839029394542,[BOS]Cc1ccc(C2=CCN(C(=O)CCNC(=O)[C@@H]3CCCCN3C(=O)c3ccccc3)CC2)cc1C[EOS][EOS][EOS][EOS][EOS][EOS],42
11.5,Cn1cnnc1C1CCN(C(=O)c2ccccc2NC(=O)c2cccc3ccccc23)CC1(C)C,0.46407395911488675,3.019752672170225,[BOS]Cn1cnnc1[C@H]1CCN(C(=O)c2ccccc2NC(=O)c2cccc3ccccc23)CC1(C)C[EOS],42
