rv,smi,qed,sa,cur_sentence,seed
12.2,Cc1ccc(C2OCCCC2CNC(=O)c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)cc1,0.47616501916685766,3.3007435910277216,[BOS]Cc1ccc([C@H]2OCCC[C@H]2CNC(=O)c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)cc1[EOS],42
12.8,Cc1[nH]nc(C(=O)Nc2cc(C3CCCCN3C(=O)C3CCc4ccccc4C3O)[nH]n2)c1F,0.46972632787352,3.9038928647137556,[BOS]Cc1[nH]nc(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3CCc4ccccc4[C@H]3O)[nH]n2)c1F[EOS],42
13.3,O=C1NC(CC(=O)N2CCCC(N3Cc4ccccc4NC3=O)C2)C(=O)N2Cc3ccccc3CC12,0.6901521079166439,3.7106031921304217,[BOS]O=C1N[C@@H](CC(=O)N2CCC[C@H](N3Cc4ccccc4NC3=O)C2)C(=O)N2Cc3ccccc3CC12[EOS],42
13.1,Cc1cc(C)cc(C(=O)N2CCCC(C(=O)N3CCN(C(=O)c4ccc5c(c4)OCO5)CC3)C2)c1,0.679395439076779,2.770782210631763,[BOS]Cc1cc(C)cc(C(=O)N2CCC[C@H](C(=O)N3CCN(C(=O)c4ccc5c(c4)OCO5)CC3)C2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.1,O=C(NC1C2COCC1CN(C(=O)C1CC1c1ccc(Cl)cc1)C2)C1CCc2ccccc2C1,0.7260087234641258,4.631035330258363,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@@H]1C[C@H]1c1ccc(Cl)cc1)C2)[C@@H]1CCc2ccccc2C1[EOS],42
12.0,Cc1ccc(C2=CCN(C(=O)NCC3CCc4ccccc43)CCN2)cc1C,0.8519726691688522,3.103934547205954,[BOS]Cc1ccc(C2=CCN(C(=O)NC[C@@H]3CCc4ccccc43)CCN2)cc1C[EOS],42
12.5,Cc1cc(C)cc(C(=O)N2CCCC(C(=O)N3CCN(c4ccc(C(F)(F)F)cc4F)CC3)C2)c1,0.5869397601333554,2.8154766103145548,[BOS]Cc1cc(C)cc(C(=O)N2CCC[C@@H](C(=O)N3CCN(c4ccc(C(F)(F)F)cc4F)CC3)C2)c1[EOS],42
13.4,O=C(CCC1CNc2ccccc2C1)NC1CC2CCC(C1)N2C(=O)C1CCc2[nH]c(=O)[nH]c(=O)c2C1,0.49349721724832607,4.874177365138203,[BOS]O=C(CC[C@H]1CNc2ccccc2C1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@H]1CCc2[nH]c(=O)[nH]c(=O)c2C1[EOS],42
12.6,O=C1NCCCn2nc(C(=O)N3CCCCC3C3CCN(C(=O)C4CCc5ccccc5C4)CC3)cc21,0.6975606533229094,3.560784066539229,[BOS]O=C1NCCCn2nc(C(=O)N3CCCC[C@@H]3C3CCN(C(=O)[C@@H]4CCc5ccccc5C4)CC3)cc21[EOS],42
12.3,O=C(CN1Cc2ccccc2Oc2ccccc21)Nc1cccc(C(=O)N2CCCCCC2)c1,0.56799636400182,2.257756477038402,[BOS]O=C(CN1Cc2ccccc2Oc2ccccc21)Nc1cccc(C(=O)N2CCCCCC2)c1[EOS],42
