rv,smi,qed,sa,cur_sentence,seed
8.8,O=S(=O)(c1ccc2c(c1)OCCO2)N1CC=C(c2c[nH]c3ncccc23)CC1,0.7346770413690087,2.608254073743339,[BOS]O=S(=O)(c1ccc2c(c1)OCCO2)N1CC=C(c2c[nH]c3ncccc23)CC1[EOS][EOS][EOS][EOS][EOS][EOS],42
9.9,Cc1noc(NC(=O)NC(c2ccccc2)c2ccc3c(c2)CCCO3)c1C#N,0.7010658778910993,3.105986124308716,[BOS]Cc1noc(NC(=O)N[C@H](c2ccccc2)c2ccc3c(c2)CCCO3)c1C#N[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.8,CC(Nc1ccccn1)C(=O)Nc1cc(C2CCCCN2C(=O)C2COc3ccccc3O2)[nH]n1,0.49967735340605157,3.666094412772841,[BOS]C[C@H](Nc1ccccn1)C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@H]2COc3ccccc3O2)[nH]n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,O=C1NC(=O)C2(CC3CCC(C2)N3c2nc(-c3cnccn3)nc3sc4c(c23)CCCC4)N1,0.5643395584132018,5.02041677411372,[BOS]O=C1NC(=O)C2(C[C@H]3CC[C@@H](C2)N3c2nc(-c3cnccn3)nc3sc4c(c23)CCCC4)N1[EOS][EOS][EOS],42
10.4,O=C(Nc1ccccn1)C1CCCN1c1nc(-c2cccnc2)nc2sc3c(c12)CCCC3,0.48185320073131627,3.0635298306031933,[BOS]O=C(Nc1ccccn1)[C@@H]1CCCN1c1nc(-c2cccnc2)nc2sc3c(c12)CCCC3[EOS],42
9.3,CC(=O)C(=O)Nc1cc(C2CCCCN2C(=O)c2cccc3c2OC(C)(C)CC3)[nH]n1,0.7321792532500998,3.3622619469355506,[BOS]CC(=O)C(=O)Nc1cc([C@H]2CCCCN2C(=O)c2cccc3c2OC(C)(C)CC3)[nH]n1[EOS],42
8.7,Cc1cc(C)cc(C(=O)NCC23CCCOC2CCN(C(=O)C(C)Oc2ccccc2)C3)c1,0.7249290817160331,3.632906270706558,[BOS]Cc1cc(C)cc(C(=O)NC[C@@]23CCCO[C@@H]2CCN(C(=O)[C@H](C)Oc2ccccc2)C3)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
8.8,Cc1ccc(C(F)(F)F)cc1NC(=O)NC(C)CCc1ccc(O)cc1,0.7074885770792368,2.487933427121913,[BOS]Cc1ccc(C(F)(F)F)cc1NC(=O)N[C@@H](C)CCc1ccc(O)cc1[EOS][EOS][EOS][EOS],42
10.1,O=C1CCC(C(=O)Nc2cc(C3CCCCN3C(=O)c3ccc4cccc(Br)c4n3)[nH]n2)N1,0.49673683507804034,3.568827074200245,[BOS]O=C1CC[C@@H](C(=O)Nc2cc([C@H]3CCCCN3C(=O)c3ccc4cccc(Br)c4n3)[nH]n2)N1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.6,CC1(c2ccc(-n3cnnn3)cc2)Oc2cc(O)ccc2C(=O)C1c1ccc(F)cc1,0.5466881600954508,3.486116538572924,[BOS]C[C@]1(c2ccc(-n3cnnn3)cc2)Oc2cc(O)ccc2C(=O)[C@@H]1c1ccc(F)cc1[EOS][EOS],42
9.0,Cc1cc(NC(=O)c2nn(-c3c(F)cccc3F)cc2C)c2ncccc2c1,0.5681900538743446,2.5165405534260508,[BOS]Cc1cc(NC(=O)c2nn(-c3c(F)cccc3F)cc2C)c2ncccc2c1[EOS],42
10.4,Cn1c(=O)c2ccc(NC(=O)c3cccnc3Nc3ccc(Cl)c(Cl)c3)cc2n(C)c1=O,0.47116692014355105,2.3188685703993936,[BOS]Cn1c(=O)c2ccc(NC(=O)c3cccnc3Nc3ccc(Cl)c(Cl)c3)cc2n(C)c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,O=C1COc2c(cccc2NC(=O)NC(Cc2nc3ccccc3s2)c2ccccc2)N1,0.41484584668399116,2.9530975465395173,[BOS]O=C1COc2c(cccc2NC(=O)N[C@@H](Cc2nc3ccccc3s2)c2ccccc2)N1[EOS][EOS][EOS][EOS][EOS],42
10.0,Cc1c(-c2nc(Cc3nc(N)nc(N)n3)no2)[nH]c2c1C(=O)CC(C)(C)C2,0.6207518321253805,3.2323856541457143,[BOS]Cc1c(c2nc(Cc3nc(N)nc(N)n3)no2)[nH]c2c1C(=O)CC(C)(C)C2[EOS][EOS][EOS][EOS][EOS],42
9.2,Cc1ccc(C(NC(=O)NCc2oc3ccc(F)cc3c2C)c2ccccn2)cc1,0.48291823781507914,2.8863570678793753,[BOS]Cc1ccc([C@@H](NC(=O)NCc2oc3ccc(F)cc3c2C)c2ccccn2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.5,CC(Nc1cnccn1)C(=O)Nc1cc(C2CCCCN2C(=O)C2CCCOC2)[nH]n1,0.6446783899461871,3.7611390762103465,[BOS]C[C@H](Nc1cnccn1)C(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2CCCOC2)[nH]n1[EOS][EOS][EOS][EOS][EOS][EOS],42
10.1,CC(Nc1cc(-c2nn[n-]n2)[nH+]c2ccccc12)c1ccc2c(c1)CCC(=O)N2C,0.5661523439441293,4.414535193843227,[BOS]C[C@@H](Nc1cc(-c2nn[n-]n2)[nH+]c2ccccc12)c1ccc2c(c1)CCC(=O)N2C[EOS],42
9.3,Nc1cnc(-n2ncc3ccc(-c4c(F)cccc4F)cc32)cn1,0.6140668899481794,2.584818757167275,[BOS]Nc1cnc(-n2ncc3ccc(-c4c(F)cccc4F)cc32)cn1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.7,O=C(Nc1n[nH]c(-c2cccc3ccccc23)n1)C1(O)CCOc2ccccc21,0.5019226996079691,3.1051513408568736,[BOS]O=C(Nc1n[nH]c(-c2cccc3ccccc23)n1)[C@@]1(O)CCOc2ccccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.4,O=C(c1[nH]c(=O)n2c1CCCC2)N1CCC(C2CCCCN2C(=O)C2CC(=O)N(C3CCCC3)C2)CC1,0.6716772756839046,3.7107628228296683,[BOS]O=C1C[C@H](C(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3[nH]c(=O)n4c3CCCC4)CC2)CN1C1CCCC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.0,O=C(NCC1CCc2ccccc2C1)Nc1cnn(-c2cnc3ccccc3n2)c1,0.5484018174004083,2.933584536673971,[BOS]O=C(NC[C@@H]1CCc2ccccc2C1)Nc1cnn(-c2cnc3ccccc3n2)c1[EOS],42
10.2,O=C(c1c[nH]c2cnccc12)N1CC2C(C(=O)N3CCOCC3)CCS(=O)(=O)C2C1,0.7303225168245692,4.074116847206604,[BOS]O=C(c1c[nH]c2cnccc12)N1C[C@H]2[C@@H](C1)S(=O)(=O)CC[C@H]2C(=O)N1CCOCC1[EOS],42
10.8,CC(=O)Nc1cc(C(=O)N2CCCCC2c2cc(NC(=O)C3CCc4ccccc43)n[nH]2)ccc1C,0.48633189381021874,3.3269348587166654,[BOS]CC(=O)Nc1cc(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)[C@@H]3CCc4ccccc43)n[nH]2)ccc1C[EOS],42
9.3,Cc1ccc(CCC(=O)N2C3CCC2CC(NC(=O)c2nc(C)c(C)[nH]c2=O)C3)cc1F,0.7474454196889669,4.10972829392731,[BOS]Cc1ccc(CCC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2nc(C)c(C)[nH]c2=O)C3)cc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.1,NC(=O)NCC(=O)N1CCCCC1C1CCN(C(=O)c2cc3ncsc3[nH]2)CC1,0.696190756380837,3.407289215795542,[BOS]NC(=O)NCC(=O)N1CCCC[C@H]1C1CCN(C(=O)c2cc3ncsc3[nH]2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
