rv,smi,qed,sa,cur_sentence,seed
11.8,Cc1cccc(-c2cncc(C(=O)N3CCCC(C(=O)Nc4ccc(Cl)cn4)C3)c2)c1,0.6508789647436563,2.699404181609051,[BOS]Cc1cccc(-c2cncc(C(=O)N3CCC[C@H](C(=O)Nc4ccc(Cl)cn4)C3)c2)c1[EOS],42
12.4,O=C(NC1CC2CCC(C1)N2C(=O)c1ccc(Cc2ccc(F)cc2)cc1)C1Cc2ccccc2N1,0.5528949835770576,4.089303450144629,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc(Cc2ccc(F)cc2)cc1)[C@@H]1Cc2ccccc2N1[EOS],42
12.4,O=C(Nc1[nH]ncc1-c1ccc2c(c1)OCO2)C(c1ccccc1)c1ccccc1,0.5169901618534491,2.4001844908194343,[BOS]O=C(Nc1[nH]ncc1-c1ccc2c(c1)OCO2)C(c1ccccc1)c1ccccc1[EOS],42
12.0,Cc1cccc(-c2cccc(C(=O)N3CCCC(S(=O)(=O)N4CCc5ccccc54)C3)c2)c1,0.569074601402753,2.8502339948599875,[BOS]Cc1cccc(-c2cccc(C(=O)N3CCC[C@H](S(=O)(=O)N4CCc5ccccc54)C3)c2)c1[EOS],42
11.4,Cc1ccc(-n2nc(C(=O)NCC3CCCC34NC(=O)NC4=O)c3c2CCC3)c(F)c1,0.6510799467735886,4.091841099238492,[BOS]Cc1ccc(-n2nc(C(=O)NC[C@@H]3CCC[C@@]34NC(=O)NC4=O)c3c2CCC3)c(F)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1ccc(C(=O)Nc2cccc(OCC3CN(C(=O)c4ccccc4)CCO3)c2)cc1C,0.608961742217675,2.5127070312972357,[BOS]Cc1ccc(C(=O)Nc2cccc(OC[C@H]3CN(C(=O)c4ccccc4)CCO3)c2)cc1C[EOS][EOS],42
12.4,O=C(NCC(c1ccccc1)c1c[nH]c2ccccc12)N1CCC2(CC1)OCCCO2,0.6648162104932869,3.422981082899309,[BOS]O=C(NC[C@@H](c1ccccc1)c1c[nH]c2ccccc12)N1CCC2(CC1)OCCCO2[EOS],42
11.6,O=C(NCC1(Cc2ccccc2)CCC(F)(F)CC1)Nc1cc(F)cc2c1OCOC2,0.6756753440273048,2.964745190205683,[BOS]O=C(NCC1(Cc2ccccc2)CCC(F)(F)CC1)Nc1cc(F)cc2c1OCOC2[EOS],42
12.5,Cc1nc2ccncc2cc1C(=O)NC1CC2CCC(C1)N2C(=O)c1cccc2c1OC(C)(C)CC2,0.5870685722459671,4.282697073989445,[BOS]Cc1nc2ccncc2cc1C(=O)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cccc2c1OC(C)(C)CC2[EOS],42
11.6,Cc1ccc(C(=O)Nc2cccc(CNC(=O)N3CC(=O)NC4CCCCC43)c2)cc1,0.7094839714974329,3.034850160007668,[BOS]Cc1ccc(C(=O)Nc2cccc(CNC(=O)N3CC(=O)N[C@@H]4CCCC[C@@H]43)c2)cc1[EOS],42
12.2,O=C(Nc1cnccc1-c1ccc(C(F)(F)F)cc1)c1ccc2c(=O)n3c(nc2c1)CCCCC3,0.4245461432195481,2.48815729355856,[BOS]O=C(Nc1cnccc1-c1ccc(C(F)(F)F)cc1)c1ccc2c(=O)n3c(nc2c1)CCCCC3[EOS][EOS][EOS],42
12.9,Cc1ccc2cc(C(=O)N3CCC4OCCCC4(CNC(=O)C4CC4c4ccccc4)C3)ccc2n1,0.5811572415538406,3.91306722535713,[BOS]Cc1ccc2cc(C(=O)N3CC[C@H]4OCCC[C@@]4(CNC(=O)[C@@H]4C[C@H]4c4ccccc4)C3)ccc2n1[EOS],42
12.6,O=C(Nc1cccc(C(=O)N2CCc3n[nH]nc3C2)c1)C1CCc2ccccc2O1,0.6991976934645089,3.112017138622585,[BOS]O=C(Nc1cccc(C(=O)N2CCc3n[nH]nc3C2)c1)[C@@H]1CCc2ccccc2O1[EOS],42
12.2,Cc1ccc(C(=O)N2CCCCC2c2cc(NC(=O)Cc3ccc(F)c(C(F)(F)F)c3)n[nH]2)c(=O)[nH]1,0.45338369991011374,3.290839257305736,[BOS]Cc1ccc(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)Cc3ccc(F)c(C(F)(F)F)c3)n[nH]2)c(=O)[nH]1[EOS],42
12.1,CC1(C)C(=O)NCc2ccc(-c3cccc(C(=O)Nc4ccccc4)c3)cc21,0.7124392428342285,2.25598985235497,[BOS]CC1(C)C(=O)NCc2ccc(-c3cccc(C(=O)Nc4ccccc4)c3)cc21[EOS],42
11.6,Cc1cc(C)n(-c2ccc(CCNC(=O)C(=O)Nc3ccc4c(c3)OCC(=O)N4C)cc2)n1,0.5832876919417392,2.4667115168621407,[BOS]Cc1cc(C)n(-c2ccc(CCNC(=O)C(=O)Nc3ccc4c(c3)OCC(=O)N4C)cc2)n1[EOS][EOS][EOS][EOS],42
12.3,O=C1C2=c3ccccc3=NC(c3cccc4ccccc34)N2C(=S)N1c1ccc2c(c1)OCCCO2,0.3958693216342785,3.3693106883652435,[BOS]O=C1C2=c3ccccc3=N[C@H](c3cccc4ccccc34)N2C(=S)N1c1ccc2c(c1)OCCCO2[EOS],42
11.6,Cc1cn(C)c2ccc(-c3ccc4cc[nH]c(=O)c4c3)cc12,0.5646794833675718,2.293103576966976,[BOS]Cc1cn(C)c2ccc(-c3ccc4cc[nH]c(=O)c4c3)cc12[EOS],42
12.7,O=C(CNc1ccc(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cn1)Nc1ccc(F)c(F)c1F,0.4366101913149011,2.462960729372803,[BOS]O=C(CNc1ccc(S(=O)(=O)N2CCC(Cc3ccccc3)CC2)cn1)Nc1ccc(F)c(F)c1F[EOS],42
12.0,Cc1cc(C(=O)N2CCCCC2c2cc(NC(=O)C3=Cc4ccccc4NC(=O)C3)n[nH]2)cc(=O)[nH]1,0.44854114617943713,3.553043899576087,[BOS]Cc1cc(C(=O)N2CCCC[C@H]2c2cc(NC(=O)C3=Cc4ccccc4NC(=O)C3)n[nH]2)cc(=O)[nH]1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.1,O=C(Cc1ccc2ccccc2c1)NC1CC2CCC(C1)N2C(=O)Cc1ccc2ncccc2c1,0.4619972894146356,3.8146894268673774,[BOS]O=C(Cc1ccc2ccccc2c1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1ccc2ncccc2c1[EOS],42
12.1,O=C1CCC(=O)N(c2ccc(C(=O)NCC3(c4cccc(C(F)(F)F)c4)CCCCC3)cc2)N1,0.671588430193401,2.6558267654999383,[BOS]O=C1CCC(=O)N(c2ccc(C(=O)NCC3(c4cccc(C(F)(F)F)c4)CCCCC3)cc2)N1[EOS],42
12.1,O=C(Nc1ncnc2n[nH]nc12)C1c2ccccc2-c2ccccc21,0.5891613701353724,2.5652017559271627,[BOS]O=C(Nc1ncnc2n[nH]nc12)C1c2ccccc2-c2ccccc21[EOS],42
11.7,Cc1cc(C(=O)N2CCC3OCCCC3(CNC(=O)c3ccc4c(c3)CCCC4=O)C2)cc2cn[nH]c12,0.566648911219504,3.841383814921688,[BOS]Cc1cc(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3ccc4c(c3)CCCC4=O)C2)cc2cn[nH]c12[EOS],42
12.8,Cc1cccc(Oc2ccccc2CC(=O)Nc2ccc(C(=O)N3CC(=O)Nc4ccccc43)cc2)c1,0.3693020575173896,2.291591912268869,[BOS]Cc1cccc(Oc2ccccc2CC(=O)Nc2ccc(C(=O)N3CC(=O)Nc4ccccc43)cc2)c1[EOS],42
11.5,O=C1CCCN1Cc1cccc(-c2noc(-c3cnc4ccccc4c3C(F)(F)F)n2)c1,0.4437200264146613,2.5976920099544643,[BOS]O=C1CCCN1Cc1cccc(-c2noc(-c3cnc4ccccc4c3C(F)(F)F)n2)c1[EOS],42
12.4,O=C(NC1CC2CCC(C1)N2C(=O)Cc1ccc2ccccc2c1)C1CCc2ccccc2C1O,0.5993607253937305,4.326329109264615,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1ccc2ccccc2c1)[C@@H]1CCc2ccccc2[C@H]1O[EOS],42
13.5,CN1C(=O)CCc2cc(-c3ccc4[nH]cc(-c5ccc(N6CC=CCC6)nn5)c4c3)cc(F)c21,0.43820807797758027,3.0202678057097305,[BOS]CN1C(=O)CCc2cc(-c3ccc4[nH]cc(-c5ccc(N6CC=CCC6)nn5)c4c3)cc(F)c21[EOS],42
12.6,Cc1cc(F)cc(CC(=O)N2CCCCC2c2cc(NC(=O)C3CNc4ccccc43)n[nH]2)c1,0.5284769249151192,3.5311109929924704,[BOS]Cc1cc(F)cc(CC(=O)N2CCCC[C@@H]2c2cc(NC(=O)[C@@H]3CNc4ccccc43)n[nH]2)c1[EOS],42
12.0,CC1Cc2cc(-c3ccc4c(c3)OCCCC4=O)ccc2C1(C)C,0.7235450290081737,3.015297639615259,[BOS]C[C@@H]1Cc2cc(-c3ccc4c(c3)OCCCC4=O)ccc2C1(C)C[EOS],42
11.4,O=C(NCC1CCCCC1O)c1cc(-c2ccccc2)nc2c1cnn2Cc1cccc(F)c1,0.4437449261333571,3.0785098227341567,[BOS]O=C(NC[C@H]1CCCC[C@@H]1O)c1cc(-c2ccccc2)nc2c1cnn2Cc1cccc(F)c1[EOS],42
12.0,O=C1CCCCN1Cc1ccc(C(=O)N2CCCC(c3nc4ccc(F)cc4o3)C2)cc1,0.6052881888171915,2.8234092301887443,[BOS]O=C1CCCCN1Cc1ccc(C(=O)N2CCC[C@@H](c3nc4ccc(F)cc4o3)C2)cc1[EOS],42
12.7,O=C(NCc1cccc(Cn2cnc3ccccc32)c1)N1CCC(O)(c2ccc(F)cc2)C1,0.48841782103619136,2.878381616317478,[BOS]O=C(NCc1cccc(Cn2cnc3ccccc32)c1)N1CC[C@@](O)(c2ccc(F)cc2)C1[EOS],42
11.6,Cc1ccc(CCC(=O)N2CCC3COC(CNC(=O)c4ccc(-c5cccnc5)cc4)C3C2)c(C)n1,0.5326452354193032,3.647205674524553,[BOS]Cc1ccc(CCC(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4ccc(-c5cccnc5)cc4)[C@H]3C2)c(C)n1[EOS],42
11.3,O=C1CCCN1Cc1cccc(-c2noc(-c3ccc4ccncc4c3)n2)c1,0.5413156450423161,2.3305222805292054,[BOS]O=C1CCCN1Cc1cccc(-c2noc(-c3ccc4ccncc4c3)n2)c1[EOS],42
12.2,Cc1cc(C)n2nc(C(=O)N3CC=C(c4ccc5c(c4)CCCC5)CC3)nc2n1,0.6745913076553465,2.7139847017410066,[BOS]Cc1cc(C)n2nc(C(=O)N3CC=C(c4ccc5c(c4)CCCC5)CC3)nc2n1[EOS],42
12.1,CC1CCc2c1n[nH]c2C(=O)N1CCCCC1c1cc(NC(=O)CC2Cc3ccccc3C2)n[nH]1,0.5147834895446541,3.8345389675142902,[BOS]C[C@H]1CCc2c1n[nH]c2C(=O)N1CCCC[C@H]1c1cc(NC(=O)CC2Cc3ccccc3C2)n[nH]1[EOS],42
