rv,smi,qed,sa,cur_sentence,seed
12.8,O=C(c1ccc2nccnc2c1)N1CCC(OC2CCN(C(=O)C3Cc4ccccc4O3)CC2)CC1,0.5629978461409204,3.0986013995408603,[BOS]O=C(c1ccc2nccnc2c1)N1CCC(OC2CCN(C(=O)[C@H]3Cc4ccccc4O3)CC2)CC1[EOS],42
12.5,O=C1C2C(c3cccc(F)c3)=NN(c3ncccn3)C2C(=O)N1CCc1c[nH]c2ccccc12,0.4681875912989652,3.51743709546143,[BOS]O=C1[C@@H]2C(c3cccc(F)c3)=NN(c3ncccn3)[C@H]2C(=O)N1CCc1c[nH]c2ccccc12[EOS],42
12.0,Fc1ccc(-c2noc(-c3[nH]nc4c(F)cccc34)n2)c2ccccc12,0.5015287570403411,2.5258043882490853,[BOS]Fc1cccc2c(-c3nc(-c4ccc(F)c5ccccc45)no3)[nH]nc12[EOS],42
12.6,Cc1ccc(CCC(=O)N2CCOCC3(C2)CN(c2cccc(F)c2)C(=O)[CH]O3)c2ccccc12,0.5715845900494155,3.8657639213074058,[BOS]Cc1ccc(CCC(=O)N2CCOC[C@]3(C2)CN(c2cccc(F)c2)C(=O)[C@@H]O3)c2ccccc12[EOS],42
11.7,CC1CCCC(NC(=O)N2CC(c3cccc(C(F)(F)F)c3)OCC2C)CC1,0.70062926500001,3.5904677873527726,[BOS]C[C@@H]1CCC[C@H](NC(=O)N2C[C@@H](c3cccc(C(F)(F)F)c3)OC[C@@H]2C)CC1[EOS],42
12.5,O=C(C1=NOC(c2ccccc2)C1)N1CCC2(C1)CN(C(=O)c1ccc3nccnc3c1)CCO2,0.5826001789310653,4.038019826950101,[BOS]O=C(C1=NO[C@@H](c2ccccc2)C1)N1CC[C@]2(C1)CN(C(=O)c1ccc3nccnc3c1)CCO2[EOS][EOS][EOS],42
12.0,Cc1ccc(-n2nc(C(=O)Nc3ccccc3C(=O)N3CCCC3)c3c2CCC3)c(C)c1,0.6668878850690843,2.2905256219946004,[BOS]Cc1ccc(-n2nc(C(=O)Nc3ccccc3C(=O)N3CCCC3)c3c2CCC3)c(C)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,O=C1CC(C(=O)Nc2ccc(N3CCCCC3)c3ccccc23)C2CCCCC2N1,0.7923487646246912,3.38784258716432,[BOS]O=C1C[C@H](C(=O)Nc2ccc(N3CCCCC3)c3ccccc23)[C@H]2CCCC[C@H]2N1[EOS],42
12.9,O=C(CNC(=O)N1Cc2ccccc2C(c2ccccc2)C1)N1CCC(Cc2ccccc2)CC1,0.5846897918805736,2.8012667229543915,[BOS]O=C(CNC(=O)N1Cc2ccccc2[C@H](c2ccccc2)C1)N1CCC(Cc2ccccc2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,O=C(Nc1cc(-c2ccccc2)cnn1)c1n[nH]cc1C=Cc1ccc2c(n1)N=C(O)CC2,0.42870827210613877,3.4565160652236546,[BOS]O=C(Nc1cc(-c2ccccc2)cnn1)c1n[nH]cc1C=Cc1ccc2c(n1)N=C(O)CC2[EOS],42
12.8,O=C(NC(c1ccccc1)c1ccc2nc[nH]c2c1)c1ccc2c(c1)S(=O)(=O)N=C1CCCCCN12,0.4279387353839524,3.2496175430200234,[BOS]O=C(N[C@@H](c1ccccc1)c1ccc2nc[nH]c2c1)c1ccc2c(c1)S(=O)(=O)N=C1CCCCCN12[EOS],42
12.9,O=C(Nc1nc2c(s1)COc1ccccc1-2)C1CC(=O)N(c2ccc3c(c2)CCCO3)C1,0.656026124891822,3.083740427063251,[BOS]O=C(Nc1nc2c(s1)COc1ccccc1-2)C1CC(=O)N(c2ccc3c(c2)CCCO3)C1[EOS],42
12.4,Cc1cccc(C2(CNC(=O)C3CC(=O)Nc4cc(F)ccc43)CCC3(CC2)OCCO3)c1,0.7371017758783482,3.7818403856174037,[BOS]Cc1cccc(C2(CNC(=O)[C@@H]3CC(=O)Nc4cc(F)ccc43)CCC3(CC2)OCCO3)c1[EOS],42
