rv,smi,qed,sa,cur_sentence,seed
11.9,Cc1cccc(-c2cccc(C(=O)N3CCC(C(=O)N4CCCC(C)C4)CC3)c2)c1,0.7391226106753621,2.487339894355225,[BOS]Cc1cccc(-c2cccc(C(=O)N3CCC(C(=O)N4CCC[C@H](C)C4)CC3)c2)c1[EOS],42
12.0,Cc1cc(C(NC(=O)c2cccc(-n3cnnn3)c2)c2ccc(F)c(F)c2)ccc1F,0.5284336042704703,2.8313239073888887,[BOS]Cc1cc([C@H](NC(=O)c2cccc(-n3cnnn3)c2)c2ccc(F)c(F)c2)ccc1F[EOS],42
11.6,O=C(Nc1cccc(CNC(=O)C23CCC(=O)N2c2cc(Cl)ccc2S3)c1)C1CCCCC1,0.6194597191500824,3.0467779624713245,[BOS]O=C(Nc1cccc(CNC(=O)[C@@]23CCC(=O)N2c2cc(Cl)ccc2S3)c1)C1CCCCC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.3,CC1(C)CC(=O)c2cccc(NC(=O)C(=O)NCc3cccc(CN4CCc5ccccc54)c3)c2O1,0.5300924375446049,2.6005657726447815,[BOS]O=C(NCc1cccc(CN2CCc3ccccc32)c1)C(=O)Nc1cccc2c1OC(C)(C)CC2=O[EOS],42
11.8,Cc1ccc(F)cc1C(=O)N1CCCCC1c1cc(NC(=O)Cc2ccc3c(c2)CCC3)n[nH]1,0.56884479157565,3.023465168051951,[BOS]Cc1ccc(F)cc1C(=O)N1CCCC[C@H]1c1cc(NC(=O)Cc2ccc3c(c2)CCC3)n[nH]1[EOS],42
12.2,Cc1c(-c2ccccc2)cccc1-c1ccc(F)c(C(=O)N2CCOCC2)c1,0.6488712038117821,2.033573356628475,[BOS]Cc1c(-c2ccccc2)cccc1-c1ccc(F)c(C(=O)N2CCOCC2)c1[EOS],42
11.6,CNC(=O)c1cc(Oc2cccc(CC(=O)C3(c4ccc5c(c4)OCCCO5)CC3)c2)ccn1,0.5700356713623497,2.660652991952059,[BOS]CNC(=O)c1cc(Oc2cccc(CC(=O)C3(c4ccc5c(c4)OCCCO5)CC3)c2)ccn1[EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1nn(-c2ccccc2)c2nc(C(=O)N3CCc4nc[nH]c4C3)cc(C(F)(F)C(F)(F)F)c12,0.44737696101674934,3.038541092423017,[BOS]Cc1nn(-c2ccccc2)c2nc(C(=O)N3CCc4nc[nH]c4C3)cc(C(F)(F)C(F)(F)F)c12[EOS],42
12.7,CC1Cc2cc(C(=O)C3CC(=O)N(c4ccc5c(c4)CCN5C(=O)c4cccnc4)C3)ccc2N1C(N)=O,0.5416029651159244,3.5268448836781507,[BOS]C[C@H]1Cc2cc(C(=O)[C@@H]3CC(=O)N(c4ccc5c(c4)CCN5C(=O)c4cccnc4)C3)ccc2N1C(N)=O[EOS],42
12.2,CC(C(=O)NC1CCCc2occc21)c1cccc(C(=O)NC2CCCc3cn[nH]c32)c1,0.5648914145533561,3.843118752721006,[BOS]C[C@H](C(=O)N[C@@H]1CCCc2occc21)c1cccc(C(=O)N[C@H]2CCCc3cn[nH]c32)c1[EOS],42
12.2,O=C(NCC1CCc2ccccc2C1)C1CCCN(C(=O)c2cccc3ccccc23)C1,0.6621705442282706,2.8949242325642413,[BOS]O=C(NC[C@@H]1CCc2ccccc2C1)[C@@H]1CCCN(C(=O)c2cccc3ccccc23)C1[EOS],42
12.2,Cc1ccc(CCC(=O)N2CCCCC2c2cc(NC(=O)c3ccc4c(c3)COC4)n[nH]2)cc1F,0.533746936504887,3.1632699897635224,[BOS]Cc1ccc(CCC(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3ccc4c(c3)COC4)n[nH]2)cc1F[EOS],42
12.9,CC1(C)COC2(CCC(C)(C3N=C(c4cc(-c5ccccc5)nc5ccccc45)ON3)CC2)C(=O)C1,0.5063700254495107,4.333365914023913,[BOS]CC1(C2N=C(c3cc(-c4ccccc4)nc4ccccc34)ON2)CCC2(CC1)OCC(C)(C)CC2=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,O=C(NCC(O)c1ccc(-c2ccccc2)cc1)C1Nc2ccccc2S(=O)(=O)N1,0.503474137304382,3.2510027467865257,[BOS]O=C(NC[C@@H](O)c1ccc(-c2ccccc2)cc1)[C@@H]1Nc2ccccc2S(=O)(=O)N1[EOS],42
11.8,Cc1ccc(-n2nc(C(=O)Nc3cc(C)nn3-c3nc(C)c4c(n3)CCNC4)ccc2=O)c(C)c1,0.4697558162656678,2.9263224543977184,[BOS]Cc1ccc(-n2nc(C(=O)Nc3cc(C)nn3-c3nc(C)c4c(n3)CCNC4)ccc2=O)c(C)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.0,O=C(CC1CCc2ccccc2C1)NCc1cc(F)cc(NC(=O)Nc2ccc3c(c2)C(=O)CC3)c1,0.43633076125151166,2.9553258608560338,[BOS]O=C(C[C@@H]1CCc2ccccc2C1)NCc1cc(F)cc(NC(=O)Nc2ccc3c(c2)C(=O)CC3)c1[EOS],42
11.9,O=C(c1cccc(Oc2ccccc2)c1)N1CC2C(C(=O)N3CCOCC3)CCS(=O)(=O)C2C1,0.660778547506953,3.7019795419540404,[BOS]O=C(c1cccc(Oc2ccccc2)c1)N1C[C@@H]2[C@@H](C(=O)N3CCOCC3)CCS(=O)(=O)[C@@H]2C1[EOS],42
12.7,O=C(Cc1cccc(-c2cc(Cl)cc(Cl)c2)c1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1,0.40696147389925463,2.3526549725236254,[BOS]O=C(Cc1cccc(-c2cc(Cl)cc(Cl)c2)c1)N1CCC(n2c(=O)[nH]c3ccccc32)CC1[EOS],42
11.9,O=C(NCC1(O)CCCc2ccccc21)c1nn(-c2ccc(Cl)cc2)c2c1CCCCC2,0.5646941992973481,3.0342385105857668,[BOS]O=C(NC[C@@]1(O)CCCc2ccccc21)c1nn(-c2ccc(Cl)cc2)c2c1CCCCC2[EOS],42
12.5,Cc1cc(N2C(=O)c3ccccc3C2=O)ccc1C(=O)N1CCOC(c2ccccc2F)C1,0.569588749530315,2.7769603192634698,[BOS]Cc1cc(N2C(=O)c3ccccc3C2=O)ccc1C(=O)N1CCOC(c2ccccc2F)C1[EOS],42
