rv,smi,qed,sa,cur_sentence,seed
10.3,O=C(NCc1cccc(-n2cncn2)c1)NC1CC2(CCCCC2)Oc2ccccc21,0.6634492669310043,3.45923844075884,[BOS]O=C(NCc1cccc(-n2cncn2)c1)N[C@H]1CC2(CCCCC2)Oc2ccccc21[EOS],42
10.0,Cc1ccc2nc(C3CCCN(C(=O)c4cccc(-c5noc(C(F)(F)F)n5)c4)C3)[nH]c2c1,0.47183577631376344,3.0298794681996384,[BOS]Cc1ccc2nc([C@H]3CCCN(C(=O)c4cccc(-c5noc(C(F)(F)F)n5)c4)C3)[nH]c2c1[EOS][EOS][EOS][EOS],42
9.7,O=c1ccnc2c(-c3nc(-c4ccc(O)c5ccccc45)no3)c[nH]n12,0.5088463708924639,2.70570054209524,[BOS]Oc1ccc(-c2noc(-c3c[nH]n4c(=O)ccnc34)n2)c2ccccc12[EOS],42
9.8,O=C(Nc1nccc2n[nH]nc12)c1cnoc1-c1ccc(F)cc1Cl,0.5821400626673991,2.8539916207920264,[BOS]O=C(Nc1nccc2n[nH]nc12)c1cnoc1-c1ccc(F)cc1Cl[EOS],42
10.2,O=C(Nc1cccc(CNC(=O)N2CCOC3(CCc4ccccc43)C2)c1)c1ccc(F)cc1,0.6052449432866189,3.2914249964994955,[BOS]O=C(Nc1cccc(CNC(=O)N2CCO[C@]3(CCc4ccccc43)C2)c1)c1ccc(F)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.3,Cc1c(F)ccc(C(=O)N2CCC3COC(CNC(=O)c4ccc5c(c4)NC(=O)CC5)C3C2)c1N,0.5822233093752454,3.85195516966301,[BOS]Cc1c(F)ccc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)c4ccc5c(c4)NC(=O)CC5)[C@H]3C2)c1N[EOS],42
9.7,O=C(Nc1nnc2n1CCCC2)C(Oc1ccc(F)cc1Cl)c1ccccc1,0.6976126980974654,2.8866524959239026,[BOS]O=C(Nc1nnc2n1CCCC2)[C@@H](Oc1ccc(F)cc1Cl)c1ccccc1[EOS],42
9.9,O=C(Nc1cc(F)ccc1NC(=O)c1ccccn1)C1=NN(c2ccc(F)cc2)C(=O)CC1,0.6193991620385144,2.411431880095339,[BOS]O=C(Nc1ccc(F)cc1NC(=O)C1=NN(c2ccc(F)cc2)C(=O)CC1)c1ccccn1[EOS][EOS][EOS][EOS][EOS][EOS],42
9.3,NC(=O)c1ccc(C(=O)N2CC3COCC(C2)C3NC(=O)C2Cc3ccccc3N2)cc1,0.6651158357608882,4.301212531237798,[BOS]NC(=O)c1ccc(C(=O)N2C[C@H]3COC[C@@H](C2)[C@H]3NC(=O)[C@@H]2Cc3ccccc3N2)cc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.5,O=C(NC1CC2CCC(C1)N2C(=O)c1cc2c(F)cc(F)cc2[nH]1)c1nccc2occc12,0.4906025379378596,4.323887273042853,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cc2c(F)cc(F)cc2[nH]1)c1nccc2occc12[EOS],42
9.4,CC(=O)Nc1cc(NC(=O)NCCc2c[nH]c3ncccc23)c(F)cc1F,0.5527901608315057,2.3684032897732443,[BOS]CC(=O)Nc1cc(NC(=O)NCCc2c[nH]c3ncccc23)c(F)cc1F[EOS],42
11.3,O=C1CCc2ccc(C(=O)NC3C4COCC3CN(C(=O)c3cc5cc(F)c(F)cc5[nH]3)C4)cc2N1,0.5210773170253477,4.3994147737654,[BOS]O=C1CCc2ccc(C(=O)N[C@H]3[C@@H]4COC[C@H]3CN(C(=O)c3cc5cc(F)c(F)cc5[nH]3)C4)cc2N1[EOS],42
10.9,O=C1NCCn2nc(C(=O)N3CCCCC3c3cc(NC(=O)C4CCc5ccccc5C4)n[nH]3)cc21,0.5214216673940624,3.679514011602615,[BOS]O=C1NCCn2nc(C(=O)N3CCCC[C@@H]3c3cc(NC(=O)[C@H]4CCc5ccccc5C4)n[nH]3)cc21[EOS],42
9.9,O=C(CCc1ccco1)NC1CC2CCC(C1)N2C(=O)c1[nH]c2ccoc2c1-c1ccccc1,0.4305767238147007,4.273721182415928,[BOS]O=C(CCc1ccco1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1[nH]c2ccoc2c1-c1ccccc1[EOS],42
9.8,Cn1c(=O)c2ccc(NC(=O)NCCC3Cc4ccccc4C3)cc2n(C)c1=O,0.7135881449325108,2.3762926888758216,[BOS]Cn1c(=O)c2ccc(NC(=O)NCCC3Cc4ccccc4C3)cc2n(C)c1=O[EOS],42
10.1,O=C(Cc1ccc2ccccc2c1)N1CCOCC2(C1)CN(C(=O)c1c[nH]c(=O)[nH]1)CCO2,0.6229649922296716,3.751114494929145,[BOS]O=C(Cc1ccc2ccccc2c1)N1CCOC[C@@]2(C1)CN(C(=O)c1c[nH]c(=O)[nH]1)CCO2[EOS],42
9.8,Cc1ccc(C(C)C(=O)N2CCCCC2c2cc(NC(=O)c3c4c(nn3C)CCC4)n[nH]2)cc1,0.6004064122951855,3.5862883967374746,[BOS]Cc1ccc([C@@H](C)C(=O)N2CCCC[C@H]2c2cc(NC(=O)c3c4c(nn3C)CCC4)n[nH]2)cc1[EOS],42
10.1,CC1CN(C(=O)Nc2c(-c3ccccc3)nc3ccccn23)CC2(CCOC2C)O1,0.7029183723907303,4.286321707034729,[BOS]C[C@@H]1CN(C(=O)Nc2c(-c3ccccc3)nc3ccccn23)C[C@@]2(CCO[C@H]2C)O1[EOS],42
9.6,Cn1c(CNC(=O)N2CCCn3c(cc4ccccc43)C2)nc2cc(Cl)ccc21,0.5383462330538462,2.5551923940486976,[BOS]Cn1c(CNC(=O)N2CCCn3c(cc4ccccc43)C2)nc2cc(Cl)ccc21[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.8,COc1cccc(N2CC(C(=O)Nc3cc(C4CCCCN4C(=O)c4sccc4C)[nH]n3)CC2=O)c1,0.5213058217778486,3.4289393396726027,[BOS]COc1cccc(N2C[C@@H](C(=O)Nc3cc([C@@H]4CCCCN4C(=O)c4sccc4C)[nH]n3)CC2=O)c1[EOS][EOS][EOS][EOS],42
