rv,smi,qed,sa,cur_sentence,seed
11.6,CC1CC(=O)c2c1cc1oc(=O)c3c(c1c2OS(=O)(=O)c1ccc2c(c1)CCCC2)CCCC3,0.38832664912279896,3.5233147739688615,[BOS]C[C@H]1CC(=O)c2c(OS(=O)(=O)c3ccc4c(c3)CCCC4)c3c4c(c(=O)oc3cc21)CCCC4[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.1,O=C1CC(C(=O)Nc2cccc(-c3[nH]nc4c3CCc3cc(F)c(F)cc3-4)c2)N=C(O)N1,0.5037234996652706,3.533043004355025,[BOS]O=C1C[C@@H](C(=O)Nc2cccc(-c3[nH]nc4c3CCc3cc(F)c(F)cc3-4)c2)N=C(O)N1[EOS],42
11.9,CC(NC(=O)C1CC(=O)N2c3ccccc3CCC12)c1nnnn1-c1ccccc1,0.722253464176453,3.4505852143647058,[BOS]C[C@H](NC(=O)[C@H]1CC(=O)N2c3ccccc3CC[C@@H]12)c1nnnn1-c1ccccc1[EOS],42
10.6,O=C(Nc1cccc(N2CCNC2=O)c1)NC1CC(=O)N(Cc2ccccc2C(F)(F)F)C1,0.6387284925392959,3.000848334679759,[BOS]O=C(Nc1cccc(N2CCNC2=O)c1)N[C@@H]1CC(=O)N(Cc2ccccc2C(F)(F)F)C1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.2,Cc1cc2sc(-c3nc(C4CC(=O)N(c5cccc(F)c5)C4)no3)c(C)c2cc1C,0.4360021109512499,3.1040784611236134,[BOS]Cc1cc2sc(-c3nc([C@@H]4CC(=O)N(c5cccc(F)c5)C4)no3)c(C)c2cc1C[EOS],42
12.3,O=C(Nc1cccc2c1C(=O)N(c1cccc3c1C=CS3(=O)=O)C2=O)c1ccc(F)c(F)c1F,0.4488569321036395,2.95490531500894,[BOS]O=C(Nc1cccc2c1C(=O)N(c1cccc3c1C=CS3(=O)=O)C2=O)c1ccc(F)c(F)c1F[EOS],42
12.2,Cc1ccc(CCc2cc3c(cc2F)=NC(=C2NNc4ncc(-c5cc[nH]n5)nc42)N=3)c(C)c1,0.44186362205162594,3.5780580154999395,[BOS]Cc1ccc(CCc2cc3c(cc2F)=N/C(=C2\NNc4ncc(-c5cc[nH]n5)nc42)N=3)c(C)c1[EOS],42
12.2,O=C(c1ccc2[nH]ccc2c1)N1Cc2ccccc2CC2C(CCCN2c2ncnc3[nH]ccc23)C1,0.37888180023609974,3.5605260070837677,[BOS]O=C(c1ccc2[nH]ccc2c1)N1C[C@@H]2CCCN(c3ncnc4[nH]ccc34)[C@@H]2Cc2ccccc2C1[EOS],42
11.9,O=C(Nc1ccccc1C(=O)Nc1cccc2c1CCCC2)c1ccc2c(c1)C(=O)N(CC1CCCO1)C2=O,0.4499098673823764,2.8936365610159402,[BOS]O=C(Nc1ccccc1C(=O)Nc1cccc2c1CCCC2)c1ccc2c(c1)C(=O)N(C[C@@H]1CCCO1)C2=O[EOS],42
11.8,Cc1ccc2cccnc2c1-c1nc2nccc(-c3ccc4c(c3)OCO4)c2s1,0.387422267520281,2.6970693937931394,[BOS]Cc1ccc2cccnc2c1-c1nc2nccc(-c3ccc4c(c3)OCO4)c2s1[EOS],42
10.5,Cc1ccc(-c2nnco2)cc1NC(=O)C1CC12CCCc1ccccc12,0.7578742975322248,3.771297605504566,[BOS]Cc1ccc(-c2nnco2)cc1NC(=O)[C@@H]1C[C@]12CCCc1ccccc12[EOS][EOS][EOS][EOS],42
12.1,O=C(c1cc(-c2ccccc2)nc2ncccc12)C1CCCN(C(=O)CC2CC(=O)N(O)C(=O)C2)C1,0.33377579025864085,3.277916789792668,[BOS]O=C(c1cc(-c2ccccc2)nc2ncccc12)[C@H]1CCCN(C(=O)CC2CC(=O)N(O)C(=O)C2)C1[EOS],42
12.5,Oc1nccc2ccc(-c3cccc4cc(C5=NCCNC56CC6)ccc34)cc12,0.5313920367114151,3.38916853542701,[BOS]Oc1nccc2ccc(-c3cccc4cc(C5=NCCNC56CC6)ccc34)cc12[EOS],42
11.6,Cc1ccc2ccnc(NC(=O)CN3C(=O)NC4(CCCCC4C)C3=O)c2c1,0.8010577600450763,3.6030385846291093,[BOS]Cc1ccc2ccnc(NC(=O)CN3C(=O)N[C@]4(CCCC[C@@H]4C)C3=O)c2c1[EOS],42
12.2,CC(=O)c1oc2ccccc2c1CC(=O)N1CCOc2cc(C)c(-c3ccccc3F)cc21,0.37877264510741154,2.6444891632377274,[BOS]CC(=O)c1oc2ccccc2c1CC(=O)N1CCOc2cc(C)c(-c3ccccc3F)cc21[EOS],42
11.3,CC1(C)CCc2cccc(C(=O)NCC34CCCOC3CCN(C(=O)C3CNc5ccccc53)C4)c2O1,0.6561007097150783,4.193109053388681,[BOS]CC1(C)CCc2cccc(C(=O)NC[C@@]34CCCO[C@@H]3CCN(C(=O)[C@H]3CNc5ccccc53)C4)c2O1[EOS][EOS],42
11.2,Cc1nnc(-c2cccc(NC(=O)C(=O)N3CCc4cc(Br)cc(F)c4C3)c2)n1C,0.5814379421411281,2.6368811755953345,[BOS]Cc1nnc(-c2cccc(NC(=O)C(=O)N3CCc4cc(Br)cc(F)c4C3)c2)n1C[EOS],42
11.4,O=C(NCC1CCCc2ccccc21)Nc1cnn(-c2cnc3ccccc3n2)c1,0.5429559109638105,2.9536350120412997,[BOS]O=C(NC[C@@H]1CCCc2ccccc21)Nc1cnn(-c2cnc3ccccc3n2)c1[EOS],42
11.6,Cc1cccc(-c2c(NC(=O)C3=NN(c4ccccc4)C(=O)C(C)O3)n[nH]c2C)c1,0.6973068891368085,3.250696198680174,[BOS]Cc1cccc(-c2c(NC(=O)C3=NN(c4ccccc4)C(=O)[C@@H](C)O3)n[nH]c2C)c1[EOS],42
11.6,O=C(Cc1ccc2ncccc2c1)N1C2Cc3ccccc3C1(O)c1ccccc12,0.5585729737701912,4.038590759094738,[BOS]O=C(Cc1ccc2ncccc2c1)N1[C@@H]2Cc3ccccc3[C@@]1(O)c1ccccc12[EOS],42
11.5,Cc1nc2ccccc2c(-c2ccc(C(=O)N3CCn4c(C)nnc4C3)cc2)c1C,0.511377447081953,2.4528359289814805,[BOS]Cc1nc2ccccc2c(-c2ccc(C(=O)N3CCn4c(C)nnc4C3)cc2)c1C[EOS][EOS][EOS][EOS][EOS],42
11.2,CC(NC(=O)c1nn(-c2cc(F)cc(F)c2)c2c1CCC2)c1cccc(N2CCCC2=O)c1,0.6318439867364528,3.02282676770864,[BOS]C[C@@H](NC(=O)c1nn(-c2cc(F)cc(F)c2)c2c1CCC2)c1cccc(N2CCCC2=O)c1[EOS][EOS][EOS][EOS][EOS],42
11.3,Cc1cc(NC(=O)c2ccc(F)cc2-c2ccc(Cl)c(Cl)c2)cc2[nH]ncc12,0.4172262786180885,2.3150649935428955,[BOS]Cc1cc(NC(=O)c2ccc(F)cc2-c2ccc(Cl)c(Cl)c2)cc2[nH]ncc12[EOS],42
12.4,O=C(c1ccc2cncc(-c3ccc(OC4CCOCC4)cc3F)c2c1)N1CCNCC(F)(F)C1,0.5979119722443256,3.0032546568487337,[BOS]O=C(c1ccc2cncc(-c3ccc(OC4CCOCC4)cc3F)c2c1)N1CCNCC(F)(F)C1[EOS],42
10.5,O=C1CCCc2cc(NCC(=O)c3ccc4ccccc4c3)ccc2N1,0.6893887386448707,2.178757829544633,[BOS]O=C1CCCc2cc(NCC(=O)c3ccc4ccccc4c3)ccc2N1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.1,O=C(c1ccc2ccc(Br)cc2c1)N1CCOc2cc(F)c(F)cc21,0.5764912716091605,2.307904323933956,[BOS]O=C(c1ccc2ccc(Br)cc2c1)N1CCOc2cc(F)c(F)cc21[EOS],42
11.0,CC(NC(=O)C(CO)NC(=O)OCC1c2ccccc2-c2ccccc21)c1nnc2n1CCC2,0.4969428942567914,3.2870923116737902,[BOS]C[C@@H](NC(=O)[C@@H](CO)NC(=O)OCC1c2ccccc2-c2ccccc21)c1nnc2n1CCC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.8,CC(NC(=O)c1cc(-c2ccc3c(c2)OCCO3)nc2c1c(=O)[nH]c(=O)n2C)c1ccc(F)cc1F,0.4509873188736576,3.0484233182349083,[BOS]C[C@@H](NC(=O)c1cc(-c2ccc3c(c2)OCCO3)nc2c1c(=O)[nH]c(=O)n2C)c1ccc(F)cc1F[EOS],42
12.8,O=C1NC(=O)c2ccc(NC(=O)N3CCC(=O)C4CCCCC43)c3cccc1c23,0.7304656699801603,3.305706399325836,[BOS]O=C1CCN(C(=O)Nc2ccc3c4c(cccc24)C(=O)NC3=O)[C@@H]2CCCC[C@H]12[EOS],42
11.4,Cc1[nH]nc2ncnc(NC(=O)c3cccc(-c4ccccc4C(F)(F)F)c3)c12,0.5292836307402073,2.482872613828917,[BOS]Cc1[nH]nc2ncnc(NC(=O)c3cccc(-c4ccccc4C(F)(F)F)c3)c12[EOS],42
12.8,CC1=CC(c2nnc(C3CCC(=O)c4occc43)o2)=c2ccc(F)cc2=C2C(=O)NCN12,0.6552862463462258,4.295353274853758,[BOS]Cc1cc(-c2nnc(C3CCC(=O)c4occc43)o2)c2ccc(F)cc2c2n1CNC2=O[EOS],42
11.5,COc1ccc(-n2c(NC(=O)C3CCC4(CC3)NC(=O)NC4=O)nc3cc(C)ccc32)cc1,0.5320941193775918,3.097177667872307,[BOS]COc1ccc(-n2c(NC(=O)C3CCC4(CC3)NC(=O)NC4=O)nc3cc(C)ccc32)cc1[EOS],42
