rv,smi,qed,sa,cur_sentence,seed
12.1,CC(C(=O)NCC1OCC2CCN(C(=O)c3[nH]c4ccoc4c3-c3ccccc3)CC21)n1cnnn1,0.42471824831045046,4.323713818763723,[BOS]C[C@@H](C(=O)NC[C@@H]1OC[C@@H]2CCN(C(=O)c3[nH]c4ccoc4c3-c3ccccc3)C[C@@H]21)n1cnnn1[EOS][EOS][EOS][EOS],42
12.9,O=C(NCC1CCN(C(=O)c2ccc3ncoc3c2)C1c1cccnc1)c1ccc2c(c1)CCCC2=O,0.4416018514912766,3.5523597075648707,[BOS]O=C(NC[C@H]1CCN(C(=O)c2ccc3ncoc3c2)[C@H]1c1cccnc1)c1ccc2c(c1)CCCC2=O[EOS],42
13.2,O=C(Cc1n[nH]c(=O)c2ccccc12)NCC1OCC2CCN(C(=O)C3Cc4ccccc4O3)CC21,0.5621404900596079,3.9598131594230637,[BOS]O=C(Cc1n[nH]c(=O)c2ccccc12)NC[C@@H]1OC[C@@H]2CCN(C(=O)[C@@H]3Cc4ccccc4O3)C[C@@H]21[EOS],42
13.1,O=C(Nc1c2c(cc3c1CCC3)CCC2)C(=O)N1Cc2ccccc2C2(C3CC3)C(=O)OCC12,0.5562783771039654,3.961415545582738,[BOS]O=C(Nc1c2c(cc3c1CCC3)CCC2)C(=O)N1Cc2ccccc2C2(C(=O)OCC12)C1CC1[EOS][EOS],42
13.7,O=C1CCCc2cc(C(=O)N3C4CCC3CC(NC(=O)c3[nH]nc5c3CCc3ncccc3-5)C4)ccc21,0.5766932245625371,4.396104521792097,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc2c(c1)CCCC2=O)c1[nH]nc2c1CCc1ncccc1-2[EOS],42
13.7,O=C1CCCc2cc(C(=O)N3CCCCC3c3cc(NC(=O)c4ccoc4C(F)(F)F)n[nH]3)ccc21,0.5145433970484821,3.4048760174867327,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2ccc3c(c2)CCCC3=O)[nH]n1)c1ccoc1C(F)(F)F[EOS],42
13.1,O=C1NCCCn2nc(C(=O)N3CCC4(CN(C(=O)CCc5c[nH]c6ccc(F)cc56)CCO4)C3)cc21,0.5574078255831046,3.98401918998106,[BOS]O=C(CCc1c[nH]c2ccc(F)cc12)N1CCO[C@]2(CCN(C(=O)c3cc4n(n3)CCCNC4=O)C2)C1[EOS],42
12.7,Cc1ccc(C(=O)N2CCC3(CCCN(C(=O)COc4cccc5ccccc45)C3)CC2)cc1C,0.5143895605665498,2.7985047193903316,[BOS]Cc1ccc(C(=O)N2CCC3(CCCN(C(=O)COc4cccc5ccccc45)C3)CC2)cc1C[EOS],42
13.1,O=C1CCc2ccc(C(=O)N3CCC4COC(CNC(=O)c5ncccc5-c5ccccc5)C4C3)cc21,0.5820309968339705,3.673512060817389,[BOS]O=C(NC[C@@H]1OC[C@@H]2CCN(C(=O)c3ccc4c(c3)C(=O)CC4)C[C@@H]21)c1ncccc1-c1ccccc1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
11.9,Cc1nc2cc(F)cc(C(=O)NCC3CCN(C(=O)c4ccc(F)cc4)CC3)c2nc1C,0.672341260745797,2.3878740500882447,[BOS]Cc1nc2cc(F)cc(C(=O)NCC3CCN(C(=O)c4ccc(F)cc4)CC3)c2nc1C[EOS],42
12.6,Cc1c(C(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)CCCC4)CC2)oc2c1ccc1ccccc12,0.41045728211672017,2.4457221359043313,[BOS]Cc1c(C(=O)N2CCN(S(=O)(=O)c3ccc4c(c3)CCCC4)CC2)oc2c1ccc1ccccc12[EOS],42
12.4,Cc1nc(C(=O)N2Cc3ccccc3CC2C(=O)Nc2c(C)n(C)n(C3CCCCC3)c2=O)c(=O)n(C)c1C,0.5555433043366681,3.5051363341042086,[BOS]Cc1c(NC(=O)[C@@H]2Cc3ccccc3CN2C(=O)c2nc(C)c(C)n(C)c2=O)c(=O)n(C2CCCCC2)n1C[EOS][EOS],42
13.6,Cc1ccc(CCC(=O)N2CCOCC3(C2)CN(c2cccc(F)c2)C(=O)CO3)c(-c2ccccc2)c1,0.5192705446235681,3.6343727485720017,[BOS]Cc1ccc(CCC(=O)N2CCOC[C@]3(C2)CN(c2cccc(F)c2)C(=O)CO3)c(-c2ccccc2)c1[EOS],42
14.1,O=C1CN(C(=O)c2nc(-c3cccc(C(F)(F)F)c3)oc2-c2ccc3c(c2)OCO3)C2C(=O)N=CC=C2CN1,0.543257107908884,3.7666975953654696,[BOS]O=C1CN(C(=O)c2nc(-c3cccc(C(F)(F)F)c3)oc2-c2ccc3c(c2)OCO3)C2C(=O)N=CC=C2CN1[EOS],42
12.1,O=C(NCCc1ccc2ccccc2c1)C1CCN(S(=O)(=O)c2ccc3c(c2)CCCC3)CC1,0.570554943416032,2.2222887847307096,[BOS]O=C(NCCc1ccc2ccccc2c1)C1CCN(S(=O)(=O)c2ccc3c(c2)CCCC3)CC1[EOS],42
12.0,O=C(Nc1ccc2ncccc2c1)C1CCN(C2=NS(=O)(=O)c3ccccc32)CC1,0.6880559811750687,2.369924430616175,[BOS]O=C(Nc1ccc2ncccc2c1)C1CCN(C2=NS(=O)(=O)c3ccccc32)CC1[EOS],42
13.1,O=C1OCc2ccc(-c3cccc(C(=O)N4CCCC5C(=O)NCC54)n3)c3cccc1c23,0.6355918171945669,3.5978288891293655,[BOS]O=C1OCc2ccc(-c3cccc(C(=O)N4CCC[C@@H]5C(=O)NC[C@@H]54)n3)c3cccc1c23[EOS],42
13.2,O=C(Nc1cc(C2CCCCN2C(=O)CCc2cnc3c(C(F)(F)F)cccc3c2)[nH]n1)N1CCCCO1,0.47076600173636335,3.5949897788082987,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)CCc2cnc3c(C(F)(F)F)cccc3c2)[nH]n1)N1CCCCO1[EOS],42
14.0,CC1(C(=O)N2CCC3(CC(=O)c4ccccc4O3)C2)CC(=O)c2ccc3c(c2O1)CCCC3,0.665218698188799,4.214825205848347,[BOS]C[C@]1(C(=O)N2CC[C@@]3(CC(=O)c4ccccc4O3)C2)CC(=O)c2ccc3c(c2O1)CCCC3[EOS],42
13.5,O=C(NC1c2ccccc2-c2ccccc21)N1CCN(c2cccc3c2OCCO3)CC1,0.6702740706220518,2.4546182606145592,[BOS]O=C(NC1c2ccccc2-c2ccccc21)N1CCN(c2cccc3c2OCCO3)CC1[EOS],42
13.2,Cc1nc2ccccc2c(=O)n1CC(=O)N1c2ccccc2NC(=O)C2CCCCC21,0.6950751456145138,3.1634467027907283,[BOS]Cc1nc2ccccc2c(=O)n1CC(=O)N1c2ccccc2NC(=O)[C@@H]2CCCC[C@H]21[EOS],42
13.1,O=C1NCCn2nc(C(=O)N3CCCCC3C3CCN(C(=O)c4c[nH]c5cccc(Cl)c45)CC3)cc21,0.5661330126475324,3.3777693519802936,[BOS]O=C1NCCn2nc(C(=O)N3CCCC[C@H]3C3CCN(C(=O)c4c[nH]c5cccc(Cl)c45)CC3)cc21[EOS],42
13.4,CC(C(=O)N1CCOC2(CCN(C(=O)c3ccc4c(c3)CCCC4=O)C2)C1)c1ccc(O)cc1,0.7572958537094542,3.8980896437075874,[BOS]C[C@@H](C(=O)N1CCO[C@@]2(CCN(C(=O)c3ccc4c(c3)CCCC4=O)C2)C1)c1ccc(O)cc1[EOS],42
13.0,O=C(c1cccc(C(F)(F)F)c1)N1CCOC2(COCCN(C(=O)c3[nH]nc4ncccc34)C2)C1,0.5934260604630843,3.874478512320353,[BOS]O=C(c1cccc(C(F)(F)F)c1)N1CCO[C@@]2(COCCN(C(=O)c3[nH]nc4ncccc34)C2)C1[EOS],42
12.7,CC(=O)N1CC(C(=O)N2CCC(c3c[nH]c4ccccc34)CC2)Cc2ccccc21,0.7028981344912547,2.8249983238166987,[BOS]CC(=O)N1C[C@@H](C(=O)N2CCC(c3c[nH]c4ccccc34)CC2)Cc2ccccc21[EOS],42
12.0,O=C(NC(c1ccc2c(c1)CCCC2)c1cccs1)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1,0.4607075328142327,3.1269609294334284,[BOS]O=C(N[C@@H](c1ccc2c(c1)CCCC2)c1cccs1)c1cnc2c(c1)c(=O)[nH]c(=O)n2C1CC1[EOS][EOS],42
12.3,Cc1c(C)c2c(c(C)c1O)CCC(C)(c1nc(-c3ccc(F)c(-n4nnnc4C)c3)no1)O2,0.4978890426410602,3.610759500932862,[BOS]Cc1nnnn1-c1cc(-c2noc([C@@]3(C)CCc4c(C)c(O)c(C)c(C)c4O3)n2)ccc1F[EOS][EOS][EOS][EOS],42
14.6,O=C(c1ccc2ccncc2n1)N1Cc2ccccc2CC1C(=O)N1C2=C(CCCC2)C(O)=NC1C1=CC=CCC1,0.4735245459450017,4.254166770583647,[BOS]O=C(c1ccc2ccncc2n1)N1Cc2ccccc2C[C@@H]1C(=O)N1C2=C(CCCC2)C(O)=NC1C1=CC=CCC1[EOS],42
