rv,smi,qed,sa,cur_sentence,seed
10.3,Cn1nc(C(=O)N2CCCCC2c2cc(NC(=O)c3noc4c3CCCC4)n[nH]2)c2c1CCC2,0.6130592187087298,3.5031652822234935,[BOS]Cn1nc(C(=O)N2CCCC[C@H]2c2cc(NC(=O)c3noc4c3CCCC4)n[nH]2)c2c1CCC2[EOS],42
10.8,Cc1cc(F)cc(-c2nc(N3CCOCC3)cc(N3Cc4c(F)cccc4NC3=O)n2)c1C1CC1F,0.5551413335208889,3.8790431001611143,[BOS]Cc1cc(F)cc(-c2nc(N3CCOCC3)cc(N3Cc4c(F)cccc4NC3=O)n2)c1[C@@H]1C[C@@H]1F[EOS],42
9.7,O=C(c1cc(=O)[nH]cn1)N1CCC2(C1)CN(C(=O)c1ccon1)CCN2C(=O)OCc1ccccc1,0.5714086719036775,4.039044612248766,[BOS]O=C(c1cc(=O)[nH]cn1)N1CC[C@]2(C1)CN(C(=O)c1ccon1)CCN2C(=O)OCc1ccccc1[EOS],42
10.1,O=C1NCCc2c1ccc(NC(=O)C(Oc1ccc(F)c(Cl)c1)c1ccccc1)c2F,0.6034482201023902,2.931090166130147,[BOS]O=C1NCCc2c1ccc(NC(=O)[C@@H](Oc1ccc(F)c(Cl)c1)c1ccccc1)c2F[EOS],42
10.1,O=C(Nc1cc(C2CCCCN2C(=O)c2ncn[nH]2)[nH]n1)C1C2CCCC1c1ccccc1N2,0.4727403933922097,4.860106835730884,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)c2ncn[nH]2)[nH]n1)[C@H]1[C@@H]2CCC[C@H]1c1ccccc1N2[EOS],42
10.1,Clc1cc2c(c(-c3nc(N4CCOCC4)[nH]c(=NC4CCc5nncn5C4)n3)c1)CCCC2,0.6359930761851466,4.042979909096128,[BOS]Clc1cc(-c2nc(N3CCOCC3)[nH]c(=N[C@H]3CCc4nncn4C3)n2)c2c(c1)CCCC2[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.5,O=C(Cn1cncn1)Nc1cc(C2CCCCN2C(=O)c2ccc3c(n2)NC(=O)CC3)[nH]n1,0.5307918591809845,3.4474354624713257,[BOS]O=C1CCc2ccc(C(=O)N3CCCC[C@@H]3c3cc(NC(=O)Cn4cncn4)n[nH]3)nc2N1[EOS],42
11.1,O=C(c1c[nH]c2c(c1=O)Cc1nc(O)ccc1-2)C1CCOC1c1ccc(F)c2cc(F)cc(F)c12,0.37066279610858843,4.26846097491865,[BOS]O=C(c1c[nH]c2c(c1=O)Cc1nc(O)ccc1-2)C1CCOC1c1ccc(F)c2cc(F)cc(F)c12[EOS],42
9.3,Cc1nc(C(=O)N2CCC3OCCCC3(CNC(=O)c3ccc4c(n3)NC(=O)CC4)C2)c(=O)[nH]c1C,0.5769247781702762,4.10256074721994,[BOS]Cc1nc(C(=O)N2CC[C@H]3OCCC[C@@]3(CNC(=O)c3ccc4c(n3)NC(=O)CC4)C2)c(=O)[nH]c1C[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.4,CC(C)n1nc(C(=O)N2CCN(c3nc(N)ns3)CC2)c2ccccc2c1=O,0.70812473872213,2.5956581775740553,[BOS]CC(C)n1nc(C(=O)N2CCN(c3nc(N)ns3)CC2)c2ccccc2c1=O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
9.1,Cc1ccc(Oc2ccccc2CNC(=O)NCC2OCCc3ccccc32)cc1,0.616490247914356,2.6610306001610446,[BOS]Cc1ccc(Oc2ccccc2CNC(=O)NC[C@H]2OCCc3ccccc32)cc1[EOS][EOS][EOS][EOS],42
10.5,CN(C(=O)c1cnc2nn[nH]c2c1)C1CCN(c2cc[nH+]cc2-c2nn[n-]n2)C1,0.4783106105719889,4.942128716422484,[BOS]CN(C(=O)c1cnc2nn[nH]c2c1)[C@@H]1CCN(c2cc[nH+]cc2-c2nn[n-]n2)C1[EOS],42
10.2,O=C(NC(c1cccc(F)c1)c1ccccn1)c1ccc2c(c1)C(=O)NCCO2,0.7167908670779228,2.8529872232098157,[BOS]O=C(N[C@H](c1cccc(F)c1)c1ccccn1)c1ccc2c(c1)C(=O)NCCO2[EOS],42
