rv,smi,qed,sa,cur_sentence,seed
12.5,CN(Cc1ccc2ccccc2c1)C(=O)C1CCN(S(=O)(=O)c2c[nH]c3ncccc23)CC1,0.48912797994365065,2.4459678470175525,[BOS]CN(Cc1ccc2ccccc2c1)C(=O)C1CCN(S(=O)(=O)c2c[nH]c3ncccc23)CC1[EOS],42
12.9,O=C(CCCN1C(=O)c2cccc3cccc(c23)C1=O)NC1c2ccccc2CC12CCOCC2,0.5625038146128449,3.68522110960542,[BOS]O=C(CCCN1C(=O)c2cccc3cccc(c23)C1=O)N[C@H]1c2ccccc2CC12CCOCC2[EOS],42
13.5,O=C(CC1Cc2ccccc2C1)NC1CC2CCC(C1)N2C(=O)c1[nH]nc2c1CCc1ncccc1-2,0.5954910095807612,4.437082006422831,[BOS]O=C(CC1Cc2ccccc2C1)N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1[nH]nc2c1CCc1ncccc1-2[EOS],42
12.6,O=C(Cc1ccc(F)c(C(F)(F)F)c1)N1CCC2(CC1)CCN(C(=O)c1ccccc1)C2,0.6472027918399746,2.848744813315296,[BOS]O=C(Cc1ccc(F)c(C(F)(F)F)c1)N1CCC2(CC1)CCN(C(=O)c1ccccc1)C2[EOS],42
12.8,O=C1CN(CC(=O)N2CCCCC2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)C(=O)N1,0.6635869780374088,3.1756354414009937,[BOS]O=C1CN(CC(=O)N2CCCC[C@@H]2C2CCN(C(=O)c3ccc4c(c3)CCCC4=O)CC2)C(=O)N1[EOS],42
13.4,O=C1CC(C(=O)N2C3CCC2CC(NC(=O)c2ccc4c(c2)CNC4=O)C3)=Cc2ccccc2N1,0.6409601755258699,4.3742568519444625,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=Cc2ccccc2NC(=O)C1)c1ccc2c(c1)CNC2=O[EOS],42
12.9,O=C(NC1CC2CCC(C1)N2C(=O)c1ccc2nccn2c1)C1CCc2[nH]c(=O)[nH]c(=O)c2C1,0.5289069210125321,4.694833304375928,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc2nccn2c1)[C@H]1CCc2[nH]c(=O)[nH]c(=O)c2C1[EOS],42
12.5,O=C(c1cccc(F)c1)N1CCCN(C(=O)C2CC2c2ccc(C(F)(F)F)cc2)CC1,0.6754266756824769,2.9168938759198078,[BOS]O=C(c1cccc(F)c1)N1CCCN(C(=O)[C@@H]2C[C@@H]2c2ccc(C(F)(F)F)cc2)CC1[EOS],42
12.8,Cc1cc2cccc(C(=O)Nc3cc(C4CCCCN4C(=O)C4(F)CCCCC4(F)F)[nH]n3)c2[nH]1,0.45856337562026694,4.046830205687883,[BOS]Cc1cc2cccc(C(=O)Nc3cc([C@@H]4CCCCN4C(=O)[C@]4(F)CCCCC4(F)F)[nH]n3)c2[nH]1[EOS],42
12.1,O=C(NCC1CCN(C(=O)c2ccc(F)nc2)C1c1cccnc1)c1cccc2c1CCCC2,0.5837161188370404,3.401632899657235,[BOS]O=C(NC[C@H]1CCN(C(=O)c2ccc(F)nc2)[C@H]1c1cccnc1)c1cccc2c1CCCC2[EOS],42
13.4,CC1Oc2ccc(C(=O)N3CCC4COC(CNC(=O)c5ccc6n[nH]nc6c5)C4C3)cc2NC1=O,0.5047445643305467,4.053913801857553,[BOS]C[C@H]1Oc2ccc(C(=O)N3CC[C@H]4CO[C@@H](CNC(=O)c5ccc6n[nH]nc6c5)[C@H]4C3)cc2NC1=O[EOS],42
12.9,CN1C(=O)COc2ccc(C(=O)N3CCC(c4c[nH]c5ccc(C(=O)O)cc45)C(F)C3)nc21,0.6312005275830612,3.6835856114863867,[BOS]CN1C(=O)COc2ccc(C(=O)N3CCC(c4c[nH]c5ccc(C(=O)O)cc45)C(F)C3)nc21[EOS],42
13.4,O=C1NCC2CN(c3nnc(Cc4cccc5ccccc45)n3CCc3ccccc3)CCN2C1=O,0.4287843507925879,3.1884642442433293,[BOS]O=C1NC[C@@H]2CN(c3nnc(Cc4cccc5ccccc45)n3CCc3ccccc3)CCN2C1=O[EOS],42
12.3,N#Cc1cc(CC(=O)N2C3CCC2CC(NC(=O)c2cc(C(F)(F)F)nc4ccccc24)C3)ccc1F,0.5132282748738444,4.135207874849294,[BOS]N#Cc1cc(CC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc(C(F)(F)F)nc4ccccc24)C3)ccc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,Cc1ccc(CNC(=O)N2CC(C)OC(c3cccc(C(F)(F)F)c3)C2)c(N2CCCC2)n1,0.7169810375154831,3.3320630308412253,[BOS]Cc1ccc(CNC(=O)N2C[C@H](C)O[C@@H](c3cccc(C(F)(F)F)c3)C2)c(N2CCCC2)n1[EOS],42
12.9,O=C(Nc1cc(C2CCCCN2C(=O)C2=CCCC2)[nH]n1)C1CCc2[nH]c(=O)[nH]c(=O)c2C1,0.5580870763938971,3.9164223778439675,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)C2=CCCC2)[nH]n1)[C@H]1CCc2[nH]c(=O)[nH]c(=O)c2C1[EOS],42
12.8,Cc1cc2nc(C(=O)N3CCCCC3c3cc(NC(=O)C4CCC(=O)NC4)n[nH]3)[nH]c2cc1C,0.47169635085773287,3.6864531865867995,[BOS]Cc1cc2nc(C(=O)N3CCCC[C@H]3c3cc(NC(=O)[C@@H]4CCC(=O)NC4)n[nH]3)[nH]c2cc1C[EOS],42
12.6,Cc1ccc(C)c(C(=O)NCC2OCC3CCN(C(=O)Cc4ccc5ccccc5c4)CC32)c1,0.6230897533780758,3.4292413943873212,[BOS]Cc1ccc(C)c(C(=O)NC[C@@H]2OC[C@@H]3CCN(C(=O)Cc4ccc5ccccc5c4)C[C@@H]32)c1[EOS],42
13.3,O=C(NC1CC2CCC(C1)N2C(=O)C1CCCC2CCCCC21)c1cc(=O)c2ccccc2o1,0.7200377207551073,4.592536029559063,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1CCC[C@H]2CCCC[C@H]21)c1cc(=O)c2ccccc2o1[EOS],42
12.9,Cn1c(=O)c(C(=O)NC2CC3CCC(C2)N3C(=O)c2[nH]nc3c2CCc2ncccc2-3)nc2ccccc21,0.43683869081189813,4.455936504432183,[BOS]Cn1c(=O)c(C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3C(=O)c2[nH]nc3c2CCc2ncccc2-3)nc2ccccc21[EOS][EOS][EOS][EOS][EOS],42
13.2,Cc1cc(F)c(F)c(C(=O)Nc2cc(C3CCCCN3C(=O)C3CC34C(=O)Nc3ccccc34)[nH]n2)c1,0.4937751038976986,4.325868355179971,[BOS]Cc1cc(F)c(F)c(C(=O)Nc2cc([C@@H]3CCCCN3C(=O)[C@@H]3C[C@@]34C(=O)Nc3ccccc34)[nH]n2)c1[EOS],42
12.7,Cc1ccc(O)c(C(=O)N2CCOC3(COCCN(C(=O)CC4OCCc5ccccc54)C3)C2)c1,0.7263348692081776,4.0456394041430705,[BOS]Cc1ccc(O)c(C(=O)N2CCO[C@@]3(COCCN(C(=O)C[C@H]4OCCc5ccccc54)C3)C2)c1[EOS],42
13.1,O=C(Nc1cc(C2CCCCN2C(=O)c2cccc3occc23)[nH]n1)C1COc2ccccc2O1,0.45830994147307896,3.4775397582712193,[BOS]O=C(Nc1cc([C@@H]2CCCCN2C(=O)c2cccc3occc23)[nH]n1)[C@@H]1COc2ccccc2O1[EOS],42
14.0,O=C1CCCc2cc(C(=O)N3CCC4(CN(C(=O)CC5CNc6ccccc6O5)CCO4)C3)ccc21,0.7135044596679633,4.102762577027468,[BOS]O=C(C[C@@H]1CNc2ccccc2O1)N1CCO[C@@]2(CCN(C(=O)c3ccc4c(c3)CCCC4=O)C2)C1[EOS],42
12.2,Cc1cccc2c(C3N=C4C(=O)N(c5cccc(Cl)c5Cl)C(=O)C4N3)c(C)n(C)c12,0.6097637359909076,3.939108466983951,[BOS]Cc1cccc2c([C@H]3N[C@@H]4C(=O)N(c5cccc(Cl)c5Cl)C(=O)C4=N3)c(C)n(C)c12[EOS][EOS][EOS][EOS][EOS][EOS],42
13.3,O=C(c1ccc2n[nH]c(C(F)(F)F)c2c1)N1CCCCC1C1CCN(C(=O)C2(F)C=CCCC2)CC1,0.45601614680119057,3.975814140885097,[BOS]O=C(c1ccc2n[nH]c(C(F)(F)F)c2c1)N1CCCC[C@@H]1C1CCN(C(=O)[C@]2(F)CCCC=C2)CC1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
