rv,smi,qed,sa,cur_sentence,seed
12.5,O=C(c1ccc2c(=O)n3c(nc2c1)CCCCC3)N1CCCc2ccccc2CC1,0.6239753528119265,2.260641690080849,[BOS]O=C(c1ccc2c(=O)n3c(nc2c1)CCCCC3)N1CCCc2ccccc2CC1[EOS],42
12.8,Cc1nn(-c2cccc(F)c2)cc1C1Oc2ccccc2C2CC(c3c(O)[nH]c(=O)[nH]c3=O)=NN21,0.4188281447411298,3.8136056462473213,[BOS]Cc1nn(-c2cccc(F)c2)cc1[C@H]1Oc2ccccc2[C@@H]2CC(c3c(O)[nH]c(=O)[nH]c3=O)=NN21[EOS],42
12.7,Cc1ccc(CC(=O)N2CCCC3(CCN(C(=O)C4C5CCCC4c4ccccc4N5)CC3)C2)cc1C,0.6106053079882401,4.862998707047124,[BOS]Cc1ccc(CC(=O)N2CCCC3(CCN(C(=O)[C@@H]4[C@@H]5CCC[C@H]4c4ccccc4N5)CC3)C2)cc1C[EOS],42
14.1,O=C1NC2(CCc3ccccc32)C(=O)N1CC(=O)N1c2ccccc2CCC1CN1CCCc2cc(F)ccc21,0.5025835416277545,3.9977490684424257,[BOS]O=C1N[C@]2(CCc3ccccc32)C(=O)N1CC(=O)N1c2ccccc2CC[C@H]1CN1CCCc2cc(F)ccc21[EOS],42
13.5,O=C(CC1C(=O)Nc2c(F)cc(C3C4=C(CC5CC53)N=NC4=O)cc21)NC1CCCc2ccccc21,0.651048951778305,4.659088574491542,[BOS]O=C(C[C@@H]1C(=O)Nc2c(F)cc([C@H]3C4=C(C[C@@H]5C[C@H]53)N=NC4=O)cc21)N[C@H]1CCCc2ccccc21[EOS],42
12.6,Cc1nc2ccccc2nc1-c1nc(N=c2cc(C)n(C3CCNC3(C)C)[nH]2)c2nccnc2n1,0.4180988780443764,4.238634955490864,[BOS]Cc1cc(=Nc2nc(-c3nc4ccccc4nc3C)nc3nccnc23)[nH]n1C1CCNC1(C)C[EOS],42
13.7,O=C1NC(CC(=O)N2CCC3(CC(c4ccccc4)c4ccccc43)C2)c2ccccc21,0.6723790424963304,3.9782894494256995,[BOS]O=C1N[C@H](CC(=O)N2CC[C@]3(C2)C[C@H](c2ccccc2)c2ccccc23)c2ccccc21[EOS],42
12.2,CN1CC(C(=O)NC2CCCc3c(F)cc(F)cc32)C(=O)c2cc(F)cc3c2C1OC3(C)C,0.6819882433616525,4.263230281066086,[BOS]CN1C[C@H](C(=O)N[C@@H]2CCCc3c(F)cc(F)cc32)C(=O)c2cc(F)cc3c2[C@H]1OC3(C)C[EOS],42
12.0,Cc1ncccc1CCC(=O)Nc1cc(C2CCCCN2C(=O)C2CC23C(=O)Nc2ccccc23)[nH]n1,0.4792481005053259,4.325189838182949,[BOS]Cc1ncccc1CCC(=O)Nc1cc([C@@H]2CCCCN2C(=O)[C@@H]2C[C@@]23C(=O)Nc2ccccc23)[nH]n1[EOS],42
12.4,Cc1cc(C)cc(-n2nc(NC(=O)NCc3ccc(N4CCCCC=C(O)C4)nc3)c3c2CCC3)c1,0.4649049074881891,3.0078690917118225,[BOS]Cc1cc(C)cc(-n2nc(NC(=O)NCc3ccc(N4CCCCC=C(O)C4)nc3)c3c2CCC3)c1[EOS],42
13.6,O=C1CC(C(=O)Oc2cccc(C(=O)N3CCCc4ccccc43)c2)c2sc(N3CCCC3)nc2N1,0.4209089106628118,3.275832927635408,[BOS]O=C1C[C@H](C(=O)Oc2cccc(C(=O)N3CCCc4ccccc43)c2)c2sc(N3CCCC3)nc2N1[EOS],42
12.5,O=C(c1ccc(O)cc1)N1CCC(C2CCCCN2C(=O)c2cc(=O)[nH]c3ccccc23)CC1,0.6233668785708779,2.809728590343944,[BOS]O=C(c1ccc(O)cc1)N1CCC([C@@H]2CCCCN2C(=O)c2cc(=O)[nH]c3ccccc23)CC1[EOS],42
13.0,O=C(NCC1(c2ccccc2)CCCCC1)C1CCC(=O)N(CCc2ccc3c(c2)CCCC3)C(=O)C1,0.5261119000360097,3.084861554000594,[BOS]O=C1CC[C@H](C(=O)NCC2(c3ccccc3)CCCCC2)CC(=O)N1CCc1ccc2c(c1)CCCC2[EOS],42
12.5,O=C(NCC1C2Cc3ccccc3C12)N1CC(c2ccccc2)C2CCCCC21,0.7960916224548459,3.956435552954204,[BOS]O=C(NC[C@@H]1[C@@H]2Cc3ccccc3[C@H]12)N1C[C@H](c2ccccc2)[C@@H]2CCCC[C@@H]21[EOS],42
13.4,CC(C(=O)N1CCCC(N(C)S(=O)(=O)c2ccc(F)cc2)C1)c1ccc(N2Cc3ccccc3C2=O)cc1,0.4688718692018271,3.2699357775195113,[BOS]C[C@H](C(=O)N1CCC[C@@H](N(C)S(=O)(=O)c2ccc(F)cc2)C1)c1ccc(N2Cc3ccccc3C2=O)cc1[EOS],42
13.0,O=C1CC(c2cc(N3CCCCCCC3=O)cn3ncnc23)Oc2c1ccc1c2CC(C2CC2)NC1,0.5994554706930024,4.063788297316901,[BOS]O=C1C[C@@H](c2cc(N3CCCCCCC3=O)cn3ncnc23)Oc2c1ccc1c2CC(C2CC2)NC1[EOS],42
13.8,O=c1c2ccccc2c(-c2nc(C3CCCCC3)nc(N3CCc4c[nH]nc4C3)n2)nn1C1CCCCC1,0.40771627781255654,3.2339463140617726,[BOS]O=c1c2ccccc2c(-c2nc(C3CCCCC3)nc(N3CCc4c[nH]nc4C3)n2)nn1C1CCCCC1[EOS],42
12.9,Nc1ncnc2c1c(CCc1cccc(C3CCc4nncn4CC3)c1)cn2C(=O)C1CCNCC1,0.44688743037355705,3.646404882850006,[BOS]Nc1ncnc2c1c(CCc1cccc([C@H]3CCc4nncn4CC3)c1)cn2C(=O)C1CCNCC1[EOS],42
12.3,O=C(Nc1cc2c([nH]c1=O)CC(F)(F)C21C2CC3C(CCC3(F)F)C21)c1cc(F)c(O)cc1F,0.5547585543122548,5.306296564617991,[BOS]O=C(Nc1cc2c([nH]c1=O)CC(F)(F)C12[C@@H]2[C@H]3CCC(F)(F)[C@@H]3C[C@H]12)c1cc(F)c(O)cc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,Oc1cc(C2NCCC3=c4cc(-c5ccc(F)c(F)c5)cc(Br)c4=NC32)cc2c1CCCC2,0.5183577214595121,4.040065616710365,[BOS]Oc1cc([C@H]2NCCC3=c4cc(-c5ccc(F)c(F)c5)cc(Br)c4=N[C@H]32)cc2c1CCCC2[EOS][EOS][EOS][EOS][EOS],42
