rv,smi,cur_sentence,elapsed_time,seed
11.8,O=C(CCCc1ccc2ccccc2c1)Nc1cccc(C(=O)N2CCCC(O)C2)c1,[BOS]O=C(CCCc1ccc2ccccc2c1)Nc1cccc(C(=O)N2CCC[C@@H](O)C2)c1[EOS],5528.80148100853,42
11.1,Cc1cc(NC(=O)NCc2ccc(OCC3CCOCC3)cc2)ccc1OC1CCOCC1,[BOS]Cc1cc(NC(=O)NCc2ccc(OCC3CCOCC3)cc2)ccc1OC1CCOCC1[EOS],10193.62143611908,42
11.0,Cc1csc(-c2cccc(NC(=O)NC3CCOC(c4cccnc4)C3)c2)n1,[BOS]Cc1csc(-c2cccc(NC(=O)N[C@H]3CCO[C@H](c4cccnc4)C3)c2)n1[EOS],14714.047598838806,42
11.1,O=c1ccc(-c2nccc(N3Cc4ccccc4C3)n2)cn1Cc1cccc(F)c1,[BOS]O=c1ccc(-c2nccc(N3Cc4ccccc4C3)n2)cn1Cc1cccc(F)c1[EOS],19316.951929807663,42
12.0,O=C(NCc1ccc2c(n1)CCCC2)C(=O)Nc1cc(-c2cc(F)cc(F)c2)[nH]n1,[BOS]O=C(NCc1ccc2c(n1)CCCC2)C(=O)Nc1cc(-c2cc(F)cc(F)c2)[nH]n1[EOS],24240.38788461685,42
12.1,CC(Nc1cccc(-c2nnc3n2CCCCC3)c1)C(=O)NC(=O)Nc1ccc2c(c1)OCCO2,[BOS]C[C@@H](Nc1cccc(-c2nnc3n2CCCCC3)c1)C(=O)NC(=O)Nc1ccc2c(c1)OCCO2[EOS],29689.184580802917,42
12.6,O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)C(=O)NC1CCOc2ccc(F)cc21,[BOS]O=C(Nc1cccc(-c2nnc3n2CCCCC3)c1)C(=O)N[C@@H]1CCOc2ccc(F)cc21[EOS],34629.93926644325,42
12.0,O=C(NCc1cccc(N2CCCC2=O)c1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[BOS]O=C(NCc1cccc(N2CCCC2=O)c1)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1[EOS],39728.72478413582,42
12.2,Cc1ccc(F)c(-c2cc(NC(=O)c3ccc(=O)n(-c4cccc(F)c4)c3)n[nH]2)c1,[BOS]Cc1ccc(F)c(-c2cc(NC(=O)c3ccc(=O)n(-c4cccc(F)c4)c3)n[nH]2)c1[EOS],43882.350277900696,42
11.8,Cc1ccc(C(=O)c2ccccc2C(=O)NCC2CC(c3ccc4c(c3)CCO4)=NO2)cc1C,[BOS]Cc1ccc(C(=O)c2ccccc2C(=O)NC[C@H]2CC(c3ccc4c(c3)CCO4)=NO2)cc1C[EOS],49255.41095137596,42
10.9,CNC(=O)c1cccc(CCNC(=O)Nc2ccc(Cl)c(S(=O)(=O)N3CCCCC3)c2)c1,[BOS]CNC(=O)c1cccc(CCNC(=O)Nc2ccc(Cl)c(S(=O)(=O)N3CCCCC3)c2)c1[EOS],54436.83901119232,42
11.5,COC(=O)C(C)c1ccc(NC(=O)C2CC(=O)N(c3ccc4c(c3)CCC4)C2)cc1,[BOS]COC(=O)[C@@H](C)c1ccc(NC(=O)[C@H]2CC(=O)N(c3ccc4c(c3)CCC4)C2)cc1[EOS],59084.871425151825,42
12.1,O=C(NC1CCCC(c2ccccc2)C1)c1ccc2c(c1)C(=O)N(c1ccccc1Cl)C2=O,[BOS]O=C(N[C@H]1CCC[C@@H](c2ccccc2)C1)c1ccc2c(c1)C(=O)N(c1ccccc1Cl)C2=O[EOS],63581.65523028374,42
11.6,Cc1ccc(C(F)(F)F)cc1NC(=O)CNC(=O)Cc1cccc2ccccc12,[BOS]Cc1ccc(C(F)(F)F)cc1NC(=O)CNC(=O)Cc1cccc2ccccc12[EOS],68478.10927987099,42
11.2,CC(O)(CNC(=O)Nc1ncc(Oc2ccccc2)cn1)c1ccc(F)cc1F,[BOS]C[C@@](O)(CNC(=O)Nc1ncc(Oc2ccccc2)cn1)c1ccc(F)cc1F[EOS],73199.32721018791,42
11.8,O=C(NCCN1CCc2ccccc2C1=O)C(=O)Nc1ccc2c(c1)C(=O)CCCC2,[BOS]O=C(NCCN1CCc2ccccc2C1=O)C(=O)Nc1ccc2c(c1)C(=O)CCCC2[EOS],78421.7289557457,42
10.8,Cc1ccc(C(C)CNC(=O)C(=O)Nc2ccc(-c3ccccc3)c(C)n2)cc1,[BOS]Cc1ccc([C@H](C)CNC(=O)C(=O)Nc2ccc(-c3ccccc3)c(C)n2)cc1[EOS],83478.18359589577,42
11.0,CC1CN(c2ccc(NC(=O)NCCc3ccc4ccccc4c3)cn2)CC(C)O1,[BOS]C[C@H]1CN(c2ccc(NC(=O)NCCc3ccc4ccccc4c3)cn2)C[C@H](C)O1[EOS],88103.98185157776,42
11.7,Cc1cc(NC(=O)NC2CCN(c3cccc(Cl)c3)C2)cnc1N1CCCCC1C,[BOS]Cc1cc(NC(=O)N[C@H]2CCN(c3cccc(Cl)c3)C2)cnc1N1CCCC[C@H]1C[EOS],92615.60918474197,42
11.0,O=C(NCC(=O)N1CCN(c2ccccc2)CC1)NCC1CCc2ccccc2C1,[BOS]O=C(NCC(=O)N1CCN(c2ccccc2)CC1)NC[C@H]1CCc2ccccc2C1[EOS],97494.37510895729,42
11.5,O=C(NCc1nc(-c2ccc(Cl)cc2)no1)C(=O)Nc1cc(F)cc(N2CCOCC2)c1,[BOS]O=C(NCc1nc(-c2ccc(Cl)cc2)no1)C(=O)Nc1cc(F)cc(N2CCOCC2)c1[EOS],102247.48618984222,42
11.2,Cc1cc(F)cc(NC(=O)c2nn(-c3ccccc3)c3c2CCCCC3)c1,[BOS]Cc1cc(F)cc(NC(=O)c2nn(-c3ccccc3)c3c2CCCCC3)c1[EOS],106325.04434919357,42
12.2,Cn1cc(C(=O)Nc2cc(-c3nnc4n3CCCCC4)ccc2F)c2ccccc2c1=O,[BOS]Cn1cc(C(=O)Nc2cc(-c3nnc4n3CCCCC4)ccc2F)c2ccccc2c1=O[EOS],110974.8856472969,42
12.2,O=C(Nc1ccc(C(=O)N2CCCC2)cc1)NC1CCCC(c2nc3ccccc3[nH]2)C1,[BOS]O=C(Nc1ccc(C(=O)N2CCCC2)cc1)N[C@@H]1CCC[C@@H](c2nc3ccccc3[nH]2)C1[EOS],115287.49514698982,42
11.8,Cc1ccc(C2=NOC(CNC(=O)c3ccc(N4CCCC4)c(F)c3)C2)cc1C,[BOS]Cc1ccc(C2=NO[C@H](CNC(=O)c3ccc(N4CCCC4)c(F)c3)C2)cc1C[EOS],4754.658110141754,42
11.6,COc1ccc(C2=NOC(CNC(=O)Nc3ccc4c(c3)C=CCCC4)C2)cc1F,[BOS]COc1ccc(C2=NO[C@@H](CNC(=O)Nc3ccc4c(c3)C=CCCC4)C2)cc1F[EOS],9840.927815675735,42
11.4,NS(=O)(=O)c1ccc(NCC(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)c(F)c1,[BOS]NS(=O)(=O)c1ccc(NCC(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)c(F)c1[EOS],15240.48148727417,42
11.7,CCc1ccc2c(c1)CCN(C(=O)Nc1cc(-c3cccc(F)c3)on1)C2,[BOS]CCc1ccc2c(c1)CCN(C(=O)Nc1cc(-c3cccc(F)c3)on1)C2[EOS],19171.73504590988,42
10.9,Cc1nc(NC(=O)NC2CCOC(c3ccccc3)C2)sc1Cc1ccc(F)cc1F,[BOS]Cc1nc(NC(=O)N[C@H]2CCO[C@H](c3ccccc3)C2)sc1Cc1ccc(F)cc1F[EOS][EOS][EOS][EOS][EOS][EOS][EOS],23321.417012929916,42
11.4,C=C1c2ccccc2C(=O)N1CC(=O)Nc1ccc(C(=O)N2CCCCC2C)c(Cl)c1,[BOS]C=C1c2ccccc2C(=O)N1CC(=O)Nc1ccc(C(=O)N2CCCC[C@H]2C)c(Cl)c1[EOS],28160.713332891464,42
12.2,O=C(NCC(=O)N1CCC(Cc2ccccc2)CC1)NCC1CCCc2ccccc21,[BOS]O=C(NCC(=O)N1CCC(Cc2ccccc2)CC1)NC[C@H]1CCCc2ccccc21[EOS],33624.478202581406,42
13.1,Cc1cccc(-c2cccc(CNC(=O)C(=O)Nc3ccc4c(c3)C(C)CC(=O)N4C)c2)c1,[BOS]Cc1cccc(-c2cccc(CNC(=O)C(=O)Nc3ccc4c(c3)[C@H](C)CC(=O)N4C)c2)c1[EOS],38578.78634929657,42
11.6,O=C(NC1CC2CCC(C1)N2C(=O)c1n[nH]c2c1CCCC2)c1cccc(Cc2cccc(F)c2)c1,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1n[nH]c2c1CCCC2)c1cccc(Cc2cccc(F)c2)c1[EOS][EOS][EOS],43598.20866012573,42
12.4,Cc1ccc(-c2nc(CCNC(=O)c3ccc4c(c3)C(C)(C)CCC4=O)co2)cc1,[BOS]Cc1ccc(-c2nc(CCNC(=O)c3ccc4c(c3)C(C)(C)CCC4=O)co2)cc1[EOS],48747.020830631256,42
11.0,O=C(CCNC(=O)N(Cc1ccc2ccccc2c1)C1CC1)N1CCN(c2ncccn2)CC1,[BOS]O=C(CCNC(=O)N(Cc1ccc2ccccc2c1)C1CC1)N1CCN(c2ncccn2)CC1[EOS],54130.45284628868,42
12.1,O=C(NC1CCC(c2ccc(F)cc2)C1)c1ccc2c(=O)n3c(nc2c1)CCCCC3,[BOS]O=C(N[C@H]1CC[C@H](c2ccc(F)cc2)C1)c1ccc2c(=O)n3c(nc2c1)CCCCC3[EOS],58475.39223408699,42
12.3,CC(=O)Nc1cccc(NC(=O)NCc2ccc(-c3ccc4c(c3)CC(C)O4)cc2)c1C,[BOS]CC(=O)Nc1cccc(NC(=O)NCc2ccc(-c3ccc4c(c3)C[C@@H](C)O4)cc2)c1C[EOS],63209.72939491272,42
11.2,COC1CCOc2c(NC(=O)NCC3CCN(c4ccc(F)c(F)c4)C3)cccc21,[BOS]CO[C@@H]1CCOc2c(NC(=O)NC[C@@H]3CCN(c4ccc(F)c(F)c4)C3)cccc21[EOS],68209.20481204987,42
11.9,COc1cc(NC(=O)C(=O)N2CCC(Cc3cccc(F)c3)CC2)cc2cccnc12,[BOS]COc1cc(NC(=O)C(=O)N2CCC(Cc3cccc(F)c3)CC2)cc2cccnc12[EOS],73133.94923639297,42
11.2,O=C1CCC(C(=O)N2CCC(CNC(=O)c3nnc(-c4ccccc4)o3)C2c2cccnc2)CN1,[BOS]O=C1CC[C@@H](C(=O)N2CC[C@@H](CNC(=O)c3nnc(-c4ccccc4)o3)[C@@H]2c2cccnc2)CN1[EOS][EOS][EOS][EOS],78658.50825500488,42
11.6,O=C(NCc1ccc2c(c1)CCO2)NC1CCN(c2ccc(C(F)(F)F)cc2)C1=O,[BOS]O=C(NCc1ccc2c(c1)CCO2)N[C@H]1CCN(c2ccc(C(F)(F)F)cc2)C1=O[EOS],83542.39928984642,42
11.5,Cc1ccc(CCC(=O)N2CCC(OC3CCN(C(=O)c4ncon4)CC3)CC2)c2ccccc12,[BOS]Cc1ccc(CCC(=O)N2CCC(OC3CCN(C(=O)c4ncon4)CC3)CC2)c2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS],88894.7041015625,42
11.4,O=C(NCCc1cccc(F)c1F)NC1CC(=O)N(c2cccc(C(F)(F)F)c2)C1,[BOS]O=C(NCCc1cccc(F)c1F)N[C@@H]1CC(=O)N(c2cccc(C(F)(F)F)c2)C1[EOS],93956.91811704636,42
10.9,CC1CC(C)CC(C(=O)NCCc2cccc(-c3ccccc3)c2)C1,[BOS]C[C@H]1CC(C(=O)NCCc2cccc(-c3ccccc3)c2)C[C@H](C)C1[EOS],98380.67258834839,42
12.5,NC(=O)c1cc(NC(=O)c2cncc(-c3ccc4c(c3)CCO4)c2)nc2ccccc12,[BOS]NC(=O)c1cc(NC(=O)c2cncc(-c3ccc4c(c3)CCO4)c2)nc2ccccc12[EOS],102560.76648068428,42
11.0,Cc1ccc(CCC(=O)N2C3CCC2CC(NC(=O)C2CCc4nc[nH]c4C2)C3)c2ccccc12,[BOS]Cc1ccc(CCC(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)[C@H]2CCc4nc[nH]c4C2)C3)c2ccccc12[EOS],108188.57987141609,42
12.5,Cn1nc(-c2ccc(F)cc2F)cc1NC(=O)NCC1(Cc2ccccc2)CCCC1,[BOS]Cn1nc(-c2ccc(F)cc2F)cc1NC(=O)NCC1(Cc2ccccc2)CCCC1[EOS],113193.05147385597,42
12.6,O=C(Nc1cccc(Cn2cccnc2=O)c1)C(=O)N1CCC(c2ccc(F)c(F)c2)CC1,[BOS]O=C(Nc1cccc(Cn2cccnc2=O)c1)C(=O)N1CCC(c2ccc(F)c(F)c2)CC1[EOS],117728.97155976295,42
