rv,smi,cur_sentence,elapsed_time,seed
9.3,Cc1cnoc1C(=O)N1CCCCC1c1cc(NC(=O)C2C3CN(C(=O)OC(C)(C)C)CC32)n[nH]1,[BOS]Cc1cnoc1C(=O)N1CCCC[C@@H]1c1cc(NC(=O)[C@H]2[C@@H]3CN(C(=O)OC(C)(C)C)C[C@@H]32)n[nH]1[EOS],4269.04169344902,42
10.3,O=C(c1n[nH]c2ccccc12)N1CCC2(CCCN(C(=O)C3(c4cccc(F)c4)CC3)C2)CC1,[BOS]O=C(c1n[nH]c2ccccc12)N1CCC2(CCCN(C(=O)C3(c4cccc(F)c4)CC3)C2)CC1[EOS],8597.564952373505,42
10.4,CC1Oc2ccc(NC(=O)C3CCN(C(=O)OCC4c5ccccc5-c5ccccc54)CC3)cc2NC1=O,[BOS]C[C@@H]1Oc2ccc(NC(=O)C3CCN(C(=O)OCC4c5ccccc5-c5ccccc54)CC3)cc2NC1=O[EOS],13982.41029715538,42
11.0,O=C(NCc1ccc(N2CCc3ccccc3C2)nc1)NC1c2ccccc2CC12CCOCC2,[BOS]O=C(NCc1ccc(N2CCc3ccccc3C2)nc1)N[C@@H]1c2ccccc2CC12CCOCC2[EOS],18455.06334257126,42
10.2,O=C(NCC1CC(c2ccc3c(c2)CCO3)=NO1)N1CC=C(c2cccc(C(F)(F)F)c2)CC1,[BOS]O=C(NC[C@H]1CC(c2ccc3c(c2)CCO3)=NO1)N1CC=C(c2cccc(C(F)(F)F)c2)CC1[EOS],23062.96887278557,42
10.8,O=C(CC1OCCc2ccccc21)N1CCCCC1c1cc(NC(=O)C2(F)CCCC=C2F)n[nH]1,[BOS]O=C(C[C@@H]1OCCc2ccccc21)N1CCCC[C@@H]1c1cc(NC(=O)[C@@]2(F)CCCC=C2F)n[nH]1[EOS],27997.523678779602,42
9.9,CC(C(=O)N1CCOCC2(CN(C(=O)CCc3cnc4ccccc4c3)CCO2)C1)c1ccc(O)cc1,[BOS]C[C@H](C(=O)N1CCOC[C@@]2(CN(C(=O)CCc3cnc4ccccc4c3)CCO2)C1)c1ccc(O)cc1[EOS],32785.443368673325,42
9.0,O=C1CN(CC(=O)N2CCCCC2c2cc(NC(=O)C3=NOC(c4ccccc4)C3)n[nH]2)C(=O)N1,[BOS]O=C1CN(CC(=O)N2CCCC[C@@H]2c2cc(NC(=O)C3=NO[C@H](c4ccccc4)C3)n[nH]2)C(=O)N1[EOS],37094.315177202225,42
9.8,CC(NC(=O)NC1CC=C(c2ccc(F)cc2)CC1)c1ccc2c(c1)CCC(=O)N2,[BOS]C[C@@H](NC(=O)N[C@H]1CC=C(c2ccc(F)cc2)CC1)c1ccc2c(c1)CCC(=O)N2[EOS],41406.750087976456,42
9.6,O=C(c1ccc(CNC(=O)N2CCCC2c2cccc3ccccc23)cc1)N1CCOCC1,[BOS]O=C(c1ccc(CNC(=O)N2CCC[C@@H]2c2cccc3ccccc23)cc1)N1CCOCC1[EOS],46002.72058343887,42
9.8,Cc1nc(NC(=O)C(=O)NC2CCCCC2c2ccccc2)ccc1-c1ccccc1,[BOS]Cc1nc(NC(=O)C(=O)N[C@@H]2CCCC[C@H]2c2ccccc2)ccc1-c1ccccc1[EOS],49945.41336607933,42
