rv,smi,cur_sentence,elapsed_time,seed
12.0,O=C(c1cc(F)c2ccccc2c1)N1CC2CCCCN2c2ccccc21,[BOS]O=C(c1cc(F)c2ccccc2c1)N1C[C@H]2CCCCN2c2ccccc21[EOS],4400.241081953049,42
13.0,O=C(NCC1(O)CCc2ccccc21)C(=O)Nc1cccc(C(=O)N2CCc3ccccc32)c1,[BOS]O=C(NC[C@]1(O)CCc2ccccc21)C(=O)Nc1cccc(C(=O)N2CCc3ccccc32)c1[EOS],10117.834451913834,42
11.8,Cc1cc(NC(=O)NCC2CCN(c3ccc(F)c(F)c3)C2)ccc1OC1CCOCC1,[BOS]Cc1cc(NC(=O)NC[C@@H]2CCN(c3ccc(F)c(F)c3)C2)ccc1OC1CCOCC1[EOS],15306.438929796219,42
11.9,O=C(Nc1ccnn1Cc1cccc2ccccc12)c1ccc2c(c1)CCCCC2=O,[BOS]O=C(Nc1ccnn1Cc1cccc2ccccc12)c1ccc2c(c1)CCCCC2=O[EOS],20501.0623960495,42
10.8,Cc1nnnn1-c1cccc(NC(=O)c2ccc(OCC(=O)N3C(C)CCCC3C)cc2)c1,[BOS]Cc1nnnn1-c1cccc(NC(=O)c2ccc(OCC(=O)N3[C@H](C)CCC[C@@H]3C)cc2)c1[EOS],25380.44225692749,42
10.9,O=C(Nc1cccc(Oc2ccccn2)c1)C(=O)N1CCC(=Cc2cccc(F)c2)CC1,[BOS]O=C(Nc1cccc(Oc2ccccn2)c1)C(=O)N1CCC(=Cc2cccc(F)c2)CC1[EOS][EOS],30497.07807826996,42
12.4,O=C(NCc1ccc(C2CCCCC2)cc1)C(=O)Nc1cc(-c2cc(F)cc(F)c2)[nH]n1,[BOS]O=C(NCc1ccc(C2CCCCC2)cc1)C(=O)Nc1cc(-c2cc(F)cc(F)c2)[nH]n1[EOS],35647.011482954025,42
11.5,Cc1cccc(-c2cncc(C(=O)NCC3CCc4ccccc4C3)c2)c1,[BOS]Cc1cccc(-c2cncc(C(=O)NC[C@H]3CCc4ccccc4C3)c2)c1[EOS],40463.364106178284,42
11.7,Cc1nn(-c2ccccc2)cc1CCCNC(=O)NC1CCCOc2cc(F)ccc21,[BOS]Cc1nn(-c2ccccc2)cc1CCCNC(=O)N[C@H]1CCCOc2cc(F)ccc21[EOS],46035.028391838074,42
11.2,O=C(Cc1cccc(OCc2ccc(Cl)cc2)c1)NC1c2ccccc2CC12CCOCC2,[BOS]O=C(Cc1cccc(OCc2ccc(Cl)cc2)c1)N[C@H]1c2ccccc2CC12CCOCC2[EOS],51665.1418159008,42
12.1,O=C(Nc1ccnc(-c2ccccc2)c1)NC1CCc2ccc(Cl)cc21,[BOS]O=C(Nc1ccnc(-c2ccccc2)c1)N[C@@H]1CCc2ccc(Cl)cc21[EOS],56000.72135305405,42
11.4,Cc1ccc(C2=NOC(CNC(=O)CCc3nc(-c4ccc(C)c(F)c4)no3)C2)cc1C,[BOS]Cc1ccc(-c2noc(CCC(=O)NC[C@H]3CC(c4ccc(C)c(C)c4)=NO3)n2)cc1F[EOS],61751.802750349045,42
14.5,O=C(NCC1C2Cc3ccccc3C12)Nc1cccc(C(=O)N2CCc3ccccc32)c1,[BOS]O=C(NC[C@@H]1[C@H]2Cc3ccccc3[C@H]12)Nc1cccc(C(=O)N2CCc3ccccc32)c1[EOS],66947.67954182625,42
11.3,O=C(NCC1OCCc2ccccc21)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[BOS]O=C(NC[C@H]1OCCc2ccccc21)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1[EOS],71986.172352314,42
10.7,O=C(Nc1ccc2c(c1)C(=O)N(CC1CCCO1)C2=O)C(=O)NC1(Cc2ccc(F)cc2)CC1,[BOS]O=C(Nc1ccc2c(c1)C(=O)N(C[C@@H]1CCCO1)C2=O)C(=O)NC1(Cc2ccc(F)cc2)CC1[EOS],76555.90299153328,42
13.2,O=C1COc2ccc(C(=O)N3CCCCC3c3cc(NC(=O)C4(c5ccc(F)cc5)CC4)n[nH]3)cc2N1,[BOS]O=C1COc2ccc(C(=O)N3CCCC[C@@H]3c3cc(NC(=O)C4(c5ccc(F)cc5)CC4)n[nH]3)cc2N1[EOS],82052.16015052795,42
12.4,O=C(Nc1ccc2c(c1)CCCC2=O)C(=O)NC1CCN(c2ccc(C(F)(F)F)cc2)C1=O,[BOS]O=C(Nc1ccc2c(c1)CCCC2=O)C(=O)N[C@H]1CCN(c2ccc(C(F)(F)F)cc2)C1=O[EOS],86597.8903889656,42
11.6,O=C(NCCc1cc(Cl)ccc1Br)Nc1cccc(-c2nnc3n2CCC3)c1,[BOS]O=C(NCCc1cc(Cl)ccc1Br)Nc1cccc(-c2nnc3n2CCC3)c1[EOS],91741.16924095154,42
11.3,Cc1c(NC(=O)NC2CCC(c3cccc(Cl)c3)C2)c(=O)n(-c2ccccc2)n1C,[BOS]Cc1c(NC(=O)N[C@@H]2CC[C@@H](c3cccc(Cl)c3)C2)c(=O)n(-c2ccccc2)n1C[EOS],96316.99981451035,42
11.4,Cc1ccc2cc(C(=O)NC3CCC(CNC(=O)C4CC5C=CC4CC5)C3)ccc2n1,[BOS]Cc1ccc2cc(C(=O)N[C@@H]3CC[C@H](CNC(=O)[C@@H]4C[C@@H]5C=C[C@H]4CC5)C3)ccc2n1[EOS],100520.61237955093,42
11.6,O=C(NCC1COC2(CCCCC2)O1)c1ccc(Oc2cccc(Cl)c2Cl)cc1,[BOS]O=C(NC[C@H]1COC2(CCCCC2)O1)c1ccc(Oc2cccc(Cl)c2Cl)cc1[EOS],105609.69449901581,42
12.6,O=C(Nc1cccc(NC(=O)c2ccccc2)c1)C(=O)NC1CCCC(c2ccccc2)C1,[BOS]O=C(Nc1cccc(NC(=O)c2ccccc2)c1)C(=O)N[C@@H]1CCC[C@H](c2ccccc2)C1[EOS],110653.98116230965,42
11.8,Cc1ccc(Oc2cccc(NC(=O)C(=O)c3cc(O)c(F)c4c3CNCC4)c2)cc1C,[BOS]Cc1ccc(Oc2cccc(NC(=O)C(=O)c3cc(O)c(F)c4c3CNCC4)c2)cc1C[EOS],115807.64576387405,42
12.7,O=C(NCc1ccc(-c2ccccc2)cc1F)C(=O)Nc1ccc(F)c(C(=O)N2CCCCC2)c1,[BOS]O=C(NCc1ccc(-c2ccccc2)cc1F)C(=O)Nc1ccc(F)c(C(=O)N2CCCCC2)c1[EOS],120550.57917428017,42
12.0,O=C(NC1CCOC(c2ccccc2)C1)c1nn(-c2ccccc2F)c2c1CCCC2,[BOS]O=C(N[C@@H]1CCO[C@H](c2ccccc2)C1)c1nn(-c2ccccc2F)c2c1CCCC2[EOS],4674.059256315231,42
