rv,smi,cur_sentence,elapsed_time,seed
10.0,Cc1oc2cc(O)ccc2c1C(=O)N1CCCCC1C1CCN(C(=O)c2ccc3c(c2)C(=O)CC3)CC1,[BOS]Cc1oc2cc(O)ccc2c1C(=O)N1CCCC[C@@H]1C1CCN(C(=O)c2ccc3c(c2)C(=O)CC3)CC1[EOS],5036.023524045944,42
10.0,N#Cc1cc(CC(=O)N2CCCCC2c2cc(NC(=O)CC3OCCc4ccccc43)n[nH]2)ccc1F,[BOS]N#Cc1cc(CC(=O)N2CCCC[C@H]2c2cc(NC(=O)C[C@H]3OCCc4ccccc43)n[nH]2)ccc1F[EOS][EOS][EOS][EOS][EOS],9889.541677951813,42
8.9,CC(C(=O)N1CCOCC2(CN(C(=O)C3CCC4(CC3)OCCO4)CCO2)C1)c1ccc(O)cc1,[BOS]C[C@@H](C(=O)N1CCOC[C@]2(CN(C(=O)C3CCC4(CC3)OCCO4)CCO2)C1)c1ccc(O)cc1[EOS][EOS],14374.155956745148,42
10.2,O=C(NCC1C2Cc3ccccc3C12)N1CCC(O)(c2ccccc2C(F)(F)F)CC1,[BOS]O=C(NC[C@@H]1[C@@H]2Cc3ccccc3[C@@H]12)N1CCC(O)(c2ccccc2C(F)(F)F)CC1[EOS],18749.653911590576,42
9.3,Cc1ccc(-c2nc(-c3ccc(S(=O)(=O)c4ccccc4)cc3)no2)c2c1CCC2,[BOS]Cc1ccc(-c2nc(-c3ccc(S(=O)(=O)c4ccccc4)cc3)no2)c2c1CCC2[EOS],22738.225452661514,42
9.7,Cc1ccc(C2(C(=O)N3CCCCC3c3cc(NC(=O)C4CCC(=O)N4)n[nH]3)CCCCC2)cc1C,[BOS]Cc1ccc(C2(C(=O)N3CCCC[C@@H]3c3cc(NC(=O)[C@@H]4CCC(=O)N4)n[nH]3)CCCCC2)cc1C[EOS],27810.238908290863,42
10.0,Cc1ccccc1C(=O)N1CCCCC1C1CCN(C(=O)S2=Nc3c(ccc4ccccc34)N2)CC1,[BOS]Cc1ccccc1C(=O)N1CCCC[C@H]1C1CCN(C(=O)S2=Nc3c(ccc4ccccc34)N2)CC1[EOS],32207.070345163345,42
9.5,Cc1cccc(-c2cnccc2C(=O)N2CCOCC3(CN(C(=O)c4ccc(=O)[nH]n4)CCO3)C2)c1,[BOS]Cc1cccc(-c2cnccc2C(=O)N2CCOC[C@@]3(CN(C(=O)c4ccc(=O)[nH]n4)CCO3)C2)c1[EOS],36714.72759771347,42
10.0,O=C(C1CCCC1c1ccccc1)N1CCN(Cc2nc(-c3cccc(C(F)(F)F)c3)no2)CC1,[BOS]O=C([C@@H]1CCC[C@@H]1c1ccccc1)N1CCN(Cc2nc(-c3cccc(C(F)(F)F)c3)no2)CC1[EOS],40805.96545577049,42
10.7,O=C(C1Cc2ccccc2CN1C(=O)C1CC1c1cccc2ccccc12)N1CC2CC(C1)C1CCCC(=O)N1C2,[BOS]O=C([C@H]1C[C@H]1c1cccc2ccccc12)N1Cc2ccccc2C[C@H]1C(=O)N1C[C@H]2C[C@@H](C1)[C@H]1CCCC(=O)N1C2[EOS],45034.821050167084,42
9.6,O=C(COC1CCCc2ccccc21)Nc1ccc(C(=O)NCc2ccccc2F)cc1,[BOS]O=C(CO[C@@H]1CCCc2ccccc21)Nc1ccc(C(=O)NCc2ccccc2F)cc1[EOS],49495.48738217354,42
9.7,Cc1ccc(CCC(=O)N2CCOC3(COCCN(C(=O)c4csnn4)C3)C2)c2ccccc12,[BOS]Cc1ccc(CCC(=O)N2CCO[C@@]3(COCCN(C(=O)c4csnn4)C3)C2)c2ccccc12[EOS][EOS][EOS][EOS][EOS][EOS][EOS],54427.44739151001,42
9.7,CC1CCC(C(=O)N2C3CCC2CC(NC(=O)c2ccc4c(c2)CCN(C(=O)OC(C)(C)C)C4)C3)CC1,[BOS]C[C@H]1CC[C@H](C(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccc4c(c2)CCN(C(=O)OC(C)(C)C)C4)C3)CC1[EOS],59344.30178976059,42
9.9,CC(=O)Nc1cc(C(=O)N2CCCCC2C2CCN(C(=O)Cc3ccc4ccccc4c3)CC2)ccn1,[BOS]CC(=O)Nc1cc(C(=O)N2CCCC[C@H]2C2CCN(C(=O)Cc3ccc4ccccc4c3)CC2)ccn1[EOS],64641.95651769638,42
10.2,CC1Cc2ccccc2N1C1CCN(C(=O)C2CC(=O)N(c3ccc4c(c3)OCCO4)C2)CC1,[BOS]C[C@@H]1Cc2ccccc2N1C1CCN(C(=O)[C@H]2CC(=O)N(c3ccc4c(c3)OCCO4)C2)CC1[EOS],69048.30937099457,42
9.8,CC1CCc2c(F)cccc2C1NC(=O)C(=O)Nc1cccc(NC(=O)c2ccccc2)c1,[BOS]C[C@@H]1CCc2c(F)cccc2[C@@H]1NC(=O)C(=O)Nc1cccc(NC(=O)c2ccccc2)c1[EOS],73302.47469067574,42
9.8,Cc1ccc(C2CCN(C(=O)C3CCN(C(=O)c4ccc(C(F)(F)F)cc4)CC3)C2)c(C)c1,[BOS]Cc1ccc([C@H]2CCN(C(=O)C3CCN(C(=O)c4ccc(C(F)(F)F)cc4)CC3)C2)c(C)c1[EOS],77586.71665644646,42
10.0,Cc1cc(C(=O)N2CCCCC2c2cc(NC(=O)c3ccc4c(c3)CC(=O)N4)n[nH]2)cc(C)c1O,[BOS]Cc1cc(C(=O)N2CCCC[C@@H]2c2cc(NC(=O)c3ccc4c(c3)CC(=O)N4)n[nH]2)cc(C)c1O[EOS],82082.82083153725,42
9.2,Cc1c(C(=O)NC2CCCC2c2ccccc2C(F)(F)F)nnn1Cc1ccc(F)cc1F,[BOS]Cc1c(C(=O)N[C@H]2CCC[C@@H]2c2ccccc2C(F)(F)F)nnn1Cc1ccc(F)cc1F[EOS][EOS][EOS],86343.74537396431,42
9.3,CC1CN(c2ccc(C(=O)NCC(=O)Nc3cccc4ccccc34)cn2)CC(C)O1,[BOS]C[C@@H]1CN(c2ccc(C(=O)NCC(=O)Nc3cccc4ccccc34)cn2)C[C@@H](C)O1[EOS],90742.89649486542,42
10.7,O=C1N=C(O)CCC1N1Cc2cc(CN3CCCC(CN4c5ccccc5CCc5ccccc54)C3)ccc2C1=O,[BOS]O=C1N=C(O)CCC1N1Cc2cc(CN3CCC[C@H](CN4c5ccccc5CCc5ccccc54)C3)ccc2C1=O[EOS],96862.70910739899,42
9.8,O=C(NC1C2COCC1CN(C(=O)C1CCc3ccccc31)C2)C1CC(c2ccccc2)N=N1,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)[C@@H]1CCc3ccccc31)C2)[C@H]1CC(c2ccccc2)N=N1[EOS][EOS][EOS][EOS][EOS][EOS],101375.24546456337,42
10.3,FC1(F)CCN(c2ccc(-c3ccc(N4CCCCC4)cc3)nn2)CC12CCN(c1ccccn1)C2,[BOS]FC1(F)CCN(c2ccc(-c3ccc(N4CCCCC4)cc3)nn2)C[C@]12CCN(c1ccccn1)C2[EOS][EOS][EOS][EOS],104987.82814073563,42
9.2,CC1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCCC5(COCCN(c6ncc(F)cn6)C5)C4)cn1c23,[BOS]C[C@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)N4CCC[C@@]5(COCCN(c6ncc(F)cn6)C5)C4)cn1c23[EOS][EOS][EOS],108802.46142792702,42
10.4,Cc1cccc(C(=O)N2CCOCC3(CN(C(=O)Cc4ccc5ccccc5c4)CCO3)C2)c1F,[BOS]Cc1cccc(C(=O)N2CCOC[C@@]3(CN(C(=O)Cc4ccc5ccccc5c4)CCO3)C2)c1F[EOS],4645.219870090485,42
9.9,O=C(c1ccc(-c2ccc(F)cc2)cc1F)N1CCC(C2CCCCN2C(=O)C2CCC(O)CC2)CC1,[BOS]O=C(c1ccc(-c2ccc(F)cc2)cc1F)N1CCC([C@H]2CCCCN2C(=O)[C@H]2CC[C@H](O)CC2)CC1[EOS],9091.51848769188,42
9.5,O=C(NS(=O)(=O)c1cnn(-c2cccc(C(F)(F)F)c2)c1)c1ccc2c(c1)CCCCC2=O,[BOS]O=C(NS(=O)(=O)c1cnn(-c2cccc(C(F)(F)F)c2)c1)c1ccc2c(c1)CCCCC2=O[EOS],13532.30889582634,42
9.1,O=C(Cc1ccc(F)cc1)Nc1cc(C2CCCCN2C(=O)Cc2ccc3c(c2)CCCO3)[nH]n1,[BOS]O=C(Cc1ccc(F)cc1)Nc1cc([C@H]2CCCCN2C(=O)Cc2ccc3c(c2)CCCO3)[nH]n1[EOS][EOS][EOS][EOS][EOS][EOS],18095.922492980957,42
10.8,O=C(Nc1cc(C2CCCCN2C(=O)C2CCCCC2(F)F)[nH]n1)c1ccc2c(c1)CCCC2=O,[BOS]O=C(Nc1cc([C@H]2CCCCN2C(=O)[C@H]2CCCCC2(F)F)[nH]n1)c1ccc2c(c1)CCCC2=O[EOS],22811.87954735756,42
10.2,O=C(NC1C2COCC1CN(C(=O)Cc1ccc3ccccc3c1)C2)C1CCc2ccccc2O1,[BOS]O=C(N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)Cc1ccc3ccccc3c1)C2)[C@@H]1CCc2ccccc2O1[EOS],27652.13094329834,42
9.9,O=C(NCC(=O)N1CCc2ccccc2C1)NC1CCCC1c1ccccc1C(F)(F)F,[BOS]O=C(NCC(=O)N1CCc2ccccc2C1)N[C@@H]1CCC[C@@H]1c1ccccc1C(F)(F)F[EOS],32269.047123908997,42
9.3,O=C(c1ccc(N2CCCCC2)cc1)N1CCC(C2CCCCN2C(=O)C2CCc3nc[nH]c3C2)CC1,[BOS]O=C(c1ccc(N2CCCCC2)cc1)N1CCC([C@H]2CCCCN2C(=O)[C@H]2CCc3nc[nH]c3C2)CC1[EOS],36696.2279009819,42
