rv,smi,qed,sa,cur_sentence,seed
12.9,O=C1CCc2ccc(NC(=O)N3Cc4ccccc4-c4ccccc4C3)cc2N1,0.634873011305693,2.2820260074940766,[BOS]O=C1CCc2ccc(NC(=O)N3Cc4ccccc4-c4ccccc4C3)cc2N1[EOS],42
12.1,O=C(NC1c2ccccc2CC1O)c1cc2ccccc2cc1NC(=O)C(F)(F)C1CCOCC1,0.5102121346064207,3.5004541077857834,[BOS]O=C(N[C@@H]1c2ccccc2C[C@@H]1O)c1cc2ccccc2cc1NC(=O)C(F)(F)C1CCOCC1[EOS],42
11.8,CC1C(=O)Nc2cc(C(=O)NC3CC(=O)N(c4cccc(C(F)(F)F)c4)C3)ccc2N1C,0.7597178509787411,3.3083873258539302,[BOS]C[C@@H]1C(=O)Nc2cc(C(=O)N[C@H]3CC(=O)N(c4cccc(C(F)(F)F)c4)C3)ccc2N1C[EOS][EOS][EOS][EOS],42
11.8,CC(C(=O)NC1C2COCC1CN(C(=O)c1ccc3cc(O)ccc3n1)C2)c1ccc(Cl)cc1,0.5962207236218481,4.360869637703867,[BOS]C[C@H](C(=O)N[C@H]1[C@@H]2COC[C@H]1CN(C(=O)c1ccc3cc(O)ccc3n1)C2)c1ccc(Cl)cc1[EOS],42
12.1,CC(=O)NCC1CCn2ncc(C(=O)N3CCc4cc(-c5cccc(C)n5)cc(C)c43)c2C1,0.6697113556661264,3.4403884698363,[BOS]CC(=O)NC[C@H]1CCn2ncc(C(=O)N3CCc4cc(-c5cccc(C)n5)cc(C)c43)c2C1[EOS],42
12.7,Cc1cccc(-c2cccc(CNC(=O)C(=O)N3CC(C(=O)N4CCCCC4)Oc4ccccc43)c2)c1,0.5511387990523469,2.924507492174568,[BOS]Cc1cccc(-c2cccc(CNC(=O)C(=O)N3C[C@H](C(=O)N4CCCCC4)Oc4ccccc43)c2)c1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
10.5,Cc1cccc2c1C(C)CC2CC(=O)Nc1ncn(CC(=O)N2CCCCCC2)n1,0.8180706200633764,3.455191655552177,[BOS]Cc1cccc2c1[C@H](C)C[C@H]2CC(=O)Nc1ncn(CC(=O)N2CCCCCC2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.4,Cc1ccc(C(=O)N2CCC3COC(CNC(=O)C4Cc5n[nH]c(C(F)(F)F)c5C4)C3C2)c(C)c1O,0.5913516892802121,4.407379269313175,[BOS]Cc1ccc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)[C@@H]4Cc5n[nH]c(C(F)(F)F)c5C4)[C@H]3C2)c(C)c1O[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
13.4,O=C(NC1CC2CCC(C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1cc(=O)c2ccccc2o1,0.6010692423332439,4.327316192053299,[BOS]O=C(N[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1=C2c3ccccc3C(=O)N2CC1)c1cc(=O)c2ccccc2o1[EOS],42
11.7,O=C(CCC1CCc2ccccc21)NC1c2ccccc2CC1N=Cc1cnn[nH]1,0.622345340349067,4.142289509062648,[BOS]O=C(CC[C@@H]1CCc2ccccc21)N[C@H]1c2ccccc2CC1/N=C\c1cnn[nH]1[EOS],42
12.2,CC1CN(C(=O)CNC(=O)OCC2c3ccccc3-c3ccccc32)c2ccccc2C(=O)N1,0.628215339846472,3.0409791397944943,[BOS]C[C@@H]1CN(C(=O)CNC(=O)OCC2c3ccccc3-c3ccccc32)c2ccccc2C(=O)N1[EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.6,O=C1CC(C(=O)Nc2cccc(-c3nc4ccccc4o3)c2)c2ccc(F)cc2N1,0.5212552851098621,2.7664259100235977,[BOS]O=C1C[C@@H](C(=O)Nc2cccc(-c3nc4ccccc4o3)c2)c2ccc(F)cc2N1[EOS],42
12.4,NC(=O)C1CCN(c2nc(-c3ccccc3)nc3c2CN(Cc2ccc4c(c2)CCC4)CC32CC2)CC1,0.5709292442859527,3.2635410411800807,[BOS]NC(=O)C1CCN(c2nc(-c3ccccc3)nc3c2CN(Cc2ccc4c(c2)CCC4)CC32CC2)CC1[EOS],42
