rv,smi,qed,sa,cur_sentence,seed
11.9,Cc1cccc(-c2ccc(CNC(=O)C(C)(O)CN3C(=O)C(C)(C)c4ccccc43)cc2)c1,0.5962158681584198,2.932087260130187,[BOS]Cc1cccc(-c2ccc(CNC(=O)[C@](C)(O)CN3C(=O)C(C)(C)c4ccccc43)cc2)c1[EOS][EOS][EOS],42
12.6,Cc1nnc(-c2cccc(-c3cccc(C4NC(=O)c5ccccc5N4)c3)n2)n(C)c1=O,0.5241478017771706,3.114678191241717,[BOS]Cc1nnc(-c2cccc(-c3cccc([C@@H]4NC(=O)c5ccccc5N4)c3)n2)n(C)c1=O[EOS],42
11.6,O=C(CN1C(=O)CCOc2ccccc21)NCc1cccc(-c2nc(CC(F)F)cc(=O)[nH]2)c1,0.5549717716386067,2.8020542089971627,[BOS]O=C(CN1C(=O)CCOc2ccccc21)NCc1cccc(-c2nc(CC(F)F)cc(=O)[nH]2)c1[EOS],42
12.9,CC(=O)N1CCCc2ccc(-c3cc(C(=O)N4CCc5ccccc54)ccc3C)cc21,0.5851963796253415,2.299244585192717,[BOS]CC(=O)N1CCCc2ccc(-c3cc(C(=O)N4CCc5ccccc54)ccc3C)cc21[EOS],42
10.9,CC(C)C1CCCN1C(=O)Nc1cc(-c2nnc3n2CCCCC3)ccc1F,0.848229419508876,2.9742660001974066,[BOS]CC(C)[C@H]1CCCN1C(=O)Nc1cc(-c2nnc3n2CCCCC3)ccc1F[EOS],42
12.0,O=S(=O)(c1ccc(Nc2cccc3c2CCN=C3O)cc1)N1CC2CCCN2Cc2ncccc21,0.5776351220736886,3.479182744568416,[BOS]O=S(=O)(c1ccc(Nc2cccc3c2CCN=C3O)cc1)N1CC2CCCN2Cc2ncccc21[EOS],42
12.7,O=C(NCc1ccnc(N2CCCCC2)c1)c1cc2ccccc2cc1OC1CCOC1=O,0.580789561876579,2.930293838759983,[BOS]O=C(NCc1ccnc(N2CCCCC2)c1)c1cc2ccccc2cc1O[C@@H]1CCOC1=O[EOS],42
11.5,CC(=O)Nc1cccc(C(=O)N2CCC3COC(CNC(=O)Cc4ccc(C(F)(F)F)cc4)C3C2)n1,0.6303537445772621,3.675211689992043,[BOS]CC(=O)Nc1cccc(C(=O)N2CC[C@H]3CO[C@@H](CNC(=O)Cc4ccc(C(F)(F)F)cc4)[C@H]3C2)n1[EOS][EOS][EOS][EOS][EOS][EOS][EOS][EOS],42
12.2,O=C1CCCCCN1c1ccc(CNc2nc(N3CCOCC3)nc3c2CCN3)cn1,0.7557739026251227,2.8100145731676136,[BOS]O=C1CCCCCN1c1ccc(CNc2nc(N3CCOCC3)nc3c2CCN3)cn1[EOS],42
11.6,CN1CCc2cc(C(=O)N3CCCCC3c3cc(NC(=O)C4(c5cccc(Cl)c5)CC4)n[nH]3)ccc21,0.507666182647191,3.2501586120480823,[BOS]CN1CCc2cc(C(=O)N3CCCC[C@@H]3c3cc(NC(=O)C4(c5cccc(Cl)c5)CC4)n[nH]3)ccc21[EOS],42
11.3,CC(=O)N1Cc2ccc(NC(=O)Nc3ccn(C(C)c4ccccc4)n3)cc2C1,0.7078635943355605,2.890629160188501,[BOS]CC(=O)N1Cc2ccc(NC(=O)Nc3ccn([C@H](C)c4ccccc4)n3)cc2C1[EOS],42
